c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
34983,8731,34983.0,43756.0,34983.0,58645.0,-416.7631467061159,-99.45225908565315,-246.79356552244298
34983,8731,34983.0,43749.0,34983.0,58638.0,-415.5200434357072,-98.1549694722187,-239.03328417127943
34983,8711,34983.0,43706.0,34983.0,58619.0,-413.8504981366336,-96.58820842873365,-230.7704529412408
34983,8686,34983.0,43670.0,34983.0,58603.0,-411.73144036292297,-94.73808894233173,-221.9997433002393
34994,8697,34994.0,43696.0,34994.0,58623.0,-409.14103275797225,-92.59321686924271,-212.71867625980641
34994,8717,34994.0,43743.0,34994.0,58672.0,-406.05914835090726,-90.1452618837438,-202.92805900954386
34994,8716,34994.0,43783.0,34994.0,58688.0,-402.4674766009268,-87.3886454567959,-192.63183294143388
34994,8737,34994.0,43721.0,34994.0,58689.0,-398.3493802593142,-84.3197306419627,-181.83658600148775
34994,8716,34994.0,43694.0,34994.0,58682.0,-393.6897849366319,-80.9365661873585,-170.55131207337362
34994,8711,34994.0,43715.0,34994.0,58687.0,-388.4752779752297,-77.23951293466797,-158.78761752950498
35003,8729,35003.0,43708.0,35003.0,58711.0,-382.69442318217773,-73.23196331323945,-146.56009335798848
35003,8751,35003.0,43819.0,35003.0,58771.0,-376.3380004359695,-68.920399063742,-133.88642548049737
35003,8756,35003.0,43835.0,35003.0,58777.0,-369.39894185238046,-64.31357661467811,-120.78702624823049
35003,8752,35003.0,43809.0,35003.0,58782.0,-361.8721752715837,-59.4212729868275,-107.2845042689845
35003,8762,35003.0,43739.0,35003.0,58786.0,-353.754658613782,-54.25372523539245,-93.40348390758871
35003,8762,35003.0,43729.0,35003.0,58810.0,-345.0455789562107,-48.82235404283048,-79.17078182356909
35013,8788,35013.0,43815.0,35013.0,58848.0,-335.7465363145578,-43.1408827127765,-64.61553500293496
35013,8807,35013.0,43866.0,35013.0,58920.0,-325.8615765613374,-37.22547101051855,-49.76892526364486
35013,8836,35013.0,43873.0,35013.0,58924.0,-315.39701676246216,-31.09366710347551,-34.66344667749428
35013,8831,35013.0,43843.0,35013.0,58908.0,-304.3611720810976,-24.76332453440375,-19.332206668238427
35013,8843,35013.0,43818.0,35013.0,58904.0,-292.7642248666299,-18.252438863810752,-3.808895186131565
35013,8843,35013.0,43838.0,35013.0,58946.0,-280.61834493883237,-11.579735437666983,11.871704584549661
35024,8878,35024.0,43872.0,35024.0,59028.0,-267.93790288394285,-4.76519820648393,27.673498851805448
35024,8910,35024.0,43928.0,35024.0,59036.0,-254.7395007386818,2.170066107718611,43.55965004425468
35024,8936,35024.0,43942.0,35024.0,59035.0,-241.04169412399781,9.204596762683337,59.49340486392401
35024,8942,35024.0,43909.0,35024.0,59058.0,-226.864597544437,16.31738029759977,75.43841371389999
