c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
173102,13873,173102,8797,173102.0,32173.0,532.9006603449399,203.39729022576657,410.5807251618588
173102,13910,173102,8827,173102.0,32155.0,538.2918958827026,205.5787355273886,412.8863384121675
173112,14021,173112,8785,173112.0,32157.0,543.6696327826417,207.66935570118693,415.07538270325995
173112,14206,173112,8770,173112.0,32146.0,548.9915711767853,209.66350291647467,417.14224512497105
173112,14183,173112,8789,173112.0,32153.0,554.2194101427268,211.5556608811323,419.08094792790996
173112,14164,173112,8783,173112.0,32151.0,559.3217680067361,213.34009968373064,420.8850601496031
173112,14053,173112,8809,173112.0,32176.0,564.2751751615261,215.01088210787142,422.54774915224334
173112,13945,173112,8810,173112.0,32215.0,569.062846959736,216.56210827603584,424.0620937000366
173122,13880,173122,8823,173122.0,32189.0,573.6720671790785,217.98824096162616,425.4216749801824
173122,13846,173122,8849,173122.0,32203.0,578.0912875848512,219.2844631853242,426.6210977033636
173122,13863,173122,8811,173122.0,32193.0,582.307947803166,220.44702374696828,427.6561703052376
173122,13854,173122,8805,173122.0,32188.0,586.307392320671,221.47333811670205,428.5238941728708
173122,13873,173122,8828,173122.0,32149.0,590.072597666873,222.36176385626482,429.222330836248
173122,13907,173122,8791,173122.0,32133.0,593.5843237284047,223.1113906390681,429.7501934208189
173133,14096,173133,8758,173133.0,32128.0,596.8219406808613,223.72183885371695,430.1062312345198
173133,14183,173133,8776,173133.0,32140.0,599.7656687735066,224.1927693384774,430.2887576397955
173133,14174,173133,8786,173133.0,32138.0,602.3998673295433,224.52341591636971,430.29554386415344
173133,14094,173133,8798,173133.0,32140.0,604.7154591234876,224.71259203439809,430.12395535791137
173133,14014,173133,8829,173133.0,32167.0,606.7101124583821,224.75908046412238,429.7711668471056
173133,13861,173133,8830,173133.0,32168.0,608.3864402654227,224.66218348737806,429.23450270671503
173143,13822,173143,8779,173143.0,32164.0,609.7490804493732,224.42216039687756,428.5118703588865
173143,13854,173143,8820,173143.0,32159.0,610.8018230930652,224.04022853367007,427.6020520243419
173143,13838,173143,8788,173143.0,32154.0,611.5460188737028,223.51833022253498,426.50477393968197
173143,13826,173143,8804,173143.0,32110.0,611.9802544254786,222.859046024899,425.2205975985422
173143,13845,173143,8759,173143.0,32141.0,612.1003556090758,222.06553080096705,423.7506350487642
173143,13967,173143,8777,173143.0,32102.0,611.8996640910749,221.14126607981757,422.09626024475415
173153,14136,173153,8741,173153.0,32098.0,611.3705648099567,220.08971768131966,420.25892570161216
