c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207268,10701,207268.0,41912.0,207268.0,60234.0,-129.76954228414047,-35.058305056531225,-97.59941523108601
207268,10693,207268.0,41896.0,207268.0,60231.0,-137.0215771728005,-41.389209569956144,-105.91286814358179
207268,10678,207268.0,41873.0,207268.0,60187.0,-144.43884738939425,-47.706436090619874,-114.30509707472896
207268,10649,207268.0,41794.0,207268.0,60130.0,-152.0121844007958,-53.99086953030911,-122.75800212702613
207268,10635,207268.0,41798.0,207268.0,60145.0,-159.73277055576355,-60.22516822858685,-131.25482232854813
207268,10657,207268.0,41840.0,207268.0,60173.0,-167.59247068188893,-66.3946203122703,-139.7807466435727
207279,10661,207279.0,41915.0,207279.0,60191.0,-175.5838493538926,-72.48708694038802,-148.32275254047676
207279,10644,207279.0,41880.0,207279.0,60159.0,-183.69984171710038,-78.49188315802812,-156.86891139592527
207279,10618,207279.0,41829.0,207279.0,60124.0,-191.93350511352662,-84.39870778348886,-165.40797469719993
207279,10604,207279.0,41769.0,207279.0,60081.0,-200.2781431565217,-90.19771549216999,-173.92966236581196
207279,10606,207279.0,41763.0,207279.0,60131.0,-208.72761224862415,-95.88057358070745,-182.4252892954035
207279,10630,207279.0,41857.0,207279.0,60131.0,-217.27642017960622,-101.44134413129882,-190.88796344305922
207289,10627,207289.0,41900.0,207289.0,60189.0,-225.91942475018502,-106.8761131981049,-199.3120137461787
207289,10603,207289.0,41845.0,207289.0,60150.0,-234.65136937722903,-112.18160196358777,-207.69201641145813
207289,10578,207289.0,41785.0,207289.0,60095.0,-243.46670511654935,-117.35428588670433,-216.02215235564768
207289,10557,207289.0,41757.0,207289.0,60057.0,-252.3598389117199,-122.39089417928139,-224.2964707160159
207289,10567,207289.0,41785.0,207289.0,60082.0,-261.32552087858386,-127.28949844912137,-232.5097510117915
207289,10566,207289.0,41863.0,207289.0,60112.0,-270.35900248611836,-132.0499014990858,-240.65796644917688
207299,10581,207299.0,41861.0,207299.0,60124.0,-279.4558423550088,-136.6728588628444,-248.73787498522827
207299,10557,207299.0,41796.0,207299.0,60079.0,-288.61153386915436,-141.15895472028566,-256.74626849748415
207299,10520,207299.0,41749.0,207299.0,60053.0,-297.821304850386,-145.50840914281085,-264.6796977526509
207299,10512,207299.0,41729.0,207299.0,60028.0,-307.0803282423747,-149.72200081011067,-272.53487160544967
207299,10529,207299.0,41806.0,207299.0,60060.0,-316.3840869442972,-153.80203261362288,-280.30920234614337
207299,10553,207299.0,41854.0,207299.0,60099.0,-325.72835261560215,-157.7522290927338,-288.0008274486279
207310,10521,207310.0,41863.0,207310.0,60096.0,-335.10870776865943,-161.57651908588264,-295.6079236452474
207310,10498,207310.0,41780.0,207310.0,60053.0,-344.52015566980316,-165.27783676933373,-303.1278962262118
207310,10480,207310.0,41750.0,207310.0,60026.0,-353.9572188911538,-168.85807627380692,-310.5572005006058
207310,10462,207310.0,41739.0,207310.0,59998.0,-363.41432632644694,-172.3190743147423,-317.8918501457116
207310,10485,207310.0,41808.0,207310.0,60027.0,-372.88609624321475,-175.66346117738755,-325.1280357955418
207310,10494,207310.0,41829.0,207310.0,60057.0,-382.3672565127817,-178.89449157740032,-332.262246876358
207320,10473,207320.0,41813.0,207320.0,60052.0,-391.8522305251046,-182.01511030153517,-339.2907430090006
207320,10440,207320.0,41768.0,207320.0,60006.0,-401.33482810911295,-185.02727653172064,-346.2089235233739
207320,10429,207320.0,41724.0,207320.0,59969.0,-410.80838364961534,-187.9322004245703,-353.0113156547703
207320,10431,207320.0,41742.0,207320.0,59978.0,-420.2661068489731,-190.73119844188562,-359.6921795470075
207320,10442,207320.0,41812.0,207320.0,60023.0,-429.7012011285114,-193.426242546833,-366.2459652697221
207320,10457,207320.0,41838.0,207320.0,60049.0,-439.1065900146616,-196.01947872845207,-372.66697241920394
207331,10438,207331.0,41810.0,207331.0,60006.0,-448.4744217248856,-198.51207906499525,-378.9484796163751
207331,10410,207331.0,41748.0,207331.0,59974.0,-457.7957205041051,-200.90359090453234,-385.08226083795654
207331,10386,207331.0,41701.0,207331.0,59936.0,-467.06046626574073,-203.19244083905778,-391.05894818656526
207331,10400,207331.0,41758.0,207331.0,59974.0,-476.2579429536179,-205.37704910219875,-396.8687576945865
207331,10404,207331.0,41806.0,207331.0,60002.0,-485.3768945386318,-207.45632603567725,-402.50174873476834
207331,10394,207331.0,41822.0,207331.0,59990.0,-494.405316979309,-209.42899414886548,-407.9473542682929
207341,10371,207341.0,41786.0,207341.0,59973.0,-503.330198163753,-211.2925149437806,-413.19376913322105
207341,10343,207341.0,41714.0,207341.0,59920.0,-512.1375502548767,-213.04276395611942,-418.2278706181548
207341,10334,207341.0,41690.0,207341.0,59908.0,-520.812738906444,-214.67481229553908,-423.0357587234445
207341,10342,207341.0,41747.0,207341.0,59936.0,-529.3408224309887,-216.18408222514606,-427.6034490500819
207341,10352,207341.0,41820.0,207341.0,59972.0,-537.7065897369984,-217.56663234350683,-431.91703676656437
207341,10348,207341.0,41808.0,207341.0,59970.0,-545.8942651385325,-218.81819003278957,-435.96213580424325
207351,10318,207351.0,41748.0,207351.0,59926.0,-553.8871840894028,-219.93302613953833,-439.72321501666767
207351,10293,207351.0,41689.0,207351.0,59893.0,-561.6677945052312,-220.903959120019,-443.1835765018336
207351,10295,207351.0,41690.0,207351.0,59888.0,-569.2179943306951,-221.72347264552488,-446.3259988506605
207351,10292,207351.0,41744.0,207351.0,59928.0,-576.5194456948435,-222.38479337126628,-449.1333557684538
207351,10313,207351.0,41786.0,207351.0,59943.0,-583.5535727976587,-222.88192938500134,-451.58858731577607
207351,10299,207351.0,41771.0,207351.0,59925.0,-590.3012765000815,-223.2087950236466,-453.6741558637257
207362,10281,207362.0,41709.0,207362.0,59867.0,-596.7426434700524,-223.35849280478186,-455.3717441891529
207362,10260,207362.0,41682.0,207362.0,59862.0,-602.8569439437074,-223.32359251844107,-456.6626941129687
207362,10247,207362.0,41696.0,207362.0,59871.0,-608.622930887837,-223.09710616604434,-457.5288037866582
207362,10253,207362.0,41771.0,207362.0,59918.0,-614.0191862424148,-222.6730843844865,-457.9526949734594
207362,10260,207362.0,41802.0,207362.0,59906.0,-619.0242579141183,-222.04612829941448,-457.91748782518187
207362,10256,207362.0,41754.0,207362.0,59895.0,-623.6165335712086,-221.21028043583016,-457.4062835766784
207372,10221,207372.0,41699.0,207372.0,59856.0,-627.7740968033656,-220.15853338520532,-456.4020911548672
207372,10224,207372.0,41667.0,207372.0,59814.0,-631.4748577608225,-218.88354735092665,-454.8883905016084
207372,10219,207372.0,41696.0,207372.0,59848.0,-634.696869936174,-217.37887860926497,-452.8500336425355
207372,10235,207372.0,41769.0,207372.0,59906.0,-637.4184958394536,-215.63956964023225,-450.2737595355043
207372,10239,207372.0,41800.0,207372.0,59896.0,-639.6182947798136,-213.66156282162464,-447.1478273725004
207372,10222,207372.0,41724.0,207372.0,59861.0,-641.2747993987482,-211.44060365457545,-443.46136778557633
207382,10192,207382.0,41670.0,207382.0,59830.0,-642.3664973491134,-208.97200371652514,-439.20442372419666
207382,10183,207382.0,41667.0,207382.0,59839.0,-642.8722029710732,-206.251680365654,-434.3687015911291
207382,10200,207382.0,41709.0,207382.0,59881.0,-642.7715768097506,-203.27738457911926,-428.9482416783036
207382,10212,207382.0,41795.0,207382.0,59910.0,-642.0453565309375,-200.04890281500207,-422.93939902431543
207382,10215,207382.0,41779.0,207382.0,59924.0,-640.6752067978807,-196.56711356856985,-416.3402461898637
207382,10192,207382.0,41781.0,207382.0,59894.0,-638.6435226449419,-192.83283966690806,-409.15001530680127
207393,10169,207393.0,41679.0,207393.0,59865.0,-635.9335613286443,-188.84656480670037,-401.36913396608395
207393,10173,207393.0,41696.0,207393.0,59867.0,-632.5299396491623,-184.60927739442258,-392.99989139438367
207393,10182,207393.0,41758.0,207393.0,59917.0,-628.4191532452289,-180.1235917035063,-384.04715004318723
207393,10207,207393.0,41820.0,207393.0,59934.0,-623.5897702736213,-175.3938733887887,-374.5184589660659
207393,10214,207393.0,41816.0,207393.0,59956.0,-618.03227562133,-170.42520737460833,-364.42360727385665
207393,10200,207393.0,41752.0,207393.0,59940.0,-611.7388371976713,-165.22242423732953,-353.774182042582
