c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414512.0,13145.0,414512.0,42982.0,414512.0,64179.0,-40.31848092019407,-51.31565848950477,-118.94167231422814
414512.0,13133.0,414512.0,42980.0,414512.0,64154.0,-44.47801664557885,-55.0114030009448,-124.51963753957197
414512.0,13135.0,414512.0,42936.0,414512.0,64135.0,-48.75369929994792,-58.754950867147606,-130.22673521107797
414512.0,13116.0,414512.0,42954.0,414512.0,64151.0,-53.140492531150244,-62.53834199080591,-136.05546373861426
414512.0,13137.0,414512.0,42962.0,414512.0,64154.0,-57.63337177826176,-66.35424322681834,-141.99885610605264
414512.0,13117.0,414512.0,42973.0,414512.0,64166.0,-62.22729716714586,-70.1958853771525,-148.05027091731813
414522.0,13109.0,414522.0,42970.0,414522.0,64103.0,-66.91714659266009,-74.05670772897338,-154.2031211068212
414522.0,13093.0,414522.0,42902.0,414522.0,64126.0,-71.69778116671286,-77.93016569397864,-160.45095741652892
414522.0,13094.0,414522.0,42912.0,414522.0,64112.0,-76.56424319723519,-81.81007210243341,-166.78779150031846
414522.0,13096.0,414522.0,42922.0,414522.0,64111.0,-81.51189460953432,-85.6912032053865,-173.2082338814325
414522.0,13078.0,414522.0,42921.0,414522.0,64105.0,-86.5364190678594,-89.56953413299922,-179.7074388597745
414522.0,13085.0,414522.0,42925.0,414522.0,64107.0,-91.63379925112241,-93.4420533814934,-186.2810386775596
414532.0,13078.0,414532.0,42932.0,414532.0,64103.0,-96.80031799203232,-97.30650656277184,-192.92505293519207
414532.0,13094.0,414532.0,42870.0,414532.0,64065.0,-102.0324802009302,-101.16128403080384,-199.63583006393634
414532.0,13055.0,414532.0,42919.0,414532.0,64070.0,-107.32686581470332,-105.00558804768426,-206.41019299960269
414532.0,13062.0,414532.0,42949.0,414532.0,64109.0,-112.68011625676765,-108.83954360392866,-213.24561108725203
414532.0,13072.0,414532.0,42970.0,414532.0,64098.0,-118.08905047188175,-112.66368628013713,-220.1399611967879
414532.0,13063.0,414532.0,42923.0,414532.0,64068.0,-123.55063339542485,-116.47813273312873,-227.09103800763847
414543.0,13040.0,414543.0,42905.0,414543.0,64050.0,-129.0618273163528,-120.2822817346368,-234.09643683965777
414543.0,13028.0,414543.0,42885.0,414543.0,64043.0,-134.61964597980034,-124.07522182529738,-241.15388195653858
414543.0,13023.0,414543.0,42871.0,414543.0,64051.0,-140.22142164545585,-127.85635990823849,-248.26154305721462
414543.0,13020.0,414543.0,42874.0,414543.0,64042.0,-145.86502818386515,-131.62589439250462,-255.41807087097183
414543.0,13039.0,414543.0,42828.0,414543.0,64008.0,-151.54889637362828,-135.38513492149315,-262.6225239294663
414543.0,13030.0,414543.0,42880.0,414543.0,64023.0,-157.27180325484173,-139.13676985992117,-269.8744597602686
414553.0,13009.0,414553.0,42917.0,414553.0,64018.0,-163.0326136790094,-142.8848163871589,-277.1740792268374
414553.0,13010.0,414553.0,42886.0,414553.0,64020.0,-168.83023110964112,-146.63400217158977,-284.52215892171836
414553.0,13003.0,414553.0,42908.0,414553.0,64006.0,-174.6637131896902,-150.38907836025453,-291.9198545788339
414553.0,13022.0,414553.0,42918.0,414553.0,64043.0,-180.53228498073813,-154.15447657734776,-299.36850702345487
414553.0,13000.0,414553.0,42903.0,414553.0,64010.0,-186.4351669324284,-157.93405074897763,-306.8693534873638
414553.0,12988.0,414553.0,42873.0,414553.0,63988.0,-192.37141795675356,-161.73090563845926,-314.42327781468475
414563.0,12973.0,414563.0,42859.0,414563.0,63981.0,-198.34000612388087,-165.5476074306555,-322.03090914838776
414563.0,12969.0,414563.0,42868.0,414563.0,63965.0,-204.34003820295675,-169.38662650718882,-329.69294562114703
414563.0,12956.0,414563.0,42837.0,414563.0,63959.0,-210.37095582583933,-173.25065210285203,-337.4103994689616
414563.0,12962.0,414563.0,42860.0,414563.0,63937.0,-216.4326355647184,-177.14274233132932,-345.1847574695145
414563.0,12969.0,414563.0,42872.0,414563.0,63962.0,-222.52535853715514,-181.06632568016374,-353.01809511966457
414563.0,12947.0,414563.0,42894.0,414563.0,63947.0,-228.64964954303096,-185.024891979368,-360.9130210559665
414574.0,12943.0,414574.0,42839.0,414574.0,63940.0,-234.80616583650212,-189.02153463383712,-368.87246581714237
414574.0,12937.0,414574.0,42839.0,414574.0,63928.0,-240.99574884514442,-193.05886208161402,-376.8995516403785
414574.0,12952.0,414574.0,42870.0,414574.0,63955.0,-247.21946275195694,-197.1392763555377,-384.99755331676795
414574.0,12946.0,414574.0,42882.0,414574.0,63932.0,-253.47844182641848,-201.2649730976009,-393.1697193024749
414574.0,12931.0,414574.0,42869.0,414574.0,63960.0,-259.77364968143297,-205.4374787909613,-401.4189428637192
414574.0,12922.0,414574.0,42859.0,414574.0,63909.0,-266.10578719657383,-209.6572513085973,-409.7474794541754
414584.0,12899.0,414584.0,42773.0,414584.0,63873.0,-272.4754158600367,-213.92380311618643,-418.15697736402177
414584.0,12896.0,414584.0,42800.0,414584.0,63872.0,-278.8831953193616,-218.2364138940418,-426.64896120208533
414584.0,12903.0,414584.0,42798.0,414584.0,63874.0,-285.33007726995527,-222.59493475123455,-435.2253775743648
414584.0,12896.0,414584.0,42804.0,414584.0,63871.0,-291.81730387902917,-227.00004657543468,-443.8887374485851
414584.0,12877.0,414584.0,42826.0,414584.0,63877.0,-298.34628761479274,-231.45301096887016,-452.6419279918588
414584.0,12887.0,414584.0,42802.0,414584.0,63866.0,-304.9185768365008,-235.95529218482423,-461.4879487893221
414594.0,12878.0,414594.0,42802.0,414594.0,63869.0,-311.53586257853954,-240.50830096879832,-470.42967960994577
414594.0,12885.0,414594.0,42814.0,414594.0,63837.0,-318.19987874782305,-245.11333109019864,-479.4697464077561
414594.0,12878.0,414594.0,42831.0,414594.0,63834.0,-324.9122199656007,-249.77143555679422,-488.6105583199781
414594.0,12862.0,414594.0,42795.0,414594.0,63851.0,-331.6741903276594,-254.48312104929502,-497.8544123666338
414594.0,12861.0,414594.0,42812.0,414594.0,63855.0,-338.48677207647495,-259.24815600740476,-507.20336221591754
414594.0,12840.0,414594.0,42770.0,414594.0,63796.0,-345.35070200114524,-264.0656461549858,-516.6589096293656
414605.0,12824.0,414605.0,42750.0,414605.0,63793.0,-352.266617081421,-268.9343167590537,-526.222026474238
414605.0,12824.0,414605.0,42741.0,414605.0,63795.0,-359.23526530201406,-273.8529874808153,-535.8935396323261
414605.0,12822.0,414605.0,42720.0,414605.0,63801.0,-366.2576601905871,-278.8210840265723,-545.6743202246498
414605.0,12825.0,414605.0,42776.0,414605.0,63790.0,-373.335045488041,-283.8388972385452,-555.5650848693805
414605.0,12811.0,414605.0,42771.0,414605.0,63770.0,-380.4687367007256,-288.90735286612926,-565.5661469054947
414605.0,12822.0,414605.0,42759.0,414605.0,63752.0,-387.6599710372533,-294.02742759969425,-575.6773968331327
414615.0,12789.0,414615.0,42736.0,414615.0,63749.0,-394.9098122345541,-299.1997840538389,-585.8984714856867
414615.0,12796.0,414615.0,42757.0,414615.0,63775.0,-402.21915273208015,-304.4248270442317,-596.228822543919
414615.0,12784.0,414615.0,42828.0,414615.0,63768.0,-409.58879494593003,-309.7026144982896,-606.6674334624238
414615.0,12790.0,414615.0,42766.0,414615.0,63732.0,-417.0194679293587,-315.03220003340925,-617.2123811289011
414615.0,12775.0,414615.0,42749.0,414615.0,63717.0,-424.51173487147764,-320.4110183694785,-627.8607219129444
414615.0,12761.0,414615.0,42713.0,414615.0,63700.0,-432.0659209286771,-325.83506440949566,-638.6087689492874
414625.0,12757.0,414625.0,42692.0,414625.0,63693.0,-439.68215850886236,-331.29962322358756,-649.4524086210835
414625.0,12747.0,414625.0,42674.0,414625.0,63709.0,-447.36048321470037,-336.80000667749704,-660.3871993456709
414625.0,12770.0,414625.0,42697.0,414625.0,63671.0,-455.10082259050677,-342.33206209606345,-671.4082426749457
414625.0,12764.0,414625.0,42701.0,414625.0,63666.0,-462.90276434399857,-347.8922669239536,-682.5100656516966
414625.0,12747.0,414625.0,42717.0,414625.0,63674.0,-470.7652072572745,-353.47739939738744,-693.6866562405504
414625.0,12729.0,414625.0,42660.0,414625.0,63679.0,-478.68619836092284,-359.08415163593946,-704.9313869036419
414636.0,12728.0,414636.0,42717.0,414636.0,63651.0,-486.66304342824225,-364.7090272701459,-716.2367111644298
414636.0,12726.0,414636.0,42715.0,414636.0,63657.0,-494.6924399111407,-370.34826265525106,-727.5939207436513
414636.0,12723.0,414636.0,42724.0,414636.0,63647.0,-502.77044217406916,-375.9973852576501,-738.9930566047253
414636.0,12710.0,414636.0,42683.0,414636.0,63629.0,-510.89232996241725,-381.65072503982617,-750.4228244363071
414636.0,12699.0,414636.0,42641.0,414636.0,63603.0,-519.0525380834415,-387.3014456329083,-761.8705756056523
414636.0,12684.0,414636.0,42645.0,414636.0,63596.0,-527.2447081640651,-392.94212785823345,-773.3224713218817
414646.0,12687.0,414646.0,42667.0,414646.0,63566.0,-535.4617938582531,-398.5653391723323,-784.76373327681
414646.0,12668.0,414646.0,42669.0,414646.0,63587.0,-543.6961164985378,-404.1636489365584,-796.1788274042926
414646.0,12666.0,414646.0,42616.0,414646.0,63570.0,-551.9393734418351,-409.72932854809807,-807.5514537387621
414646.0,12677.0,414646.0,42653.0,414646.0,63574.0,-560.1826114994308,-415.2543195034398,-818.8643307319614
414646.0,12663.0,414646.0,42650.0,414646.0,63559.0,-568.4160807240746,-420.7303482220637,-830.098944548854
414646.0,12638.0,414646.0,42625.0,414646.0,63542.0,-576.6290619358757,-426.1488033849203,-841.2354075872529
414656.0,12635.0,414656.0,42658.0,414656.0,63543.0,-584.809903054227,-431.50054402402145,-852.2524369396964
414656.0,12628.0,414656.0,42677.0,414656.0,63547.0,-592.9461957753557,-436.77567709447356,-863.1273198757422
414656.0,12629.0,414656.0,42659.0,414656.0,63531.0,-601.0248420298285,-441.96308019674785,-873.8357354916136
414656.0,12618.0,414656.0,42679.0,414656.0,63532.0,-609.0319741930164,-447.0498944070859,-884.3515304014528
414656.0,12613.0,414656.0,42593.0,414656.0,63480.0,-616.9528529188644,-452.02137208717807,-894.6466516296448
414656.0,12587.0,414656.0,42581.0,414656.0,63459.0,-624.7718503028318,-456.8613026983818,-904.6914014701719
414667.0,12590.0,414667.0,42588.0,414667.0,63489.0,-632.4725552771715,-461.5528592409376,-914.4548917691388
414667.0,12594.0,414667.0,42611.0,414667.0,63460.0,-640.0378762721191,-466.07914539040536,-923.9052311072837
414667.0,12589.0,414667.0,42615.0,414667.0,63438.0,-647.4499635857301,-470.42304114882097,-933.0094215929472
414667.0,12578.0,414667.0,42603.0,414667.0,63455.0,-654.690016774374,-474.5667421815977,-941.7333710383792
414667.0,12563.0,414667.0,42587.0,414667.0,63427.0,-661.7381962037298,-478.49150539750013,-950.0419811112064
414667.0,12567.0,414667.0,42595.0,414667.0,63446.0,-668.5736778196102,-482.17770051297924,-957.899106143696
414677.0,12557.0,414677.0,42595.0,414677.0,63454.0,-675.1747040485579,-485.60490714762983,-965.2673837345508
414677.0,12558.0,414677.0,42624.0,414677.0,63450.0,-681.5185465048066,-488.75179905003375,-972.1079079584312
414677.0,12552.0,414677.0,42598.0,414677.0,63421.0,-687.58142572889,-491.59582421035117,-978.3799103159031
414677.0,12520.0,414677.0,42534.0,414677.0,63393.0,-693.3384898789267,-494.113080223879,-984.0407977632517
414677.0,12510.0,414677.0,42534.0,414677.0,63365.0,-698.7639927791009,-496.27882680389365,-989.0466240160464
414677.0,12511.0,414677.0,42537.0,414677.0,63386.0,-703.8316316515895,-498.06833265258615,-993.3526959874849
414688.0,12514.0,414688.0,42515.0,414688.0,63355.0,-708.5147600165499,-499.45740179628456,-996.9139525053793
414688.0,12517.0,414688.0,42550.0,414688.0,63398.0,-712.7863369713905,-500.42252148869153,-999.6850398453995
414688.0,12508.0,414688.0,42586.0,414688.0,63356.0,-716.6187553706252,-500.9407093623053,-1001.620219100322
414688.0,12500.0,414688.0,42515.0,414688.0,63374.0,-719.9837400112784,-500.9890868988965,-1002.673288985615
414688.0,12489.0,414688.0,42535.0,414688.0,63364.0,-722.8523996895722,-500.54472636835607,-1002.7976449595764
414688.0,12485.0,414688.0,42518.0,414688.0,63366.0,-725.195389520582,-499.5850269645268,-1001.9463790122752
414698.0,12490.0,414698.0,42601.0,414698.0,63373.0,-726.9830670772029,-498.08796316928306,-1000.0723285375927
414698.0,12475.0,414698.0,42563.0,414698.0,63355.0,-728.185570441078,-496.03171431118693,-997.1281263959495
414698.0,12466.0,414698.0,42552.0,414698.0,63345.0,-728.7729041178796,-493.39413744089336,-993.0663690423169
414698.0,12458.0,414698.0,42524.0,414698.0,63316.0,-728.7151491317327,-490.15280872248525,-987.840031740531
414698.0,12450.0,414698.0,42510.0,414698.0,63312.0,-727.9827557670965,-486.28564215045105,-981.4031182233314
414698.0,12443.0,414698.0,42499.0,414698.0,63298.0,-726.5468349247275,-481.77164109198475,-973.7113823869715
414708.0,12442.0,414708.0,42490.0,414708.0,63321.0,-724.3794308286224,-476.5915546774719,-964.7229292194133
414708.0,12458.0,414708.0,42555.0,414708.0,63336.0,-721.4537193493122,-470.7282737632538,-954.3985304381519
414708.0,12438.0,414708.0,42580.0,414708.0,63317.0,-717.7440842746872,-464.16665340774034,-942.7016966598144
414708.0,12436.0,414708.0,42553.0,414708.0,63311.0,-713.2262160766172,-456.89286562505436,-929.5988594916694
414708.0,12431.0,414708.0,42548.0,414708.0,63345.0,-707.8773837532028,-448.894033709224,-915.059814474156
414708.0,12448.0,414708.0,42579.0,414708.0,63351.0,-701.6767510103366,-440.1584440416723,-899.0580758501765
414719.0,12445.0,414719.0,42566.0,414719.0,63364.0,-694.6055452595501,-430.6758136780364,-881.570968067675
414719.0,12460.0,414719.0,42565.0,414719.0,63382.0,-686.6471003389549,-420.4374036227156,-862.5796875938729
414719.0,12457.0,414719.0,42543.0,414719.0,63369.0,-677.7868889133767,-409.43629988897754,-842.0694956435505
414719.0,12465.0,414719.0,42561.0,414719.0,63398.0,-668.0126058016543,-397.6679455932252,-820.0300646838923
414719.0,12449.0,414719.0,42556.0,414719.0,63398.0,-657.3143532904834,-385.13066728641354,-796.4559144256436
414719.0,12463.0,414719.0,42595.0,414719.0,63409.0,-645.6849652546023,-371.8259831709739,-771.3468404860714
414729.0,12487.0,414729.0,42627.0,414729.0,63459.0,-633.1203368318138,-357.75859206545135,-744.708299464087
414729.0,12486.0,414729.0,42626.0,414729.0,63493.0,-619.6195615542318,-342.9360815160906,-716.5515763853296
414729.0,12511.0,414729.0,42644.0,414729.0,63531.0,-605.1849327277755,-327.36866453287774,-686.8936189830375
414729.0,12530.0,414729.0,42637.0,414729.0,63509.0,-589.8219386037597,-311.06920576422056,-655.7568662878547
414729.0,12531.0,414729.0,42681.0,414729.0,63586.0,-573.5392391237405,-294.0534214260509,-623.1694129824019
414729.0,12580.0,414729.0,42716.0,414729.0,63638.0,-556.3486341762881,-276.3399247237275,-589.1651991610289
414739.0,12581.0,414739.0,42758.0,414739.0,63676.0,-538.2649846328698,-257.94989769508544,-553.7837530546637
414739.0,12610.0,414739.0,42747.0,414739.0,63715.0,-519.3060695898653,-238.90658315062382,-517.069714300626
414739.0,12620.0,414739.0,42751.0,414739.0,63748.0,-499.49251492330734,-219.2350817201688,-479.0725776482508
414739.0,12637.0,414739.0,42755.0,414739.0,63785.0,-478.8478411481075,-198.96265360094094,-439.8466718444564
414739.0,12673.0,414739.0,42802.0,414739.0,63826.0,-457.3985449148927,-178.11918622902436,-399.4512324573868
414739.0,12698.0,414739.0,42849.0,414739.0,63879.0,-435.1740879092295,-156.7373190324189,-357.9504555697259
414750.0,12741.0,414750.0,42832.0,414750.0,63973.0,-412.20671539204807,-134.85216358245287,-315.41334019048617
414750.0,12767.0,414750.0,42900.0,414750.0,64015.0,-388.5311540200262,-112.5010390195801,-271.91315338486277
414750.0,12784.0,414750.0,42917.0,414750.0,64071.0,-364.18432146839075,-89.72332887500406,-227.52671826267925
414750.0,12818.0,414750.0,42927.0,414750.0,64130.0,-339.2051802980026,-66.56026582805927,-182.33388875052327
414750.0,12856.0,414750.0,43033.0,414750.0,64200.0,-313.6346782071821,-43.05465324406276,-136.4171742611765
414750.0,12895.0,414750.0,43046.0,414750.0,64252.0,-287.51557508188495,-19.250335978948556,-89.86129311660636
414760.0,12932.0,414760.0,43060.0,414760.0,64319.0,-260.89211706788603,4.808572833774065,-42.75267836360217
414760.0,12939.0,414760.0,43082.0,414760.0,64354.0,-233.80972627392129,29.07811343089304,4.820929145429091
414760.0,12971.0,414760.0,43043.0,414760.0,64395.0,-206.31490704551447,53.51428784436399,52.77068178099648
414760.0,13011.0,414760.0,43116.0,414760.0,64477.0,-178.45532686329304,78.07251151841979,101.00663930609403
414760.0,13038.0,414760.0,43134.0,414760.0,64539.0,-150.27981536910715,102.70718107775593,149.43790667090605
414760.0,13086.0,414760.0,43208.0,414760.0,64615.0,-121.83819902544957,127.37178872438926,197.97311083575607
414770.0,13125.0,414770.0,43219.0,414770.0,64657.0,-93.18103660895355,152.01947546043328,246.52101719195093
414770.0,13164.0,414770.0,43274.0,414770.0,64690.0,-64.35927011561557,176.60362394253303,294.99094045669665
414770.0,13181.0,414770.0,43263.0,414770.0,64791.0,-35.42389265212472,201.07825165710278,343.292880140428
414770.0,13223.0,414770.0,43316.0,414770.0,64863.0,-6.425779396605151,225.3981391396144,391.3377943371753
414770.0,13271.0,414770.0,43369.0,414770.0,64950.0,22.584407041929694,249.51890721547403,439.03835878152245
414770.0,13302.0,414770.0,43383.0,414770.0,64966.0,51.556448979290735,273.3973523308009,486.309892278651
414781.0,13341.0,414781.0,43398.0,414781.0,65007.0,80.44091501115582,296.99185927325175,533.070854331796
414781.0,13375.0,414781.0,43418.0,414781.0,65058.0,109.18945009467672,320.26249603159454,579.2427800936168
414781.0,13397.0,414781.0,43399.0,414781.0,65104.0,137.75497548144767,343.17077595228716,624.7500620514772
414781.0,13425.0,414781.0,43449.0,414781.0,65142.0,166.09177780659337,365.67924431738675,669.5198744319921
414781.0,13460.0,414781.0,43497.0,414781.0,65189.0,194.1554969547234,387.75120022516444,713.4821436171544
414781.0,13503.0,414781.0,43515.0,414781.0,65255.0,221.90315989274683,409.3508868801907,756.5695365790968
414791.0,13523.0,414791.0,43574.0,414791.0,65318.0,249.2933509512983,430.4439916076435,798.7176578113692
414791.0,13557.0,414791.0,43567.0,414791.0,65375.0,276.28640054794425,450.9981187851499,839.8655257438202
414791.0,13583.0,414791.0,43582.0,414791.0,65381.0,302.844482389371,470.98304049830085,879.9560635935864
414791.0,13623.0,414791.0,43648.0,414791.0,65482.0,328.93168722067435,490.3707158481619,918.9363435417085
414791.0,13650.0,414791.0,43675.0,414791.0,65475.0,354.5141674385983,509.13547856089997,956.7577419085103
414791.0,13667.0,414791.0,43672.0,414791.0,65529.0,379.56030516314433,527.2545314179732,993.3761082282456
414801.0,13686.0,414801.0,43674.0,414801.0,65540.0,404.0407591570753,544.7082120507474,1028.7517332623677
414801.0,13707.0,414801.0,43686.0,414801.0,65556.0,427.9283511451148,561.4797637061732,1062.8490769112693
414801.0,13727.0,414801.0,43677.0,414801.0,65627.0,451.19790176759534,577.5549050630027,1095.6364414755913
414801.0,13766.0,414801.0,43672.0,414801.0,65622.0,473.82613645252434,592.921361545934,1127.0858140342384
414801.0,13789.0,414801.0,43729.0,414801.0,65677.0,495.79174095016515,607.5684132496524,1157.1728789717579
414801.0,13803.0,414801.0,43736.0,414801.0,65689.0,517.0755166930475,621.4867654583993,1185.8770052662876
414812.0,13831.0,414812.0,43737.0,414812.0,65734.0,537.6604707281008,634.6687684202182,1213.1812214715562
414812.0,13839.0,414812.0,43757.0,414812.0,65746.0,557.5318003698078,647.1085536023688,1239.0722458469484
414812.0,13854.0,414812.0,43772.0,414812.0,65766.0,576.6768176489834,658.8019854900227,1263.5404851690982
414812.0,13882.0,414812.0,43801.0,414812.0,65783.0,595.0848322537663,669.7467063679268,1286.5799176627359
414812.0,13896.0,414812.0,43806.0,414812.0,65798.0,612.7470864684967,679.9423511206454,1308.187890722421
414812.0,13918.0,414812.0,43819.0,414812.0,65828.0,629.6567910292224,689.390776300545,1328.3649408828226
414822.0,13925.0,414822.0,43787.0,414822.0,65812.0,645.8091690910122,698.0960990792164,1347.114656366563
414822.0,13935.0,414822.0,43772.0,414822.0,65839.0,661.2014194858621,706.0643618660565,1364.4434607756534
414822.0,13942.0,414822.0,43795.0,414822.0,65868.0,675.8325771681857,713.3029054393625,1380.360354243301
