c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
310550.0,4815.0,310550.0,10079.0,310550.0,25272.0,-117.40880209017183,-40.011043735523806,-98.96742272248115
310550.0,4818.0,310550.0,10054.0,310550.0,25268.0,-118.9020022988889,-46.239997318778435,-109.08617665312937
310550.0,4772.0,310550.0,10023.0,310550.0,25233.0,-120.64885689156694,-52.62863466237708,-119.47149253159165
310550.0,4780.0,310550.0,10018.0,310550.0,25213.0,-122.66774365102056,-59.16678377971219,-130.10945049290385
310550.0,4801.0,310550.0,10005.0,310550.0,25222.0,-124.97680579622566,-65.84502868123084,-140.9860151314569
310550.0,4929.0,310550.0,10054.0,310550.0,25214.0,-127.59377926632162,-72.65488309109496,-152.08720765242867
310560.0,4949.0,310560.0,10043.0,310560.0,25179.0,-130.53466754887987,-79.58847814108891,-163.39905206412303
310560.0,5033.0,310560.0,10014.0,310560.0,25140.0,-133.81163788549895,-86.63802740387469,-174.90768239352772
310560.0,4972.0,310560.0,10025.0,310560.0,25138.0,-137.43110165415027,-93.79559569275345,-186.59980767640658
310560.0,4887.0,310560.0,10012.0,310560.0,25171.0,-141.3928872089381,-101.05316783716356,-198.4631020921808
310560.0,4785.0,310560.0,10054.0,310560.0,25200.0,-145.69109185779638,-108.40257854697877,-210.4859520083886
310560.0,4744.0,310560.0,9998.0,310560.0,25167.0,-150.31627298850898,-115.8351963707718,-222.65663926368472
310571.0,4712.0,310571.0,9982.0,310571.0,25165.0,-155.25781082267127,-123.3417627116247,-234.96264913898128
310571.0,4691.0,310571.0,9944.0,310571.0,25109.0,-160.50561132378368,-130.91274235515147,-247.39054659983884
310571.0,4676.0,310571.0,9908.0,310571.0,25068.0,-166.05112933952492,-138.53904212172444,-259.92638883925275
310571.0,4693.0,310571.0,9961.0,310571.0,25082.0,-171.8879389439822,-146.21267296306812,-272.5564317061195
310571.0,4782.0,310571.0,9928.0,310571.0,25076.0,-178.0117095888284,-153.92693688118882,-285.2676204874341
310571.0,4847.0,310571.0,9971.0,310571.0,25035.0,-184.4191794845537,-161.67610249937408,-298.0476307329588
310581.0,4881.0,310581.0,9938.0,310581.0,24998.0,-191.10623160190462,-169.45493782215536,-310.884949281907
310581.0,4876.0,310581.0,9872.0,310581.0,24995.0,-198.06593452860287,-177.2585172610598,-323.76932777787437
310581.0,4827.0,310581.0,9886.0,310581.0,24999.0,-205.28740437359284,-185.08261474969953,-336.6922204877522
310581.0,4746.0,310581.0,9964.0,310581.0,25058.0,-212.7558522289707,-192.92418122365973,-349.6466785638808
310581.0,4646.0,310581.0,10009.0,310581.0,25021.0,-220.4538337315609,-200.7808198663591,-362.62662412844577
310581.0,4628.0,310581.0,9973.0,310581.0,25026.0,-228.36330251391405,-208.649334105847,-375.6260224860012
310591.0,4613.0,310591.0,9887.0,310591.0,24991.0,-236.46756550532658,-216.52475291442977,-388.6385010990603
310591.0,4600.0,310591.0,9901.0,310591.0,24951.0,-244.75242626895863,-224.40067943913618,-401.65745802727577
310591.0,4582.0,310591.0,9821.0,310591.0,24951.0,-253.20665450955687,-232.2703499369239,-414.67646980769433
310591.0,4606.0,310591.0,9860.0,310591.0,24924.0,-261.822190992548,-240.1275674157891,-427.6897298319254
310591.0,4729.0,310591.0,9857.0,310591.0,24925.0,-270.5938453910701,-247.9671904412824,-440.692284696188
310591.0,4753.0,310591.0,9847.0,310591.0,24921.0,-279.5179146193601,-255.78509028253418,-453.68006870955105
310602.0,4806.0,310602.0,9828.0,310602.0,24891.0,-288.59000718568177,-263.57792059523695,-466.6498298115086
310602.0,4770.0,310602.0,9808.0,310602.0,24888.0,-297.8031240225448,-271.3431470180028,-479.59910083427917
310602.0,4694.0,310602.0,9851.0,310602.0,24873.0,-307.1467852123212,-279.0792092973334,-492.52627692757676
310602.0,4589.0,310602.0,9927.0,310602.0,24951.0,-316.6075812821123,-286.78520688653674,-505.4304956700354
310602.0,4540.0,310602.0,9807.0,310602.0,24896.0,-326.17098952627214,-294.4599765340686,-518.3110143428369
310602.0,4537.0,310602.0,9816.0,310602.0,24884.0,-335.82349652652294,-302.10158792357106,-531.1664911689209
310612.0,4503.0,310612.0,9789.0,310612.0,24840.0,-345.5540437862642,-309.70785440446355,-543.994870755567
310612.0,4484.0,310612.0,9797.0,310612.0,24827.0,-355.35473820635127,-317.2770190310158,-556.7938333125938
310612.0,4507.0,310612.0,9757.0,310612.0,24822.0,-365.2212446322553,-324.8080452857927,-569.5612876143722
310612.0,4577.0,310612.0,9795.0,310612.0,24782.0,-375.1527170393691,-332.3007452660713,-582.2956669530311
310612.0,4661.0,310612.0,9786.0,310612.0,24793.0,-385.1507504303423,-339.75574536519446,-594.9961232605249
310612.0,4713.0,310612.0,9747.0,310612.0,24749.0,-395.21734134700887,-347.1742651715724,-607.6627186094147
310622.0,4718.0,310622.0,9749.0,310622.0,24750.0,-405.352565274831,-354.5580940727529,-620.2966201885035
310622.0,4651.0,310622.0,9769.0,310622.0,24750.0,-415.5529584804193,-361.90978778657944,-632.9002602985338
310622.0,4576.0,310622.0,9791.0,310622.0,24806.0,-425.81129843649296,-369.23255657222484,-645.4771881282388
310622.0,4469.0,310622.0,9806.0,310622.0,24803.0,-436.117831519192,-376.529662907302,-658.0313481298793
310622.0,4444.0,310622.0,9799.0,310622.0,24768.0,-446.4623673892303,-383.8036685193533,-670.5661390397522
310622.0,4421.0,310622.0,9740.0,310622.0,24741.0,-456.8363033644789,-391.0559981541752,-683.0839819648871
