c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69873.0,14698.0,69873.0,49671.0,69873.0,71745.0,196.43246353960404,190.48955341581924,318.85007470012187
69873.0,14700.0,69873.0,49710.0,69873.0,71775.0,197.69047616118215,194.00292055168777,322.75411206092735
69883.0,14694.0,69883.0,49742.0,69883.0,71762.0,199.02885035570162,197.6422282678064,326.8342924064687
69883.0,14699.0,69883.0,49679.0,69883.0,71723.0,200.45160103128424,201.40056423643435,331.09485017856036
69883.0,14693.0,69883.0,49742.0,69883.0,71734.0,201.9624787805105,205.27176791094317,335.5396648984196
69883.0,14699.0,69883.0,49731.0,69883.0,71749.0,203.56494802376506,209.25040959171534,340.17179235758215
69883.0,14693.0,69883.0,49717.0,69883.0,71766.0,205.26217458825346,213.33190762330372,344.99333612657244
69883.0,14689.0,69883.0,49760.0,69883.0,71748.0,207.05699630202923,217.5126624744203,350.0056592837005
69894.0,14699.0,69894.0,49718.0,69894.0,71753.0,208.95186435831593,221.79009654254597,355.20951131422856
69894.0,14672.0,69894.0,49666.0,69894.0,71731.0,210.9487715482125,226.1625006375828,360.6048799044451
69894.0,14678.0,69894.0,49675.0,69894.0,71733.0,213.04910657203737,230.6283432003239,366.190666769624
69894.0,14689.0,69894.0,49670.0,69894.0,71759.0,215.25345055611913,235.18534790113034,371.96438786730516
69894.0,14700.0,69894.0,49687.0,69894.0,71746.0,217.56154036397984,239.82998726791763,377.9221024294296
69894.0,14692.0,69894.0,49713.0,69894.0,71739.0,219.9724432045149,244.55747337324604,384.05846363771536
69904.0,14701.0,69904.0,49733.0,69904.0,71774.0,222.4847158875737,249.36208379791526,390.3666664372942
69904.0,14688.0,69904.0,49687.0,69904.0,71805.0,225.09643340285956,254.2375619629468,396.8385274110599
69904.0,14699.0,69904.0,49742.0,69904.0,71772.0,227.80513746042973,259.1772297650908,403.4648770425928
69904.0,14713.0,69904.0,49740.0,69904.0,71842.0,230.60781433532082,264.1739685415951,410.23594083263856
69904.0,14716.0,69904.0,49772.0,69904.0,71785.0,233.50101947042103,269.22048546299584,417.14156789989835
69904.0,14715.0,69904.0,49721.0,69904.0,71813.0,236.48108822145898,274.30967737528476,424.1713235675001
69914.0,14699.0,69914.0,49728.0,69914.0,71786.0,239.54422036272908,279.4345944901932,431.3143167441452
69914.0,14699.0,69914.0,49695.0,69914.0,71761.0,242.68634133244353,284.58794344251714,438.5587948192584
69914.0,14691.0,69914.0,49722.0,69914.0,71781.0,245.90283748009256,289.7614881425492,445.89160559120364
69914.0,14707.0,69914.0,49749.0,69914.0,71807.0,249.18833746616977,294.9457513858436,453.2977836275753
69914.0,14720.0,69914.0,49751.0,69914.0,71823.0,252.536681625703,300.13018748240887,460.76061361328806
69914.0,14720.0,69914.0,49775.0,69914.0,71858.0,255.94109768268737,305.30360157767745,468.2620902203552
69925.0,14718.0,69925.0,49786.0,69925.0,71853.0,259.3944069490836,310.4545387520791,475.7834674299791
69925.0,14724.0,69925.0,49790.0,69925.0,71860.0,262.8890952799776,315.5716189703289,483.3056692006835
69925.0,14734.0,69925.0,49790.0,69925.0,71870.0,266.4173198450379,320.6437777711968,490.8094507782484
69925.0,14747.0,69925.0,49840.0,69925.0,71924.0,269.97100778394764,325.6604312750662,498.27553386887365
69925.0,14737.0,69925.0,49794.0,69925.0,71885.0,273.54204092621967,330.6117216894185,505.68496318677063
69925.0,14726.0,69925.0,49746.0,69925.0,71855.0,277.12233660497014,335.48854414217453,513.0193126323106
69935.0,14741.0,69935.0,49785.0,69935.0,71889.0,280.7037256639419,340.28196660992285,520.2603288742083
69935.0,14740.0,69935.0,49782.0,69935.0,71874.0,284.27781612509784,344.98257143114546,527.3894419620458
69935.0,14717.0,69935.0,49763.0,69935.0,71881.0,287.83594396784105,349.58027319836094,534.3875887813807
69935.0,14748.0,69935.0,49791.0,69935.0,71915.0,291.3690696323413,354.06429561470134,541.2352143664432
69935.0,14753.0,69935.0,49832.0,69935.0,71923.0,294.86771564240354,358.4232003851253,547.9124435911419
69935.0,14753.0,69935.0,49818.0,69935.0,71927.0,298.32212979774243,362.64527002157365,554.3994461283362
69945.0,14756.0,69945.0,49798.0,69945.0,71899.0,301.7224921057128,366.7189433937585,560.6766573549772
69945.0,14756.0,69945.0,49810.0,69945.0,71947.0,305.05897958336834,370.6328045423232,566.7246959678945
69945.0,14774.0,69945.0,49872.0,69945.0,71962.0,308.3217884073099,374.37544487333105,572.5243634469484
69945.0,14789.0,69945.0,49870.0,69945.0,71958.0,311.50127562439434,377.9358345478937,578.0570012152972
69945.0,14769.0,69945.0,49821.0,69945.0,71970.0,314.58820859530607,381.3039403480057,583.3048843425809
69945.0,14758.0,69945.0,49828.0,69945.0,71943.0,317.5738553494258,384.4707748125566,588.2513306180808
69956.0,14770.0,69956.0,49802.0,69956.0,71931.0,320.4497846067886,387.4278506583736,592.8805073512071
69956.0,14761.0,69956.0,49818.0,69956.0,71940.0,323.2076327624875,390.16662968307077,597.177029531445
69956.0,14778.0,69956.0,49817.0,69956.0,71955.0,325.8390384559042,392.67824165605276,601.1256493731795
69956.0,14782.0,69956.0,49835.0,69956.0,71980.0,328.3357146400942,394.95346740662984,604.7113230892453
