c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172999,1621,172999,65731,172999.0,89922.0,-132.71265316618664,-231.66313963046593,-408.7799555065243
172999,1616,172999,65746,172999.0,89903.0,-136.63319054463574,-240.0176319230477,-421.6994686904475
173008,1617,173008,65709,173008.0,89886.0,-140.63101625602366,-248.51730933659908,-434.94182067088826
173008,1596,173008,65667,173008.0,89844.0,-144.70258251876288,-257.15393768781394,-448.49668788801705
173008,1596,173008,65680,173008.0,89851.0,-148.8445150384808,-265.9198356714302,-462.35427513987906
173008,1597,173008,65687,173008.0,89841.0,-153.05375982714204,-274.808292821089,-476.50559656912503
173008,1601,173008,65700,173008.0,89873.0,-157.327624607198,-283.8134977036116,-490.9424030357294
173008,1595,173008,65743,173008.0,89789.0,-161.66367644836492,-292.92999073104977,-505.65685532806015
173019,1593,173019,65593,173019.0,89802.0,-166.05962321890001,-302.1521254518858,-520.6414595282749
173019,1570,173019,65604,173019.0,89775.0,-170.51329833030158,-311.4743621537534,-535.8893922797046
173019,1567,173019,65624,173019.0,89763.0,-175.0227994421935,-320.892325149479,-551.3947871673948
173019,1577,173019,65655,173019.0,89778.0,-179.58668000985105,-330.4033085009464,-567.1527719621733
173019,1585,173019,65673,173019.0,89786.0,-184.20395695927976,-340.0056940324776,-583.1592387033148
173019,1571,173019,65640,173019.0,89756.0,-188.87390013329286,-349.69804264271903,-599.4103710650663
173029,1558,173029,65601,173029.0,89722.0,-193.59587471976153,-359.478658344344,-615.9023156735168
173029,1561,173029,65599,173029.0,89710.0,-198.36939858416383,-369.34582543143824,-632.6312970105898
173029,1566,173029,65602,173029.0,89709.0,-203.1942344161361,-379.2982452783117,-649.5938947316004
173029,1564,173029,65648,173029.0,89718.0,-208.07032040457176,-389.33504546985887,-666.7870463934901
173029,1567,173029,65612,173029.0,89658.0,-212.9975900423093,-399.4552560719601,-684.2077979641625
173029,1551,173029,65590,173029.0,89661.0,-217.97582474789402,-409.657281264812,-701.8532231451175
173039,1539,173039,65547,173039.0,89639.0,-223.00464251744614,-419.938935038941,-719.7206107648958
173039,1542,173039,65559,173039.0,89626.0,-228.08362666092057,-430.29793981937564,-737.8076026121503
173039,1532,173039,65566,173039.0,89617.0,-233.21245297341045,-440.7322951347186,-756.1121765604446
173039,1542,173039,65549,173039.0,89654.0,-238.39090404884269,-451.2402067718192,-774.6324629178018
173039,1538,173039,65566,173039.0,89606.0,-243.61877681701884,-461.8197970648047,-793.3662827643616
173039,1537,173039,65515,173039.0,89592.0,-248.89572783358352,-472.46889588854435,-812.3106896399432
173050,1515,173050,65504,173050.0,89573.0,-254.22116965894185,-483.1850905059532,-831.4618910665217
173050,1517,173050,65495,173050.0,89545.0,-259.5943235710422,-493.96604445636865,-850.8154042945553
173050,1517,173050,65548,173050.0,89557.0,-265.0143395867811,-504.8096686740814,-870.3661549788112
173050,1524,173050,65552,173050.0,89551.0,-270.48028953930543,-515.7136774339132,-890.1083631001943
173050,1505,173050,65533,173050.0,89533.0,-275.99102716724246,-526.6747356152331,-910.0351899906295
173050,1512,173050,65472,173050.0,89507.0,-281.5450872624602,-537.687964355056,-930.1384056857534
