c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35154,11704,35154.0,31234.0,35154.0,32326.0,-376.5766059819821,-193.58173246466197,-325.7932305649026
35154,11704,35154.0,31325.0,35154.0,32464.0,-362.95663307720577,-134.85972634088046,-245.9886431771613
35154,11731,35154.0,31456.0,35154.0,32602.0,-348.7667418747635,-75.34638038521973,-165.00022272953652
35154,11770,35154.0,31554.0,35154.0,32734.0,-334.01941936096796,-15.205400409186382,-83.03753352490617
35164,11775,35164.0,31661.0,35164.0,32868.0,-318.72841964145516,45.397854013338815,-0.31295950295429975
35164,11791,35164.0,31768.0,35164.0,33003.0,-302.90854550688107,106.29786300431351,82.95988683988298
35164,11843,35164.0,31909.0,35164.0,33159.0,-286.5755466672123,167.3304170561372,166.5677575841803
35164,11854,35164.0,32009.0,35164.0,33299.0,-269.74594394550786,228.3342766814891,250.29949896703852
35164,11861,35164.0,32060.0,35164.0,33393.0,-252.43675261249842,289.1528280113997,333.9478150125474
35164,11862,35164.0,32111.0,35164.0,33510.0,-234.6654503812565,349.6351202877223,417.3106794310669
35175,11869,35175.0,32191.0,35175.0,33592.0,-216.45030485926884,409.6361102004254,500.19222035135203
35175,11883,35175.0,32248.0,35175.0,33722.0,-197.81084132316727,469.01662590837236,582.4033029808031
35175,11916,35175.0,32314.0,35175.0,33824.0,-178.76821344031464,527.6434318550462,663.7621281848506
35175,11922,35175.0,32406.0,35175.0,33922.0,-159.3453670155559,585.3893948424061,744.0949644113839
35175,11985,35175.0,32499.0,35175.0,34037.0,-139.5670203564335,642.1338690073235,823.2368873023499
35175,12009,35175.0,32575.0,35175.0,34150.0,-119.45943420256651,697.7634252382734,901.0325083291675
35185,12025,35185.0,32627.0,35185.0,34228.0,-99.05001291678803,752.1726678747418,977.3367726652534
35185,12074,35185.0,32731.0,35185.0,34332.0,-78.36698095870616,805.264852964631,1052.0156754967072
35185,12114,35185.0,32821.0,35185.0,34439.0,-57.4391175654618,856.9525118341553,1124.9468367055863
35185,12132,35185.0,32841.0,35185.0,34479.0,-36.295360522060776,907.1582652313291,1196.0200455195527
35185,12139,35185.0,32860.0,35185.0,34551.0,-14.964476415226216,955.8153168465938,1265.1375605290668
35185,12160,35185.0,32870.0,35185.0,34565.0,6.524928340806525,1002.8671106451006,1332.2138752066044
35196,12165,35196.0,32871.0,35196.0,34618.0,28.144141637320388,1048.2663403649672,1397.175008767544
35196,12210,35196.0,32889.0,35196.0,34652.0,49.86406267034971,1091.973713726987,1459.9575599099153
35196,12221,35196.0,32942.0,35196.0,34690.0,71.65506666398619,1133.9567946813936,1520.5077525057482
35196,12258,35196.0,32984.0,35196.0,34764.0,93.48702838426198,1174.1892771119794,1578.780625073758
35196,12287,35196.0,33026.0,35196.0,34833.0,115.32941636312029,1212.6507699888848,1634.7395479280544
35196,12335,35196.0,33063.0,35196.0,34879.0,137.15148107070695,1249.3268135352632,1688.356158516654
