c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138528,16676,138528.0,37269.0,138528.0,37603.0,-10.545598539467989,486.7353065520025,609.0429683834863
138528,16701,138528.0,37267.0,138528.0,37591.0,5.437603537126336,489.8749063807861,619.4841685800855
138528,16706,138528.0,37236.0,138528.0,37610.0,21.730665613811738,492.95005307877915,629.8880322298038
138528,16725,138528.0,37225.0,138528.0,37601.0,38.302642289563664,495.95832463775184,640.228983521078
138538,16733,138538.0,37182.0,138538.0,37612.0,55.12134389358647,498.8958657060884,650.4802173326523
138538,16776,138538.0,37209.0,138538.0,37623.0,72.15327388339819,501.75671260631077,660.6136266894817
138538,16788,138538.0,37206.0,138538.0,37646.0,89.36371835563412,504.5323415500594,670.5998367883485
138538,16833,138538.0,37246.0,138538.0,37673.0,106.71700899165157,507.2116952359817,680.4084537581565
138538,16853,138538.0,37281.0,138538.0,37712.0,124.17688163500844,509.7816881045622,690.0085614795095
138538,16891,138538.0,37272.0,138538.0,37714.0,141.70688510667327,512.2280064410361,699.3693925615866
138549,16900,138549.0,37311.0,138549.0,37740.0,159.27077464511422,514.5358799431426,708.4609579287838
138549,16952,138549.0,37322.0,138549.0,37766.0,176.832838530699,516.6907017569616,717.2545348165172
138549,16975,138549.0,37366.0,138549.0,37804.0,194.3582562023426,518.6787099364159,725.7232043660439
138549,16991,138549.0,37346.0,138549.0,37776.0,211.8135315164331,520.4877712605482,733.8424822358436
138549,16994,138549.0,37300.0,138549.0,37759.0,229.16678168663947,522.1078711940926,741.5906423962854
138549,16996,138549.0,37277.0,138549.0,37753.0,246.38768871082607,523.5308793255772,748.9484596697162
138559,17006,138559.0,37265.0,138559.0,37743.0,263.4471891969382,524.74976262405,755.8986692065989
138559,17032,138559.0,37260.0,138559.0,37743.0,280.317134278561,525.7578478285574,762.4255158886317
138559,17050,138559.0,37255.0,138559.0,37768.0,296.97013103352833,526.548414502942,768.5145115981825
138559,17084,138559.0,37282.0,138559.0,37753.0,313.379614890294,527.1145805262937,774.1524393169343
138559,17118,138559.0,37292.0,138559.0,37773.0,329.52010736436364,527.4494984500907,779.3274952407578
138559,17151,138559.0,37289.0,138559.0,37779.0,345.36764176907815,527.5467981811569,784.0294377943172
138569,17135,138569.0,37311.0,138569.0,37784.0,360.9002039192029,527.4010353824874,788.2497884444336
138569,17177,138569.0,37342.0,138569.0,37828.0,376.0979234926251,527.0081376939377,791.9821514212575
138569,17188,138569.0,37334.0,138569.0,37804.0,390.9430794963922,526.3660169074278,795.2226728513488
138569,17193,138569.0,37273.0,138569.0,37771.0,405.42015927897796,525.4750517557533,797.970384514009
138569,17189,138569.0,37238.0,138569.0,37745.0,419.515856312184,524.3378524751565,800.2269931942869
138569,17190,138569.0,37235.0,138569.0,37737.0,433.21881094731964,522.9583678421552,801.9961986372446
138580,17204,138580.0,37200.0,138580.0,37728.0,446.519209933363,521.3410024346284,803.2830459829952
138580,17207,138580.0,37187.0,138580.0,37721.0,459.4084575618955,519.49001922502,804.0935473206023
138580,17232,138580.0,37209.0,138580.0,37724.0,471.87899566395674,517.4091221380149,804.4345033955353
138580,17253,138580.0,37235.0,138580.0,37734.0,483.9242889313366,515.1014106909539,804.3134888499833
138580,17260,138580.0,37229.0,138580.0,37722.0,495.53896771384905,512.5698482549072,803.7390007737617
138580,17282,138580.0,37216.0,138580.0,37714.0,506.71900910483635,509.81784110916914,802.7206225855721
138590,17280,138590.0,37231.0,138590.0,37734.0,517.4618472073167,506.8495396305879,801.2691017791751
138590,17314,138590.0,37285.0,138590.0,37731.0,527.766436995056,503.67011648679875,799.3965071643445
138590,17304,138590.0,37214.0,138590.0,37682.0,537.6333366104842,500.28633334257836,797.1164490597963
138590,17303,138590.0,37171.0,138590.0,37661.0,547.0647393274114,496.70684545280824,794.4439532534118
138590,17291,138590.0,37136.0,138590.0,37636.0,556.0642790990489,492.94161049694856,791.3948790083522
