c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104186,9941,104186,8656,104186.0,31529.0,-808.5399831204486,-341.23680915471664,-643.0710096507825
104186,9930,104186,8638,104186.0,31527.0,-816.7037568546936,-348.1136107917777,-657.4006742844424
104186,9912,104186,8635,104186.0,31495.0,-825.2902526781402,-355.14925004970013,-672.0112007718739
104186,9907,104186,8608,104186.0,31478.0,-834.3154756619768,-362.3312168443797,-686.8783421361061
104186,9908,104186,8620,104186.0,31438.0,-843.7941633621807,-369.64657881956066,-701.9768362349403
104186,10001,104186,8568,104186.0,31417.0,-853.7396760890883,-377.0821997204003,-717.2808637503774
104196,10136,104196,8589,104196.0,31401.0,-864.162879224796,-384.62501426605183,-732.7645535575228
104196,10115,104196,8619,104196.0,31404.0,-875.0697945636022,-392.2622000683473,-748.4023278572422
104196,10074,104196,8620,104196.0,31396.0,-886.4592730311053,-399.9808847727234,-764.1689421958573
104196,9999,104196,8620,104196.0,31413.0,-898.3222509206016,-407.7675163333755,-780.0392495290159
104196,9897,104196,8628,104196.0,31428.0,-910.6427414707675,-415.60735420528465,-795.9877316466378
104196,9802,104196,8592,104196.0,31400.0,-923.3999063791036,-423.4842114158731,-811.9878777027157
104206,9778,104206,8584,104206.0,31360.0,-936.5705560997096,-431.38046418606245,-828.0117769744411
104206,9771,104206,8554,104206.0,31365.0,-950.1312296010974,-439.27734986040946,-844.0302039606066
104206,9722,104206,8541,104206.0,31325.0,-964.059344324831,-447.1554080041474,-860.0129275666386
104206,9744,104206,8540,104206.0,31328.0,-978.3337348042609,-454.9948892039399,-875.9289356886109
104206,9786,104206,8567,104206.0,31264.0,-992.9347931513464,-462.7759257767208,-891.7466550934028
104206,9912,104206,8504,104206.0,31250.0,-1007.8437102129567,-470.47842050043863,-907.4343659159691
104217,9954,104217,8472,104217.0,31244.0,-1023.0404638923403,-478.0821316043632,-922.9607551231074
104217,9943,104217,8515,104217.0,31261.0,-1038.5012595226922,-485.5671995349089,-938.2952112897046
104217,9882,104217,8515,104217.0,31252.0,-1054.196791002539,-492.9144523677569,-953.4076249206137
104217,9796,104217,8565,104217.0,31254.0,-1070.0921026138103,-500.10498255327093,-968.2679381542871
104217,9681,104217,8589,104217.0,31302.0,-1086.1479108109518,-507.11922834721827,-982.8456330320754
104217,9651,104217,8496,104217.0,31236.0,-1102.3227981902796,-513.93609683367,-997.1091168141597
104227,9625,104227,8510,104227.0,31245.0,-1118.5753621110466,-520.532821292657,-1011.0252927032374
104227,9595,104227,8498,104227.0,31226.0,-1134.8655887139303,-526.8855414540094,-1024.5595800844567
104227,9593,104227,8476,104227.0,31203.0,-1151.1555224574795,-532.9698221666494,-1037.676100007796
104227,9595,104227,8464,104227.0,31194.0,-1167.4095441037086,-538.7609270888914,-1050.3378408459203
104227,9671,104227,8412,104227.0,31156.0,-1183.5941511172782,-544.2342164987839,-1062.5069064686825
104227,9806,104227,8449,104227.0,31137.0,-1199.676753918629,-549.3657104914267,-1074.144894670814
104237,9793,104237,8456,104237.0,31130.0,-1215.623308981819,-554.1324277754254,-1085.2133605253816
104237,9771,104237,8449,104237.0,31120.0,-1231.3958482633693,-558.5122296615004,-1095.6741817387929
104237,9705,104237,8486,104237.0,31132.0,-1246.9513449533551,-562.483424974681,-1105.4896815363663
104237,9613,104237,8464,104237.0,31175.0,-1262.2421818974753,-566.0243835033384,-1114.6224313831483
104237,9519,104237,8462,104237.0,31126.0,-1277.217748501192,-569.1132396399266,-1123.0347428546304
104237,9491,104237,8462,104237.0,31122.0,-1291.8266192040273,-571.7278326233651,-1130.6882869939263
104248,9474,104248,8446,104248.0,31109.0,-1306.0185096892396,-573.8458233790323,-1137.5442127162403
104248,9455,104248,8389,104248.0,31065.0,-1319.745427607669,-575.4449724804623,-1143.5635611022008
104248,9450,104248,8438,104248.0,31080.0,-1332.9621610800853,-576.5036892295967,-1148.707768386304
104248,9493,104248,8415,104248.0,31073.0,-1345.6263736483859,-577.001508535227,-1152.939121278365
104248,9634,104248,8376,104248.0,31009.0,-1357.6979529853515,-576.9192777190661,-1156.2210869311696
104248,9675,104248,8388,104248.0,31022.0,-1369.1370946479205,-576.2394869794775,-1158.518830416647
104258,9667,104258,8400,104258.0,31034.0,-1379.9017070493385,-574.9467684100631,-1159.799892549544
104258,9618,104258,8396,104258.0,31040.0,-1389.9456405640735,-573.0281027254962,-1160.0344908664852
104258,9528,104258,8460,104258.0,31051.0,-1399.2185597283124,-570.4726572859972,-1159.1953962338707
104258,9415,104258,8477,104258.0,31090.0,-1407.6673143208684,-567.2712801268987,-1157.2576713890653
104258,9375,104258,8445,104258.0,31074.0,-1415.2383029775665,-563.41579808035,-1154.1983188419563
104258,9379,104258,8449,104258.0,31072.0,-1421.8798778524863,-558.898712239729,-1149.9960129843441
104268,9362,104268,8436,104268.0,31057.0,-1427.5438469481446,-553.713495428075,-1144.6312126127273
104268,9355,104268,8455,104268.0,31073.0,-1432.1860777810814,-547.8550385966864,-1138.0865715770633
104268,9368,104268,8456,104268.0,31088.0,-1435.7667624703454,-541.3199104209453,-1130.3472940292381
104268,9460,104268,8437,104268.0,31064.0,-1438.250353763039,-534.106501081826,-1121.4013154243034
104268,9601,104268,8438,104268.0,31053.0,-1439.604515577817,-526.2153033024093,-1111.239599135773
104268,9614,104268,8451,104268.0,31084.0,-1439.7978301948824,-517.6493529452819,-1099.856700844132
104279,9586,104279,8470,104279.0,31102.0,-1438.7973863262735,-508.4145377320098,-1087.2512184975385
104279,9537,104279,8541,104279.0,31125.0,-1436.5677770131556,-498.5195068500536,-1073.425840643222
104279,9459,104279,8536,104279.0,31204.0,-1433.071799839498,-487.9751245917728,-1058.3870720940135
104279,9367,104279,8567,104279.0,31188.0,-1428.2723060967357,-476.7937834494654,-1042.1446975537583
104279,9369,104279,8558,104279.0,31213.0,-1422.134619265341,-464.9890174905283,-1024.7112764318542
104279,9386,104279,8569,104279.0,31222.0,-1414.6286517549245,-452.5754925158882,-1006.1020672030012
104289,9372,104289,8573,104289.0,31259.0,-1405.7300369736402,-439.5692167358301,-986.3352210292803
104289,9398,104289,8592,104289.0,31269.0,-1395.4205609951296,-425.9878055386422,-965.431896065391
104289,9443,104289,8605,104289.0,31290.0,-1383.688341837249,-411.85066019125475,-943.4163120895895
104289,9621,104289,8604,104289.0,31296.0,-1370.527366358418,-397.17907608549416,-920.315916783958
104289,9707,104289,8649,104289.0,31328.0,-1355.935691027232,-381.99635477435095,-896.1616851328084
104289,9707,104289,8668,104289.0,31389.0,-1339.9127580685806,-366.32780172932684,-870.9883324804543
104299,9700,104299,8701,104299.0,31437.0,-1322.457470333232,-350.2004896631639,-844.834136681243
104299,9660,104299,8749,104299.0,31494.0,-1303.5679558370646,-333.6428655240298,-817.7403479783799
104299,9586,104299,8746,104299.0,31552.0,-1283.242682020485,-316.68430147329343,-789.7504261970009
104299,9569,104299,8774,104299.0,31555.0,-1261.4824077669496,-299.354767016109,-760.909348791
104299,9576,104299,8787,104299.0,31576.0,-1238.2923660808444,-281.6847629954227,-731.2632979686778
