c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69610,14572,69610.0,34400.0,69610.0,35563.0,283.1330675363824,366.47698475362375,562.6091216956298
69610,14574,69610.0,34409.0,69610.0,35551.0,281.30155594680156,352.8473460510943,544.808246801406
69620,14578,69620.0,34387.0,69620.0,35529.0,279.3474282432336,338.8931235110848,526.5022147493814
69620,14577,69620.0,34401.0,69620.0,35530.0,277.2692231422823,324.6348332759493,507.7216404992222
69620,14601,69620.0,34423.0,69620.0,35521.0,275.0660068666207,310.0949075840949,488.49928872912756
69620,14598,69620.0,34406.0,69620.0,35487.0,272.7377115414442,295.29839330669216,468.87047558927264
69620,14568,69620.0,34322.0,69620.0,35434.0,270.2854716584469,280.27353415641846,448.8732885373698
69620,14552,69620.0,34265.0,69620.0,35361.0,267.7116388576719,265.05153756763013,428.548287170617
69630,14535,69630.0,34217.0,69630.0,35329.0,265.0194163013638,249.66547271810362,407.9376838215661
69630,14523,69630.0,34162.0,69630.0,35281.0,262.21239588673706,234.14894021093244,387.08438711777734
69630,14510,69630.0,34131.0,69630.0,35256.0,259.29418438066244,218.5349312713023,366.0312693926044
69630,14515,69630.0,34144.0,69630.0,35227.0,256.26814264906955,202.85501704491315,344.82071727681614
69630,14514,69630.0,34164.0,69630.0,35219.0,253.137288459591,187.13916442470656,323.49443170686374
69630,14517,69630.0,34132.0,69630.0,35200.0,249.90438298581068,171.41621988144527,302.09348609499557
69641,14529,69641.0,34141.0,69641.0,35188.0,246.57214222509668,155.71454629676322,280.65858261855084
69641,14529,69641.0,34162.0,69641.0,35182.0,243.14353680905742,140.06253055657527,259.23040815252864
69641,14538,69641.0,34154.0,69641.0,35152.0,239.62214570937385,124.48922000952683,237.85002983033587
69641,14522,69641.0,34091.0,69641.0,35096.0,236.01247064522323,109.0249836493989,216.5591508186899
69641,14496,69641.0,34032.0,69641.0,35037.0,232.32006131573343,93.70156162449393,195.39991938965932
69641,14464,69641.0,33978.0,69641.0,35000.0,228.55129548300164,78.55127543216014,174.41425755907835
69651,14463,69651.0,33952.0,69651.0,34965.0,224.7128703916773,63.60587537488999,153.64307219994498
69651,14438,69651.0,33894.0,69651.0,34929.0,220.81129471482308,48.89552612531173,133.12566500349908
69651,14443,69651.0,33882.0,69651.0,34903.0,216.85255687805198,34.44800831037031,112.89934401604955
69651,14458,69651.0,33914.0,69651.0,34898.0,212.84200598163042,20.288222167033155,92.99919905459365
69651,14449,69651.0,33918.0,69651.0,34876.0,208.7844997669701,6.4383384285620195,73.45812074069534
69651,14448,69651.0,33893.0,69651.0,34856.0,204.68469195694684,-7.081503531836006,54.30700939560904
69661,14455,69661.0,33903.0,69661.0,34851.0,200.54725238882574,-20.2525621901396,35.57500273318317
69661,14473,69661.0,33933.0,69661.0,34868.0,196.3770987082567,-33.05703696260582,17.289786100426568
69661,14453,69661.0,33919.0,69661.0,34831.0,192.1797548188823,-45.47741615430476,-0.521878075004679
69661,14422,69661.0,33842.0,69661.0,34768.0,187.96159510015562,-57.49585296247824,-17.833732403277736
69661,14409,69661.0,33807.0,69661.0,34737.0,183.7296807719156,-69.09428043426595,-34.620214901623626
69661,14393,69661.0,33768.0,69661.0,34694.0,179.49131771729353,-80.2552882186352,-50.85713906720616
69672,14372,69672.0,33722.0,69672.0,34656.0,175.2536330252051,-90.96314850402064,-66.52240914126389
69672,14368,69672.0,33696.0,69672.0,34630.0,171.02323275577885,-101.20470837305231,-81.59662765722544
69672,14365,69672.0,33729.0,69672.0,34639.0,166.80595082035688,-110.97004788705578,-96.06352515321703
69672,14365,69672.0,33733.0,69672.0,34644.0,162.6067717363157,-120.25255624129005,-109.90997185328513
69672,14375,69672.0,33741.0,69672.0,34617.0,158.42993718587775,-129.04838583967341,-123.12557387215509
69672,14371,69672.0,33757.0,69672.0,34623.0,154.27918359774898,-137.3557074687228,-135.70222269304816
69682,14381,69682.0,33783.0,69682.0,34647.0,150.158041802786,-145.17396300942687,-147.63371159421638
69682,14396,69682.0,33804.0,69682.0,34633.0,146.07017637536268,-152.50299231509507,-158.9151703813933
69682,14364,69682.0,33763.0,69682.0,34604.0,142.01974632548908,-159.34214761783574,-169.54243803910788
