c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414088,14569,414088.0,43684.0,414088.0,68617.0,-693.8532064570092,-519.5486028526961,-847.3243759263094
414088,14604,414088.0,43770.0,414088.0,68663.0,-660.0576576098517,-479.57719940827866,-782.4126264145175
414088,14651,414088.0,43848.0,414088.0,68760.0,-624.8866639710005,-438.2682024202829,-715.3201556681928
414088,14713,414088.0,43957.0,414088.0,68886.0,-588.371124068437,-395.68518480452974,-646.1312362196071
414088,14746,414088.0,43993.0,414088.0,68944.0,-550.5453263453535,-351.8935613109418,-574.9365148717867
414088,14770,414088.0,43996.0,414088.0,69042.0,-511.4467519121632,-306.9596545526316,-501.8323585325942
414099,14796,414099.0,43990.0,414099.0,69100.0,-471.1161947462307,-260.95073691620576,-426.92050939201135
414099,14836,414099.0,44031.0,414099.0,69160.0,-429.5981920457908,-213.93601584349915,-350.30812726582576
414099,14886,414099.0,44099.0,414099.0,69212.0,-386.94146794272797,-165.98774270774493,-272.10818949182794
414099,14935,414099.0,44123.0,414099.0,69368.0,-343.1991685343967,-117.18179341030304,-192.44001823697272
414099,15016,414099.0,44193.0,414099.0,69464.0,-298.42883807721284,-67.59785190720754,-111.4293001431115
414099,15048,414099.0,44314.0,414099.0,69574.0,-252.692173065038,-17.319366213899457,-29.207408255616656
414109,15121,414109.0,44375.0,414109.0,69670.0,-206.05472231717397,33.56701913451741,54.089415244485735
414109,15214,414109.0,44466.0,414109.0,69811.0,-158.58558369246475,84.97248603727189,138.32071012974257
414109,15268,414109.0,44583.0,414109.0,69966.0,-110.35688079239549,136.80711925078435,223.34262945403884
414109,15353,414109.0,44661.0,414109.0,70057.0,-61.44304372549311,188.98107961946096,309.0091863663463
414109,15380,414109.0,44661.0,414109.0,70151.0,-11.920209323693143,241.4057272591765,395.173469773051
414109,15457,414109.0,44750.0,414109.0,70245.0,38.134089581864146,293.9940803611787,481.6882912138444
414119,15496,414119.0,44726.0,414119.0,70301.0,88.64101102767222,346.660547727103,568.4062859220155
414119,15563,414119.0,44786.0,414119.0,70438.0,139.52042324494346,399.3202818916924,655.1797541384794
414119,15609,414119.0,44872.0,414119.0,70514.0,190.6909197176003,451.8884531060372,741.8605732807191
414119,15674,414119.0,44896.0,414119.0,70629.0,242.06982447781957,504.2798941851727,828.3003699179319
414119,15766,414119.0,44984.0,414119.0,70767.0,293.5732914671531,556.4091432633502,914.3508956453711
414119,15828,414119.0,45084.0,414119.0,70895.0,345.1166726604214,608.1906625893178,999.8647209463584
414130,15898,414130.0,45155.0,414130.0,70992.0,396.61509493360165,659.5394324306994,1084.6962700549138
414130,15976,414130.0,45207.0,414130.0,71126.0,447.9840096171936,710.3718216688635,1168.7028413669796
414130,16066,414130.0,45385.0,414130.0,71262.0,499.1397417658209,760.6064484396061,1251.7455432310917
414130,16127,414130.0,45427.0,414130.0,71355.0,550.0001835389955,810.1653613599951,1333.6903642463258
414130,16175,414130.0,45436.0,414130.0,71442.0,600.4854603597089,858.9753901620375,1414.409176140652
414130,16224,414130.0,45462.0,414130.0,71512.0,650.5182649026685,906.9686159157723,1493.7802587028632
