c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379216,16334,379216,27278,379216.0,56164.0,-351.71407403608725,-72.17229864695071,-238.64593024482042
379216,16372,379216,27329,379216.0,56237.0,-320.33291198177716,-51.21622773043143,-174.8761221804516
379226,16412,379226,27346,379226.0,56383.0,-288.27024862076945,-30.031541480843515,-110.34127758602165
379226,16480,379226,27396,379226.0,56488.0,-255.59300477711582,-8.678684641074653,-45.21612570803893
379226,16517,379226,27426,379226.0,56604.0,-222.37018917253545,12.781557766190133,20.32259990642774
379226,16569,379226,27465,379226.0,56699.0,-188.67240335137245,34.288512614663205,86.09770928490298
379226,16617,379226,27510,379226.0,56828.0,-154.57139645525854,55.782107955372254,151.93293910875354
379226,16667,379226,27548,379226.0,56921.0,-120.13967565881524,77.20340945567912,217.65428195034747
379237,16721,379237,27595,379237.0,57019.0,-85.45009506795407,98.49522414833177,283.09129771599794
379237,16777,379237,27609,379237.0,57162.0,-50.575396450525886,119.6026944664955,348.07835625057305
379237,16823,379237,27636,379237.0,57227.0,-15.587705514351683,140.47372048922227,412.4559339834641
379237,16866,379237,27673,379237.0,57236.0,19.441939694833877,161.05917169466392,476.07169474094576
379237,16891,379237,27646,379237.0,57335.0,54.4438990671315,181.31296680732203,538.7807466969655
379237,16929,379237,27675,379237.0,57413.0,89.35000679678774,201.19191809831335,600.4453900236576
379247,16995,379247,27672,379247.0,57517.0,124.09354764397028,220.65530520864291,660.9352584679709
379247,17022,379247,27720,379247.0,57527.0,158.60939028894143,239.66448750554923,720.1278755066414
379247,17076,379247,27775,379247.0,57645.0,192.8342738701093,258.18289223354225,777.9090343292016
379247,17108,379247,27782,379247.0,57726.0,226.70705553937705,276.1764505430042,834.1730460888625
379247,17178,379247,27825,379247.0,57774.0,260.16893524968384,293.6141668777474,888.8232709333915
379247,17205,379247,27851,379247.0,57824.0,293.1637852250436,310.46853949891283,941.7726701302997
379257,17249,379257,27874,379257.0,57887.0,325.63851721040646,326.7159181394437,992.9439716010759
379257,17292,379257,27846,379257.0,57922.0,357.54334158695224,342.3367409884137,1042.2696216770637
379257,17309,379257,27887,379257.0,57950.0,388.8319180484767,357.3154170193044,1089.6916611739293
379257,17349,379257,27865,379257.0,57986.0,419.4613994531554,371.6399817928973,1135.1613903682526
379257,17363,379257,27854,379257.0,58011.0,449.3923399994019,385.30170533271803,1178.6388530959905
379257,17381,379257,27856,379257.0,58056.0,478.58848935615003,398.294526999086,1220.0923196497556
379268,17427,379268,27833,379268.0,58083.0,507.01651653051044,410.6143297976024,1259.497877039093
379268,17462,379268,27917,379268.0,58129.0,534.6458467886321,422.2583700295148,1296.8391478903645
379268,17510,379268,27926,379268.0,58164.0,561.4487806835291,433.22526716891593,1332.1071286523995
379268,17529,379268,27940,379268.0,58199.0,587.4007869023415,443.5155419152694,1365.3001314563917
379268,17544,379268,27931,379268.0,58243.0,612.4807047244151,453.1320751109731,1396.423795525335
379268,17585,379268,27956,379268.0,58198.0,636.670725344809,462.08014144800507,1425.4910083200803
379278,17618,379278,27992,379278.0,58228.0,659.9563389338182,470.3673720196439,1452.521412453512
379278,17629,379278,27946,379278.0,58261.0,682.3264261000018,478.00389851151283,1477.5405849880524
379278,17639,379278,27916,379278.0,58245.0,703.7733040013263,485.00224975912556,1500.5794166854082
379278,17654,379278,27930,379278.0,58258.0,724.2925250975343,491.3766502463578,1521.673682300773
379278,17649,379278,27903,379278.0,58278.0,743.8824996294668,497.1421653668674,1540.863505472408
379278,17678,379278,27930,379278.0,58279.0,762.5440634018928,502.3141422653497,1558.192866815955
379288,17680,379288,27905,379288.0,58301.0,780.2800921174503,506.90789316504583,1573.7092834539817
379288,17720,379288,27969,379288.0,58313.0,797.0952654538971,510.93857009866906,1587.4635836897155
379288,17742,379288,27960,379288.0,58319.0,812.9960394866716,514.4213539962033,1599.5097631523759
379288,17762,379288,27961,379288.0,58320.0,827.9908111200855,517.3718604996543,1609.9048499456483
379288,17775,379288,27984,379288.0,58341.0,842.0901164704658,519.8064179784269,1618.7087143228648
379288,17792,379288,28001,379288.0,58352.0,855.3067172233739,521.7422394972837,1625.983944495524
379299,17804,379299,27994,379299.0,58329.0,867.655600934376,523.1977148615711,1631.7958149751785
379299,17799,379299,27990,379299.0,58260.0,879.1539231956904,524.192656235191,1636.2119669938684
379299,17803,379299,27968,379299.0,58244.0,889.8208163111483,524.7482518651309,1639.3014184430263
379299,17799,379299,27927,379299.0,58265.0,899.6770436937306,524.8866807278521,1641.1332694745083
379299,17802,379299,27918,379299.0,58257.0,908.7445924657115,524.630409679707,1641.7758948458156
379299,17818,379299,27927,379299.0,58257.0,917.0463169267578,524.001429416061,1641.2967442348588
379309,17830,379309,27960,379309.0,58271.0,924.6057434910476,523.0208960007639,1639.762329410797
379309,17841,379309,27958,379309.0,58295.0,931.4470646918701,521.7093472519015,1637.2383191802062
379309,17847,379309,27970,379309.0,58270.0,937.5952101918372,520.0871775986762,1633.7898269763239
379309,17845,379309,27950,379309.0,58283.0,943.0758665243272,518.1749781394633,1629.4816623091435
