c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379874,10777,379874,6583,379874.0,26795.0,-727.5453764951013,-201.2754712770615,-389.4896799447338
379874,10653,379874,6624,379874.0,26818.0,-730.3327770523695,-198.43358920370247,-387.234548088068
379884,10575,379884,6622,379884.0,26804.0,-732.8746385036671,-195.34517383306198,-384.59484024374797
379884,10560,379884,6623,379884.0,26803.0,-735.1103747571241,-192.00852807645936,-381.5547938846016
379884,10545,379884,6616,379884.0,26809.0,-736.9826160656628,-188.42154130276586,-378.0988433009938
379884,10553,379884,6612,379884.0,26793.0,-738.4384194307299,-184.58181713376564,-374.21184413960884
379884,10543,379884,6586,379884.0,26804.0,-739.4297379156507,-180.4869894434816,-369.87931948539295
379884,10568,379884,6618,379884.0,26797.0,-739.9135715013981,-176.1351294947316,-365.0877218993125
379894,10737,379894,6601,379894.0,26757.0,-739.8515905687692,-171.52505000592717,-359.8247584190074
379894,10875,379894,6592,379894.0,26797.0,-739.2083470191668,-166.65646573010287,-354.0798801383968
379894,10861,379894,6599,379894.0,26784.0,-737.9480662049455,-161.53023521158866,-347.84473843064893
379894,10815,379894,6616,379894.0,26814.0,-736.0318927903434,-156.14864325006755,-341.11333089886375
379894,10690,379894,6664,379894.0,26849.0,-733.4173806953562,-150.51538810338138,-333.8818676751417
379894,10569,379894,6701,379894.0,26861.0,-730.0603174275117,-144.6350811019708,-326.1484048071869
379905,10541,379905,6661,379905.0,26849.0,-725.9178763377561,-138.51250950098398,-317.91242699159204
379905,10551,379905,6673,379905.0,26874.0,-720.9516188494591,-132.15228775542982,-309.17471767923894
379905,10559,379905,6681,379905.0,26883.0,-715.129216744011,-125.5590650348563,-299.9374457392901
379905,10549,379905,6681,379905.0,26889.0,-708.4250313033579,-118.73780313440781,-290.2041954522206
379905,10571,379905,6677,379905.0,26904.0,-700.8203294681384,-111.69391820793166,-279.9799620191533
379905,10680,379905,6683,379905.0,26871.0,-692.3032511608102,-104.43346626818916,-269.27127841241304
379915,10878,379915,6677,379915.0,26916.0,-682.8676824683153,-96.96340060605289,-258.0865361354528
379915,10942,379915,6704,379915.0,26903.0,-672.5104299945001,-89.29179367058558,-246.43632361034645
379915,10941,379915,6714,379915.0,26938.0,-661.2277914448395,-81.42790580485837,-234.3335754952381
379915,10866,379915,6743,379915.0,26976.0,-649.0135624904988,-73.38203581491581,-221.79351234636871
379915,10755,379915,6774,379915.0,27020.0,-635.8594392944728,-65.1651834283978,-208.8332872322629
