c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207570,10981,207570,7914,207570.0,31125.0,-349.83215934163036,-39.622157355742786,-148.7657978999831
207570,11154,207570,7951,207570.0,31123.0,-324.20272133228656,-32.78527837075973,-135.1925525542911
207570,11343,207570,7892,207570.0,31148.0,-297.9818602990622,-25.88640922400974,-121.36696888472454
207570,11383,207570,7933,207570.0,31166.0,-271.24727287649046,-18.94416875768789,-107.32104234827241
207570,11369,207570,7975,207570.0,31211.0,-244.07158160831858,-11.977385207866192,-93.08777885527601
207570,11338,207570,8005,207570.0,31260.0,-216.5210732757846,-5.00482690702313,-78.70078619210267
207580,11239,207580,8044,207580.0,31305.0,-188.65655603492291,1.9556147548666871,-64.19352119130323
207580,11216,207580,8029,207580.0,31341.0,-160.53557026194812,8.887770614521429,-49.5983393010724
207580,11257,207580,8001,207580.0,31340.0,-132.21493722217463,15.777590237535975,-34.945657133803024
207580,11285,207580,8033,207580.0,31320.0,-103.75248609522782,22.61294849754708,-20.263589200094003
207580,11330,207580,7993,207580.0,31368.0,-75.20760333611787,29.383216839621852,-5.578132723585895
207580,11370,207580,8012,207580.0,31361.0,-46.64114483874039,36.07888699436637,9.086537499007989
207590,11465,207590,8022,207590.0,31359.0,-18.115048957937802,42.69124142295189,23.707936218167447
207590,11730,207590,7981,207590.0,31349.0,10.308889883739539,49.21210521029815,38.26500418247639
207590,11794,207590,8029,207590.0,31377.0,38.57188026286201,55.63359065083273,52.737611446212355
207590,11797,207590,8038,207590.0,31412.0,66.62174511998444,61.947913721150314,67.10621677712834
207590,11774,207590,8062,207590.0,31442.0,94.41503893793185,68.14757815970003,81.35198333234675
207590,11681,207590,8117,207590.0,31483.0,121.916796129756,74.22589097694745,95.45725612162437
207601,11585,207601,8081,207601.0,31500.0,149.09849892564284,80.17759511893055,109.40615699476965
207601,11616,207601,8081,207601.0,31492.0,175.93510374154937,85.99926129622054,123.18504677833931
207601,11652,207601,8088,207601.0,31505.0,202.40246062612266,91.68916594328999,136.78262032137923
207601,11661,207601,8078,207601.0,31526.0,228.4761061154794,97.24695897782959,150.18971786448134
207601,11674,207601,8084,207601.0,31525.0,254.1309405656325,102.67342295403878,163.39916677787892
207601,11757,207601,8084,207601.0,31533.0,279.341062231243,107.97027708098918,176.40568634940018
207611,11920,207611,8043,207611.0,31506.0,304.080183888237,113.13992489972333,189.20564134603427
207611,12089,207611,8076,207611.0,31536.0,328.3235515980167,118.18504640710378,201.79658179173634
207611,12100,207611,8067,207611.0,31540.0,352.0511539489768,123.10819442874416,214.17680181493324
207611,12082,207611,8097,207611.0,31551.0,375.2504720259676,127.91168859876339,226.34513621467602
207611,11996,207611,8116,207611.0,31553.0,397.9171659188602,132.59781293754227,238.30087743149295
207611,11910,207611,8126,207611.0,31638.0,420.05360912584297,137.1691935042749,250.043784632749
207621,11868,207621,8136,207621.0,31623.0,441.66614930738695,141.629204267466,261.5744642085869
207621,11868,207621,8112,207621.0,31611.0,462.76221851798687,145.98218861393173,272.8949031226211
207621,11905,207621,8125,207621.0,31643.0,483.3482722336779,150.23338912814722,284.00856214640385
207621,11926,207621,8114,207621.0,31620.0,503.4288787411392,154.38870085452675,294.9201159334517
207621,11936,207621,8087,207621.0,31618.0,523.0065519340419,158.45437537112073,305.63515350129927
207621,12000,207621,8073,207621.0,31620.0,542.0818113313102,162.4365641859152,316.15975802936
207632,12232,207632,8061,207632.0,31562.0,560.6538476716618,166.34066078759187,326.4999030658507
207632,12282,207632,8072,207632.0,31627.0,578.722731035714,170.17068805495182,336.66072567007024
207632,12305,207632,8117,207632.0,31660.0,596.2925624740421,173.9290404878089,346.64608307500873
207632,12234,207632,8137,207632.0,31646.0,613.3734927725051,177.61677540971442,356.4587772170396
207632,12144,207632,8169,207632.0,31693.0,629.9814971803476,181.23433163898363,366.10101393391756
207632,12037,207632,8177,207632.0,31703.0,646.136249809681,184.7823173875729,375.5747061604766
207642,12019,207642,8138,207642.0,31694.0,661.858009917732,188.26202333218083,384.8817404463109
207642,12043,207642,8167,207642.0,31720.0,677.1647782327066,191.6754503653219,394.02411566491116
207642,12066,207642,8142,207642.0,31717.0,692.0707102844833,195.0250401894151,403.0039052840866
207642,12078,207642,8146,207642.0,31708.0,706.5857092862464,198.31342641576998,411.82317467656594
207642,12128,207642,8144,207642.0,31727.0,720.7155282733497,201.54321014167957,420.48380483819403
207642,12284,207642,8105,207642.0,31701.0,734.462350825487,204.71666683449888,428.98722042815746
207652,12449,207652,8107,207652.0,31699.0,747.8266313297979,207.83529135372197,437.3340402902072
207652,12449,207652,8135,207652.0,31714.0,760.810259446775,210.8992903255295,445.52363017939024
207652,12420,207652,8186,207652.0,31746.0,773.419387256353,213.90751966150066,453.55381671772113
207652,12351,207652,8177,207652.0,31770.0,785.6652372835722,216.85806149210447,461.4210378295604
207652,12234,207652,8188,207652.0,31823.0,797.562832507836,219.7489305702669,469.1208852052339
207652,12178,207652,8176,207652.0,31841.0,809.1284190475387,222.57840831805024,476.6488911711824
207663,12197,207663,8182,207663.0,31817.0,820.3765807884674,225.34503290793654,484.00127475635134
207663,12204,207663,8194,207663.0,31824.0,831.3182192281245,228.0475105404502,491.1752099695832
207663,12212,207663,8154,207663.0,31821.0,841.9597562954452,230.68464510539556,498.16859617092314
207663,12212,207663,8172,207663.0,31820.0,852.302924366594,233.2551385401431,504.9797232324494
207663,12302,207663,8178,207663.0,31794.0,862.3447506772325,235.75729228324198,511.6069529861934
207663,12545,207663,8136,207663.0,31767.0,872.0784767543294,238.18881224126264,518.0482085800785
207673,12579,207673,8164,207673.0,31819.0,881.4963337372699,240.54658781071834,524.3003143027892
207673,12575,207673,8223,207673.0,31815.0,890.5931295346024,242.8265401477252,530.3586574802431
207673,12535,207673,8187,207673.0,31851.0,899.3683490862891,245.02396881433054,536.217385042559
207673,12439,207673,8221,207673.0,31892.0,907.8260170748845,247.1341196813316,541.8698981362533
207673,12327,207673,8263,207673.0,31900.0,915.9729180765767,249.15257758539553,547.3095194952507
207673,12324,207673,8232,207673.0,31889.0,923.8158702076748,251.07572268570902,552.5301334286657
207683,12326,207683,8233,207683.0,31909.0,931.3591813205348,252.9011353053103,557.5264626982397
207683,12357,207683,8223,207683.0,31891.0,938.603295376756,254.62756081732778,562.2940391441819
207683,12366,207683,8189,207683.0,31894.0,945.5445499585726,256.2545540541828,566.8290726265739
207683,12402,207683,8220,207683.0,31903.0,952.1754337526729,257.782042083712,571.1282609284688
207683,12541,207683,8201,207683.0,31883.0,958.4852591282283,259.20999964983656,575.1886075302247
207683,12700,207683,8179,207683.0,31918.0,964.461927984971,260.53828990224036,579.0072898643451
207694,12727,207694,8179,207694.0,31905.0,970.0950279649526,261.76639924278146,582.5816226729277
207694,12682,207694,8207,207694.0,31918.0,975.3788569460344,262.89310070086765,585.9091388219852
207694,12624,207694,8194,207694.0,31925.0,980.3136175098111,263.916406079627,588.9876804033721
207694,12492,207694,8283,207694.0,31975.0,984.9044658543364,264.8339080990337,591.8155750813385
207694,12432,207694,8282,207694.0,31970.0,989.1591113170304,265.6435429509254,594.3920980985879
207694,12453,207694,8228,207694.0,31962.0,993.0850247791386,266.3444839424201,596.7180176197097
207704,12434,207704,8230,207704.0,31957.0,996.6874821140299,266.93737298890073,598.7957984501375
207704,12442,207704,8223,207704.0,31958.0,999.9687662641783,267.42382522154,600.6294560090441
207704,12460,207704,8263,207704.0,31960.0,1002.927934846269,267.80602832061624,602.2243701066221
207704,12513,207704,8202,207704.0,31899.0,1005.5609184670923,268.08675829807294,603.5870786369275
207704,12736,207704,8195,207704.0,31892.0,1007.8615164184384,268.26930168542845,604.7247454375924
207704,12800,207704,8242,207704.0,31910.0,1009.8240184021603,268.35706345517167,605.6443790151413
207714,12777,207714,8205,207714.0,31920.0,1011.4467421260767,268.3533786440196,606.3523928391057
207714,12728,207714,8233,207714.0,31947.0,1012.7343417751323,268.26166720674564,606.8547559018524
207714,12608,207714,8234,207714.0,31960.0,1013.6977743401527,268.08558998460956,607.1574743009483
207714,12484,207714,8254,207714.0,31991.0,1014.3523526813177,267.82924614955493,607.2671952027638
207714,12476,207714,8221,207714.0,31970.0,1014.7147632923172,267.497448429442,607.1918095380769
207714,12472,207714,8237,207714.0,31969.0,1014.8003657505025,267.09581491974467,606.9408204798813
207725,12477,207725,8224,207725.0,31976.0,1014.6217852100386,266.6306570876727,606.5253823287951
207725,12467,207725,8215,207725.0,31921.0,1014.188536407659,266.10884794591846,605.9581430630917
207725,12499,207725,8237,207725.0,31950.0,1013.5069967921273,265.5377248341026,605.2529144801226
207725,12631,207725,8175,207725.0,31904.0,1012.5808296567237,264.9249881368416,604.4242282131395
207725,12798,207725,8162,207725.0,31906.0,1011.4127029710996,264.2783710716848,603.4869208672792
207725,12789,207725,8169,207725.0,31875.0,1010.0074676877296,263.6049872128623,602.4556891243624
207735,12744,207735,8212,207735.0,31905.0,1008.3751663056102,262.9108917925747,601.344650770639
207735,12662,207735,8219,207735.0,31930.0,1006.5320319406576,262.20133212714137,600.1672289009696
207735,12545,207735,8260,207735.0,31939.0,1004.499333880103,261.48147447920286,598.9365369307809
207735,12484,207735,8228,207735.0,31930.0,1002.3009635922324,260.7571538649977,597.665966491187
207735,12440,207735,8215,207735.0,31920.0,999.9607177549955,260.03526617123134,596.3695183931948
207735,12432,207735,8213,207735.0,31904.0,997.5001194357764,259.32365263238705,595.0617568241748
207745,12434,207745,8207,207745.0,31888.0,994.9371450023974,258.63077393161785,593.7575259600117
207745,12441,207745,8177,207745.0,31883.0,992.2857346681068,257.9654428292613,592.4715722096157
207745,12489,207745,8147,207745.0,31845.0,989.5558776562228,257.33644101100083,591.21813839982
207745,12684,207745,8135,207745.0,31856.0,986.7545447327346,256.751870122611,590.0105112170904
207745,12767,207745,8120,207745.0,31841.0,983.8881457101016,256.2184390878651,588.8606003769708
207745,12715,207745,8168,207745.0,31885.0,980.9659369260407,255.7410233936355,587.7787757531659
207756,12665,207756,8181,207756.0,31865.0,978.0022555708998,255.32277135586216,586.774065292489
207756,12553,207756,8209,207756.0,31901.0,975.0163986859081,254.9657329223869,585.8545514808991
207756,12425,207756,8222,207756.0,31898.0,972.0306745575722,254.67165675253614,585.0277879762868
207756,12407,207756,8204,207756.0,31889.0,969.0675386059452,254.4426276542708,584.3011673339961
207756,12416,207756,8197,207756.0,31879.0,966.1469827921553,254.28134194165835,583.6820857734417
207756,12392,207756,8187,207756.0,31887.0,963.2851573335166,254.1909963562975,583.1778581988181
207766,12396,207766,8160,207766.0,31861.0,960.4939670915977,254.17496855306774,582.7955673930848
207766,12429,207766,8178,207766.0,31859.0,957.7809925087608,254.23643880592064,582.5418815539753
207766,12532,207766,8136,207766.0,31831.0,955.1499127954877,254.37804389708802,582.4227407843679
207766,12699,207766,8127,207766.0,31832.0,952.6021353655395,254.60151249971923,582.4429406581812
207766,12687,207766,8162,207766.0,31845.0,950.1397204168971,254.9072556662903,582.6057806437022
207766,12660,207766,8164,207766.0,31819.0,947.7682264715409,255.29425033183088,582.9129168704229
207776,12579,207776,8187,207776.0,31873.0,945.4978092301873,255.76037569303764,583.3643847320138
207776,12449,207776,8220,207776.0,31902.0,943.3422801076317,256.302959646485,583.9588965040703
207776,12376,207776,8202,207776.0,31889.0,941.316741364945,256.9193774967964,584.6945272980652
207776,12359,207776,8174,207776.0,31881.0,939.4347303571427,257.6074399300774,585.5693320251959
207776,12370,207776,8192,207776.0,31878.0,937.7060563201736,258.36529510756213,586.5814583261282
207776,12376,207776,8197,207776.0,31865.0,936.1358918837007,259.19116064949446,587.7289457558998
207787,12381,207787,8185,207787.0,31874.0,934.7247264084135,260.08328829041534,589.0095006766833
207787,12432,207787,8138,207787.0,31856.0,933.4686791028606,261.0399123484214,590.4203197786576
207787,12636,207787,8155,207787.0,31806.0,932.3604936677584,262.05882387022956,591.9578226705839
207787,12693,207787,8127,207787.0,31861.0,931.3920098927825,263.13678098104106,593.6171641177834
207787,12654,207787,8181,207787.0,31861.0,930.5574749341877,264.26917847409413,595.3919186497396
207787,12607,207787,8185,207787.0,31865.0,929.8556039983114,265.4501791203465,597.2742857759914
207797,12500,207797,8227,207797.0,31901.0,929.2894050402392,266.6732764894926,599.2555063881409
207797,12382,207797,8232,207797.0,31934.0,928.8643199929072,267.93205471241345,601.3263448869321
207797,12361,207797,8191,207797.0,31886.0,928.5854818219148,269.2207770691881,603.477689926138
207797,12349,207797,8208,207797.0,31938.0,928.4551355523377,270.53447576067765,605.7009300326368
207797,12387,207797,8204,207797.0,31912.0,928.4711965439903,271.8686867306454,607.9880355853954
207797,12364,207797,8209,207797.0,31909.0,928.6269581077308,273.2192890839378,610.3316064644026
207808,12394,207808,8193,207808.0,31903.0,928.9112847598885,274.58249579275326,612.7247965853747
207808,12528,207808,8178,207808.0,31843.0,929.3091233610837,275.9547327428038,615.1609536644162
207808,12697,207808,8151,207808.0,31848.0,929.8031743517679,277.3322767266498,617.6329440839704
207808,12703,207808,8189,207808.0,31878.0,930.3770817398398,278.710788093564,620.1324200962443
207808,12663,207808,8200,207808.0,31896.0,931.018582073013,280.0851348295298,622.6496104092151
207808,12587,207808,8199,207808.0,31913.0,931.7207207113102,281.44966808294,625.1737315660206
207818,12471,207818,8231,207818.0,31971.0,932.4808868609657,282.7986416944324,627.6936622313967
207818,12375,207818,8227,207818.0,31935.0,933.2984244747868,284.1265937732589,630.1987006131503
207818,12385,207818,8211,207818.0,31921.0,934.1717480213113,285.4286621678545,632.6790714547495
207818,12383,207818,8198,207818.0,31935.0,935.0961369377133,286.70061544191253,635.1258571203925
207818,12394,207818,8198,207818.0,31921.0,936.0628260822016,287.9385651095688,637.5306890241604
207818,12398,207818,8214,207818.0,31921.0,937.0589390430221,289.1386830633911,639.8855700339996
207828,12462,207828,8221,207828.0,31903.0,938.0677606858419,290.29718943036283,642.1827067012264
207828,12659,207828,8158,207828.0,31918.0,939.0697601628683,291.41043289358686,644.4142645572283
207828,12728,207828,8170,207828.0,31872.0,940.0451298671076,292.47460421970317,646.5721074438496
207828,12703,207828,8184,207828.0,31936.0,940.9771852421497,293.485172157285,648.6475514899593
207828,12646,207828,8212,207828.0,31893.0,941.8545841160236,294.43669144693166,650.6312857784673
207828,12557,207828,8247,207828.0,31959.0,942.6713157602069,295.32322998415617,652.5135591467
207839,12425,207839,8269,207839.0,31980.0,943.4249376339974,296.1391663884013,654.2846293702236
207839,12405,207839,8211,207839.0,31962.0,944.1138553514884,296.87992508426737,655.9354527767081
207839,12412,207839,8236,207839.0,31938.0,944.7347205794247,297.54216135201284,657.4581693784194
207839,12393,207839,8235,207839.0,31955.0,945.2809446440265,298.123505771811,658.8460094219665
207839,12405,207839,8198,207839.0,31941.0,945.7422146504024,298.6223619572727,660.0929939717262
207839,12449,207839,8214,207839.0,31934.0,946.1044578396098,299.0377171834519,661.193773779223
207849,12570,207849,8188,207849.0,31909.0,946.3504447443815,299.3688202568591,662.1434366424663
207849,12719,207849,8182,207849.0,31879.0,946.4616629833349,299.6148622529101,662.9370810599908
207849,12739,207849,8186,207849.0,31913.0,946.4214176981075,299.7746884815074,663.5692595530843
207849,12688,207849,8203,207849.0,31929.0,946.2177769916336,299.84663075381934,664.0337168003416
207849,12618,207849,8204,207849.0,31955.0,945.8447256827598,299.8286137911434,664.323708105989
207849,12494,207849,8234,207849.0,31950.0,945.3012120454056,299.7184730925792,664.4326312691232
207859,12421,207859,8225,207859.0,31964.0,944.588800084196,299.51436290066204,664.3545572014648
207859,12406,207859,8223,207859.0,31957.0,943.7089048654843,299.2151146921334,664.0845461699313
207859,12388,207859,8208,207859.0,31961.0,942.6606409609401,298.8203580426407,663.6188227027504
207859,12414,207859,8215,207859.0,31933.0,941.4397494425,298.33041199526645,662.9548174095637
207859,12437,207859,8202,207859.0,31941.0,940.0384172920294,297.74613717396636,662.091031313952
207859,12478,207859,8204,207859.0,31907.0,938.4457424726255,297.06883565238513,661.0267713512072
207870,12647,207870,8162,207870.0,31891.0,936.6489238293974,296.30009534211433,659.7617894616976
207870,12723,207870,8141,207870.0,31911.0,934.6355889867197,295.44138863179796,658.2958637568262
207870,12705,207870,8175,207870.0,31887.0,932.396880160444,294.49350213201075,656.6285403307198
207870,12637,207870,8181,207870.0,31919.0,929.9296286781732,293.45628722281344,654.7591369123667
207870,12545,207870,8216,207870.0,31937.0,927.2364487564706,292.32899446306715,652.6869719445216
207870,12394,207870,8250,207870.0,31928.0,924.3239691936466,291.1109915133872,650.4118292244007
207880,12390,207880,8178,207880.0,31964.0,921.2000063299645,289.8024982941557,647.9344962226463
207880,12380,207880,8151,207880.0,31891.0,917.8709105392508,288.4047241804195,645.2571251378321
207880,12379,207880,8194,207880.0,31887.0,914.3401484834973,286.91927770638097,642.3831576191361
207880,12360,207880,8195,207880.0,31888.0,910.6079266697883,285.3477472731656,639.316811063244
207880,12385,207880,8162,207880.0,31867.0,906.6711236201395,283.691875767592,636.0626140927085
207880,12505,207880,8135,207880.0,31868.0,902.5236196890534,281.95362276422765,632.6252136922634
207890,12660,207890,8120,207890.0,31832.0,898.1578806483052,280.1346912982952,629.0092049419175
207890,12662,207890,8147,207890.0,31844.0,893.5679955554099,278.2359522251072,625.2188637986682
207890,12620,207890,8153,207890.0,31864.0,888.7526776284456,276.2572943057511,621.2579750320388
207890,12523,207890,8190,207890.0,31852.0,883.7164231238859,274.19798903512253,617.1299939726109
