c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138543,2600,138543,62968,138543.0,88370.0,146.7853179673788,221.0730243759562,426.1775932368498
138543,2566,138543,62911,138543.0,88341.0,145.13847994766178,217.9570250925613,425.38428083452135
138543,2563,138543,62918,138543.0,88330.0,143.44144556988095,214.8353516115264,424.44298292576025
138543,2566,138543,62912,138543.0,88349.0,141.7004622018282,211.71746931315195,423.3541686355886
138554,2572,138554,62930,138554.0,88350.0,139.9209133038158,208.6109211378179,422.11760592025615
138554,2577,138554,62949,138554.0,88360.0,138.1074097761641,205.52152885575907,420.73259980219746
138554,2558,138554,62950,138554.0,88332.0,136.26397370450638,202.45388144829704,419.1982922717939
138554,2568,138554,62909,138554.0,88319.0,134.3941119796191,199.41177244447334,417.5137142449145
138554,2552,138554,62906,138554.0,88317.0,132.50077965965855,196.39821167115383,415.6775612701206
138554,2561,138554,62856,138554.0,88330.0,130.58634021743202,193.41499510274568,413.6879864549489
138564,2555,138564,62941,138564.0,88361.0,128.6525691221235,190.4622516256188,411.54273444840896
138564,2572,138564,62971,138564.0,88349.0,126.70073508115723,187.53862234495384,409.2396408192334
138564,2553,138564,62918,138564.0,88307.0,124.7317629300569,184.64216146880818,406.7770901292785
138564,2555,138564,62893,138564.0,88296.0,122.74635670369264,181.77095099334562,404.15395314451325
138564,2542,138564,62886,138564.0,88274.0,120.74498167106425,178.92279784564286,401.36908216003445
138564,2547,138564,62869,138564.0,88281.0,118.72777209260431,176.09461256607597,398.4208279096664
138574,2540,138574,62914,138574.0,88279.0,116.69447598936692,173.28210910043265,395.30683511363304
138574,2554,138574,62927,138574.0,88298.0,114.64448548878286,170.48002210448226,392.0241389798366
138574,2548,138574,62896,138574.0,88287.0,112.57696691982567,167.68268404644658,388.5694797594585
138574,2528,138574,62875,138574.0,88262.0,110.49099556034727,164.88435920346407,384.9395926017416
138574,2534,138574,62888,138574.0,88263.0,108.38553316437695,162.07905950528942,381.131229961994
138574,2524,138574,62923,138574.0,88282.0,106.25929484409521,159.26038071791118,377.14106642050126
138585,2547,138585,62938,138585.0,88277.0,104.11071580662207,156.42188127766815,372.96584825975134
138585,2542,138585,62916,138585.0,88285.0,101.93811714845769,153.55778743965277,368.6027818321769
138585,2531,138585,62884,138585.0,88258.0,99.7399574273775,150.66338342222014,364.04986940177673
138585,2541,138585,62862,138585.0,88240.0,97.51497376207031,147.73477507688256,359.3059861253513
138585,2524,138585,62864,138585.0,88244.0,95.26220643524397,144.7683226992023,354.3707124000161
138585,2528,138585,62888,138585.0,88251.0,92.98099810652805,141.76027939623225,349.24420898031724
138595,2535,138595,62910,138595.0,88267.0,90.67100004472991,138.7069569016986,343.92741010166276
138595,2524,138595,62886,138595.0,88255.0,88.33224611089827,135.60526515472228,338.42247186512157
138595,2509,138595,62884,138595.0,88210.0,85.9652256955751,132.4531279204591,332.73311157700994
138595,2512,138595,62858,138595.0,88201.0,83.57080990048517,129.24949932101566,326.8644979835929
138595,2514,138595,62856,138595.0,88214.0,81.1501341580736,125.99412704891566,320.8228744136606
138595,2515,138595,62890,138595.0,88202.0,78.70462141874026,122.6873779971306,314.61542868569467
138605,2494,138605,62903,138605.0,88217.0,76.23607908559603,119.3304561789922,308.2505127864871
138605,2495,138605,62872,138605.0,88190.0,73.74667942014533,115.92594613892427,301.73794900099256
138605,2499,138605,62839,138605.0,88154.0,71.23884764427751,112.47808278883647,295.0891530633205
138605,2494,138605,62797,138605.0,88146.0,68.71524384991041,108.99235700572831,288.3169040153418
138605,2487,138605,62832,138605.0,88148.0,66.17883863718366,105.47478267491317,281.4349708697532
138605,2502,138605,62867,138605.0,88147.0,63.63297716043202,101.93157378153313,274.4580004083327
138616,2485,138616,62852,138616.0,88137.0,61.08146588679668,98.36957943652027,267.4016960242984
138616,2480,138616,62805,138616.0,88110.0,58.52865767245615,94.7968553504825,260.28299369250516
