c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
1042,6170,1042.0,19136.0,1042.0,28979.0,-343.71002190986445,-161.70635265010088,-305.2159687751783
1042,6179,1042.0,19131.0,1042.0,28987.0,-349.41148877467856,-164.39079873243,-310.42540111495117
1042,6157,1042.0,19137.0,1042.0,28966.0,-355.2205088720841,-167.09884062492864,-315.6661764742846
1042,6167,1042.0,19135.0,1042.0,28969.0,-361.1295216787518,-169.82301869907667,-320.92758122436294
1042,6172,1042.0,19122.0,1042.0,28963.0,-367.13016721943416,-172.55546261079633,-326.1984825108732
1042,6153,1042.0,19115.0,1042.0,28956.0,-373.2131882296051,-175.2879362920029,-331.46739238311955
1052,6148,1052.0,19105.0,1052.0,28951.0,-379.3683598306105,-178.0120163036755,-336.722509487093
1052,6142,1052.0,19113.0,1052.0,28929.0,-385.58457248651433,-180.7192904862462,-341.951815593525
1052,6094,1052.0,19057.0,1052.0,28946.0,-391.8500402392242,-183.4015508681171,-347.14323341146627
1052,6135,1052.0,19120.0,1052.0,28928.0,-398.152614339898,-186.0510580017637,-352.2847327456652
1052,6127,1052.0,19124.0,1052.0,28948.0,-404.479963854825,-188.66059974082486,-357.3643044377346
1052,6138,1052.0,19118.0,1052.0,28966.0,-410.8193747193849,-191.22308567333874,-362.3697761719396
1063,6107,1063.0,19124.0,1063.0,28920.0,-417.15743881745436,-193.7310821911031,-367.2885191051562
1063,6124,1063.0,19113.0,1063.0,28922.0,-423.479971460024,-196.17664460357884,-372.1073654638945
1063,6117,1063.0,19041.0,1063.0,28941.0,-429.77204436970294,-198.55146677599987,-376.81282251301496
1063,6107,1063.0,19113.0,1063.0,28936.0,-436.0179383292288,-200.84736473557734,-381.39114012689305
1063,6095,1063.0,19097.0,1063.0,28910.0,-442.2011131143878,-203.05662905445365,-385.8281534731598
1063,6082,1063.0,19096.0,1063.0,28884.0,-448.30433080747775,-205.17184152739057,-390.1093565888986
1073,6068,1073.0,19078.0,1073.0,28904.0,-454.3098885019076,-207.18563399003568,-394.22030241952035
1073,6060,1073.0,19059.0,1073.0,28893.0,-460.19988405005074,-209.09082866487475,-398.1469169469192
1073,6047,1073.0,19077.0,1073.0,28897.0,-465.95647090028115,-210.88077813708912,-401.8755234742125
1073,6056,1073.0,19096.0,1073.0,28903.0,-471.56204998084837,-212.54952675405315,-405.3927515597316
1073,6067,1073.0,19106.0,1073.0,28879.0,-476.99929801859923,-214.09157914781457,-408.68547270234177
1073,6059,1073.0,19112.0,1073.0,28890.0,-482.25098429145766,-215.50144404377548,-411.7408320168356
1083,6057,1083.0,19091.0,1083.0,28888.0,-487.2997423205706,-216.77329554596048,-414.54634799066196
1083,6025,1083.0,19073.0,1083.0,28896.0,-492.1280297879634,-217.90097064151223,-417.0899188390785
1083,6073,1083.0,19139.0,1083.0,28906.0,-496.7182529565547,-218.87815538177793,-419.3596872924355
1083,6053,1083.0,19131.0,1083.0,28898.0,-501.0527424827891,-219.69823579675864,-421.34384718014667
1083,6036,1083.0,19057.0,1083.0,28865.0,-505.1135407161834,-220.3538967207772,-423.0305763539394
1083,6024,1083.0,19057.0,1083.0,28874.0,-508.8824017528273,-220.83732275195624,-424.4082784655924
1094,6012,1094.0,19078.0,1094.0,28869.0,-512.3411120788066,-221.14099348354014,-425.4659680329785
1094,6020,1094.0,19068.0,1094.0,28859.0,-515.471832879249,-221.25816257997548,-426.193517867311
1094,6024,1094.0,19063.0,1094.0,28867.0,-518.257252106519,-221.18286308370452,-426.5818015911251
1094,6010,1094.0,19084.0,1094.0,28899.0,-520.6805630704764,-220.90988236133555,-426.62274168959595
1094,6008,1094.0,19100.0,1094.0,28879.0,-522.7254623616228,-220.4346906921894,-426.309129823854
1094,6009,1094.0,19093.0,1094.0,28874.0,-524.376266810936,-219.75316986697203,-425.63442203961074
1104,5997,1104.0,19071.0,1104.0,28891.0,-525.6180528726691,-218.8614050280733,-424.59278028238305
1104,6025,1104.0,19075.0,1104.0,28888.0,-526.4367359618882,-217.75581915845814,-423.1791782957031
1104,6024,1104.0,19124.0,1104.0,28919.0,-526.8190072548499,-216.4333913087297,-421.3893292434998
1104,6002,1104.0,19090.0,1104.0,28882.0,-526.7521749524418,-214.89153774355728,-419.21952223819915
1104,6002,1104.0,19080.0,1104.0,28889.0,-526.2241998277273,-213.1278969268404,-416.6666370668609
1104,6004,1104.0,19093.0,1104.0,28897.0,-525.2239720110582,-211.14047174147694,-413.7284040157044
1114,5999,1114.0,19068.0,1114.0,28900.0,-523.7415622671771,-208.92795902580258,-410.4036255697793
1114,6008,1114.0,19054.0,1114.0,28894.0,-521.768357051171,-206.49006613842965,-406.6922386335408
1114,6017,1114.0,19123.0,1114.0,28923.0,-519.2971201582347,-203.82780446914933,-402.5953549203431
1114,6033,1114.0,19114.0,1114.0,28920.0,-516.3219387451593,-200.94340372777117,-398.11524308365887
1114,6030,1114.0,19123.0,1114.0,28938.0,-512.8380681224581,-197.8398085282219,-393.25519791255323
1114,6024,1114.0,19106.0,1114.0,28940.0,-508.84183942881106,-194.52034205310292,-388.01940782189274
1125,6036,1125.0,19103.0,1125.0,28937.0,-504.3307456917703,-190.9888038365695,-382.4129075501529
1125,6057,1125.0,19151.0,1125.0,28973.0,-499.30355663579763,-187.2496858577246,-376.44159366730236
1125,6058,1125.0,19116.0,1125.0,28958.0,-493.760261967974,-183.308154692429,-370.11218737656003
1125,6065,1125.0,19137.0,1125.0,28985.0,-487.7019322227553,-179.16991897592908,-363.43213632291804
1125,6057,1125.0,19118.0,1125.0,28965.0,-481.1307116785163,-174.84129770774973,-356.40959684967765
1125,6055,1125.0,19145.0,1125.0,28959.0,-474.05000806742953,-170.3294143348658,-349.0536037164405
1135,6075,1135.0,19128.0,1135.0,28995.0,-466.46477984230035,-165.64231403389527,-341.37438653568546
