c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69168.0,71254.0,69168.0,109362.0,69168.0,49207.0,65.58593598292248,0.5149723811901299,45.634095615105565
69168.0,71261.0,69168.0,109394.0,69168.0,49203.0,63.08170920495125,1.048692713903416,42.406752534261656
69178.0,71281.0,69178.0,109397.0,69178.0,49223.0,60.48013307725497,1.5235350216040064,39.069016979951584
69178.0,71255.0,69178.0,109409.0,69178.0,49226.0,57.78103855203386,1.9340414119133227,35.623219578499615
69178.0,71248.0,69178.0,109376.0,69178.0,49195.0,54.984891514053544,2.2761143395503307,32.072425273537725
69178.0,71228.0,69178.0,109354.0,69178.0,49182.0,52.0926418450348,2.5469227283440725,28.420459805663043
69178.0,71240.0,69178.0,109354.0,69178.0,49166.0,49.105419667102055,2.7444115898884807,24.671577252970202
69178.0,71244.0,69178.0,109381.0,69178.0,49176.0,46.024380270330404,2.8668341447609036,20.830068021159107
69188.0,71232.0,69188.0,109387.0,69188.0,49176.0,42.85077661324231,2.912727450744744,16.900100587967408
69188.0,71225.0,69188.0,109396.0,69188.0,49170.0,39.586050915503975,2.8812546940507584,12.885800912162331
69188.0,71232.0,69188.0,109371.0,69188.0,49161.0,36.23180364023043,2.7725134922357535,8.791362952304937
69188.0,71213.0,69188.0,109324.0,69188.0,49148.0,32.78974100386562,2.587447987550715,4.62102826280757
69188.0,71229.0,69188.0,109357.0,69188.0,49168.0,29.261663696290256,2.3273161602505392,0.3789972657836387
69188.0,71223.0,69188.0,109396.0,69188.0,49148.0,25.649504849935113,1.9932830241746626,-3.93055592322267
69199.0,71243.0,69199.0,109368.0,69199.0,49157.0,21.955488027248414,1.5866536907026005,-8.303369300141355
69199.0,71218.0,69199.0,109396.0,69199.0,49172.0,18.182370757663946,1.1093556850174284,-12.73495644649546
69199.0,71194.0,69199.0,109334.0,69199.0,49116.0,14.333536773285346,0.5640916851795463,-17.220468050652954
69199.0,71178.0,69199.0,109373.0,69199.0,49122.0,10.41273448145759,-0.04587987868628263,-21.75477423210627
69199.0,71200.0,69199.0,109344.0,69199.0,49121.0,6.423659890517385,-0.7170571780735386,-26.33281234660015
69199.0,71187.0,69199.0,109358.0,69199.0,49131.0,2.369792661077625,-1.4458575489736627,-30.949777479564588
69209.0,71170.0,69209.0,109402.0,69209.0,49132.0,-1.745529001260124,-2.2285595451108096,-35.60096758491781
69209.0,71185.0,69209.0,109363.0,69209.0,49109.0,-5.919100305861818,-3.0609922191755015,-40.28154650972665
69209.0,71180.0,69209.0,109342.0,69209.0,49090.0,-10.147876419726543,-3.938283408421472,-44.986526593391105
69209.0,71167.0,69209.0,109339.0,69209.0,49081.0,-14.428890014631051,-4.855102259685197,-49.71103980488178
69209.0,71170.0,69209.0,109331.0,69209.0,49098.0,-18.759191460307534,-5.8061573509751865,-54.45063854206798
69209.0,71191.0,69209.0,109375.0,69209.0,49124.0,-23.13581580913757,-6.786432506315739,-59.20126197994708
69219.0,71168.0,69219.0,109340.0,69219.0,49086.0,-27.555602631305106,-7.7910390490089565,-63.95885394730688
69219.0,71153.0,69219.0,109374.0,69219.0,49083.0,-32.01502260172694,-8.814939645345579,-68.71908780367211
69219.0,71151.0,69219.0,109292.0,69219.0,49074.0,-36.510267955300364,-9.852896025320458,-73.47747165269735
69219.0,71142.0,69219.0,109315.0,69219.0,49063.0,-41.037473360180684,-10.899839068106843,-78.22958106880597
69219.0,71143.0,69219.0,109325.0,69219.0,49061.0,-45.592838651072356,-11.951424642304094,-82.97120901392657
69219.0,71136.0,69219.0,109288.0,69219.0,49081.0,-50.17264949986294,-13.004313951828987,-87.69840070699169
69230.0,71113.0,69230.0,109369.0,69230.0,49044.0,-54.77330340336616,-14.056138049859321,-92.40734525070732
69230.0,71121.0,69230.0,109312.0,69230.0,49053.0,-59.3914321758337,-15.105249838349152,-97.09430020840253
69230.0,71104.0,69230.0,109327.0,69230.0,49033.0,-64.0240623748235,-16.15042148282081,-101.75569901037338
69230.0,71108.0,69230.0,109334.0,69230.0,49032.0,-68.6687044875764,-17.190790856394678,-106.38831381663846
69230.0,71140.0,69230.0,109357.0,69230.0,49026.0,-73.32330014471464,-18.22584456455308,-110.98937074087132
69230.0,71127.0,69230.0,109350.0,69230.0,49043.0,-77.9859181635498,-19.25512592930982,-115.55657099379346
69240.0,71082.0,69240.0,109369.0,69240.0,49014.0,-82.65442007727688,-20.27785818170937,-120.08798565680559
69240.0,71091.0,69240.0,109316.0,69240.0,49024.0,-87.3265525763089,-21.292754060144325,-124.58196784604868
69240.0,71096.0,69240.0,109284.0,69240.0,49012.0,-92.00030705770371,-22.298260758443412,-129.03717744522464
69240.0,71075.0,69240.0,109322.0,69240.0,49015.0,-96.6740586386087,-23.293218000684696,-133.45260715738914
69240.0,71074.0,69240.0,109324.0,69240.0,49011.0,-101.34655147975471,-24.27729788696312,-137.82754718448405
69240.0,71094.0,69240.0,109328.0,69240.0,49023.0,-106.016918677252,-25.250858226968568,-142.16149261602945
69250.0,71086.0,69250.0,109323.0,69250.0,48991.0,-110.68456474939526,-26.214626256905127,-146.45401986036114
69250.0,71066.0,69250.0,109334.0,69250.0,49008.0,-115.34893503394048,-27.169548668521692,-150.70475355941443
69250.0,71048.0,69250.0,109305.0,69250.0,48981.0,-120.00950795462552,-28.116759360132562,-154.91344626316248
69250.0,71061.0,69250.0,109295.0,69250.0,48992.0,-124.66603850802034,-29.05770737750032,-159.08006766604265
69250.0,71071.0,69250.0,109370.0,69250.0,48981.0,-129.31868669416247,-29.99433370197362,-163.20485889134795
69250.0,71067.0,69250.0,109346.0,69250.0,48987.0,-133.96783055161387,-30.92882126635795,-167.28832753993575
69261.0,71025.0,69261.0,109348.0,69261.0,48986.0,-138.61385116116685,-31.862988968915783,-171.33116933016638
69261.0,71040.0,69261.0,109290.0,69261.0,48961.0,-143.25724173551916,-32.79807232413367,-175.33419119170608
69261.0,71035.0,69261.0,109325.0,69261.0,48959.0,-147.89887686120085,-33.73511532595788,-179.29837542803025
69261.0,71042.0,69261.0,109326.0,69261.0,48951.0,-152.5400634412273,-34.675396721954435,-183.22508492127054
69261.0,71061.0,69261.0,109320.0,69261.0,48980.0,-157.18232878905536,-35.620449490219876,-187.11617257131587
69261.0,71032.0,69261.0,109346.0,69261.0,48981.0,-161.82710975540923,-36.571853587101785,-190.9737844591264
69271.0,71006.0,69271.0,109318.0,69271.0,48948.0,-166.47562211603366,-37.531050835066765,-194.80001250297863
69271.0,71014.0,69271.0,109306.0,69271.0,48933.0,-171.1290983811949,-38.49930130121652,-198.59683973548567
69271.0,71027.0,69271.0,109324.0,69271.0,48941.0,-175.78906816855607,-39.47786004467898,-202.36645908333313
69271.0,71034.0,69271.0,109329.0,69271.0,48971.0,-180.45727028392176,-40.46811515556135,-206.1114758447234
69271.0,71012.0,69271.0,109350.0,69271.0,48963.0,-185.1353300273034,-41.4714138426783,-209.83465380859536
69271.0,71011.0,69271.0,109319.0,69271.0,48928.0,-189.82459224903928,-42.48874651886577,-213.5385347997664
69281.0,70990.0,69281.0,109357.0,69281.0,48938.0,-194.52621533924395,-43.520562045772635,-217.22542332693905
69281.0,70987.0,69281.0,109298.0,69281.0,48928.0,-199.24138242370327,-44.56674851156055,-220.89763911446826
69281.0,71008.0,69281.0,109317.0,69281.0,48938.0,-203.97144961665572,-45.626791670021085,-224.55764079374345
69281.0,70995.0,69281.0,109344.0,69281.0,48943.0,-208.7178693943101,-46.70000985701344,-228.2079316348675
69281.0,71004.0,69281.0,109299.0,69281.0,48931.0,-213.4819477346865,-47.785567912478456,-231.850868662926
69281.0,70986.0,69281.0,109279.0,69281.0,48929.0,-218.26465961265242,-48.88249071381751,-235.48852888331223
69292.0,70981.0,69292.0,109312.0,69292.0,48913.0,-223.0666159022712,-49.99001835339554,-239.12272967972862
69292.0,70969.0,69292.0,109287.0,69292.0,48917.0,-227.88815737156588,-51.10791241111701,-242.7551486781855
69292.0,70980.0,69292.0,109327.0,69292.0,48921.0,-232.72947456440855,-52.23639966804666,-246.38740540457292
69292.0,70974.0,69292.0,109296.0,69292.0,48905.0,-237.5906098740337,-53.37595766362965,-250.02103385124627
69292.0,70958.0,69292.0,109351.0,69292.0,48915.0,-242.47136811151026,-54.527073633236085,-253.65743089638673
69292.0,70926.0,69292.0,109307.0,69292.0,48894.0,-247.3713743666284,-55.68996062529488,-257.29785945239985
69302.0,70939.0,69302.0,109283.0,69302.0,48871.0,-252.29038237637639,-56.86443315687057,-260.9435528435404
69302.0,70926.0,69302.0,109277.0,69302.0,48888.0,-257.22858044626037,-58.05023381627859,-264.5959608446793
69302.0,70931.0,69302.0,109283.0,69302.0,48899.0,-262.18667434424054,-59.24757404024635,-268.2569066356244
69302.0,70938.0,69302.0,109355.0,69302.0,48891.0,-267.1658038246029,-60.45726374056722,-271.92842391952524
69302.0,70926.0,69302.0,109310.0,69302.0,48894.0,-272.1673818039037,-61.68021121196529,-275.61247854362546
69302.0,70925.0,69302.0,109312.0,69302.0,48886.0,-277.19294722206405,-62.916839702475976,-279.31082145296114
69312.0,70924.0,69312.0,109295.0,69312.0,48883.0,-282.24410642292855,-64.1670236901827,-283.0249526792435
69312.0,70929.0,69312.0,109278.0,69312.0,48875.0,-287.32247801081724,-65.43042140775725,-286.756137621566
69312.0,70937.0,69312.0,109322.0,69312.0,48857.0,-292.4295318523502,-66.70677054100214,-290.5054897365613
69312.0,70927.0,69312.0,109316.0,69312.0,48867.0,-297.566344435641,-67.99584962321975,-294.27411959577455
69312.0,70904.0,69312.0,109281.0,69312.0,48863.0,-302.73344053434454,-69.29720024878182,-298.06323694494915
69312.0,70890.0,69312.0,109333.0,69312.0,48868.0,-307.9309032788831,-70.61002092904477,-301.8740984713395
69323.0,70900.0,69323.0,109284.0,69323.0,48855.0,-313.1586595259754,-71.93319415715824,-305.7078821894158
69323.0,70882.0,69323.0,109304.0,69323.0,48849.0,-318.4166592251637,-73.26527064501511,-309.56564018406914
