c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
310338.0,3311.0,310338.0,16676.0,310338.0,44811.0,41.3729408060844,30.687845876335665,95.86263085509736
310338.0,3301.0,310338.0,16624.0,310338.0,44803.0,34.13044926362929,24.774353424332972,87.49636836342853
310338.0,3271.0,310338.0,16616.0,310338.0,44785.0,26.72822568626053,18.812919243226744,78.87377406444972
310338.0,3266.0,310338.0,16604.0,310338.0,44752.0,19.177090805913153,12.819942965882419,70.00611875559758
310338.0,3284.0,310338.0,16600.0,310338.0,44780.0,11.48750632129611,6.810159611074269,60.90478493160981
310338.0,3274.0,310338.0,16635.0,310338.0,44771.0,3.6696282056489906,0.7965637163899544,51.58121883188477
310348.0,3244.0,310348.0,16606.0,310348.0,44717.0,-4.266461540274207,-5.209326018726955,42.0470984273376
310348.0,3257.0,310348.0,16605.0,310348.0,44709.0,-12.310697147972078,-11.197133181781211,32.314251520250565
310348.0,3224.0,310348.0,16582.0,310348.0,44689.0,-20.45313556355707,-17.15755345427209,22.394206204304197
310348.0,3197.0,310348.0,16560.0,310348.0,44700.0,-28.684116174244707,-23.082560257016837,12.29783268813594
310348.0,3192.0,310348.0,16556.0,310348.0,44666.0,-36.99457528448623,-28.96573677830638,2.0352865790883357
310348.0,3201.0,310348.0,16596.0,310348.0,44674.0,-45.37636387269606,-34.80248370089154,-8.383949095867223
310358.0,3197.0,310358.0,16607.0,310358.0,44691.0,-53.82225322020062,-40.5897486848465,-18.95097810274885
310358.0,3176.0,310358.0,16588.0,310358.0,44652.0,-62.32571772009646,-46.32537085057399,-29.657232239543447
310358.0,3166.0,310358.0,16562.0,310358.0,44633.0,-70.88083103934036,-52.007643435703045,-40.494262502453466
310358.0,3162.0,310358.0,16569.0,310358.0,44614.0,-79.48234263024014,-57.635378022036804,-51.45388604086608
310358.0,3178.0,310358.0,16604.0,310358.0,44673.0,-88.12569396227389,-63.20803326755703,-62.528363357341505
310358.0,3165.0,310358.0,16597.0,310358.0,44620.0,-96.80680263019428,-68.72542046798938,-73.71011830339572
310369.0,3145.0,310369.0,16586.0,310369.0,44575.0,-105.52178043414347,-74.18716608053555,-84.99135729954963
310369.0,3123.0,310369.0,16521.0,310369.0,44561.0,-114.26688912500134,-79.59253428879464,-96.36428621003105
310369.0,3119.0,310369.0,16522.0,310369.0,44542.0,-123.03875417956797,-84.94088687186783,-107.82173489407967
310369.0,3124.0,310369.0,16552.0,310369.0,44556.0,-131.83455340566275,-90.23232506138919,-119.35753804517776
310369.0,3118.0,310369.0,16535.0,310369.0,44580.0,-140.6519659717444,-95.46783748053966,-130.96641958242617
310369.0,3117.0,310369.0,16543.0,310369.0,44557.0,-149.48894873641265,-100.64900272889528,-142.64346579261877
310379.0,3101.0,310379.0,16564.0,310379.0,44543.0,-158.34352613820505,-105.77766751678973,-154.38358000191153
310379.0,3093.0,310379.0,16540.0,310379.0,44526.0,-167.21369490133682,-110.85563065951584,-166.18129130802998
310379.0,3075.0,310379.0,16501.0,310379.0,44489.0,-176.09744767122683,-115.88445834689114,-178.03087706803768
310379.0,3069.0,310379.0,16546.0,310379.0,44495.0,-184.99286707632456,-120.86564312241867,-189.92661718512124
310379.0,3074.0,310379.0,16544.0,310379.0,44508.0,-193.89818707175408,-125.8006997549607,-201.86293348488522
310379.0,3061.0,310379.0,16545.0,310379.0,44492.0,-202.81172044159757,-130.69082963972784,-213.8341755684038
310389.0,3049.0,310389.0,16516.0,310389.0,44449.0,-211.73171930127012,-135.5365442602389,-225.83430224301094
310389.0,3030.0,310389.0,16516.0,310389.0,44379.0,-220.65634674365486,-140.3376483723612,-237.85704357034342
310389.0,3001.0,310389.0,16448.0,310389.0,44403.0,-229.5838365876445,-145.0935626576245,-249.89663883996207
310389.0,2996.0,310389.0,16441.0,310389.0,44401.0,-238.51279878906462,-149.80395953945356,-261.9484706965685
310389.0,3022.0,310389.0,16509.0,310389.0,44388.0,-247.44244391231535,-154.46940659207277,-274.00906336438754
310389.0,3012.0,310389.0,16504.0,310389.0,44391.0,-256.37243326795317,-159.09130317558703,-286.07574665106046
310400.0,2991.0,310400.0,16476.0,310400.0,44392.0,-265.3024923568551,-163.6711892049728,-298.14634809340026
310400.0,2981.0,310400.0,16455.0,310400.0,44374.0,-274.23222880632386,-168.2103832309414,-310.2188870293173
310400.0,2969.0,310400.0,16483.0,310400.0,44362.0,-283.16122766408785,-172.7101845389283,-322.29132733608833
310400.0,2974.0,310400.0,16484.0,310400.0,44374.0,-292.08915693331227,-177.17198354081913,-334.36144759170304
310400.0,2964.0,310400.0,16461.0,310400.0,44346.0,-301.01572348855643,-181.5970355480412,-346.4266830218461
310400.0,2963.0,310400.0,16489.0,310400.0,44323.0,-309.94051985896795,-185.9862439384381,-358.4839797820903
310410.0,2925.0,310410.0,16440.0,310410.0,44314.0,-318.86292176399706,-190.34009838692873,-370.5298599848824
310410.0,2932.0,310410.0,16421.0,310410.0,44291.0,-327.7821720053331,-194.65880658257507,-382.56061662198016
310410.0,2930.0,310410.0,16416.0,310410.0,44260.0,-336.6975252650277,-198.94272667086847,-394.57250897596447
310410.0,2926.0,310410.0,16444.0,310410.0,44270.0,-345.6082049171788,-203.1927766154336,-406.5619869705022
310410.0,2924.0,310410.0,16487.0,310410.0,44326.0,-354.51319211571916,-207.41029025115364,-418.5256734017723
310410.0,2911.0,310410.0,16442.0,310410.0,44252.0,-363.4110272971348,-211.59635642844756,-430.45983299097827
310421.0,2887.0,310421.0,16426.0,310421.0,44264.0,-372.2997334149496,-215.75133534690437,-442.35984644493254
310421.0,2874.0,310421.0,16434.0,310421.0,44214.0,-381.17692773731727,-219.87497298158152,-454.22023807885284
310421.0,2874.0,310421.0,16405.0,310421.0,44220.0,-390.0400372750146,-223.96672706157906,-466.03500823579486
310421.0,2874.0,310421.0,16440.0,310421.0,44237.0,-398.88638721190966,-228.02591605317704,-477.79781129512867
310421.0,2874.0,310421.0,16439.0,310421.0,44209.0,-407.71306528261897,-232.05162033355313,-489.5017851866287
310421.0,2860.0,310421.0,16430.0,310421.0,44181.0,-416.51668765631445,-236.04236593462215,-501.1392855823933
310431.0,2824.0,310431.0,16383.0,310431.0,44167.0,-425.2932971275031,-239.9959450404882,-512.70193782934
310431.0,2824.0,310431.0,16406.0,310431.0,44140.0,-434.03853740843493,-243.90966267896,-524.1809461587296
310431.0,2824.0,310431.0,16391.0,310431.0,44138.0,-442.7479174682662,-247.7806939773902,-535.5673811686638
310431.0,2828.0,310431.0,16390.0,310431.0,44184.0,-451.416838216278,-251.60619589284582,-546.8522151583105
310431.0,2818.0,310431.0,16380.0,310431.0,44132.0,-460.04036953240274,-255.383296952527,-558.0259437068961
310431.0,2800.0,310431.0,16397.0,310431.0,44142.0,-468.6130368320257,-259.1091027088447,-569.0781196130165
310441.0,2813.0,310441.0,16400.0,310441.0,44081.0,-477.1287488692994,-262.780585461623,-579.9972831752075
310441.0,2789.0,310441.0,16394.0,310441.0,44104.0,-485.5807536304044,-266.3943239402913,-590.7712446325332
310441.0,2798.0,310441.0,16418.0,310441.0,44105.0,-493.9615456143581,-269.94622661309404,-601.387294154529
310441.0,2774.0,310441.0,16394.0,310441.0,44110.0,-502.2627894803499,-273.4312792128383,-611.832015980083
310441.0,2773.0,310441.0,16382.0,310441.0,44084.0,-510.4753028039651,-276.84339554054,-622.0908690165143
310441.0,2757.0,310441.0,16362.0,310441.0,44068.0,-518.5890941653615,-280.1755477741196,-632.1479633658201
310452.0,2746.0,310452.0,16336.0,310452.0,44036.0,-526.5934366293604,-283.4201582641091,-641.9861830071201
310452.0,2727.0,310452.0,16353.0,310452.0,44030.0,-534.4769830111393,-286.5695526911062,-651.587513489091
310452.0,2720.0,310452.0,16348.0,310452.0,44012.0,-542.2279394628482,-289.6162259078118,-660.9333667403572
310452.0,2740.0,310452.0,16372.0,310452.0,44053.0,-549.8341783474773,-292.5527729796036,-670.0046850164922
310452.0,2726.0,310452.0,16381.0,310452.0,44037.0,-557.2831147180037,-295.3715504265887,-678.7816586403654
310452.0,2697.0,310452.0,16356.0,310452.0,44018.0,-564.561484408496,-298.06427028280467,-687.2432483862382
310462.0,2697.0,310462.0,16333.0,310462.0,43995.0,-571.6553600831303,-300.6218611379231,-695.3669887272313
310462.0,2693.0,310462.0,16337.0,310462.0,43972.0,-578.550349008761,-303.03473809138336,-703.1292122665931
310462.0,2703.0,310462.0,16393.0,310462.0,43987.0,-585.2316390878151,-305.29303467008947,-710.5053965686607
310462.0,2675.0,310462.0,16345.0,310462.0,43944.0,-591.6838592139065,-307.3863538253173,-717.4703710691796
310462.0,2686.0,310462.0,16318.0,310462.0,43892.0,-597.8909790630985,-309.30346938128946,-723.9985710364955
310462.0,2660.0,310462.0,16301.0,310462.0,43908.0,-603.8363317919857,-311.0326299094278,-730.064636879238
310472.0,2641.0,310472.0,16296.0,310472.0,43924.0,-609.5027358767941,-312.56224480332116,-735.643979162359
310472.0,2645.0,310472.0,16286.0,310472.0,43921.0,-614.8727328207506,-313.8814085476771,-740.7127617202393
310472.0,2647.0,310472.0,16326.0,310472.0,43896.0,-619.9287874806471,-314.9801016518037,-745.2475667446397
310472.0,2641.0,310472.0,16325.0,310472.0,43917.0,-624.6532694412313,-315.84902002871604,-749.2252546218635
310472.0,2645.0,310472.0,16330.0,310472.0,43906.0,-629.0283131431013,-316.4791404033065,-752.6229545211361
310472.0,2622.0,310472.0,16301.0,310472.0,43876.0,-633.035729351826,-316.86141668001164,-755.4180286347332
310483.0,2611.0,310483.0,16302.0,310483.0,43859.0,-636.6570697331342,-316.9868564825931,-757.5882435367381
310483.0,2612.0,310483.0,16326.0,310483.0,43887.0,-639.8738451218542,-316.84676364508584,-759.1121615329097
310483.0,2629.0,310483.0,16319.0,310483.0,43872.0,-642.6676795181513,-316.4327644612026,-759.969335832113
310483.0,2602.0,310483.0,16326.0,310483.0,43860.0,-645.0202486291955,-315.73661190216023,-760.1402555901234
310483.0,2606.0,310483.0,16251.0,310483.0,43862.0,-646.913209969635,-314.7501809126512,-759.606391589366
310483.0,2584.0,310483.0,16293.0,310483.0,43822.0,-648.3283295090034,-313.46593432300347,-758.3504565125053
310493.0,2583.0,310493.0,16312.0,310493.0,43881.0,-649.2477386752989,-311.87744275010675,-756.3567205330437
