c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35139.0,12874.0,35139.0,8297.0,35139.0,21495.0,-168.37097757612926,-55.34793692798425,-128.6650732779653
35139.0,12867.0,35139.0,8275.0,35139.0,21478.0,-175.63746740784623,-59.37483949078078,-134.27635326947757
35139.0,12855.0,35139.0,8273.0,35139.0,21467.0,-183.04650551466386,-63.4514694610433,-139.98562318583004
35139.0,12842.0,35139.0,8260.0,35139.0,21464.0,-190.58867870539618,-67.5696384185527,-145.7848645330212
35149.0,12832.0,35149.0,8258.0,35149.0,21464.0,-198.25463192366857,-71.72176434875811,-151.6664653766625
35149.0,12828.0,35149.0,8275.0,35149.0,21466.0,-206.03522581102027,-75.90095417047604,-157.62322624641985
35149.0,12822.0,35149.0,8275.0,35149.0,21457.0,-213.9216277638124,-80.10088086589583,-163.64825633267571
35149.0,12813.0,35149.0,8253.0,35149.0,21434.0,-221.9053266602266,-84.31554448136062,-169.73492008320528
35149.0,12793.0,35149.0,8244.0,35149.0,21433.0,-229.97816058647794,-88.53921469235323,-175.8769619177031
35149.0,12790.0,35149.0,8237.0,35149.0,21429.0,-238.13243676218332,-92.76663000527145,-182.0687121356096
35159.0,12797.0,35159.0,8250.0,35159.0,21425.0,-246.36105286092197,-96.99319474460336,-188.30518398879792
35159.0,12796.0,35159.0,8261.0,35159.0,21442.0,-254.65743986389094,-101.21493317228094,-194.58201353274885
35159.0,12787.0,35159.0,8251.0,35159.0,21426.0,-263.0153469149179,-105.42821707873021,-200.8952747982844
35159.0,12780.0,35159.0,8239.0,35159.0,21422.0,-271.428666716262,-109.62952601305268,-207.2412878033041
35159.0,12762.0,35159.0,8218.0,35159.0,21408.0,-279.8914069033375,-113.81547299993157,-213.61657940784318
35159.0,12748.0,35159.0,8211.0,35159.0,21410.0,-288.39779747833893,-117.98307359634767,-220.01797082439606
35170.0,12748.0,35170.0,8227.0,35170.0,21401.0,-296.94246973687046,-122.13002364414102,-226.44264821203274
