c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
413684,15279,413684,29010,413684.0,55920.0,130.7218433900697,158.932563029868,499.32265423362566
413684,15285,413684,29042,413684.0,55949.0,135.57229455740486,160.570456626353,502.18889267663326
413684,15313,413684,29002,413684.0,55907.0,140.47516815800566,162.21381196582882,505.0574296729365
413684,15304,413684,29031,413684.0,55882.0,145.42030049898008,163.8576337182091,507.927333973224
413684,15329,413684,29037,413684.0,55964.0,150.3979602520357,165.49716893418952,510.79746533413
413684,15313,413684,29060,413684.0,55972.0,155.39902315121117,167.1280802759842,513.6665989996377
413695,15332,413695,29018,413695.0,55911.0,160.41504260515168,168.74675915283464,516.534105096245
413695,15331,413695,29028,413695.0,55930.0,165.4382650874134,170.35037820306442,519.4002338525506
413695,15335,413695,29061,413695.0,55904.0,170.4616553367796,171.93671359392985,522.2657375053851
413695,15339,413695,29010,413695.0,55897.0,175.47891947622787,173.50412376075192,525.1314299293107
413695,15320,413695,29034,413695.0,55888.0,180.484451401242,175.0515693062016,527.9978580095739
413695,15311,413695,28987,413695.0,55901.0,185.4731135993662,176.57836853314822,530.8650300963086
413705,15314,413705,29019,413705.0,55905.0,190.43985461002146,178.0838161415007,533.7323431847617
413705,15323,413705,28978,413705.0,55901.0,195.37937173872558,179.56686951114375,536.5987108448593
413705,15342,413705,29013,413705.0,55872.0,200.2860235890339,181.02593497766173,539.4626409771466
413705,15349,413705,29008,413705.0,55875.0,205.1539905617543,182.45879865920682,542.3220509388632
413705,15343,413705,29004,413705.0,55884.0,209.97750743951588,183.8627281950565,545.1739678205524
413705,15364,413705,29026,413705.0,55865.0,214.75099420303403,185.23461797212852,548.0143911914479
413715,15347,413715,29038,413715.0,55888.0,219.46909538231387,186.5711678067236,550.8382961500463
413715,15361,413715,29017,413715.0,55896.0,224.12667466814514,187.86915791354548,553.6397201443946
413715,15376,413715,29061,413715.0,55901.0,228.71879531307246,189.1256806284567,556.4120187172382
413715,15377,413715,29021,413715.0,55868.0,233.24080588711752,190.3383006532597,559.1481223964686
413715,15362,413715,28988,413715.0,55846.0,237.6884688119727,191.50505284689356,561.8404367447052
413715,15351,413715,29024,413715.0,55873.0,242.05787076462576,192.62407729499043,564.480416152626
413726,15361,413726,28952,413726.0,55889.0,246.3451049706176,193.6931325474464,567.0583337428171
413726,15365,413726,28970,413726.0,55825.0,250.54600478993734,194.70914291693148,569.5634095593072
413726,15379,413726,29006,413726.0,55845.0,254.65610681231666,195.6677738465708,571.983748930446
413726,15381,413726,29061,413726.0,55907.0,258.67077883898776,196.56355149719076,574.3060873062145
413726,15394,413726,29042,413726.0,55918.0,262.58539147120837,197.39071692013957,576.5161251307703
413726,15378,413726,29060,413726.0,55887.0,266.39544643354384,198.14411680100864,578.5993965089264
413736,15389,413736,29010,413736.0,55916.0,270.0965848790032,198.81955014285543,580.5418140637983
413736,15410,413736,29069,413736.0,55879.0,273.6845506986108,199.41367628240175,582.329732594292
413736,15398,413736,29026,413736.0,55881.0,277.15528706298966,199.92392554331906,583.9498476839663
413736,15395,413736,29032,413736.0,55879.0,280.50506919442887,200.3485340580701,585.3890066032634
413736,15390,413736,28946,413736.0,55876.0,283.7304448201699,200.68629809958796,586.6340513360021
413736,15383,413736,29000,413736.0,55854.0,286.82802087874086,200.93585977907418,587.671754867594
413746,15394,413746,29015,413746.0,55862.0,289.79425646709706,201.09512317588883,588.4887054536853
413746,15380,413746,28983,413746.0,55894.0,292.62533297133814,201.16131699688717,589.0712425063111
413746,15420,413746,29019,413746.0,55919.0,295.31713387687546,201.1312909959014,589.4057885605921
413746,15417,413746,29032,413746.0,55928.0,297.8654173537937,201.0017163740839,589.479595970169
413746,15418,413746,29017,413746.0,55920.0,300.2661432973806,200.76941286663757,589.2815080638469
413746,15412,413746,29035,413746.0,55931.0,302.515687826934,200.43169536152965,588.8024275588743
413757,15418,413757,29052,413757.0,55938.0,304.61084013744676,199.98660051140484,588.035589720235
413757,15437,413757,29038,413757.0,55907.0,306.54878823913543,199.43317353091547,586.9767963792708
413757,15418,413757,29038,413757.0,55890.0,308.3272353480683,198.7717342896416,585.6244511521754
413757,15414,413757,28980,413757.0,55875.0,309.944485120572,198.0038252421636,583.9792664745191
413757,15419,413757,29003,413757.0,55832.0,311.39933997906434,197.13177440283306,582.0437942839008
413757,15420,413757,28979,413757.0,55859.0,312.690970434482,196.1581687824986,579.8219422292867
413767,15426,413767,29013,413767.0,55826.0,313.8189213896547,195.08561058089697,577.3186493684823
413767,15425,413767,29010,413767.0,55833.0,314.783204857501,193.9168390261608,574.5397940835633
413767,15442,413767,29028,413767.0,55869.0,315.5844244670252,192.65508623369544,571.4922753660334
413767,15442,413767,29036,413767.0,55855.0,316.223964133701,191.30451116411774,568.1843785815066
413767,15437,413767,28998,413767.0,55846.0,316.7042064683077,189.87053550565886,564.6263101311885
413767,15433,413767,29011,413767.0,55836.0,317.0286432637681,188.35988706469513,560.8304878952671
413777,15432,413777,28970,413777.0,55845.0,317.20184357773803,186.78035251103842,556.8115850969275
413777,15423,413777,28982,413777.0,55820.0,317.22937238837045,185.1404294915406,552.5865943106411
413777,15399,413777,28960,413777.0,55805.0,317.1176536051647,183.44900535799655,548.1748767331617
413777,15396,413777,28923,413777.0,55745.0,316.8736882135564,181.7150420016717,543.5979472480151
413777,15387,413777,28915,413777.0,55757.0,316.5046941316339,179.94710663827925,538.8789319230177
413777,15406,413777,28965,413777.0,55697.0,316.0178759990876,178.15290610903304,534.0419340233577
413788,15399,413788,28960,413788.0,55719.0,315.42044001909545,176.33934249505526,529.1115182644769
413788,15409,413788,28991,413788.0,55756.0,314.7197706472711,174.5131059834603,524.1125108528279
413788,15420,413788,28947,413788.0,55701.0,313.9236494925565,172.68126846992706,519.0702966529836
413788,15393,413788,28970,413788.0,55707.0,313.04046154687245,170.85151542773994,514.011197810614
413788,15389,413788,28950,413788.0,55676.0,312.0792407574159,169.03210282888062,508.96244326432793
413788,15395,413788,28985,413788.0,55681.0,311.0495060999154,167.231856589736,503.95193875689347
413798,15393,413798,28956,413798.0,55680.0,309.96113880167223,165.46035593229198,499.00817442371783
413798,15367,413798,28887,413798.0,55621.0,308.8243793320172,163.72797253136525,494.1602265558579
413798,15379,413798,28907,413798.0,55559.0,307.6497394456466,162.045346229603,489.4374256107679
413798,15353,413798,28881,413798.0,55573.0,306.4478107348051,160.4225944762756,484.86847097201996
413798,15349,413798,28901,413798.0,55541.0,305.22906244271826,158.86886833949714,480.48054601434353
413798,15347,413798,28882,413798.0,55605.0,304.00362010322885,157.39228107857974,476.2990315723617
413809,15356,413809,28936,413809.0,55540.0,302.78111978460595,156.00003291836114,472.3477805078421
413809,15358,413809,28908,413809.0,55567.0,301.57076308096185,154.69876413897236,468.64947495237357
413809,15365,413809,28887,413809.0,55543.0,300.3815199214649,153.494919705131,465.2257355806329
413809,15358,413809,28876,413809.0,55520.0,299.22235140208073,152.39470428276493,462.09707931292735
413809,15339,413809,28902,413809.0,55509.0,298.10232080439454,151.403758974747,459.2827652184641
413809,15355,413809,28899,413809.0,55518.0,297.03053382143514,150.52708776573678,456.80055426299805
413819,15341,413819,28878,413819.0,55507.0,296.01605138024877,149.7692537306594,454.66663119310755
413819,15330,413819,28881,413819.0,55487.0,295.06786380991724,149.13444212378886,452.8956778622029
413819,15302,413819,28848,413819.0,55472.0,294.19474797547355,148.62626270527625,451.500816174688
413819,15309,413819,28861,413819.0,55426.0,293.40492006885546,148.24743687851202,450.49328660664474
413819,15318,413819,28826,413819.0,55467.0,292.70573066936214,147.99947678179478,449.8819873496126
413819,15317,413819,28883,413819.0,55434.0,292.10364667980457,147.882473625135,449.6732015577899
413829,15316,413829,28894,413829.0,55474.0,291.6044227620481,147.8952502123267,449.8706763318117
413829,15315,413829,28904,413829.0,55499.0,291.2132354041715,148.03595656626118,450.47599251995854
413829,15311,413829,28853,413829.0,55449.0,290.9347308610414,148.30261894867306,451.4891118789758
413829,15312,413829,28894,413829.0,55461.0,290.77303536786167,148.6931788964141,452.9086886957551
413829,15313,413829,28895,413829.0,55454.0,290.73176592567233,149.20535017622944,454.7319475397108
413829,15294,413829,28900,413829.0,55485.0,290.8140334292217,149.83677739126531,456.9545865691009
413840,15298,413840,28848,413840.0,55440.0,291.0223611184897,150.5852433466147,459.5709412286439
