c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207448.0,16898.0,207448.0,13161.0,207448.0,31136.0,360.85847490001254,290.80784260574325,561.224570566506
207448.0,16901.0,207448.0,13184.0,207448.0,31175.0,362.0045721042238,296.6515262648642,574.0335968047298
207448.0,16913.0,207448.0,13172.0,207448.0,31175.0,363.0153706448084,302.43871606254044,586.7468024604948
207448.0,16895.0,207448.0,13179.0,207448.0,31207.0,363.88270719334497,308.1488021298849,599.3181288001434
207448.0,16910.0,207448.0,13179.0,207448.0,31229.0,364.59867395497986,313.76097029991274,611.7014880393908
207448.0,16899.0,207448.0,13201.0,207448.0,31227.0,365.1556532441043,319.25415299690013,623.8511064659349
207458.0,16904.0,207458.0,13233.0,207458.0,31272.0,365.54635514103796,324.60717976647436,635.7218334991419
207458.0,16904.0,207458.0,13227.0,207458.0,31299.0,365.76387061663866,329.79918478905904,647.2694950633805
207458.0,16893.0,207458.0,13236.0,207458.0,31296.0,365.8017180980939,334.8100271867947,658.4514060571992
207458.0,16897.0,207458.0,13236.0,207458.0,31303.0,365.6538533419751,339.62048397117456,669.226784305073
207458.0,16889.0,207458.0,13234.0,207458.0,31308.0,365.31464079924024,344.2122668723028,679.5568386871702
207458.0,16888.0,207458.0,13241.0,207458.0,31330.0,364.7788311885013,348.5679830695526,689.404731087703
207469.0,16890.0,207469.0,13258.0,207469.0,31350.0,364.0415616486932,352.6711294585592,698.7356825695479
207469.0,16898.0,207469.0,13279.0,207469.0,31348.0,363.0984170900859,356.50625862882396,707.5172452018123
207469.0,16878.0,207469.0,13259.0,207469.0,31349.0,361.94555896978966,360.05929279821055,715.7195281715121
207469.0,16863.0,207469.0,13238.0,207469.0,31357.0,360.5797556876411,363.31766038241057,723.315231494504
207469.0,16865.0,207469.0,13253.0,207469.0,31354.0,358.9982094921405,366.27006137648084,730.2795874527819
207469.0,16862.0,207469.0,13259.0,207469.0,31367.0,357.19836415957127,368.9061796798865,736.5903300398382
207479.0,16864.0,207479.0,13275.0,207479.0,31385.0,355.1778797191383,371.2166989063659,742.2277539259023
207479.0,16846.0,207479.0,13262.0,207479.0,31362.0,352.9347014525198,373.1935309448275,747.1748717562338
207479.0,16849.0,207479.0,13255.0,207479.0,31381.0,350.46707146331653,374.8299540127109,751.4175145908472
207479.0,16839.0,207479.0,13256.0,207479.0,31352.0,347.77347883368367,376.1205370146026,754.9442728235247
207479.0,16842.0,207479.0,13259.0,207479.0,31346.0,344.85264151478583,377.06100220165405,757.7463063697335
207479.0,16840.0,207479.0,13252.0,207479.0,31381.0,341.703562496456,377.6481821340341,759.8171216318185
207489.0,16833.0,207489.0,13250.0,207489.0,31367.0,338.32563803436585,377.8800184682291,761.1525806345023
207489.0,16824.0,207489.0,13260.0,207489.0,31344.0,334.71874713403423,377.7555480307292,761.7511061120991
207489.0,16816.0,207489.0,13237.0,207489.0,31341.0,330.8832595733254,377.2749146941996,761.6136617458245
207489.0,16819.0,207489.0,13224.0,207489.0,31326.0,326.82000698712557,376.4393119719747,760.7434711737906
207489.0,16806.0,207489.0,13239.0,207489.0,31320.0,322.53030402024257,375.2507814489335,759.14575299231
207489.0,16809.0,207489.0,13252.0,207489.0,31326.0,318.0160174958979,373.7121240225723,756.8275748550527
207500.0,16802.0,207500.0,13245.0,207500.0,31325.0,313.2796491515223,371.82712018761026,753.7978669753635
207500.0,16794.0,207500.0,13222.0,207500.0,31301.0,308.32442985461006,369.6007901161056,750.0675502788781
207500.0,16778.0,207500.0,13202.0,207500.0,31277.0,303.1543725981388,367.0393392571988,745.6495320211889
207500.0,16767.0,207500.0,13214.0,207500.0,31264.0,297.7742173861358,364.14984393348885,740.5584349501643
207500.0,16762.0,207500.0,13208.0,207500.0,31272.0,292.189310376353,360.940036956191,734.8102801807762
207500.0,16763.0,207500.0,13208.0,207500.0,31260.0,286.4055446200931,357.41835088091796,728.4224086537348
207510.0,16747.0,207510.0,13207.0,207510.0,31238.0,280.4294188889114,353.5940648502854,721.4135860180603
207510.0,16742.0,207510.0,13187.0,207510.0,31224.0,274.26811928061693,349.4774070162377,713.8040131245859
207510.0,16719.0,207510.0,13173.0,207510.0,31207.0,267.9295141110031,345.0795252193797,705.6151747377316
207510.0,16719.0,207510.0,13164.0,207510.0,31181.0,261.422063880612,340.412299285106,696.8696411625984
207510.0,16712.0,207510.0,13168.0,207510.0,31179.0,254.75474522278125,335.48814635497,687.5908726847573
207510.0,16705.0,207510.0,13179.0,207510.0,31180.0,247.93707962512755,330.3200252881121,677.8031252539321
207520.0,16700.0,207520.0,13140.0,207520.0,31153.0,240.9792362758495,324.92161544473413,667.531553788626
207520.0,16677.0,207520.0,13115.0,207520.0,31119.0,233.8921095615693,319.3073274218449,656.8023038703286
207520.0,16668.0,207520.0,13117.0,207520.0,31106.0,226.6872939835707,313.4919651870987,645.6423380457995
207520.0,16658.0,207520.0,13108.0,207520.0,31097.0,219.37697232776856,307.4903710354972,634.0791496921322
207520.0,16651.0,207520.0,13110.0,207520.0,31068.0,211.97383408766893,301.31735037817634,622.1406246313014
207520.0,16641.0,207520.0,13106.0,207520.0,31068.0,204.49108040894188,294.9877929106257,609.8550172239261
207531.0,16635.0,207531.0,13094.0,207531.0,31041.0,196.94247264487095,288.5168338522924,597.2509509939935
207531.0,16607.0,207531.0,13063.0,207531.0,31016.0,189.34235731040616,281.91991108834804,584.3574145348082
207531.0,16598.0,207531.0,13062.0,207531.0,30981.0,181.70558401482026,275.2126104647977,571.2036303443346
207531.0,16595.0,207531.0,13064.0,207531.0,30991.0,174.04735031092906,268.410456586845,557.8188077925736
207531.0,16580.0,207531.0,13050.0,207531.0,30965.0,166.38313285297858,261.52889348577037,544.2320362861626
207531.0,16567.0,207531.0,13032.0,207531.0,30937.0,158.72870841777416,254.58337167849035,530.4723601807555
207541.0,16555.0,207541.0,13024.0,207541.0,30927.0,151.10013476837332,247.58931648565982,516.5687876032664
207541.0,16550.0,207541.0,13023.0,207541.0,30906.0,143.51369287167273,240.562021628384,502.550203908419
207541.0,16533.0,207541.0,13003.0,207541.0,30881.0,135.98586482574956,233.5166193819104,488.4453223930085
207541.0,16515.0,207541.0,12996.0,207541.0,30861.0,128.5333085177797,226.46808226844283,474.2826247850553
207541.0,16509.0,207541.0,12998.0,207541.0,30859.0,121.1727596713115,219.43119508632174,460.0902804573719
207541.0,16502.0,207541.0,12970.0,207541.0,30817.0,113.9209315726174,212.4205575006332,445.8961385555301
207551.0,16474.0,207551.0,12959.0,207551.0,30795.0,106.79447466867555,205.45055397999892,431.72768891604704
207551.0,16459.0,207551.0,12945.0,207551.0,30775.0,99.80987204818479,198.53518942039517,417.61185932978543
207551.0,16448.0,207551.0,12955.0,207551.0,30769.0,92.98320550771263,191.68792962679902,403.5748121804141
207551.0,16455.0,207551.0,12951.0,207551.0,30760.0,86.32997178042837,184.92174654658828,389.64195207483516
207551.0,16449.0,207551.0,12929.0,207551.0,30726.0,79.86512446989872,178.24931317628497,375.83808290390914
207551.0,16434.0,207551.0,12921.0,207551.0,30718.0,73.60326428359866,171.68309677747527,362.18749292139114
207562.0,16421.0,207562.0,12880.0,207562.0,30695.0,67.55875042203007,165.2352123765102,348.7139164405281
207562.0,16409.0,207562.0,12894.0,207562.0,30660.0,61.745645627522435,158.91711304560397,335.4404523073444
207562.0,16381.0,207562.0,12873.0,207562.0,30647.0,56.17755513768918,152.7393270414689,322.3894019533077
207562.0,16400.0,207562.0,12898.0,207562.0,30642.0,50.86743396567306,146.71142963751376,309.5820809186293
207562.0,16380.0,207562.0,12895.0,207562.0,30630.0,45.82750575063784,140.84227966292858,297.0388135889201
207562.0,16389.0,207562.0,12880.0,207562.0,30605.0,41.069359540414155,135.1403868686,284.77908819082774
207572.0,16359.0,207572.0,12860.0,207572.0,30582.0,36.60406828167578,129.6141285304652,272.82162651457566
207572.0,16359.0,207572.0,12836.0,207572.0,30564.0,32.44217483693109,124.27163287620098,261.1842726136274
