c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207551,13180,207551,35845,207551,52898,-27.619657523993098,15.655790114003587,-19.83041018374412
207551,13145,207551,35781,207551,52914,-36.50096410585631,10.21389461918082,-25.806435452202912
207551,13127,207551,35758,207551,52870,-45.56808406582692,4.714363678302661,-31.980058323524027
207551,13123,207551,35802,207551,52904,-54.80654268308983,-0.8284289539538392,-38.34886921251652
207551,13132,207551,35847,207551,52913,-64.20253382106095,-6.401671649365937,-44.90988404414826
207551,13126,207551,35819,207551,52909,-73.74285609747066,-11.993409593804913,-51.65920596265036
207561,13088,207561,35787,207561,52859,-83.41472487849292,-17.591800109807473,-58.591672972230015
207561,13085,207561,35735,207561,52822,-93.2058167009349,-23.18518301686946,-65.70104816091066
207561,13074,207561,35731,207561,52820,-103.10452630041925,-28.762853084960014,-72.98074255429316
207561,13070,207561,35752,207561,52841,-113.10013511033901,-34.31581653246813,-80.42444344254345
207561,13073,207561,35788,207561,52838,-123.18278435011632,-39.836902532025135,-88.02616269635273
207561,13076,207561,35795,207561,52836,-133.34329757339378,-45.320161208305805,-95.77988336242305
207571,13038,207571,35729,207571,52812,-143.5729582325297,-50.76016357644404,-103.67927221495341
207571,13031,207571,35731,207571,52797,-153.863483382584,-56.15193620622347,-111.71768309466165
207571,13026,207571,35741,207571,52790,-164.20722416459927,-61.4914215097228,-119.88837434095609
207571,13026,207571,35769,207571,52830,-174.59729382681223,-66.77566242026846,-128.18462887982085
207571,13028,207571,35780,207571,52815,-185.02745758734065,-72.00237768065686,-136.5994756530368
207571,13016,207571,35730,207571,52745,-195.49189384475795,-77.16937912986992,-145.12531009645093
207582,12985,207582,35706,207582,52755,-205.98503740914413,-82.27447663368775,-153.75406553264725
207582,12985,207582,35698,207582,52734,-216.5016567240189,-87.3159840596226,-162.47781430061045
207582,12972,207582,35707,207582,52721,-227.03704586123607,-92.29327591235469,-171.28918569275552
207582,12972,207582,35722,207582,52754,-237.587100754606,-97.20691505825329,-180.1814633386629
207582,12974,207582,35729,207582,52759,-248.14823125610516,-102.0583616764145,-189.14835620259288
207582,12975,207582,35730,207582,52734,-258.7171435535412,-106.84951840995137,-198.1834940096666
207592,12943,207592,35713,207592,52691,-269.2905942562181,-111.58237678343417,-207.2801512159369
207592,12916,207592,35692,207592,52682,-279.8653712474268,-116.25894494100439,-216.43154376362085
207592,12928,207592,35699,207592,52675,-290.4385600980451,-120.88143640530615,-225.63136290088858
207592,12944,207592,35743,207592,52708,-301.00769544923855,-125.45236564192643,-234.8740039258504
207592,12926,207592,35730,207592,52714,-311.5705019970579,-129.97419013739017,-244.1542613779401
207592,12905,207592,35695,207592,52684,-322.1245428858772,-134.4487923529397,-253.46674382697378
207602,12879,207602,35666,207602,52640,-332.66720461664465,-138.87746525809612,-262.8056074553371
207602,12861,207602,35645,207602,52612,-343.196010455824,-143.26148840331035,-272.1649445478348
207602,12855,207602,35682,207602,52620,-353.7089993445551,-147.60274403359824,-281.5394850673985
207602,12880,207602,35712,207602,52635,-364.2048951599631,-151.9037782240213,-290.9249841495388
207602,12863,207602,35699,207602,52629,-374.6829105656592,-156.16722602711965,-300.3180568839304
207602,12836,207602,35673,207602,52627,-385.14242227061374,-160.39521171854017,-309.71576610351764
207613,12825,207613,35634,207613,52576,-395.5829305640621,-164.58934331884907,-319.11540244187313
207613,12818,207613,35646,207613,52585,-406.0042808879443,-168.75123049391618,-328.5146469867381
207613,12826,207613,35667,207613,52601,-416.4067953364339,-172.88292271038074,-337.9118393683151
207613,12822,207613,35656,207613,52592,-426.79115016684875,-176.98685272849292,-347.3059000681275
207613,12805,207613,35681,207613,52567,-437.1581308555284,-181.06547154803408,-356.6960162844727
207613,12792,207613,35614,207613,52548,-447.50850145534275,-185.12099161799821,-366.0815710130379
207623,12768,207623,35620,207623,52541,-457.8430894179966,-189.15553167233873,-375.4623821531937
207623,12765,207623,35629,207623,52526,-468.16299883697786,-193.1715558620326,-384.8389683385383
207623,12775,207623,35651,207623,52555,-478.46975578300567,-197.17204856631514,-394.21262900528956
207623,12781,207623,35664,207623,52544,-488.7651833247227,-201.16016171940075,-403.58523749606655
207623,12752,207623,35645,207623,52547,-499.0510749943598,-205.13867049710473,-412.9588362040511
207623,12737,207623,35618,207623,52501,-509.32902484130807,-209.1097027224887,-422.33536356796213
207633,12714,207633,35609,207633,52498,-519.6005921052888,-213.07493213351788,-431.71675570116145
207633,12726,207633,35596,207633,52498,-529.8675818960312,-217.03600878652952,-441.10525664767545
207633,12731,207633,35626,207633,52513,-540.1321119618854,-220.9948460785359,-450.50352031519975
207633,12722,207633,35638,207633,52509,-550.3963764459829,-224.9535154153059,-459.914344138948
207633,12700,207633,35596,207633,52481,-560.6623676239274,-228.91386988768065,-469.3403116426883
207633,12677,207633,35580,207633,52432,-570.9318611367552,-232.87743115310778,-478.7837748617802
207644,12663,207644,35587,207644,52389,-581.2066767980953,-236.8457337404019,-488.24740927116494
207644,12686,207644,35572,207644,52467,-591.4889376673767,-240.8206855558057,-497.73496270151463
207644,12672,207644,35621,207644,52488,-601.7810298425914,-244.8045964583669,-507.2512854549328
207644,12675,207644,35619,207644,52457,-612.0853074268614,-248.79982020284467,-516.8014512709481
207644,12650,207644,35600,207644,52436,-622.4038481764014,-252.80819788584026,-526.3899788285116
207644,12621,207644,35568,207644,52423,-632.7384621288124,-256.8308107779676,-536.0208032414431
207654,12616,207654,35547,207654,52406,-643.0909612399096,-260.8683055681311,-545.6976048037588
207654,12628,207654,35588,207654,52432,-653.4634410513897,-264.9214034291531,-555.4240091634474
207654,12631,207654,35600,207654,52426,-663.8582404158464,-268.99097159877545,-565.2034665513423
207654,12608,207654,35576,207654,52403,-674.277633852598,-273.07758662240883,-575.0389172060009
207654,12589,207654,35538,207654,52388,-684.7236490627793,-277.18124491671944,-584.9326253687095
207654,12571,207654,35513,207654,52339,-695.1982038091251,-281.3017063291895,-594.8863942454225
207664,12574,207664,35531,207664,52355,-705.7033718651207,-285.4391651094013,-604.9020282944552
207664,12575,207664,35561,207664,52381,-716.2414906018257,-289.5945764195028,-614.9816299392731
207664,12583,207664,35569,207664,52371,-726.8149988403796,-293.7693307699085,-625.1273562578683
207664,12563,207664,35550,207664,52379,-737.4261263198237,-297.9646406212695,-635.340850097826
207664,12532,207664,35537,207664,52320,-748.0767200489781,-302.18121587328676,-645.6228838613341
207664,12524,207664,35500,207664,52294,-758.7683997252421,-306.419420458558,-655.973529587174
207675,12507,207675,35495,207675,52311,-769.5028903806649,-310.6797481196546,-666.392713642741
207675,12538,207675,35546,207675,52342,-780.2821962630821,-314.9632227281595,-676.8804983112772
207675,12525,207675,35574,207675,52301,-791.1084195947831,-319.2711848181998,-687.4367401717111
207675,12516,207675,35555,207675,52245,-801.9833698536627,-323.60446835248285,-698.0607748831928
207675,12488,207675,35473,207675,52264,-812.9083419479215,-327.96284597787974,-708.7517435901048
207675,12472,207675,35482,207675,52237,-823.8842332205869,-332.3454429542875,-719.5091400334231
207685,12473,207685,35495,207685,52293,-834.911815083272,-336.7515976419062,-730.332916636268
207685,12475,207685,35510,207685,52265,-845.9918637850833,-341.18118504176607,-741.2230686301817
207685,12477,207685,35520,207685,52263,-857.1250167253892,-345.63427591225894,-752.1790564494256
207685,12467,207685,35491,207685,52232,-868.311477733513,-350.1106738240369,-763.1995156648189
207685,12426,207685,35457,207685,52197,-879.5508384283697,-354.60981382335694,-774.2824042331197
207685,12427,207685,35478,207685,52199,-890.8422079061464,-359.1310996129136,-785.4254171124118
207695,12425,207695,35516,207695,52224,-902.1844807759979,-363.6741470287535,-796.6262837990118
207695,12427,207695,35527,207695,52228,-913.5763853726453,-368.2383955237951,-807.88256232818
207695,12415,207695,35477,207695,52220,-925.0162858726517,-372.8224195638625,-819.191055284512
207695,12382,207695,35453,207695,52173,-936.5020297717768,-377.4237595653596,-830.5473943103708
207695,12364,207695,35420,207695,52148,-948.0310775519307,-382.0394849123107,-841.9461635595311
207695,12379,207695,35429,207695,52153,-959.6008033013368,-386.66697712620174,-853.3813962917293
207706,12379,207706,35479,207706,52160,-971.2085737665058,-391.3043119939204,-864.846896351004
207706,12374,207706,35485,207706,52148,-982.8514784260583,-395.9499088448962,-876.3361175866166
207706,12354,207706,35460,207706,52174,-994.5260142311254,-400.6017789325877,-887.8418078363237
207706,12334,207706,35448,207706,52128,-1006.2280064059266,-405.2571156827193,-899.3556443436925
207706,12329,207706,35434,207706,52103,-1017.952751256809,-409.91243329682175,-910.8680976229887
207706,12323,207706,35451,207706,52115,-1029.6951706568802,-414.5638409639923,-922.3686555831816
207716,12332,207716,35465,207716,52136,-1041.4497921747338,-419.2070541196281,-933.8459812139758
207716,12321,207716,35464,207716,52116,-1053.2105388216874,-423.8370740707395,-945.2876075248269
207716,12290,207716,35444,207716,52108,-1064.97051680183,-428.44781742629755,-956.679489853582
207716,12281,207716,35397,207716,52057,-1076.722044308734,-433.0320982171276,-968.0058996194957
207716,12269,207716,35392,207716,52006,-1088.4568831403294,-437.5821025378633,-979.2498360386096
207716,12279,207716,35390,207716,52053,-1100.1663860102522,-442.0900301194983,-990.3937498853072
207727,12268,207727,35431,207727,52062,-1111.8414080412838,-446.5483728643742,-1001.4198776126508
207727,12274,207727,35454,207727,52057,-1123.4720677169125,-450.94956143895723,-1012.3098120083442
207727,12251,207727,35438,207727,51989,-1135.0475134150859,-455.2852068275569,-1023.0439858839952
207727,12219,207727,35386,207727,51990,-1146.5558638141754,-459.5455968312656,-1033.6018100763565
207727,12215,207727,35357,207727,52001,-1157.9844237075044,-463.7199719305009,-1043.9621931908719
207727,12222,207727,35423,207727,52028,-1169.3199631176215,-467.797214530689,-1054.1036544999854
