c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
682.0,14065.0,682.0,7980.0,682.0,21039.0,119.05849431991098,25.431370265882258,41.815546342069226
682.0,14049.0,682.0,7963.0,682.0,21029.0,113.18194999113815,23.116567658135352,39.00670863334781
682.0,14037.0,682.0,7952.0,682.0,21015.0,107.12230602851142,20.756509290567493,36.10807194311642
682.0,14029.0,682.0,7959.0,682.0,21029.0,100.88725210133623,18.35630009156431,33.12269314855858
682.0,14037.0,682.0,7958.0,682.0,21021.0,94.48439973978107,15.9205645951944,30.053504528259673
682.0,14022.0,682.0,7960.0,682.0,21033.0,87.92130254202628,13.453484786455569,26.90340701608924
692.0,14027.0,692.0,7960.0,692.0,21025.0,81.20557072081652,10.958920014036899,23.675438938593857
692.0,14001.0,692.0,7951.0,692.0,21015.0,74.34494820061724,8.440501576508048,20.372902763673814
692.0,13984.0,692.0,7951.0,692.0,21003.0,67.34725083094769,5.901657333546737,16.99934857425599
692.0,13989.0,692.0,7944.0,692.0,21006.0,60.22016546444658,3.3455763422868827,13.558428325330176
692.0,13981.0,692.0,7952.0,692.0,21001.0,52.971103923768936,0.775180190141981,10.05377659629643
692.0,13974.0,692.0,7953.0,692.0,21000.0,45.60723505502085,-1.806828249525367,6.488998669491885
702.0,13967.0,702.0,7941.0,702.0,20988.0,38.13556713225577,-4.397854924347669,2.8676909397746897
702.0,13962.0,702.0,7939.0,702.0,20985.0,30.56298931126628,-6.995367108135127,-0.8065934820592773
702.0,13952.0,702.0,7921.0,702.0,20970.0,22.896304282673412,-9.59698124284892,-4.530446230789892
702.0,13935.0,702.0,7951.0,702.0,20980.0,15.142235709457907,-12.200580965791204,-8.300721734920856
702.0,13937.0,702.0,7928.0,702.0,20989.0,7.307375823870785,-14.804293382972787,-12.114548514700218
702.0,13932.0,702.0,7945.0,702.0,20974.0,-0.6018460866147848,-17.406339847602226,-15.969171097705214
713.0,13930.0,713.0,7925.0,713.0,20972.0,-8.579079404884368,-20.004925227196978,-19.861792639371238
713.0,13890.0,713.0,7915.0,713.0,20961.0,-16.61796363619078,-22.598252738357118,-23.789578213560823
713.0,13887.0,713.0,7909.0,713.0,20955.0,-24.712252331561984,-25.184682620872465,-27.74975815332985
713.0,13888.0,713.0,7931.0,713.0,20952.0,-32.85607885859977,-27.762899119082057,-31.739736418766654
713.0,13906.0,713.0,7935.0,713.0,20966.0,-41.04400602381,-30.331832858399935,-35.757125156153734
713.0,13876.0,713.0,7934.0,713.0,20947.0,-49.27076259952304,-32.8903467561198,-39.79964886902442
723.0,13860.0,723.0,7913.0,723.0,20922.0,-57.53102513285725,-35.43698703843799,-43.865086248119496
