c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69322.0,3617.0,69322.0,11958.0,69322.0,28914.0,-576.5553436711818,-525.7811932389959,-957.9690900622275
69322.0,3644.0,69322.0,11931.0,69322.0,28915.0,-584.1776062292894,-532.8366354037718,-970.4327360252875
69332.0,3630.0,69332.0,11904.0,69332.0,28888.0,-591.9833008030502,-540.0146651127758,-983.1192984411055
69332.0,3629.0,69332.0,11919.0,69332.0,28895.0,-599.9772930687914,-547.314603376548,-996.0275773047078
69332.0,3604.0,69332.0,11905.0,69332.0,28857.0,-608.163644811934,-554.7367652104709,-1009.1565311719586
69332.0,3642.0,69332.0,11981.0,69332.0,28864.0,-616.5456721615737,-562.2823784218654,-1022.5054725491692
69332.0,3659.0,69332.0,12036.0,69332.0,28961.0,-625.1257996629585,-569.9528248268776,-1036.0740380868647
69332.0,3616.0,69332.0,12000.0,69332.0,28917.0,-633.9051028251146,-577.7482888637377,-1049.861458027186
69342.0,3595.0,69342.0,11939.0,69342.0,28875.0,-642.8830793998189,-585.6667748370023,-1063.865590377408
69342.0,3569.0,69342.0,11899.0,69342.0,28814.0,-652.0580176732708,-593.7043731120756,-1078.0828632394425
69342.0,3545.0,69342.0,11886.0,69342.0,28823.0,-661.4276562000223,-601.8563806965493,-1092.5091577417452
69342.0,3545.0,69342.0,11842.0,69342.0,28810.0,-670.9897768268424,-610.1183939805301,-1107.1406623180903
69342.0,3551.0,69342.0,11828.0,69342.0,28836.0,-680.7425570300443,-618.487141042965,-1121.97411967034
69342.0,3569.0,69342.0,11969.0,69342.0,28778.0,-690.6845460426218,-626.9608694944009,-1137.006660806937
69353.0,3545.0,69353.0,11891.0,69353.0,28819.0,-700.8143518481733,-635.5387516490049,-1152.235675524153
69353.0,3529.0,69353.0,11886.0,69353.0,28769.0,-711.1304033585172,-644.2198494429177,-1167.6588084646546
69353.0,3531.0,69353.0,11888.0,69353.0,28795.0,-721.6310063821554,-653.0028149123575,-1183.2739310805373
