c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
413963.0,8291.0,413963.0,23573.0,413963.0,20052.0,177.82659980920488,10.707990933774367,34.839676936978734
413963.0,8263.0,413963.0,23568.0,413963.0,20047.0,171.01758817643952,10.994240521652088,31.459224526128594
413963.0,8263.0,413963.0,23607.0,413963.0,20049.0,163.9658376439021,11.183718582949426,27.981715980142802
413963.0,8279.0,413963.0,23601.0,413963.0,20059.0,156.67684475767453,11.263942112781294,24.406587927358487
413963.0,8248.0,413963.0,23619.0,413963.0,20066.0,149.156327055217,11.223458939688541,20.733629350261268
413963.0,8244.0,413963.0,23613.0,413963.0,20057.0,141.4103509706295,11.052205115290418,16.96326219496447
413973.0,8264.0,413973.0,23655.0,413973.0,20078.0,133.44534965232754,10.741785171077549,13.096798732678096
413973.0,8261.0,413973.0,23705.0,413973.0,20088.0,125.2682753621338,10.285973047742555,9.136720175977558
413973.0,8246.0,413973.0,23645.0,413973.0,20037.0,116.88696314345935,9.681496695183153,5.086974478437604
413973.0,8208.0,413973.0,23603.0,413973.0,20001.0,108.31032709270349,8.928410377794384,0.9528905145994884
413973.0,8178.0,413973.0,23560.0,413973.0,20000.0,99.54810970358696,8.02944160248174,-3.259481715022922
413973.0,8161.0,413973.0,23539.0,413973.0,19979.0,90.61030541971525,6.988723489645457,-7.544119327814165
413984.0,8160.0,413984.0,23502.0,413984.0,19975.0,81.50661425864402,5.810588435805711,-11.895476909085147
413984.0,8135.0,413984.0,23515.0,413984.0,19961.0,72.24615791619885,4.498633418386842,-16.308746413075582
413984.0,8155.0,413984.0,23547.0,413984.0,19973.0,62.8374135177408,3.055214666020122,-20.780027976212978
413984.0,8135.0,413984.0,23543.0,413984.0,19999.0,53.288299961180854,1.4815496714560075,-25.306284303148743
413984.0,8135.0,413984.0,23557.0,413984.0,19989.0,43.606370028336215,-0.22182851770332146,-29.884983639249853
413984.0,8124.0,413984.0,23588.0,413984.0,19987.0,33.7989764620003,-2.054614878329458,-34.51365606563367
413994.0,8148.0,413994.0,23649.0,413994.0,20015.0,23.873434019828466,-4.01610794257466,-39.189593908812824
