c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104484,6106,104484,23039,104484.0,62401.0,253.3518604599529,128.13566628301453,357.4899921094004
104484,6053,104484,22916,104484.0,62289.0,246.15725767733974,120.68453790507293,342.8580849772922
104484,6008,104484,22885,104484.0,62231.0,238.7417634117075,113.0712364170864,327.7648079659971
104484,6026,104484,22902,104484.0,62261.0,231.12090015272858,105.31769539472104,312.2371776907145
104484,6034,104484,22972,104484.0,62291.0,223.30875404366117,97.44260299606732,296.2999717591987
104484,6054,104484,23026,104484.0,62319.0,215.31811382436305,89.46205157821825,279.97624476314945
104494,6040,104494,22938,104494.0,62276.0,207.16104898383088,81.39099256063326,263.28851905296733
104494,5989,104494,22863,104494.0,62187.0,198.8493357751919,73.24390333460575,246.2594737544195
104494,5971,104494,22876,104494.0,62149.0,190.3943198813817,65.03399385267218,228.9114978636038
104494,6002,104494,22936,104494.0,62217.0,181.80645009974023,56.77219904162243,211.2657441555956
104494,6048,104494,23031,104494.0,62259.0,173.09527597508847,48.467510830090845,193.34210180884224
104494,6035,104494,23004,104494.0,62228.0,164.27023890435166,40.12865752441584,175.16042703917384
104504,5963,104504,22920,104504.0,62103.0,155.3415157129835,31.765665051626996,156.74164686205876
104504,5915,104504,22787,104504.0,62020.0,146.3199409802047,23.389755674204707,138.10731265477568
104504,5891,104504,22785,104504.0,61994.0,137.21601182987501,15.011506951272082,119.2778315224939
104504,5918,104504,22842,104504.0,62035.0,128.0388875401484,6.638887549902535,100.2709026909323
104504,5952,104504,22914,104504.0,62089.0,118.79618503237387,-1.7231203766399403,81.10137048406449
104504,5939,104504,22908,104504.0,62065.0,109.49460029916793,-10.071257857208366,61.78239010335983
104515,5918,104515,22836,104515.0,62010.0,100.14068161942569,-18.402566352105538,42.326719814495846
104515,5876,104515,22783,104515.0,61898.0,90.74108650646545,-26.714167665867706,22.74694510565888
104515,5858,104515,22782,104515.0,61948.0,81.3022553885589,-35.0041879372242,3.0545918986875336
104515,5905,104515,22910,104515.0,62001.0,71.82999761646442,-43.27246181016625,-16.740539987470015
