c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379775.0,15994.0,379775.0,15375.0,379775.0,34405.0,62.762541519698175,135.93601854413592,237.46846983593557
379775.0,15988.0,379775.0,15353.0,379775.0,34391.0,71.67580045225428,139.75194298194506,245.777230120556
379786.0,15985.0,379786.0,15344.0,379786.0,34411.0,80.91966529970748,143.66561821036288,254.32501431356076
379786.0,16009.0,379786.0,15362.0,379786.0,34428.0,90.49338254766114,147.6766572965739,263.1075898968687
379786.0,16012.0,379786.0,15389.0,379786.0,34432.0,100.39509758641336,151.7836135229479,272.1198109211371
379786.0,16039.0,379786.0,15390.0,379786.0,34428.0,110.62190662886732,155.98420372795033,281.35575454858713
379786.0,16028.0,379786.0,15369.0,379786.0,34423.0,121.16998531737927,160.27562785551424,290.8086703420434
379786.0,16052.0,379786.0,15364.0,379786.0,34417.0,132.03464638247792,164.6545517090574,300.47070404257977
379796.0,16020.0,379796.0,15392.0,379796.0,34441.0,143.21024755317393,169.11682383075964,310.3325640265572
379796.0,16076.0,379796.0,15409.0,379796.0,34471.0,154.68998022894974,173.65739814139368,320.38339985433396
379796.0,16091.0,379796.0,15418.0,379796.0,34474.0,166.46580420598224,178.27063449120814,330.611022730812
379796.0,16090.0,379796.0,15378.0,379796.0,34477.0,178.52869462402478,182.9505988477569,341.00221526265466
379796.0,16111.0,379796.0,15418.0,379796.0,34486.0,190.8688958123736,187.6910071266429,351.5428293704425
379796.0,16100.0,379796.0,15395.0,379796.0,34484.0,203.47593138506363,192.48500510994648,362.217699090187
379806.0,16122.0,379806.0,15417.0,379806.0,34505.0,216.33846804003338,197.32508619115146,373.01052454909063
379806.0,16133.0,379806.0,15429.0,379806.0,34542.0,229.44417304045382,202.20313502746936,383.90388545752137
379806.0,16145.0,379806.0,15429.0,379806.0,34528.0,242.77966288648128,207.11056293892406,394.8794797588598
379806.0,16155.0,379806.0,15421.0,379806.0,34526.0,256.3305172706845,212.03844424800883,405.9183289633927
379806.0,16170.0,379806.0,15450.0,379806.0,34545.0,270.08126970852044,216.9775263423911,417.00067755580915
379806.0,16192.0,379806.0,15423.0,379806.0,34554.0,284.0154076914214,221.91821088715756,428.1058056522665
379817.0,16211.0,379817.0,15424.0,379817.0,34558.0,298.1154638125921,226.85049839155704,439.2119983943034
379817.0,16217.0,379817.0,15446.0,379817.0,34605.0,312.3631720917631,231.7638053751479,450.29663430046435
379817.0,16247.0,379817.0,15492.0,379817.0,34606.0,326.73959292533544,236.64696206282701,461.3364297041078
