c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
712.0,11698.0,712.0,13621.0,712.0,44521.0,38.29949397999011,-43.32814668103497,-48.99711770276646
712.0,11683.0,712.0,13626.0,712.0,44509.0,33.85465833591114,-45.15114919762729,-57.476281875727025
712.0,11663.0,712.0,13616.0,712.0,44503.0,29.294068112551514,-47.046868037603744,-66.18342232211545
712.0,11676.0,712.0,13634.0,712.0,44495.0,24.62397440747592,-49.018695067024794,-75.11264794021288
712.0,11668.0,712.0,13647.0,712.0,44499.0,19.850285879673628,-51.06981339298916,-84.25791671677241
712.0,11677.0,712.0,13644.0,712.0,44491.0,14.978628676312944,-53.202908849279765,-93.61294380284217
722.0,11656.0,722.0,13619.0,722.0,44452.0,10.014488451291939,-55.419917530092405,-103.171121221683
722.0,11652.0,722.0,13602.0,722.0,44449.0,4.963250132869405,-57.72211082132391,-112.92566190441663
722.0,11634.0,722.0,13618.0,722.0,44468.0,-0.1699193792600937,-60.11045310730591,-122.86985089212064
722.0,11645.0,722.0,13609.0,722.0,44428.0,-5.380242552225852,-62.58585367403326,-132.997070010879
722.0,11643.0,722.0,13619.0,722.0,44450.0,-10.663384744685928,-65.14915897261515,-143.30067313947305
722.0,11641.0,722.0,13617.0,722.0,44424.0,-16.015337456767256,-67.80103294446793,-153.773916681949
733.0,11628.0,733.0,13617.0,733.0,44411.0,-21.432273108024546,-70.54183263957896,-164.40992724996423
733.0,11621.0,733.0,13593.0,733.0,44412.0,-26.910521230869747,-73.37155600950423,-175.2017310600113
733.0,11632.0,733.0,13595.0,733.0,44373.0,-32.44661763622632,-76.28996305012592,-186.1423513406604
733.0,11626.0,733.0,13610.0,733.0,44415.0,-38.03725667965159,-79.2967569652993,-197.22488290925287
733.0,11615.0,733.0,13609.0,733.0,44354.0,-43.67914471844742,-82.39156429900626,-208.44246117278644
733.0,11622.0,733.0,13605.0,733.0,44391.0,-49.36890462450566,-85.57372821237107,-219.78817434764136
743.0,11597.0,743.0,13595.0,743.0,44340.0,-55.10305979420005,-88.84217193173313,-231.2550324513299
743.0,11591.0,743.0,13583.0,743.0,44331.0,-60.87809371878703,-92.19545179024337,-242.83603983730856
