c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276363.0,15760.0,276363.0,11290.0,276363.0,28913.0,336.39100154930213,238.4968976673543,458.084164423162
276363.0,15755.0,276363.0,11272.0,276363.0,28909.0,339.2824822491028,239.50425465526664,461.072917268049
276374.0,15766.0,276374.0,11276.0,276374.0,28909.0,342.104408978041,240.48165690937114,464.0184380126056
276374.0,15777.0,276374.0,11292.0,276374.0,28923.0,344.84498782053726,241.42641163081,466.9127444311899
276374.0,15785.0,276374.0,11304.0,276374.0,28922.0,347.4923108973287,242.3354264202767,469.74749789018756
276374.0,15794.0,276374.0,11290.0,276374.0,28933.0,350.03461606906507,243.205473996791,472.5141589934605
276374.0,15781.0,276374.0,11289.0,276374.0,28925.0,352.4605092262218,244.033367019091,475.20414319735244
276374.0,15789.0,276374.0,11279.0,276374.0,28912.0,354.75904228460473,244.8158974033304,477.8088673869743
276384.0,15771.0,276384.0,11291.0,276384.0,28924.0,356.91964725245373,245.54968797028295,480.31964519077627
276384.0,15788.0,276384.0,11289.0,276384.0,28924.0,358.9320137421536,246.23113866020557,482.7275729699404
276384.0,15800.0,276384.0,11292.0,276384.0,28937.0,360.7860539519267,246.85649170868777,485.0235727068142
276384.0,15799.0,276384.0,11301.0,276384.0,28926.0,362.47206270643443,247.4219410205751,487.1985414851596
276384.0,15790.0,276384.0,11293.0,276384.0,28926.0,363.9809312193136,247.92374943378826,489.2434439311192
276384.0,15795.0,276384.0,11280.0,276384.0,28930.0,365.3042023977399,248.35830518706018,491.1492952894984
276394.0,15787.0,276394.0,11285.0,276394.0,28933.0,366.43400643165404,248.7220286673236,492.90714470564365
276394.0,15801.0,276394.0,11294.0,276394.0,28929.0,367.363020623578,249.0112489522373,494.50812983112854
276394.0,15801.0,276394.0,11306.0,276394.0,28935.0,368.08452454226324,249.22226477684976,495.94354232861167
276394.0,15793.0,276394.0,11283.0,276394.0,28949.0,368.59252240263874,249.35154551935642,497.20491063021245
276394.0,15783.0,276394.0,11281.0,276394.0,28922.0,368.88178515544394,249.3957991211052,498.2841326067418
276394.0,15786.0,276394.0,11277.0,276394.0,28924.0,368.9477436721675,249.35181598590145,499.17350461582174
276405.0,15787.0,276405.0,11288.0,276405.0,28934.0,368.7863728299193,249.2163075262489,499.86559457180977
276405.0,15800.0,276405.0,11302.0,276405.0,28932.0,368.39421639815527,248.98594992663254,500.3531980833619
276405.0,15780.0,276405.0,11296.0,276405.0,28916.0,367.7685265470236,248.6576231095871,500.62942444240326
276405.0,15774.0,276405.0,11287.0,276405.0,28919.0,366.9073278569107,248.2286385890443,500.68769211004803
276405.0,15774.0,276405.0,11262.0,276405.0,28918.0,365.80930675363095,247.69672560453768,500.5216258250474
276405.0,15756.0,276405.0,11270.0,276405.0,28922.0,364.47364785514407,247.05976550346975,500.12503160893203
276415.0,15767.0,276415.0,11268.0,276415.0,28929.0,362.8999103633152,246.31551729208195,499.49200248816624
276415.0,15764.0,276415.0,11291.0,276415.0,28920.0,361.08797690627586,245.46158131837853,498.61709037080703
276415.0,15761.0,276415.0,11270.0,276415.0,28914.0,359.0381153184551,244.49559306371785,497.49543093592257
276415.0,15758.0,276415.0,11276.0,276415.0,28904.0,356.7510764582287,243.4154083190543,496.1227326642454
276415.0,15740.0,276415.0,11242.0,276415.0,28894.0,354.2281147234442,242.2190774474058,494.49515444936605
276415.0,15731.0,276415.0,11268.0,276415.0,28886.0,351.47088469279873,240.90464320371515,492.60913870957387
276425.0,15748.0,276425.0,11268.0,276425.0,28905.0,348.48128872901583,239.47001918717154,490.46129726229054
276425.0,15736.0,276425.0,11274.0,276425.0,28898.0,345.2614717897304,237.91313314666087,488.0484876868857
276425.0,15731.0,276425.0,11270.0,276425.0,28886.0,341.81396135864327,236.2321915199471,485.3680215940074
276425.0,15714.0,276425.0,11264.0,276425.0,28890.0,338.14172374454466,234.42584670779164,482.417780265645
276425.0,15718.0,276425.0,11255.0,276425.0,28872.0,334.24807595209114,232.49322059146368,479.1962073924654
276425.0,15696.0,276425.0,11232.0,276425.0,28866.0,330.1365744496825,230.43378635887098,475.7022578985615
276436.0,15708.0,276436.0,11264.0,276436.0,28867.0,325.8109414376021,228.24717949756206,471.9353190912216
276436.0,15705.0,276436.0,11247.0,276436.0,28865.0,321.27507302169846,225.93316058035728,467.8951911870102
276436.0,15708.0,276436.0,11242.0,276436.0,28856.0,316.5331898806771,223.49175818605445,463.5821758000114
276436.0,15678.0,276436.0,11224.0,276436.0,28831.0,311.5900169687136,220.92330864043228,458.99712871113456
276436.0,15666.0,276436.0,11227.0,276436.0,28824.0,306.450759385601,218.2282974601986,454.14133322164923
276436.0,15667.0,276436.0,11237.0,276436.0,28824.0,301.1208742594396,215.40722914444976,449.0162851288243
276446.0,15658.0,276446.0,11240.0,276446.0,28834.0,295.6058975086654,212.4607175501339,443.6236381976987
276446.0,15661.0,276446.0,11218.0,276446.0,28814.0,289.91145684787506,209.3897017177671,437.965376860449
276446.0,15635.0,276446.0,11219.0,276446.0,28811.0,284.04334943330474,206.19552404085354,432.04400359478745
276446.0,15635.0,276446.0,11199.0,276446.0,28792.0,278.00753420808576,202.8798100343244,425.86257091974414
276446.0,15620.0,276446.0,11201.0,276446.0,28771.0,271.8100347097883,199.44428929423492,419.42457208974383
276446.0,15615.0,276446.0,11190.0,276446.0,28777.0,265.4568513078892,195.89065271111394,412.733761216292
276457.0,15609.0,276457.0,11203.0,276457.0,28762.0,258.95392719655626,192.22050052144442,405.7940382916538
