c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
34867.0,7201.0,34867.0,12264.0,34867.0,29686.0,-1186.9835242594986,-396.3375342707409,-760.8019396546596
34867.0,7237.0,34867.0,12228.0,34867.0,29711.0,-1145.4253567662279,-375.82529191357037,-723.7985997314433
34867.0,7261.0,34867.0,12224.0,34867.0,29725.0,-1102.4394181601392,-354.7354246785859,-685.6365608327693
34867.0,7331.0,34867.0,12306.0,34867.0,29774.0,-1058.0812238177004,-333.09153047175914,-646.3601754218826
34878.0,7396.0,34878.0,12332.0,34878.0,29839.0,-1012.410720506616,-310.92018467112956,-606.0174502514393
34878.0,7474.0,34878.0,12379.0,34878.0,29911.0,-965.4921697335296,-288.2505056777705,-564.6600023404726
34878.0,7538.0,34878.0,12397.0,34878.0,29961.0,-917.3937092905161,-265.1135450005769,-522.3425814724303
34878.0,7594.0,34878.0,12406.0,34878.0,30002.0,-868.1868742357767,-241.5419704364416,-479.1225359744543
34878.0,7687.0,34878.0,12459.0,34878.0,30065.0,-817.9462208072455,-217.57004336461944,-435.0595154657251
34878.0,7780.0,34878.0,12567.0,34878.0,30185.0,-766.7488708398217,-193.23344387848152,-390.21518205929976
34888.0,7856.0,34888.0,12623.0,34888.0,30251.0,-714.6737678522584,-168.56836588803327,-344.65244644047675
34888.0,7900.0,34888.0,12611.0,34888.0,30268.0,-661.8008831296604,-143.6101765085332,-298.434413009334
34888.0,7959.0,34888.0,12581.0,34888.0,30318.0,-608.210810416035,-118.3927698304762,-251.62382737412736
34888.0,8020.0,34888.0,12578.0,34888.0,30356.0,-553.9847870983683,-92.94915628397672,-204.28321842780144
34888.0,8082.0,34888.0,12626.0,34888.0,30413.0,-499.2048316597302,-67.31261259267262,-156.47522299155435
34888.0,8140.0,34888.0,12663.0,34888.0,30451.0,-443.95382072051325,-41.51740365771741,-108.26278945485728
34898.0,8257.0,34898.0,12723.0,34898.0,30495.0,-388.3154382425712,-15.598751485459616,-59.70933729606759
34898.0,8300.0,34898.0,12762.0,34898.0,30572.0,-332.3738484971366,10.40766866010972,-10.878914955231721
34898.0,8398.0,34898.0,12741.0,34898.0,30619.0,-276.2131831726706,36.46623044696173,38.16379575980227
34898.0,8457.0,34898.0,12801.0,34898.0,30678.0,-219.91710095366943,62.54144329918108,87.35365914870818
34898.0,8535.0,34898.0,12867.0,34898.0,30795.0,-163.56844315165722,88.59785369108272,136.62538834108182
34898.0,8666.0,34898.0,12997.0,34898.0,30915.0,-107.24881066044895,114.60057964288501,185.9142890766318
34909.0,8720.0,34909.0,12992.0,34909.0,30915.0,-51.03784301404471,140.51669812196496,235.15752355481231
34909.0,8771.0,34909.0,12915.0,34909.0,30961.0,4.987592628177481,166.31638556679206,284.2950262447125
34909.0,8796.0,34909.0,12946.0,34909.0,30972.0,60.75367172525171,191.97258824533571,333.2694078854811
34909.0,8855.0,34909.0,12920.0,34909.0,31023.0,116.18919456786512,217.45961804580975,382.025254373394
34909.0,8923.0,34909.0,12989.0,34909.0,31093.0,171.22497462798833,242.75193941772602,430.50849833088716
34909.0,8987.0,34909.0,12986.0,34909.0,31182.0,225.79349879822053,267.82362186593184,478.6662861011898
34919.0,9107.0,34919.0,13073.0,34919.0,31190.0,279.82901355418016,292.64830908393856,526.4473277643438
34919.0,9170.0,34919.0,13085.0,34919.0,31230.0,333.26805744787634,317.1995517699106,573.8021328728944
34919.0,9195.0,34919.0,13099.0,34919.0,31310.0,386.05013850682394,341.45124796759876,620.6828077568387
34919.0,9265.0,34919.0,13157.0,34919.0,31367.0,438.11796767135,365.3778700173905,667.0429158670829
34919.0,9384.0,34919.0,13241.0,34919.0,31433.0,489.4173676096268,388.9547096657154,712.8377669857068
34919.0,9438.0,34919.0,13301.0,34919.0,31512.0,539.8975933810352,412.1586946310325,758.0249324167519
