c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
241625.0,10492.0,241625.0,12057.0,241625.0,25752.0,416.0635345091589,215.38346416906802,372.1929673786669
241625.0,10524.0,241625.0,12029.0,241625.0,25705.0,405.42423304891327,208.12222654829372,365.02669404938047
241625.0,10544.0,241625.0,11994.0,241625.0,25710.0,394.5290697051741,200.7980053310378,357.63536868148606
241625.0,10484.0,241625.0,12023.0,241625.0,25738.0,383.39590099749546,193.42600759451247,350.0301950266022
241636.0,10440.0,241636.0,12092.0,241636.0,25738.0,372.04425367909766,186.0203176326621,342.22226101956136
241636.0,10410.0,241636.0,12026.0,241636.0,25735.0,360.494861980873,178.5946201202985,334.22314669093623
241636.0,10400.0,241636.0,11987.0,241636.0,25697.0,348.76888826069785,171.16287584595116,326.04539508203857
241636.0,10315.0,241636.0,11954.0,241636.0,25647.0,336.8872979196852,163.7390429388079,317.70246532148354
241636.0,10292.0,241636.0,11929.0,241636.0,25630.0,324.87014708707216,156.33617907542643,309.208155313544
241636.0,10272.0,241636.0,11875.0,241636.0,25611.0,312.73566300534617,148.9655677649232,300.5758578763591
241646.0,10258.0,241646.0,11857.0,241646.0,25604.0,300.499551574791,141.63588246836082,291.8180627285171
241646.0,10297.0,241646.0,11974.0,241646.0,25616.0,288.1748512210133,134.3526391381932,282.9462172236781
241646.0,10344.0,241646.0,11948.0,241646.0,25585.0,275.7724580462777,127.11866948482177,273.9708543621733
241646.0,10360.0,241646.0,11933.0,241646.0,25558.0,263.3023542106529,119.93532944028328,264.90170843365695
241646.0,10321.0,241646.0,11945.0,241646.0,25598.0,250.77501502848241,112.80327907685117,255.7476580730673
241646.0,10284.0,241646.0,11999.0,241646.0,25604.0,238.2021728080224,105.7228136854485,246.51688496436242
241656.0,10241.0,241656.0,11963.0,241656.0,25605.0,225.59668411716734,98.69447856611242,237.21750895761403
241656.0,10217.0,241656.0,11992.0,241656.0,25585.0,212.9719048355032,91.71983596878775,227.85828041520858
241656.0,10180.0,241656.0,11901.0,241656.0,25519.0,200.34102589342996,84.80181549208496,218.44881144289013
241656.0,10115.0,241656.0,11849.0,241656.0,25501.0,187.7164340324406,77.94431599488607,208.99916965397938
241656.0,10105.0,241656.0,11831.0,241656.0,25468.0,175.10894134198793,71.15107714408285,199.51909319386868
241656.0,10108.0,241656.0,11826.0,241656.0,25481.0,162.52707948082934,64.42448426356509,190.01734680094273
241667.0,10103.0,241667.0,11879.0,241667.0,25482.0,149.97689738511707,57.76507943578861,180.5015403656094
241667.0,10142.0,241667.0,11866.0,241667.0,25468.0,137.46232896973652,51.17191842055058,170.97835506412326
241667.0,10186.0,241667.0,11876.0,241667.0,25451.0,124.98604562285374,44.64331600901991,161.45383885645515
241667.0,10174.0,241667.0,11848.0,241667.0,25411.0,112.55073061492095,38.17739295605401,151.93344530849157
241667.0,10138.0,241667.0,11847.0,241667.0,25473.0,100.16025117316315,31.77223025929368,142.42191065375027
241667.0,10074.0,241667.0,11927.0,241667.0,25465.0,87.82002791157788,25.425995108464576,132.9234809146248
241677.0,10081.0,241677.0,11896.0,241677.0,25441.0,75.5365852928972,19.137562702443006,123.44258606152619
241677.0,10017.0,241677.0,11856.0,241677.0,25418.0,63.316883991393354,12.907344592224376,113.98431549775876
241677.0,9972.0,241677.0,11810.0,241677.0,25388.0,51.16770208216235,6.737392667667507,104.5543324737277
241677.0,9944.0,241677.0,11745.0,241677.0,25357.0,39.09485842099974,0.6305703299052539,95.15847010905321
241677.0,9914.0,241677.0,11735.0,241677.0,25347.0,27.102367048201984,-5.410691137147921,85.80225168779305
241677.0,9916.0,241677.0,11735.0,241677.0,25320.0,15.191854326072303,-11.385470267545884,76.49047872616177
241687.0,9954.0,241687.0,11757.0,241687.0,25350.0,3.362457246855911,-17.294807868581074,67.22702829740416
241687.0,9987.0,241687.0,11775.0,241687.0,25318.0,-8.388592748701967,-23.14146342508684,58.014946478429636
241687.0,10009.0,241687.0,11780.0,241687.0,25305.0,-20.06475911378982,-28.929272909039128,48.85667386883165
241687.0,10000.0,241687.0,11784.0,241687.0,25297.0,-31.66884832053097,-34.662466112573156,39.75410761687124
241687.0,9951.0,241687.0,11828.0,241687.0,25336.0,-43.20209343546014,-40.34505874399326,30.70864152916556
241687.0,9922.0,241687.0,11800.0,241687.0,25284.0,-54.66399888843523,-45.9801936916686,21.721489778861212
241698.0,9891.0,241698.0,11814.0,241698.0,25277.0,-66.05278855150323,-51.56953049951642,12.794012864606941
241698.0,9831.0,241698.0,11735.0,241698.0,25272.0,-77.36607465932912,-57.113037111875144,3.927695672804134
241698.0,9795.0,241698.0,11693.0,241698.0,25203.0,-88.60165857770738,-62.609452991595845,-4.876084791354003
241698.0,9779.0,241698.0,11689.0,241698.0,25220.0,-99.75842706059575,-68.05731230276717,-13.616433244783764
241698.0,9758.0,241698.0,11677.0,241698.0,25213.0,-110.83704657072224,-73.4558957885472,-22.293334205530357
241698.0,9780.0,241698.0,11687.0,241698.0,25224.0,-121.84023510767832,-78.80563176005643,-30.907679712783988
241708.0,9830.0,241708.0,11675.0,241708.0,25218.0,-132.77248200324948,-84.10807977915618,-39.46091252445609
241708.0,9839.0,241708.0,11683.0,241708.0,25159.0,-143.63910429955354,-89.36577427047251,-47.95471784407448
241708.0,9855.0,241708.0,11672.0,241708.0,25140.0,-154.4449451618533,-94.5820514621692,-56.391174349566995
241708.0,9802.0,241708.0,11690.0,241708.0,25187.0,-165.19334152570832,-99.76086362522517,-64.77319447820435
241708.0,9747.0,241708.0,11793.0,241708.0,25234.0,-175.8858465298287,-104.90630123673216,-73.10441001144926
241708.0,9741.0,241708.0,11746.0,241708.0,25196.0,-186.52273496570916,-110.02149308488487,-81.38821348008969
241718.0,9711.0,241718.0,11702.0,241718.0,25190.0,-197.10373112238943,-115.10748726622003,-89.62680929279247
241718.0,9683.0,241718.0,11632.0,241718.0,25127.0,-207.62848950923376,-120.16323614879184,-97.82102124255061
241718.0,9633.0,241718.0,11578.0,241718.0,25105.0,-218.09700452275524,-125.18676621729838,-105.97077942442206
241718.0,9615.0,241718.0,11569.0,241718.0,25101.0,-228.51020607502954,-130.1767233353778,-114.07584536509779
241718.0,9590.0,241718.0,11555.0,241718.0,25078.0,-238.8706116598912,-135.1335750508635,-122.13633014249916
241718.0,9651.0,241718.0,11647.0,241718.0,25070.0,-249.18264829159784,-140.06001666035155,-130.15290228831492
241729.0,9684.0,241729.0,11656.0,241729.0,25035.0,-259.4522071119468,-144.96035233448333,-138.12693236063427
241729.0,9724.0,241729.0,11640.0,241729.0,25010.0,-269.68535970274604,-149.83926203994906,-146.06077248806372
241729.0,9687.0,241729.0,11609.0,241729.0,25079.0,-279.88683292875453,-154.70096194462877,-153.95801096621216
241729.0,9640.0,241729.0,11662.0,241729.0,25090.0,-290.059096144603,-159.54907791454065,-161.8231513813506
241729.0,9592.0,241729.0,11669.0,241729.0,25095.0,-300.20246739437835,-164.38648522311763,-169.66060687267992
241729.0,9558.0,241729.0,11681.0,241729.0,25082.0,-310.3159309218712,-169.2146630737011,-177.47370353615491
241739.0,9521.0,241739.0,11581.0,241739.0,25029.0,-320.3980973099084,-174.03314465689323,-185.2642635298975
241739.0,9494.0,241739.0,11538.0,241739.0,24975.0,-330.4480269976168,-178.839900518511,-193.03289932325356
241739.0,9484.0,241739.0,11540.0,241739.0,24982.0,-340.4658645935358,-183.63258239514641,-200.77983689474416
241739.0,9467.0,241739.0,11484.0,241739.0,24970.0,-350.45322531985255,-188.409724992755,-208.50565668977458
241739.0,9471.0,241739.0,11545.0,241739.0,24965.0,-360.41331536604184,-193.17139984048538,-216.21152329588227
241739.0,9511.0,241739.0,11529.0,241739.0,24944.0,-370.35073753120946,-197.9193030447297,-223.89913047020303
241749.0,9560.0,241749.0,11545.0,241749.0,24912.0,-380.27075540225997,-202.65635991295437,-231.57074396448496
241749.0,9553.0,241749.0,11522.0,241749.0,24912.0,-390.17800581464235,-207.3862551882993,-239.2294453032947
241749.0,9502.0,241749.0,11553.0,241749.0,24950.0,-400.0753110810001,-212.11316808030415,-246.879289074575
241749.0,9454.0,241749.0,11596.0,241749.0,24982.0,-409.96337605614667,-216.8414165174907,-254.52489806204755
241749.0,9447.0,241749.0,11622.0,241749.0,24978.0,-419.84134769352556,-221.57463408481584,-262.17048193127107
241749.0,9400.0,241749.0,11538.0,241749.0,24929.0,-429.7075570993468,-226.3148033134264,-269.81893906490154
241760.0,9354.0,241760.0,11501.0,241760.0,24887.0,-439.56015066541295,-231.06208422046382,-277.47171734462427
241760.0,9333.0,241760.0,11449.0,241760.0,24851.0,-449.3978106734136,-235.815741594337,-285.1294560510595
241760.0,9316.0,241760.0,11448.0,241760.0,24847.0,-459.22049459174673,-240.5754444971579,-292.7928664741255
241760.0,9303.0,241760.0,11450.0,241760.0,24852.0,-469.0299037083158,-245.34217100493464,-300.4632967063511
241760.0,9343.0,241760.0,11492.0,241760.0,24861.0,-478.829559673154,-250.11841462739767,-308.14276405290093
241760.0,9374.0,241760.0,11502.0,241760.0,24822.0,-488.62433914277005,-254.90771261083927,-315.8336715525578
241770.0,9403.0,241770.0,11456.0,241770.0,24822.0,-498.41940166344136,-259.7139331720866,-323.5386476946675
241770.0,9369.0,241770.0,11456.0,241770.0,24825.0,-508.2189336091053,-264.54098128919844,-331.26059627827965
241770.0,9326.0,241770.0,11564.0,241770.0,24830.0,-518.0254102543462,-269.39277115192544,-339.002624442248
241770.0,9305.0,241770.0,11534.0,241770.0,24839.0,-527.8396854876336,-274.2725625755709,-346.7676909267193
241770.0,9286.0,241770.0,11503.0,241770.0,24850.0,-537.66152255803,-279.1818454204724,-354.5580898242754
241770.0,9234.0,241770.0,11451.0,241770.0,24794.0,-547.4901084642547,-284.1199821055173,-362.37498222418253
241780.0,9189.0,241780.0,11390.0,241780.0,24768.0,-557.3246369830971,-289.08494815654467,-370.21834804647744
241780.0,9173.0,241780.0,11385.0,241780.0,24729.0,-567.1651161812662,-294.0745738071227,-378.08750980893046
241780.0,9143.0,241780.0,11398.0,241780.0,24730.0,-577.0131474628214,-299.08757637844974,-385.98185393588335
241780.0,9154.0,241780.0,11404.0,241780.0,24716.0,-586.8723928228584,-304.12389578065904,-393.90130845395583
241780.0,9214.0,241780.0,11405.0,241780.0,24711.0,-596.7485319270812,-309.1844424527749,-401.8464819746314
241780.0,9243.0,241780.0,11431.0,241780.0,24705.0,-606.6484417724793,-314.2706604654868,-409.8186157435433
241791.0,9258.0,241791.0,11401.0,241791.0,24689.0,-616.5787566092656,-319.38408182766636,-417.8194944460913
241791.0,9222.0,241791.0,11402.0,241791.0,24702.0,-626.5445405071839,-324.52602171228403,-425.8513481118413
241791.0,9159.0,241791.0,11447.0,241791.0,24743.0,-636.5487482916164,-329.69742062927213,-433.9165730485938
241791.0,9146.0,241791.0,11465.0,241791.0,24728.0,-646.5925981419784,-334.8984105524059,-442.0170693699962
241791.0,9110.0,241791.0,11395.0,241791.0,24671.0,-656.6763538740638,-340.12760497791174,-450.1535613419745
241791.0,9058.0,241791.0,11333.0,241791.0,24664.0,-666.8000392619975,-345.3819932339968,-458.32555010809006
241801.0,9038.0,241801.0,11304.0,241801.0,24615.0,-676.9641450925386,-350.65790049331207,-466.53185222774016
241801.0,9017.0,241801.0,11258.0,241801.0,24593.0,-687.1703572730592,-355.95238419967495,-474.77126870319614
241801.0,9023.0,241801.0,11299.0,241801.0,24598.0,-697.4220246724126,-361.2643040702093,-483.04317001221364
241801.0,9035.0,241801.0,11346.0,241801.0,24616.0,-707.7241804534425,-366.5945982765145,-491.3477462380438
241801.0,9069.0,241801.0,11343.0,241801.0,24572.0,-718.0830844107728,-371.94562620269875,-499.68581505871975
241801.0,9111.0,241801.0,11313.0,241801.0,24574.0,-728.5052800886384,-377.32022737029973,-508.05860650075056
241812.0,9089.0,241812.0,11325.0,241812.0,24576.0,-738.9963445788431,-382.7212958327099,-516.4677672804078
241812.0,9045.0,241812.0,11374.0,241812.0,24624.0,-749.559911611521,-388.151659489805,-524.9151880484079
241812.0,9004.0,241812.0,11395.0,241812.0,24566.0,-760.1975323885703,-393.61352558024896,-533.4024248107238
241812.0,8978.0,241812.0,11364.0,241812.0,24593.0,-770.9092485762112,-399.10752262532486,-541.930153618782
241812.0,8934.0,241812.0,11293.0,241812.0,24544.0,-781.69434921196,-404.6321988431315,-550.4980045424072
241812.0,8897.0,241812.0,11258.0,241812.0,24483.0,-792.5520949775002,-410.18455377717737,-559.1047668130034
241822.0,8874.0,241822.0,11209.0,241822.0,24473.0,-803.482446276727,-415.76126926760844,-567.7490359767979
241822.0,8855.0,241822.0,11217.0,241822.0,24480.0,-814.4866979946178,-421.3599295232335,-576.4300015565409
241822.0,8849.0,241822.0,11239.0,241822.0,24501.0,-825.5678630802994,-426.979710291088,-585.1476993389686
241822.0,8915.0,241822.0,11299.0,241822.0,24490.0,-836.7306268214741,-432.62122554106423,-593.9026190316582
241822.0,8946.0,241822.0,11244.0,241822.0,24444.0,-847.9805681590514,-438.2856956155403,-602.6952298853599
241822.0,8938.0,241822.0,11229.0,241822.0,24445.0,-859.3227531365343,-443.97427465143653,-611.5259342482661
241832.0,8906.0,241832.0,11258.0,241832.0,24440.0,-870.7605057612591,-449.6880249593566,-620.3953073799042
241832.0,8858.0,241832.0,11323.0,241832.0,24487.0,-882.2950138379593,-455.42783002731994,-629.3040568721083
241832.0,8838.0,241832.0,11313.0,241832.0,24483.0,-893.9256826551582,-461.1935418680837,-638.2524264367479
241832.0,8827.0,241832.0,11281.0,241832.0,24424.0,-905.6507082945218,-466.9829050483121,-647.239444741498
241832.0,8756.0,241832.0,11175.0,241832.0,24400.0,-917.4675346393462,-472.7913380800705,-656.2627579507962
241832.0,8729.0,241832.0,11140.0,241832.0,24362.0,-929.3734005517264,-478.61297092129877,-665.3191815955252
241843.0,8710.0,241843.0,11111.0,241843.0,24342.0,-941.3661108575917,-484.44232351164175,-674.4054517480993
241843.0,8694.0,241843.0,11123.0,241843.0,24368.0,-953.4446669506586,-490.2756338924611,-683.5187344276703
241843.0,8712.0,241843.0,11194.0,241843.0,24338.0,-965.6094697110063,-496.11123705129575,-692.656699058555
241843.0,8752.0,241843.0,11172.0,241843.0,24339.0,-977.8620097724908,-501.9489642514668,-701.8173058275453
241843.0,8821.0,241843.0,11186.0,241843.0,24325.0,-990.2038650220233,-507.78916192706845,-710.9986429547234
241843.0,8778.0,241843.0,11187.0,241843.0,24309.0,-1002.6351388636474,-513.6320141768982,-720.1988726349642
241853.0,8725.0,241853.0,11207.0,241853.0,24357.0,-1015.1532235805348,-519.4771283834543,-729.4161076278727
241853.0,8691.0,241853.0,11210.0,241853.0,24353.0,-1027.752684127364,-525.3230561181889,-738.6479575009723
241853.0,8670.0,241853.0,11218.0,241853.0,24323.0,-1040.4259285288322,-531.1667432827944,-747.8908174486708
241853.0,8623.0,241853.0,11160.0,241853.0,24304.0,-1053.1639000899404,-537.0031523870405,-757.1394623664446
241853.0,8588.0,241853.0,11089.0,241853.0,24248.0,-1065.9566621359797,-542.8254840699294,-766.3872336700963
241853.0,8555.0,241853.0,11084.0,241853.0,24233.0,-1078.7940516284857,-548.6261659913773,-775.6266247516184
241863.0,8557.0,241863.0,11034.0,241863.0,24234.0,-1091.666282570031,-554.3980811122565,-784.8499151777678
241863.0,8553.0,241863.0,11056.0,241863.0,24253.0,-1104.5642081040864,-560.1354527618528,-794.0494187687519
241863.0,8579.0,241863.0,11152.0,241863.0,24206.0,-1117.4791040108348,-565.8340366083955,-803.2172689028336
241863.0,8609.0,241863.0,11127.0,241863.0,24206.0,-1130.4019860409426,-571.4903161612872,-812.3452128227783
241863.0,8625.0,241863.0,11095.0,241863.0,24190.0,-1143.322536257801,-577.1003029955768,-821.4246823316311
241863.0,8595.0,241863.0,11120.0,241863.0,24226.0,-1156.2279564179648,-582.6590042763007,-830.4468173518553
241874.0,8541.0,241874.0,11122.0,241874.0,24223.0,-1169.1023194266152,-588.1603917769282,-839.4020965722402
241874.0,8544.0,241874.0,11150.0,241874.0,24226.0,-1181.9266641609308,-593.5971156891158,-848.2796766609587
241874.0,8498.0,241874.0,11102.0,241874.0,24209.0,-1194.6794213398312,-598.9599958029272,-857.0668107020455
241874.0,8416.0,241874.0,11040.0,241874.0,24166.0,-1207.3369059417928,-604.2379136043439,-865.7486214397248
241874.0,8403.0,241874.0,11003.0,241874.0,24111.0,-1219.8741460133344,-609.4185285431131,-874.30838557261
241874.0,8391.0,241874.0,10997.0,241874.0,24102.0,-1232.265872559169,-614.4894646712082,-882.7282911247969
241884.0,8377.0,241884.0,10989.0,241884.0,24082.0,-1244.4870621713685,-619.4392172383137,-890.9902454693664
241884.0,8389.0,241884.0,11046.0,241884.0,24088.0,-1256.5129502346917,-624.2573971503666,-899.0763156615893
241884.0,8424.0,241884.0,11053.0,241884.0,24109.0,-1268.3186693189523,-628.9342772329323,-906.9687186889148
241884.0,8467.0,241884.0,11033.0,241884.0,24068.0,-1279.878390119649,-633.4599664592633,-914.6495018542564
241884.0,8437.0,241884.0,11015.0,241884.0,24060.0,-1291.164066950453,-637.8238883880687,-922.1002943297834
241884.0,8403.0,241884.0,11061.0,241884.0,24103.0,-1302.1444544418296,-642.0147199646747,-929.3022741496019
241894.0,8347.0,241894.0,11094.0,241894.0,24098.0,-1312.7849852666905,-646.020139396307,-936.2358979271821
241894.0,8337.0,241894.0,11069.0,241894.0,24085.0,-1323.0483662229576,-649.826063726834,-942.8802826075395
241894.0,8283.0,241894.0,11013.0,241894.0,24034.0,-1332.8953494055543,-653.416060533669,-949.2128409369045
241894.0,8248.0,241894.0,10962.0,241894.0,24007.0,-1342.2854611019072,-656.7716870296832,-955.2095679775584
241894.0,8232.0,241894.0,10923.0,241894.0,23983.0,-1351.1777584748875,-659.8736437689706,-960.8457608345435
241894.0,8200.0,241894.0,10930.0,241894.0,23996.0,-1359.5315121214198,-662.7030534516939,-966.0966826233958
241905.0,8196.0,241905.0,10939.0,241905.0,23976.0,-1367.3066822558676,-665.2422482023222,-970.9378517225751
241905.0,8240.0,241905.0,10972.0,241905.0,23980.0,-1374.4640906665263,-667.4748352171082,-975.3450400785221
241905.0,8274.0,241905.0,10943.0,241905.0,23974.0,-1380.9649942769306,-669.3852821719893,-979.2942059866303
241905.0,8303.0,241905.0,10952.0,241905.0,23959.0,-1386.7699927801455,-670.9585369485695,-982.7614410578744
241905.0,8251.0,241905.0,10952.0,241905.0,23950.0,-1391.8378382536653,-672.1799230073664,-985.7229867898302
241905.0,8223.0,241905.0,11023.0,241905.0,23985.0,-1396.1249190793897,-673.0349668672621,-988.1552709229095
241915.0,8195.0,241915.0,11009.0,241915.0,23996.0,-1399.5856178339643,-673.5087615226734,-990.0346729366913
241915.0,8171.0,241915.0,10992.0,241915.0,23955.0,-1402.1730608890366,-673.585169832224,-991.3370417134752
241915.0,8102.0,241915.0,10893.0,241915.0,23921.0,-1403.8399232261972,-673.2467061869866,-992.0375611098827
241915.0,8085.0,241915.0,10889.0,241915.0,23892.0,-1404.5394235339263,-672.4754835093023,-992.1113042020052
241915.0,8067.0,241915.0,10863.0,241915.0,23860.0,-1404.2264443187323,-671.254641282003,-991.5341572529395
241915.0,8065.0,241915.0,10891.0,241915.0,23877.0,-1402.8583839030082,-669.5693728286684,-990.2836770740054
241925.0,8106.0,241925.0,10915.0,241925.0,23874.0,-1400.3955070050897,-667.4072022727079,-988.3395951799067
241925.0,8131.0,241925.0,10921.0,241925.0,23859.0,-1396.8007224198739,-664.7576755692999,-985.683949218416
241925.0,8175.0,241925.0,10933.0,241925.0,23852.0,-1392.0388376569053,-661.6118565930187,-982.3011701676846
