c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104074,18847,104074.0,35774.0,104074.0,36901.0,-94.39411931430398,167.52519598282544,114.8891253195574
104074,18849,104074.0,35812.0,104074.0,36937.0,-94.61250624989472,176.85294397117877,128.2113689602646
104074,18849,104074.0,35832.0,104074.0,36937.0,-94.43275295963296,186.90652841158084,142.67059489432793
104074,18837,104074.0,35800.0,104074.0,36906.0,-93.81524010787977,197.7164551168439,158.31573731607799
104074,18813,104074.0,35758.0,104074.0,36870.0,-92.71957541708828,209.31307626968584,175.19464603629848
104074,18787,104074.0,35715.0,104074.0,36860.0,-91.10497579134616,221.72570493655374,193.35300655692186
104084,18788,104084.0,35707.0,104084.0,36863.0,-88.93087300066523,234.98118836234804,212.83307292388312
104084,18776,104084.0,35726.0,104084.0,36870.0,-86.15748924802833,249.10259480038937,233.6726854479863
104084,18783,104084.0,35722.0,104084.0,36881.0,-82.74620988276827,264.10844205572766,255.90464479652178
104084,18787,104084.0,35779.0,104084.0,36901.0,-78.6597707296992,280.0124447471758,279.55629958353927
104084,18790,104084.0,35786.0,104084.0,36916.0,-73.86231187174224,296.8236360104163,304.64925938587527
104084,18789,104084.0,35792.0,104084.0,36929.0,-68.31937801396894,314.54666285031436,331.19916754750824
104095,18794,104095.0,35847.0,104095.0,36961.0,-61.99795967834524,333.1819836695953,359.21547034338573
104095,18816,104095.0,35885.0,104095.0,37019.0,-54.86653789169296,352.72610543277995,388.70129937660596
104095,18813,104095.0,35908.0,104095.0,37048.0,-46.89502820007173,373.1721093628772,419.6536632060533
104095,18789,104095.0,35874.0,104095.0,37040.0,-38.054748474853504,394.51009898596465,452.0637477554824
104095,18778,104095.0,35856.0,104095.0,37062.0,-28.318710991029064,416.72696970109166,485.9168277666691
104095,18784,104095.0,35878.0,104095.0,37085.0,-17.662225533475564,439.8055123425959,521.1917450639689
104105,18782,104105.0,35877.0,104105.0,37109.0,-6.063472387336063,463.7234684040163,557.8603568344283
104105,18779,104105.0,35915.0,104105.0,37158.0,6.496097682519263,488.45295033194776,595.8871772265624
104105,18819,104105.0,35984.0,104105.0,37224.0,20.03147910150814,513.960290355699,635.2292921111525
104105,18826,104105.0,36034.0,104105.0,37283.0,34.554035301290526,540.2064442281218,675.8366675548947
104105,18826,104105.0,36065.0,104105.0,37335.0,50.071607938939636,567.1478234687156,717.6527562552451
104105,18859,104105.0,36111.0,104105.0,37403.0,66.58855009414131,594.7370797663257,760.6151424909971
104115,18878,104115.0,36182.0,104115.0,37476.0,84.10570140552574,622.923717470966,804.6561808655425
104115,18920,104115.0,36262.0,104115.0,37540.0,102.62054178111984,651.654895917871,849.7037441827624
104115,18923,104115.0,36267.0,104115.0,37596.0,122.12750341847848,680.8765203439472,895.6820239478171
104115,18906,104115.0,36242.0,104115.0,37620.0,142.61812753921146,710.5339896713541,942.5121328543048
