c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
448644,24803,448644.0,42819.0,448644.0,40465.0,258.4924991387544,220.58514640723106,261.15516344660523
448644,24783,448644.0,42770.0,448644.0,40452.0,259.4451766712244,223.33410967777266,264.19762798365304
448644,24785,448644.0,42746.0,448644.0,40430.0,260.26519304794124,225.77819578082662,267.01680442163257
448644,24753,448644.0,42687.0,448644.0,40389.0,260.9474716338716,227.90994072637017,269.5983028539118
448654,24757,448654.0,42718.0,448654.0,40455.0,261.48628908347024,229.72078748974005,271.9270628625876
448654,24789,448654.0,42749.0,448654.0,40461.0,261.87497089712383,231.20035079570815,273.9871385745879
448654,24806,448654.0,42849.0,448654.0,40493.0,262.1059943087437,232.3366920180483,275.7621859388506
448654,24804,448654.0,42830.0,448654.0,40495.0,262.1714987171485,233.1175802405773,277.2362075164647
448654,24842,448654.0,42943.0,448654.0,40547.0,262.06384569937643,233.5320882122213,278.3942112692928
448654,24838,448654.0,42983.0,448654.0,40581.0,261.77612766445156,233.57223417516653,279.22297205713636
448664,24843,448664.0,42914.0,448664.0,40563.0,261.3026618115977,233.2346031100185,279.71196916761687
448664,24799,448664.0,42815.0,448664.0,40491.0,260.63923890464616,232.52097827477917,279.85392960577684
448664,24783,448664.0,42744.0,448664.0,40475.0,259.78288824377853,231.43715139465752,279.644382504402
448664,24773,448664.0,42737.0,448664.0,40440.0,258.7312803951747,229.99070677816107,279.0805264275947
448664,24759,448664.0,42674.0,448664.0,40421.0,257.48213812021896,228.18909866108837,278.16012409594356
448664,24752,448664.0,42668.0,448664.0,40444.0,256.03283569707924,226.03834535497504,276.88073629022057
448675,24773,448675.0,42742.0,448675.0,40456.0,254.3801745707512,223.54225295910237,275.23943869928905
448675,24782,448675.0,42787.0,448675.0,40499.0,252.52043255616184,220.7026075960562,273.23312500261903
448675,24797,448675.0,42832.0,448675.0,40495.0,250.4497231218405,217.52046353628972,270.85921616558676
448675,24810,448675.0,42825.0,448675.0,40514.0,248.16450094708892,213.99774800562992,268.11641986266244
448675,24830,448675.0,42919.0,448675.0,40563.0,245.66210458838043,210.13858764561837,265.00540653328693
448675,24816,448675.0,42903.0,448675.0,40545.0,242.94129386128338,205.9505508167446,261.52956601918544
448685,24796,448685.0,42826.0,448685.0,40493.0,240.00258773805479,201.44569226179848,257.69562011595923
448685,24764,448685.0,42711.0,448685.0,40465.0,236.84817613878198,196.6404143227167,253.5134959482392
448685,24751,448685.0,42697.0,448685.0,40440.0,233.4814460728519,191.55380838612635,248.99551661457136
448685,24746,448685.0,42651.0,448685.0,40400.0,229.9064215736493,186.2055809941873,244.1554774518807
448685,24702,448685.0,42604.0,448685.0,40359.0,226.12731767046955,180.61452326974728,239.00777145344907
448685,24717,448685.0,42631.0,448685.0,40399.0,222.14813137193937,174.79748256689356,233.56657150035505
448695,24714,448695.0,42710.0,448695.0,40407.0,217.97231000308255,168.76897943661254,227.8454858342503
448695,24739,448695.0,42706.0,448695.0,40413.0,213.60275378028481,162.5419105336911,221.85790487588292
448695,24742,448695.0,42721.0,448695.0,40423.0,209.04218691348314,156.12885331699806,215.61761396323595
448695,24773,448695.0,42793.0,448695.0,40468.0,204.29372714245358,149.54320916640367,209.13939836338412
448695,24793,448695.0,42832.0,448695.0,40450.0,199.36158884932317,142.80041114391838,202.43977973548363
448695,24760,448695.0,42744.0,448695.0,40418.0,194.25181440025997,135.919291057948,195.53767511009343
448706,24712,448706.0,42668.0,448706.0,40362.0,188.97260049344658,128.92254691034884,188.45442739010622
448706,24682,448706.0,42607.0,448706.0,40345.0,183.53386920978386,121.83564835640854,181.21311771442927
448706,24660,448706.0,42568.0,448706.0,40309.0,177.9463728951387,114.68496263194804,173.83762850190732
448706,24643,448706.0,42496.0,448706.0,40253.0,172.22086884680272,107.49601688928368,166.35176809078854
448706,24622,448706.0,42471.0,448706.0,40253.0,166.3675435767473,100.29200337092547,158.77838740666033
448706,24646,448706.0,42553.0,448706.0,40298.0,160.3956620261314,93.09269053693049,151.13872669674248
448716,24649,448716.0,42574.0,448716.0,40310.0,154.31355068475986,85.91442544649021,143.45254204617382
448716,24650,448716.0,42587.0,448716.0,40283.0,148.1289345506708,78.77123889402739,135.73884706415652
448716,24660,448716.0,42602.0,448716.0,40282.0,141.84938076076222,71.67610970521895,128.01646972311124
448716,24699,448716.0,42701.0,448716.0,40345.0,135.48277375608507,64.64203963961711,120.30430027784726
448716,24676,448716.0,42694.0,448716.0,40329.0,129.0379532675205,57.68342819652429,112.62183068862737
448716,24656,448716.0,42584.0,448716.0,40230.0,122.52528010453466,50.817398802541135,104.98979469713748
448727,24593,448727.0,42540.0,448727.0,40228.0,115.95664173691421,44.06381917127868,97.42994260511088
448727,24590,448727.0,42481.0,448727.0,40177.0,109.34482650208002,37.443883738398085,89.96398246466936
448727,24568,448727.0,42459.0,448727.0,40189.0,102.70272341805483,30.978398918206636,82.61259563357643
448727,24537,448727.0,42350.0,448727.0,40126.0,96.0427377733345,24.686331087841722,75.39482956164517
448727,24548,448727.0,42424.0,448727.0,40155.0,89.3763876807306,18.583477011219912,68.32763037267799
448727,24551,448727.0,42421.0,448727.0,40171.0,82.71408322151274,12.681666920490898,61.4255895073
448737,24570,448737.0,42475.0,448737.0,40181.0,76.06527196520065,6.989046154576556,54.701205411646185
448737,24560,448737.0,42489.0,448737.0,40206.0,69.43887969376581,1.5111010541619692,48.1655565836042
448737,24582,448737.0,42585.0,448737.0,40215.0,62.84379507578487,-3.7480406676265545,41.82906581373757
448737,24594,448737.0,42603.0,448737.0,40226.0,56.28935346994774,-8.783990758180295,35.70223989615411
448737,24549,448737.0,42566.0,448737.0,40195.0,49.785809441504114,-13.590443918112726,29.796248869239292
448737,24516,448737.0,42472.0,448737.0,40134.0,43.34444960259427,-18.15845347818285,24.12302266560914
448747,24506,448747.0,42429.0,448747.0,40106.0,36.977139022512205,-22.47720611508896,18.694638150566476
448747,24481,448747.0,42364.0,448747.0,40092.0,30.69568535127368,-26.535731271573553,13.52229365485627
448747,24458,448747.0,42337.0,448747.0,40050.0,24.511344072782833,-30.32467338903902,8.615404882375117
448747,24435,448747.0,42320.0,448747.0,40062.0,18.434365349644878,-33.83771444525766,3.9809513595249655
448747,24453,448747.0,42399.0,448747.0,40094.0,12.473569957979265,-37.07234352343383,-0.3768681832112577
448747,24464,448747.0,42412.0,448747.0,40105.0,6.636225161215151,-40.029607315945924,-4.45641268621938
448758,24457,448758.0,42442.0,448758.0,40123.0,0.9283254696019299,-42.713046043991,-8.257917314278671
448758,24460,448758.0,42472.0,448758.0,40147.0,-4.645009322581927,-45.127504860917355,-11.782736235170916
448758,24500,448758.0,42547.0,448758.0,40191.0,-10.079176873749503,-47.277996707629114,-15.032550104525
448758,24499,448758.0,42558.0,448758.0,40178.0,-15.369561466928815,-49.168335188569614,-18.00844918532124
448758,24453,448758.0,42454.0,448758.0,40137.0,-20.51093703300606,-50.79994611791611,-20.710238118271832
448758,24419,448758.0,42418.0,448758.0,40097.0,-25.49739308440911,-52.17189376933973,-23.13649253162245
