c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
531,9621,531.0,42550.0,531.0,63888.0,148.3340391874276,69.89294795545806,85.31299956660091
531,9637,531.0,42538.0,531.0,63926.0,145.49490629370493,66.26975208843567,82.39201468224891
531,9615,531.0,42501.0,531.0,63863.0,142.5638508975873,62.64809600022901,79.41776093449906
531,9589,531.0,42477.0,531.0,63855.0,139.54463104465458,59.04103012240916,76.39505768152301
531,9597,531.0,42482.0,531.0,63847.0,136.44108646589407,55.46028937935761,73.32848721186326
531,9602,531.0,42516.0,531.0,63868.0,133.25687045252357,51.915916270418485,70.22195267824401
541,9612,541.0,42512.0,541.0,63886.0,129.99547380180235,48.416447714640974,67.07870692326304
541,9608,541.0,42518.0,541.0,63892.0,126.6604941686443,44.969426532319886,63.90179742918656
541,9578,541.0,42511.0,541.0,63837.0,123.25584714896272,41.58179813426511,60.69449015876556
541,9572,541.0,42466.0,541.0,63827.0,119.78568220016089,38.25999586820194,57.46018042059548
541,9558,541.0,42449.0,541.0,63828.0,116.25405993581484,35.00961968122104,54.201847317705464
541,9566,541.0,42462.0,541.0,63884.0,112.66466386402828,31.834853601216864,50.921737712774586
552,9589,552.0,42527.0,552.0,63851.0,109.0207670250256,28.73823504661617,47.62169042951197
552,9555,552.0,42515.0,552.0,63850.0,105.32545745530153,25.721200809739656,44.3036533730352
552,9548,552.0,42497.0,552.0,63843.0,101.58180262229298,22.78492595702697,40.9698349582051
552,9544,552.0,42441.0,552.0,63797.0,97.79271392861551,19.93058134533436,37.622507993034176
552,9541,552.0,42417.0,552.0,63798.0,93.96073581843979,17.158754724831823,34.263599512270304
552,9557,552.0,42505.0,552.0,63845.0,90.0880224752723,14.46868905539344,30.894297195566082
562,9553,562.0,42542.0,562.0,63854.0,86.17652024111166,11.85839035480906,27.515194428804094
562,9534,562.0,42504.0,562.0,63839.0,82.22820390519529,9.325710333335792,24.126939563896883
562,9531,562.0,42455.0,562.0,63783.0,78.24513811563978,6.869149164905693,20.730614268203354
562,9513,562.0,42447.0,562.0,63789.0,74.22933349218903,4.487552780007306,17.327399768170338
562,9527,562.0,42460.0,562.0,63809.0,70.1825795074128,2.1793381517401116,13.918004503269415
562,9533,562.0,42496.0,562.0,63840.0,66.10643822968382,-0.05781032949479936,10.502599906984457
572,9539,572.0,42511.0,572.0,63823.0,62.00247374568204,-2.2265385881799773,7.081337145354695
572,9512,572.0,42463.0,572.0,63790.0,57.872547215707016,-4.329188181116564,3.6548154265094865
572,9496,572.0,42425.0,572.0,63777.0,53.718867878438516,-6.367679919734002,0.2239959420248283
572,9484,572.0,42412.0,572.0,63752.0,49.543725065590536,-8.344156544522605,-3.210307037928686
