c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35127.0,20958.0,35127.0,30735.0,35127.0,22291.0,-284.01162520982723,-182.76311149909594,-238.59767170263927
35127.0,20961.0,35127.0,30770.0,35127.0,22301.0,-282.4168955276559,-177.97558496554169,-235.00374674933454
35127.0,20976.0,35127.0,30775.0,35127.0,22301.0,-280.5752013653053,-172.95959692124353,-231.12557445618768
35127.0,20973.0,35127.0,30773.0,35127.0,22298.0,-278.47598898520624,-167.71644286825406,-226.95752693637638
35137.0,20978.0,35137.0,30765.0,35137.0,22310.0,-276.10832014532764,-162.24682965286837,-222.49429123643228
35137.0,20965.0,35137.0,30741.0,35137.0,22303.0,-273.460887502966,-156.551109105874,-217.73098613606473
35137.0,20955.0,35137.0,30743.0,35137.0,22306.0,-270.5222026852046,-150.62978616728952,-212.66328450059
35137.0,20979.0,35137.0,30793.0,35137.0,22319.0,-267.28089060516965,-144.48398375339303,-207.2875595538907
35137.0,20973.0,35137.0,30800.0,35137.0,22325.0,-263.7258718298009,-138.11543936305708,-201.60097628379475
35137.0,20982.0,35137.0,30804.0,35137.0,22329.0,-259.8463665805811,-131.5261021917139,-195.6014896439217
35148.0,20972.0,35148.0,30787.0,35148.0,22331.0,-255.63190892868693,-124.71788519652048,-189.28785689862787
35148.0,20968.0,35148.0,30766.0,35148.0,22332.0,-251.07250509611583,-117.69288977381318,-182.65973905261342
35148.0,20973.0,35148.0,30787.0,35148.0,22337.0,-246.15890584181486,-110.4539512040518,-175.71786711772762
35148.0,20978.0,35148.0,30826.0,35148.0,22348.0,-240.8828677807477,-103.00503933431884,-168.46420644167338
35148.0,20994.0,35148.0,30828.0,35148.0,22369.0,-235.23728453089475,-95.35116025066623,-160.90202598021176
35148.0,21004.0,35148.0,30827.0,35148.0,22374.0,-229.2161677142139,-87.49801986964226,-153.0358259015218
35158.0,21004.0,35158.0,30823.0,35158.0,22380.0,-222.81455696466926,-79.45194307461486,-144.8712246015898
35158.0,21001.0,35158.0,30836.0,35158.0,22390.0,-216.0285129383787,-71.220088686172,-136.41494057322132
35158.0,20997.0,35158.0,30852.0,35158.0,22401.0,-208.85529669365235,-62.81066257243381,-127.67484668487191
