c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138521.0,13646.0,138521.0,8921.0,138521.0,23720.0,-519.6386783838059,-291.0581554956165,-445.38803568449583
138521.0,13647.0,138521.0,8915.0,138521.0,23721.0,-529.1350025092951,-297.05098918334744,-454.1989303775525
138521.0,13637.0,138521.0,8898.0,138521.0,23717.0,-538.8578020690054,-303.15513320136535,-463.21000728862117
138521.0,13617.0,138521.0,8890.0,138521.0,23683.0,-548.8016892605873,-309.3630042427073,-472.4143086876404
138531.0,13610.0,138531.0,8873.0,138531.0,23678.0,-558.9608712691146,-315.66711486786636,-481.80443952376834
138531.0,13593.0,138531.0,8875.0,138531.0,23672.0,-569.3293299141983,-322.060306336536,-491.3728507743145
138531.0,13613.0,138531.0,8893.0,138531.0,23676.0,-579.9009459621716,-328.5358509742384,-501.1120057354238
138531.0,13601.0,138531.0,8894.0,138531.0,23675.0,-590.6694185403287,-335.08728062026216,-511.01430807301983
138531.0,13585.0,138531.0,8891.0,138531.0,23664.0,-601.6280506805538,-341.7080283959868,-521.071913300222
138531.0,13566.0,138531.0,8866.0,138531.0,23650.0,-612.7696764216645,-348.39118351606135,-531.2766040388105
138542.0,13556.0,138542.0,8863.0,138542.0,23639.0,-624.0868207533008,-355.1295313729993,-541.6198203861136
138542.0,13559.0,138542.0,8864.0,138542.0,23645.0,-635.5718882349187,-361.9157394819182,-552.0927545851438
138542.0,13561.0,138542.0,8859.0,138542.0,23638.0,-647.2171660144079,-368.74244059964144,-562.6863382575943
138542.0,13544.0,138542.0,8867.0,138542.0,23640.0,-659.0146435140316,-375.6021545659609,-573.3910880809078
138542.0,13535.0,138542.0,8842.0,138542.0,23616.0,-670.9558534284092,-382.48716648075515,-584.1969417449455
138542.0,13543.0,138542.0,8838.0,138542.0,23604.0,-683.0318213137307,-389.3895112142143,-595.0932382981681
138552.0,13515.0,138552.0,8832.0,138552.0,23589.0,-695.2330046427201,-396.3010989023306,-606.0688735636566
138552.0,13503.0,138552.0,8837.0,138552.0,23608.0,-707.549253994096,-403.2138197862133,-617.1124549041558
138552.0,13507.0,138552.0,8843.0,138552.0,23598.0,-719.9698917980905,-410.11947890049134,-628.2122290369693
138552.0,13494.0,138552.0,8820.0,138552.0,23575.0,-732.4837551618818,-417.00962158454956,-639.3558561207005
138552.0,13480.0,138552.0,8816.0,138552.0,23580.0,-745.0791241933218,-423.87545852517667,-650.5303138150856
138552.0,13483.0,138552.0,8808.0,138552.0,23562.0,-757.7436657004677,-430.7079675052829,-661.721943855744
138562.0,13466.0,138562.0,8797.0,138562.0,23553.0,-770.4643946687227,-437.49803655246774,-672.9164897855669
138562.0,13463.0,138562.0,8819.0,138562.0,23552.0,-783.2276033207752,-444.23651925913043,-684.099124259035
138562.0,13464.0,138562.0,8823.0,138562.0,23534.0,-796.0187743682144,-450.9140912635113,-695.2544663791579
138562.0,13441.0,138562.0,8804.0,138562.0,23529.0,-808.822466755566,-457.5209324734477,-706.366587521526
138562.0,13427.0,138562.0,8788.0,138562.0,23521.0,-821.6222553144016,-464.04654901275285,-717.4190425684268
138562.0,13421.0,138562.0,8782.0,138562.0,23515.0,-834.4008118452982,-470.4799112721248,-728.3948865925565
138573.0,13422.0,138573.0,8786.0,138573.0,23513.0,-847.1399844727969,-476.8096797224491,-739.276635023039
138573.0,13410.0,138573.0,8781.0,138573.0,23513.0,-859.8207260766458,-483.02427195095663,-750.0461637939704
138573.0,13400.0,138573.0,8790.0,138573.0,23499.0,-872.4229573812223,-489.1117692613792,-760.6845662310564
138573.0,13384.0,138573.0,8755.0,138573.0,23481.0,-884.9255130498469,-495.0598109437391,-771.1720745200145
138573.0,13376.0,138573.0,8764.0,138573.0,23461.0,-897.3061896457916,-500.85564254379574,-781.4881677905154
138573.0,13354.0,138573.0,8753.0,138573.0,23465.0,-909.5418435255174,-506.4862922221199,-791.6118107884372
138583.0,13370.0,138583.0,8770.0,138583.0,23468.0,-921.6084766440731,-511.93865098056676,-801.5215910692104
138583.0,13354.0,138583.0,8772.0,138583.0,23457.0,-933.4812017378549,-517.1993377749883,-811.1956319432938
138583.0,13349.0,138583.0,8764.0,138583.0,23439.0,-945.1340856359169,-522.2544450535312,-820.6114619761063
138583.0,13326.0,138583.0,8745.0,138583.0,23434.0,-956.5400556623342,-527.0893897875396,-829.7460522160095
138583.0,13325.0,138583.0,8726.0,138583.0,23433.0,-967.6709630583298,-531.6890465085864,-838.5759490219068
138583.0,13310.0,138583.0,8732.0,138583.0,23428.0,-978.4976990642645,-536.0380818720463,-847.0773190749496
138593.0,13310.0,138593.0,8730.0,138593.0,23410.0,-988.9902593354927,-540.1212200538607,-855.2259235203783
138593.0,13303.0,138593.0,8733.0,138593.0,23426.0,-999.1177394172526,-543.9232897170905,-862.9971292658545
138593.0,13289.0,138593.0,8731.0,138593.0,23402.0,-1008.8482986737621,-547.4291441072734,-870.3659197682298
138593.0,13280.0,138593.0,8727.0,138593.0,23381.0,-1018.1491746178383,-550.6235883319388,-877.3069364594829
138593.0,13278.0,138593.0,8730.0,138593.0,23387.0,-1026.9867668819275,-553.4913547883873,-883.7946912544073
138593.0,13262.0,138593.0,8719.0,138593.0,23383.0,-1035.3267170098134,-556.0171150883284,-889.8038133434773
138604.0,13252.0,138604.0,8726.0,138604.0,23371.0,-1043.1339932472383,-558.1855208770355,-895.3091368142932
138604.0,13247.0,138604.0,8708.0,138604.0,23373.0,-1050.3730360792501,-559.9812780884688,-900.2857371754583
138604.0,13247.0,138604.0,8719.0,138604.0,23367.0,-1057.007896836959,-561.3892571540632,-904.7090106850571
138604.0,13222.0,138604.0,8707.0,138604.0,23356.0,-1063.0023239742761,-562.3946133488377,-908.5547608602565
138604.0,13217.0,138604.0,8684.0,138604.0,23348.0,-1068.3199175722966,-562.9829420453618,-911.7993374821832
138604.0,13223.0,138604.0,8707.0,138604.0,23359.0,-1072.924373476112,-563.1405381579066,-914.4198288745963
138614.0,13222.0,138614.0,8720.0,138614.0,23360.0,-1076.7796239596548,-562.8545781038621,-916.3941604861595
138614.0,13213.0,138614.0,8716.0,138614.0,23350.0,-1079.8498295430204,-562.1130081851489,-917.7010721818119
138614.0,13205.0,138614.0,8709.0,138614.0,23346.0,-1082.099413354676,-560.9043624121409,-918.3201550653039
138614.0,13194.0,138614.0,8704.0,138614.0,23342.0,-1083.4932504984158,-559.217809669519,-918.2320375608206
138614.0,13197.0,138614.0,8699.0,138614.0,23339.0,-1083.9969467879891,-557.0433941659887,-917.4186283181782
138614.0,13193.0,138614.0,8709.0,138614.0,23354.0,-1083.577090603564,-554.3722954741972,-915.8633113295905
138624.0,13194.0,138624.0,8724.0,138624.0,23354.0,-1082.2014324305524,-551.1969627703918,-913.5510250315417
138624.0,13186.0,138624.0,8723.0,138624.0,23355.0,-1079.8390498195033,-547.511070938946,-910.4682583049351
138624.0,13183.0,138624.0,8722.0,138624.0,23356.0,-1076.4605736816036,-543.3094404441348,-906.6030974225099
138624.0,13196.0,138624.0,8719.0,138624.0,23364.0,-1072.0384566763055,-538.588101282747,-901.9453567563721
138624.0,13191.0,138624.0,8726.0,138624.0,23359.0,-1066.5471834484083,-533.3444890399405,-896.4867268440381
138624.0,13207.0,138624.0,8739.0,138624.0,23391.0,-1059.963401338231,-527.5776213937594,-890.2208915681707
138635.0,13210.0,138635.0,8754.0,138635.0,23387.0,-1052.266020953608,-521.2881337241796,-883.1435459080865
138635.0,13217.0,138635.0,8765.0,138635.0,23388.0,-1043.4363075909391,-514.4781738556787,-875.2523630328042
138635.0,13211.0,138635.0,8773.0,138635.0,23402.0,-1033.4580269171772,-507.1512591211284,-866.5470849106941
138635.0,13231.0,138635.0,8764.0,138635.0,23408.0,-1022.3176940814461,-499.31222924192673,-857.0297061506462
138635.0,13251.0,138635.0,8772.0,138635.0,23425.0,-1010.004801303905,-490.96738395192205,-846.7046013226469
138635.0,13258.0,138635.0,8808.0,138635.0,23453.0,-996.5118908058159,-482.12468175795476,-835.578549142494
138645.0,13280.0,138645.0,8822.0,138645.0,23468.0,-981.834556387191,-472.793710237953,-823.6606250431431
138645.0,13295.0,138645.0,8832.0,138645.0,23486.0,-965.9714811450814,-462.98541547472524,-810.9620125039595
138645.0,13309.0,138645.0,8829.0,138645.0,23496.0,-948.9244952802974,-452.71191208587743,-797.4958785501406
138645.0,13332.0,138645.0,8847.0,138645.0,23508.0,-930.6986520057809,-441.98654146343085,-783.2773818643249
138645.0,13352.0,138645.0,8863.0,138645.0,23537.0,-911.3023133966013,-430.8240139075285,-768.3237543928968
138645.0,13386.0,138645.0,8895.0,138645.0,23569.0,-890.7471832768417,-419.24040756269363,-752.6542981021947
138655.0,13403.0,138655.0,8896.0,138655.0,23595.0,-869.048264606539,-407.2529953460285,-736.2901870428238
138655.0,13432.0,138655.0,8925.0,138655.0,23613.0,-846.2238037201884,-394.8800592195644,-719.2541793291986
138655.0,13462.0,138655.0,8921.0,138655.0,23624.0,-822.2952715195606,-382.1408086227788,-701.5704447670313
138655.0,13492.0,138655.0,8943.0,138655.0,23642.0,-797.2873365037917,-369.05540449573317,-683.2645964337971
138655.0,13525.0,138655.0,8971.0,138655.0,23676.0,-771.2277925102228,-355.64500934346785,-664.3638161450469
138655.0,13565.0,138655.0,8998.0,138655.0,23703.0,-744.1474504817705,-341.93169674175857,-644.8968726246071
138666.0,13607.0,138666.0,9012.0,138666.0,23727.0,-716.0799650256338,-327.9381892422854,-624.8939849489482
138666.0,13632.0,138666.0,9022.0,138666.0,23761.0,-687.0616028580183,-313.68763038182726,-604.386649730907
138666.0,13650.0,138666.0,9036.0,138666.0,23775.0,-657.1311078688838,-299.2035438622045,-583.4075059399299
138666.0,13696.0,138666.0,9056.0,138666.0,23805.0,-626.3297729328838,-284.5099123673822,-561.9902626451914
138666.0,13750.0,138666.0,9083.0,138666.0,23846.0,-594.7015168589064,-269.6312113320813,-540.1696582661808
138666.0,13787.0,138666.0,9103.0,138666.0,23879.0,-562.2927101478915,-254.5923098628627,-517.9813085765097
138676.0,13822.0,138676.0,9122.0,138676.0,23902.0,-529.1518594379604,-239.41829468174757,-495.46143019207835
138676.0,13865.0,138676.0,9137.0,138676.0,23928.0,-495.329402097921,-224.13433163829023,-472.6466265950137
138676.0,13908.0,138676.0,9155.0,138676.0,23954.0,-460.8776053490074,-208.76561254621578,-449.5738245628133
138676.0,13975.0,138676.0,9186.0,138676.0,23988.0,-425.8503922155837,-193.33732581670824,-426.28026470011145
138676.0,14002.0,138676.0,9206.0,138676.0,24028.0,-390.30301368530894,-177.87454483780118,-402.80341940360057
138676.0,14062.0,138676.0,9223.0,138676.0,24058.0,-354.29168877837503,-162.40203935438694,-379.18078645863096
138686.0,14093.0,138686.0,9249.0,138686.0,24089.0,-317.87334430142676,-146.94411629350475,-355.4496299064169
138686.0,14142.0,138686.0,9263.0,138686.0,24115.0,-281.1054423459502,-131.52451149337992,-331.6467843422502
138686.0,14181.0,138686.0,9274.0,138686.0,24129.0,-244.04586130569953,-116.16632142956092,-307.8085841716448
138686.0,14235.0,138686.0,9299.0,138686.0,24167.0,-206.7527880748022,-100.89200857086792,-283.9709166284006
138686.0,14280.0,138686.0,9332.0,138686.0,24217.0,-169.2845507426017,-85.72339057136833,-260.16924154760693
138686.0,14336.0,138686.0,9347.0,138686.0,24243.0,-131.6993716848433,-70.6814769803417,-236.43837840385822
138697.0,14380.0,138697.0,9350.0,138697.0,24262.0,-94.05506951643497,-55.786268114601796,-212.81218493502968
138697.0,14413.0,138697.0,9356.0,138697.0,24293.0,-56.40879301519362,-41.05676635255594,-189.32341156697692
138697.0,14442.0,138697.0,9373.0,138697.0,24317.0,-18.816928825948253,-26.511211341542605,-166.00372446964172
138697.0,14513.0,138697.0,9420.0,138697.0,24367.0,18.66483509929253,-12.167257201792268,-142.88368773769696
138697.0,14555.0,138697.0,9439.0,138697.0,24390.0,55.981567381320815,1.9581759982185645,-119.9925862914148
138697.0,14611.0,138697.0,9449.0,138697.0,24422.0,93.07940373881536,15.849271834480476,-97.35815933589504
138707.0,14641.0,138707.0,9447.0,138707.0,24425.0,129.9059034964406,29.491522205668673,-75.00644377692788
138707.0,14686.0,138707.0,9468.0,138707.0,24452.0,166.41025347342213,42.87161380707181,-52.96185216277547
138707.0,14722.0,138707.0,9477.0,138707.0,24480.0,202.54332297670567,55.97720936357064,-31.247379070449824
138707.0,14773.0,138707.0,9514.0,138707.0,24510.0,238.25768689996278,68.79686083239352,-9.88471050696728
138707.0,14822.0,138707.0,9537.0,138707.0,24551.0,273.507737923076,81.32014604606218,11.105863586700139
138707.0,14858.0,138707.0,9539.0,138707.0,24563.0,308.249909588675,93.5379482187218,31.70565955743166
138717.0,14894.0,138717.0,9546.0,138717.0,24583.0,342.4428882885909,105.4426175938504,51.897755559669804
138717.0,14926.0,138717.0,9557.0,138717.0,24614.0,376.0476901035838,117.02787994076459,71.66698774759959
138717.0,14970.0,138717.0,9553.0,138717.0,24634.0,409.0276382413981,128.28861964510094,90.9999111382092
138717.0,15018.0,138717.0,9581.0,138717.0,24666.0,441.34839007179244,139.2206630725235,109.88484908735609
138717.0,15062.0,138717.0,9605.0,138717.0,24665.0,472.97812220757464,149.82068379968507,128.31195896467352
138717.0,15079.0,138717.0,9616.0,138717.0,24694.0,503.88778772702335,160.08633508463413,146.27318489180323
138728.0,15096.0,138728.0,9601.0,138728.0,24698.0,534.0511855117795,170.01641540940727,163.76209179699777
138728.0,15134.0,138728.0,9613.0,138728.0,24719.0,563.4447434837089,179.61076361549908,180.77366807329474
138728.0,15160.0,138728.0,9639.0,138728.0,24744.0,592.0472452766669,188.8699828370345,197.30416181496935
138728.0,15207.0,138728.0,9661.0,138728.0,24773.0,619.8397277710224,197.79537167660538,213.35103782093245
138728.0,15237.0,138728.0,9655.0,138728.0,24788.0,646.8055643510504,206.38911320077148,228.9130898947068
138728.0,15270.0,138728.0,9674.0,138728.0,24803.0,672.9306434366019,214.65441815732055,243.99057091402244
138738.0,15271.0,138738.0,9672.0,138738.0,24813.0,698.2034728388537,222.59549485077252,258.5851990521653
138738.0,15294.0,138738.0,9685.0,138738.0,24822.0,722.6150383859715,230.2174589027358,272.7000320525227
138738.0,15327.0,138738.0,9689.0,138738.0,24851.0,746.1584900517271,237.5262475235952,286.3393005738799
138738.0,15365.0,138738.0,9697.0,138738.0,24854.0,768.8289614685261,244.52854218135928,299.5083138418928
138738.0,15378.0,138738.0,9701.0,138738.0,24881.0,790.623642453311,251.231695431989,312.2134435469944
138738.0,15397.0,138738.0,9716.0,138738.0,24879.0,811.541876029499,257.64366372244945,324.4621028495353
138748.0,15406.0,138748.0,9700.0,138748.0,24881.0,831.5850695743761,263.77294188476424,336.2626352951921
138748.0,15427.0,138748.0,9724.0,138748.0,24910.0,850.7564585702048,269.6284464508893,347.62409519340906
138748.0,15463.0,138748.0,9720.0,138748.0,24933.0,869.0609030319392,275.2193798971375,358.5561114484501
138748.0,15471.0,138748.0,9747.0,138748.0,24941.0,886.5048541269718,280.5551969564855,369.0689883579687
138748.0,15500.0,138748.0,9730.0,138748.0,24950.0,903.0964240529211,285.6456625854379,379.1738548656085
138748.0,15501.0,138748.0,9736.0,138748.0,24959.0,918.845403143172,290.5008393847031,388.88265956555506
138759.0,15516.0,138759.0,9737.0,138759.0,24956.0,933.7631652548287,295.1309191647862,398.2080333638329
138759.0,15536.0,138759.0,9755.0,138759.0,24979.0,947.8624975550495,299.54604201890857,407.16309834040464
138759.0,15545.0,138759.0,9756.0,138759.0,24985.0,961.1574616014009,303.75626245129706,415.76132157189863
138759.0,15567.0,138759.0,9778.0,138759.0,24992.0,973.6633359017796,307.7716399748747,424.01646408932504
138759.0,15577.0,138759.0,9780.0,138759.0,25014.0,985.3966010538461,311.60238707167923,431.9425597812169
138759.0,15571.0,138759.0,9767.0,138759.0,25020.0,996.3749001920055,315.2589831237434,439.5539217775296
138769.0,15572.0,138769.0,9757.0,138769.0,25007.0,1006.6168467202529,318.75207185112095,446.86514753208735
138769.0,15608.0,138769.0,9766.0,138769.0,25013.0,1016.1417192413478,322.09212573230604,453.89094810574943
138769.0,15609.0,138769.0,9783.0,138769.0,25028.0,1024.9693243838556,325.28916038872603,460.6458295163675
138769.0,15612.0,138769.0,9802.0,138769.0,25056.0,1033.1200532176276,328.3527475168531,467.1439272203286
138769.0,15618.0,138769.0,9791.0,138769.0,25036.0,1040.6148553963335,331.292245097693,473.39908230562764
138769.0,15621.0,138769.0,9785.0,138769.0,25047.0,1047.475065612954,334.11692685104254,479.42486955211973
138780.0,15623.0,138780.0,9776.0,138780.0,25073.0,1053.7222071667256,336.83581837998884,485.234455492164
138780.0,15627.0,138780.0,9798.0,138780.0,25069.0,1059.3778043373625,339.4573975592996,490.84053900133654
138780.0,15652.0,138780.0,9796.0,138780.0,25079.0,1064.4632433509962,341.9894442248358,496.25542054307493
138780.0,15655.0,138780.0,9819.0,138780.0,25090.0,1068.999788503567,344.43911174759376,501.4910134781587
138780.0,15639.0,138780.0,9814.0,138780.0,25081.0,1073.0086697811412,346.813100843176,506.5587869261527
138780.0,15652.0,138780.0,9801.0,138780.0,25087.0,1076.5110004706696,349.1177653935172,511.46964789253013
138790.0,15649.0,138790.0,9811.0,138790.0,25110.0,1079.5275483634357,351.3590165000487,516.2337784857565
138790.0,15664.0,138790.0,9823.0,138790.0,25111.0,1082.0785845063485,353.54214598863985,520.8605938212565
138790.0,15666.0,138790.0,9833.0,138790.0,25122.0,1084.1838695460315,355.6718221429729,525.3588344530617
138790.0,15673.0,138790.0,9830.0,138790.0,25116.0,1085.8627082074784,357.7522392839762,529.7366108973491
138790.0,15664.0,138790.0,9833.0,138790.0,25135.0,1087.13398222743,359.78721462629903,534.0013433042403
138790.0,15657.0,138790.0,9829.0,138790.0,25132.0,1088.0160639827714,361.7801513284936,538.1596931577612
138800.0,15658.0,138800.0,9831.0,138800.0,25140.0,1088.5265960417864,363.73392225614407,542.2175292663667
138800.0,15681.0,138800.0,9848.0,138800.0,25171.0,1088.6822979467788,365.65077148956107,546.1799339037113
138800.0,15684.0,138800.0,9849.0,138800.0,25174.0,1088.4990040575574,367.5323346719663,550.0513480747184
138800.0,15672.0,138800.0,9861.0,138800.0,25172.0,1087.9918570402876,369.37977003253206,553.8358071748537
138800.0,15677.0,138800.0,9860.0,138800.0,25174.0,1087.1753772182724,371.1938927750293,557.5370159594178
138800.0,15681.0,138800.0,9858.0,138800.0,25181.0,1086.0633789647766,372.97523791754577,561.1582282916494
138811.0,15678.0,138811.0,9859.0,138811.0,25195.0,1084.6689198531737,374.724021202401,564.702135949315
138811.0,15691.0,138811.0,9893.0,138811.0,25205.0,1083.0043306900473,376.44009722310443,568.1708918593478
138811.0,15677.0,138811.0,9884.0,138811.0,25218.0,1081.0812713713035,378.1231009448451,571.5662433921492
138811.0,15684.0,138811.0,9875.0,138811.0,25219.0,1078.9107555005307,379.7726653666897,574.8896866042712
138811.0,15691.0,138811.0,9880.0,138811.0,25208.0,1076.5031413711854,381.3884198751415,578.1425199516324
138811.0,15676.0,138811.0,9878.0,138811.0,25219.0,1073.8681557413415,382.9698077533516,581.3257185030873
138821.0,15685.0,138821.0,9890.0,138821.0,25230.0,1071.0149116179707,384.5159596362115,584.4397520636177
138821.0,15699.0,138821.0,9904.0,138821.0,25250.0,1067.9519136672939,386.0257140000241,587.4845697893102
138821.0,15685.0,138821.0,9911.0,138821.0,25251.0,1064.6871683338445,387.4977826928389,590.4597755669704
138821.0,15691.0,138821.0,9912.0,138821.0,25259.0,1061.2283255405562,388.9309724993518,593.364820122062
138821.0,15684.0,138821.0,9903.0,138821.0,25255.0,1057.5827120756746,390.32429886047146,596.1990702324839
138821.0,15677.0,138821.0,9896.0,138821.0,25266.0,1053.7572928476266,391.6768986958507,598.9617631628868
138831.0,15683.0,138831.0,9926.0,138831.0,25270.0,1049.7586123902697,392.9878516445975,601.6519434819431
138831.0,15696.0,138831.0,9936.0,138831.0,25287.0,1045.5927973447301,394.2561930752462,604.2684713342991
