c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
408.0,6940.0,408.0,11967.0,408.0,31700.0,169.25790030081623,176.726498596954,340.2437000255916
408.0,6968.0,408.0,11958.0,408.0,31754.0,188.19243730283688,190.43407269677311,372.72120429963576
408.0,6970.0,408.0,11965.0,408.0,31771.0,207.3635812444207,204.33821896369665,405.5675431699854
408.0,7004.0,408.0,11970.0,408.0,31801.0,226.72840480008443,218.4103583055415,438.7022428219997
408.0,7015.0,408.0,12007.0,408.0,31887.0,246.24272162558086,232.61984571286493,472.04291411629947
408.0,7044.0,408.0,12055.0,408.0,31923.0,265.8611289972092,246.93404318746053,505.5056176259273
419.0,7100.0,419.0,12069.0,419.0,32000.0,285.53717343097094,261.3188134431032,539.0056110030371
419.0,7129.0,419.0,12099.0,419.0,32055.0,305.22377431472637,275.7391561568719,572.4582527040584
419.0,7148.0,419.0,12095.0,419.0,32080.0,324.87383419864136,290.15964383711395,605.7798725522309
419.0,7203.0,419.0,12141.0,419.0,32152.0,344.4407681072014,304.54462403185846,638.8884600877875
419.0,7236.0,419.0,12233.0,419.0,32228.0,363.87899588829583,318.8585674546066,671.7042867326602
419.0,7279.0,419.0,12270.0,419.0,32267.0,383.14458123432325,333.0670427944866,704.1507760668093
429.0,7303.0,429.0,12227.0,429.0,32290.0,402.19592170434345,347.13798138745227,736.1554203909844
429.0,7294.0,429.0,12221.0,429.0,32279.0,420.994240220719,361.0421784940071,767.650189523494
429.0,7294.0,429.0,12211.0,429.0,32330.0,439.50364058360066,374.7527671090517,798.5713188223541
429.0,7336.0,429.0,12226.0,429.0,32353.0,457.6907950412834,388.2444059338502,828.8589420682945
429.0,7349.0,429.0,12248.0,429.0,32400.0,475.52472648934366,401.49277938615427,858.4570104241553
429.0,7360.0,429.0,12267.0,429.0,32435.0,492.9768786341191,414.47450154413866,887.3134953640345
439.0,7370.0,439.0,12307.0,439.0,32441.0,510.0211857339757,427.1673256520036,915.380648706514
439.0,7393.0,439.0,12256.0,439.0,32456.0,526.633999159998,439.55041912072,942.6150623993714
439.0,7401.0,439.0,12321.0,439.0,32483.0,542.7940153052798,451.60439106618435,968.9774506775151
439.0,7453.0,439.0,12347.0,439.0,32567.0,558.4823310803389,463.31124912135937,994.4325222944557
439.0,7470.0,439.0,12466.0,439.0,32633.0,573.6827207748845,474.6549539733941,1018.9494662177957
439.0,7488.0,439.0,12295.0,439.0,32678.0,588.3820863256369,485.62243256408834,1042.5030863274023
450.0,7480.0,450.0,12406.0,450.0,32609.0,602.5707799773984,496.2038746852538,1065.0748332787953
450.0,7464.0,450.0,12322.0,450.0,32551.0,616.2425346520531,506.39208268552454,1086.652682005814
450.0,7451.0,450.0,12320.0,450.0,32562.0,629.3939740080169,516.1816861220623,1107.2296794037059
450.0,7467.0,450.0,12326.0,450.0,32592.0,642.0239169143763,525.5683774281933,1126.8022898089457
450.0,7488.0,450.0,12371.0,450.0,32598.0,654.1328629884301,534.548292229341,1145.3695746643152
450.0,7477.0,450.0,12395.0,450.0,32621.0,665.7228312587662,543.1180424064069,1162.933056743479
460.0,7476.0,460.0,12341.0,460.0,32642.0,676.797278741072,551.2751389498137,1179.496752923825
460.0,7493.0,460.0,12334.0,460.0,32582.0,687.3608641137379,559.0179689177326,1195.0671103528998
460.0,7488.0,460.0,12379.0,460.0,32672.0,697.4192020924532,566.3452334890922,1209.652688030948
460.0,7546.0,460.0,12485.0,460.0,32686.0,706.9788188226761,573.2558408110658,1223.263966086126
460.0,7560.0,460.0,12509.0,460.0,32694.0,716.0474436976257,579.7499943601883,1235.9137216121717
460.0,7561.0,460.0,12466.0,460.0,32704.0,724.6345584618736,585.8307523490205,1247.6175194374418
470.0,7513.0,470.0,12396.0,470.0,32680.0,732.7516893212472,591.5046071511565,1258.3937973119355
470.0,7491.0,470.0,12379.0,470.0,32656.0,740.4119843908409,596.7806131132324,1268.2635288173947
470.0,7506.0,470.0,12376.0,470.0,32623.0,747.6293027699605,601.668948939689,1277.2494897169515
470.0,7493.0,470.0,12368.0,470.0,32654.0,754.4174543236867,606.17988575782,1285.3753395658925
470.0,7507.0,470.0,12386.0,470.0,32665.0,760.7898426978647,610.32332447002,1292.6650318814038
470.0,7521.0,470.0,12380.0,470.0,32654.0,766.7593532776424,614.1086673182729,1299.1427504373432
481.0,7513.0,481.0,12359.0,481.0,32597.0,772.3383864961655,617.5447804977334,1304.8328589123503
481.0,7506.0,481.0,12368.0,481.0,32667.0,777.5388903693051,620.6398168131336,1309.759462415304
481.0,7554.0,481.0,12463.0,481.0,32691.0,782.3723129301367,623.4011429614739,1313.9461528140605
481.0,7596.0,481.0,12486.0,481.0,32737.0,786.8498343964533,625.8360228104171,1317.4165765806729
481.0,7568.0,481.0,12473.0,481.0,32667.0,790.9830527354807,627.9529127393614,1320.1953467855978
481.0,7539.0,481.0,12382.0,481.0,32665.0,794.7844868099514,629.7622011098837,1322.3083291058383
491.0,7521.0,491.0,12338.0,491.0,32571.0,798.2673179427666,631.2755760267967,1323.781991418191
491.0,7500.0,491.0,12338.0,491.0,32628.0,801.444634604218,632.5044885387581,1324.6422674356447
491.0,7505.0,491.0,12374.0,491.0,32601.0,804.3286998989437,633.4589210987958,1324.9136924361856
491.0,7506.0,491.0,12386.0,491.0,32615.0,806.9304822612851,634.1471651822415,1324.6191886899435
491.0,7526.0,491.0,12351.0,491.0,32550.0,809.2595157516937,634.5762070485013,1323.7800586254073
491.0,7521.0,491.0,12356.0,491.0,32601.0,811.3240288900436,634.7519118900696,1322.415715492367
501.0,7532.0,501.0,12372.0,501.0,32555.0,813.131163629,634.6788705507938,1320.543377489896
501.0,7523.0,501.0,12362.0,501.0,32605.0,814.6871344431936,634.360347768941,1318.1780404322753
501.0,7566.0,501.0,12439.0,501.0,32649.0,815.9973697978717,633.7985665461204,1315.332833627138
501.0,7551.0,501.0,12496.0,501.0,32671.0,817.0668017369114,632.9955187591063,1312.0199142983026
501.0,7533.0,501.0,12401.0,501.0,32628.0,817.9001900819951,631.954182530223,1308.2515763199162
501.0,7520.0,501.0,12400.0,501.0,32567.0,818.5021168110277,630.6791162062989,1304.0406905142142
512.0,7503.0,512.0,12321.0,512.0,32547.0,818.8766201058154,629.175831846847,1299.4001179106253
512.0,7536.0,512.0,12330.0,512.0,32550.0,819.0268240978622,627.4495936444907,1294.3417269530355
512.0,7515.0,512.0,12308.0,512.0,32550.0,818.9548576240379,625.504379769453,1288.8758257579323
512.0,7523.0,512.0,12397.0,512.0,32538.0,818.6619870146793,623.342452698228,1283.011134516263
512.0,7501.0,512.0,12341.0,512.0,32540.0,818.1486714292095,620.9647200369595,1276.7549354611715
512.0,7505.0,512.0,12324.0,512.0,32521.0,817.4144516537964,618.371282695811,1270.1131835785939
522.0,7514.0,522.0,12340.0,522.0,32532.0,816.4578281724928,615.5614479130356,1263.0905879398758
