c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
311217,920,311217,12410,311217.0,36582.0,-135.8458057466796,-50.191529239356015,-157.8295184241944
311217,858,311217,12273,311217.0,36469.0,-143.62977973637794,-59.859953823660746,-170.6146417815586
311217,813,311217,12220,311217.0,36368.0,-151.49053936926222,-69.53890150094483,-183.5592259555587
311217,821,311217,12194,311217.0,36380.0,-159.40983036826185,-79.19320536841752,-196.62869787482668
311217,837,311217,12272,311217.0,36466.0,-167.37188963264023,-88.79288499837998,-209.79303946020187
311217,880,311217,12356,311217.0,36496.0,-175.3633941109207,-98.3130574631302,-223.02653077108823
311228,846,311228,12340,311228.0,36454.0,-183.3727851110157,-107.73235257195003,-236.30625164025827
311228,833,311228,12238,311228.0,36402.0,-191.38967273892717,-117.03134485829136,-249.61103649435034
311228,813,311228,12191,311228.0,36332.0,-199.40478427825326,-126.19252890736229,-262.9217229559718
311228,796,311228,12221,311228.0,36387.0,-207.41027673842194,-135.20153914583608,-276.2221100591278
311228,862,311228,12350,311228.0,36487.0,-215.39992817829602,-144.04778116599928,-289.49925865949615
311228,862,311228,12390,311228.0,36508.0,-223.36876891262324,-152.72324058075023,-302.74223603537985
311238,840,311238,12309,311238.0,36416.0,-231.31227423118986,-161.22032579864057,-315.94020769046995
311238,775,311238,12193,311238.0,36322.0,-239.2259464995344,-169.53089013939154,-329.081791166994
311238,769,311238,12147,311238.0,36267.0,-247.10576034126694,-177.64739076355778,-342.1562692230219
311238,793,311238,12210,311238.0,36344.0,-254.94890440368783,-185.5648510413265,-355.15532100787163
311238,811,311238,12281,311238.0,36382.0,-262.75396986982327,-193.28160894112142,-368.07353724112545
311238,837,311238,12322,311238.0,36392.0,-270.5204178376481,-200.79824852380483,-380.90739586378356
311248,788,311248,12246,311248.0,36348.0,-278.24784571263604,-208.11589645674982,-393.6539024570131
311248,757,311248,12159,311248.0,36278.0,-285.9357164177877,-215.2355733490471,-406.31011181036814
311248,754,311248,12123,311248.0,36263.0,-293.58374471419756,-222.15918473250517,-418.8737128774789
311248,770,311248,12254,311248.0,36344.0,-301.1923922198081,-228.89090908581608,-431.34378677585914
311248,821,311248,12362,311248.0,36361.0,-308.7628053292826,-235.43699351778082,-443.7205722402545
311248,805,311248,12289,311248.0,36357.0,-316.2961130492976,-241.80368984901534,-456.0042365394647
311259,734,311259,12186,311259.0,36239.0,-323.7927444508481,-247.9955468787176,-468.1939389440353
311259,710,311259,12124,311259.0,36147.0,-331.2525893603546,-254.01591439798668,-480.2883463366792
311259,712,311259,12099,311259.0,36188.0,-338.6758666849913,-259.8689221664559,-492.2873561161587
311259,746,311259,12206,311259.0,36209.0,-346.0637289841768,-265.5610091702223,-504.1934357789033
311259,755,311259,12247,311259.0,36301.0,-353.41807508378895,-271.10080294676993,-516.0113892225504
311259,741,311259,12299,311259.0,36270.0,-360.7409187757744,-276.4975309038841,-527.7469139616951
311269,707,311269,12170,311269.0,36178.0,-368.03397732654213,-281.7593718766833,-539.4053110759146
311269,681,311269,12101,311269.0,36142.0,-375.29882376510875,-286.89328971276797,-550.9915376637134
311269,699,311269,12147,311269.0,36177.0,-382.5373661195703,-291.90639516878207,-562.5112576004303
311269,734,311269,12289,311269.0,36273.0,-389.7520484558347,-296.80690121065317,-573.9712593171831
311269,740,311269,12304,311269.0,36313.0,-396.94541545798586,-301.60304643821627,-585.3783034360348
311269,707,311269,12218,311269.0,36217.0,-404.11941283947726,-306.3010366879187,-596.7372722760553
311279,658,311279,12097,311279.0,36089.0,-411.27516216564857,-310.904410763527,-608.0505293931672
311279,640,311279,12043,311279.0,36078.0,-418.4134771568831,-315.4156173248984,-619.3192843213064
311279,654,311279,12103,311279.0,36108.0,-425.53563371505106,-319.8383214439908,-630.5455316574756
311279,682,311279,12210,311279.0,36178.0,-432.643685338068,-324.1783704631054,-641.7326924943814
311279,692,311279,12232,311279.0,36176.0,-439.74009519744567,-328.4426985827758,-652.8846990910924
