c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172461,16392,172461,24839,172461.0,58697.0,145.29818571614277,126.0850376669553,388.5520198731605
172461,16367,172461,24797,172461.0,58706.0,144.62799811261823,123.55981273880582,386.5289591464963
172472,16380,172472,24794,172472.0,58664.0,143.93752236372347,121.02884118510259,384.3883324304856
172472,16366,172472,24754,172472.0,58647.0,143.23153686657878,118.50513276163862,382.14158442243956
172472,16370,172472,24780,172472.0,58627.0,142.51440944458423,116.00024642584344,379.8003861395107
172472,16365,172472,24787,172472.0,58676.0,141.7900612457038,113.52403169263886,377.3762041025235
172472,16372,172472,24805,172472.0,58689.0,141.06195943473534,111.08481873528746,374.88042121836924
172472,16382,172472,24783,172472.0,58636.0,140.33319521591005,108.68984441983126,372.3248997059801
172482,16388,172482,24830,172482.0,58652.0,139.60668754584526,106.34560639290528,369.72226727209795
172482,16366,172482,24776,172482.0,58658.0,138.88541327145538,104.05813486373815,367.0857905582334
172482,16393,172482,24839,172482.0,58663.0,138.17250979258964,101.83321829161659,364.429398040107
172482,16388,172482,24786,172482.0,58617.0,137.471343241157,99.67659087399582,361.76789646913875
172482,16393,172482,24799,172482.0,58632.0,136.78569789865338,97.59405533607594,359.1169453037998
172482,16344,172482,24772,172482.0,58603.0,136.11988841653175,95.59139107947979,356.49278865019113
172492,16337,172492,24757,172492.0,58558.0,135.4784810405134,93.67405964515267,353.91192431677916
172492,16353,172492,24758,172492.0,58556.0,134.865761314854,91.84685099047411,351.3905860152966
172492,16348,172492,24757,172492.0,58564.0,134.28543786299235,90.1136080205293,348.9441656733261
172492,16355,172492,24758,172492.0,58544.0,133.740709603315,88.47714659712113,346.5869618680822
172492,16363,172492,24765,172492.0,58589.0,133.2344473627484,86.93933042757408,344.3322680510285
172492,16354,172492,24766,172492.0,58542.0,132.7693703825986,85.50121979216642,342.192626058768
172503,16359,172503,24769,172503.0,58547.0,132.34817916981297,84.16325762014984,340.18001984271945
172503,16363,172503,24798,172503.0,58533.0,131.97362436586135,82.92550097101065,338.30580056507415
172503,16377,172503,24797,172503.0,58550.0,131.6486208239868,81.78798694531068,336.5805349242571
172503,16351,172503,24769,172503.0,58525.0,131.3764270403795,80.7511176654035,335.0140191871987
172503,16344,172503,24767,172503.0,58494.0,131.16067937616955,79.81572635959387,333.61526430873676
172503,16329,172503,24700,172503.0,58542.0,131.00515549392185,78.98270108888012,332.39228992310376
172513,16340,172513,24738,172513.0,58451.0,130.913451051124,78.25232799115322,331.3519211924771
172513,16326,172513,24741,172513.0,58483.0,130.88879011652688,77.62377697781717,330.49952956705255
172513,16311,172513,24751,172513.0,58505.0,130.93391860277328,77.09511640868962,329.8386828349076
172513,16346,172513,24748,172513.0,58519.0,131.05097942681104,76.66364832952317,329.3712203356913
172513,16341,172513,24760,172513.0,58517.0,131.2415473964068,76.32617982504226,329.0978179780682
172513,16344,172513,24769,172513.0,58527.0,131.50690267655065,76.0792346170231,329.0185127798694
172523,16331,172523,24767,172523.0,58516.0,131.84825136640865,75.91930619199236,329.1329966704979
172523,16343,172523,24819,172523.0,58539.0,132.26673933960794,75.84318696904867,329.4408029934567
172523,16363,172523,24782,172523.0,58553.0,132.7634717967754,75.84842420801802,329.94155368141844
172523,16348,172523,24761,172523.0,58493.0,133.33971455433812,75.9336457432709,330.63524485203664
172523,16315,172523,24707,172523.0,58479.0,133.99704025660157,76.09828004641213,331.5221438287118
172523,16313,172523,24698,172523.0,58488.0,134.7370794848425,76.3416807845214,332.6021964008687
172534,16293,172534,24719,172534.0,58462.0,135.56099813799727,76.66222254282174,333.8744846512918
172534,16315,172534,24721,172534.0,58467.0,136.4690713775912,77.05691009905924,335.3369599900826
172534,16338,172534,24734,172534.0,58475.0,137.46059290232762,77.52151547379108,336.98628143609744
172534,16344,172534,24747,172534.0,58480.0,138.5341822788946,78.05090489204767,338.8178057576642
172534,16322,172534,24763,172534.0,58470.0,139.68821107516038,78.63941008062429,340.82573362643745
172534,16322,172534,24745,172534.0,58486.0,140.92093094985168,79.28120358639069,343.0032318203601
172544,16341,172544,24791,172544.0,58508.0,142.23034017528238,79.97058520197551,345.34257213349485
172544,16353,172544,24760,172544.0,58512.0,143.61419339182623,80.702240393156,347.8354652954536
172544,16354,172544,24805,172544.0,58537.0,145.07028215128673,81.47153566614872,350.47353955040955
172544,16365,172544,24726,172544.0,58469.0,146.59675763808548,82.27469116870796,353.2486788118727
172544,16318,172544,24738,172544.0,58456.0,148.19226290789484,83.10856151896128,356.1528361530668
172544,16311,172544,24707,172544.0,58481.0,149.85569256729423,83.97001891602542,359.17736944153233
172554,16299,172554,24737,172554.0,58468.0,151.58561839191782,84.85536564483812,362.3125611379536
172554,16308,172554,24743,172554.0,58474.0,153.37975126498804,85.76015451775574,365.5475836023063
172554,16327,172554,24728,172554.0,58478.0,155.234736974817,86.67934856876536,368.87056821424295
172554,16339,172554,24781,172554.0,58518.0,157.1463122560041,87.60756313064971,372.26872806232893
172554,16345,172554,24750,172554.0,58493.0,159.1096714255051,88.5393621216574,375.728690407209
172554,16345,172554,24771,172554.0,58507.0,161.11980899532813,89.46958644963688,379.23683897841306
172565,16348,172565,24758,172565.0,58538.0,163.17170889395953,90.39352245168372,382.77950260976536
172565,16356,172565,24783,172565.0,58524.0,165.26043104734225,91.3069611255236,386.3432092088901
172565,16344,172565,24762,172565.0,58513.0,167.38117238022951,92.20631019952398,389.91497109391065
172565,16315,172565,24750,172565.0,58499.0,169.52920323460745,93.08864382408211,393.4822580970083
172565,16337,172565,24726,172565.0,58495.0,171.69957210451116,93.95148155753876,397.0326730191367
172565,16337,172565,24745,172565.0,58506.0,173.88681966504015,94.79237162112128,400.5536354236816
172575,16343,172575,24747,172575.0,58512.0,176.08496736470684,95.60862253868747,404.032280590715
172575,16341,172575,24761,172575.0,58522.0,178.28764921648872,96.39736537747686,407.4555841569791
172575,16373,172575,24766,172575.0,58509.0,180.48824531888368,97.1558131107334,410.8105550045302
172575,16353,172575,24772,172575.0,58543.0,182.68009218703668,97.88154517523674,414.08437741573886
172575,16349,172575,24772,172575.0,58534.0,184.85666487136933,98.5727424315008,417.26459195315306
172575,16353,172575,24722,172575.0,58569.0,187.01153275268575,99.22823701224775,420.3394126116514
172586,16370,172586,24762,172586.0,58544.0,189.13824909732904,99.84725771777804,423.2980936191325
172586,16369,172586,24769,172586.0,58553.0,191.23043159179952,100.42918467352838,426.1311641254365
172586,16370,172586,24717,172586.0,58518.0,193.28195716255163,100.97359457233374,428.83039350933194
172586,16352,172586,24731,172586.0,58494.0,195.2870385576186,101.48018975575555,431.38844308639455
172586,16351,172586,24745,172586.0,58506.0,197.24008777206623,101.94846139419764,433.798303648833
172586,16366,172586,24727,172586.0,58476.0,199.1355000702783,102.37754616076201,436.0527902573974
172596,16359,172596,24744,172596.0,58494.0,200.96758139589275,102.76631081961618,438.1442361769043
172596,16385,172596,24743,172596.0,58537.0,202.73065982504792,103.11343000502573,440.0644347592752
172596,16365,172596,24739,172596.0,58511.0,204.4192699408655,103.4174794862518,441.80496510833837
172596,16390,172596,24748,172596.0,58508.0,206.0283131709625,103.67703281661618,443.35761846569415
172596,16371,172596,24738,172596.0,58512.0,207.553159858457,103.89071486516126,444.7144925080397
172596,16381,172596,24775,172596.0,58512.0,208.98969727617327,104.05729524714432,445.8679116661289
172606,16384,172606,24757,172606.0,58522.0,210.33433789807765,104.175920856886,446.8104732277754
172606,16384,172606,24768,172606.0,58529.0,211.58405484210184,104.24640659000451,447.53522958825204
172606,16371,172606,24709,172606.0,58473.0,212.73643043292273,104.2692948873774,448.0358287960456
172606,16351,172606,24701,172606.0,58464.0,213.78955406085535,104.2454554265292,448.3062837499187
172606,16357,172606,24707,172606.0,58472.0,214.74172287052477,104.1754010104453,448.34039453825926
172606,16353,172606,24694,172606.0,58481.0,215.59113962039285,104.0587911588054,448.1313725444692
172617,16366,172617,24735,172617.0,58483.0,216.33580002387617,103.89433385707942,447.67192555625957
172617,16353,172617,24729,172617.0,58495.0,216.97354332277425,103.68001666932314,446.9545592259301
172617,16388,172617,24714,172617.0,58480.0,217.5021710418692,103.4134709525468,445.97187047898547
172617,16381,172617,24695,172617.0,58489.0,217.91967446566733,103.09208472725447,444.71674608651153
172617,16369,172617,24752,172617.0,58483.0,218.22452233468675,102.71285820700831,443.18247270577865
172617,16374,172617,24776,172617.0,58538.0,218.41577204724598,102.27259299424196,441.3629508663097
172627,16367,172627,24762,172627.0,58486.0,218.49299429477037,101.76861133462864,439.25315274773993
172627,16358,172627,24726,172627.0,58471.0,218.4561811522763,101.1993316277342,436.84946574068675
172627,16352,172627,24699,172627.0,58440.0,218.3056295433391,100.56411137267251,434.1494767301738
172627,16345,172627,24689,172627.0,58412.0,218.04176365382364,99.86255794810229,431.1513489963504
172627,16331,172627,24683,172627.0,58461.0,217.66493473675519,99.09384151519652,427.8532775063517
172627,16339,172627,24710,172627.0,58448.0,217.1752205572876,98.256343977476,424.25343347413263
172637,16345,172637,24709,172637.0,58447.0,216.57231553506182,97.34772497706719,420.35036788863636
172637,16351,172637,24731,172637.0,58445.0,215.85561681448468,96.3652774844849,416.14339646571364
172637,16345,172637,24706,172637.0,58416.0,215.02442936942563,95.30631199310862,411.63273131159383
172637,16340,172637,24719,172637.0,58432.0,214.0781080239197,94.16835893362432,406.8194544285079
172637,16364,172637,24747,172637.0,58437.0,213.01612021817132,92.94927033932687,401.7055313756314
172637,16348,172637,24731,172637.0,58425.0,211.8381813161335,91.64748392096864,396.29403706142085
172648,16342,172648,24702,172648.0,58375.0,210.54442604172596,90.26230188507748,390.58935277585897
172648,16325,172648,24660,172648.0,58363.0,209.1353934414526,88.79370492296789,384.59693771061205
172648,16326,172648,24682,172648.0,58318.0,207.61181929680419,87.24170948989331,378.32272946538035
172648,16312,172648,24686,172648.0,58355.0,205.97441405689705,85.6058572818904,371.7725720394975
172648,16309,172648,24683,172648.0,58339.0,204.22369507564665,83.88519308877488,364.9520394361123
172648,16323,172648,24697,172648.0,58351.0,202.35988729771543,82.07849628785591,357.8667012343672
172658,16322,172658,24706,172658.0,58323.0,200.38298344338824,80.18454137331148,350.52249603008124
172658,16318,172658,24692,172658.0,58287.0,198.29294546929802,78.2023875555183,342.92585031206113
172658,16304,172658,24683,172658.0,58279.0,196.08984290660342,76.13155782867118,335.08343127265806
