c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138627,14096,138627,37003,138627,55923,-281.36304576279537,-149.82886145735145,-346.01887286705016
138627,14098,138627,37036,138627,55928,-289.554354664708,-153.86441823790233,-355.1648874196891
138627,14101,138627,37018,138627,55918,-297.9360832985937,-157.96305264417742,-364.5291592852987
138627,14078,138627,36995,138627,55880,-306.5031441836446,-162.12416332188556,-374.1047536869661
138638,14071,138638,36982,138638,55877,-315.24993796916806,-166.34676005441412,-383.88439739164494
138638,14044,138638,36984,138638,55863,-324.17051128633136,-170.62982632204879,-393.8608417223023
138638,14061,138638,37024,138638,55866,-333.25879616244555,-174.972503985569,-404.02710604992353
138638,14053,138638,37016,138638,55881,-342.5087045321641,-179.37381275847656,-414.3764603369642
138638,14024,138638,36992,138638,55850,-351.9140578037999,-183.83218579492024,-424.90220969357426
138638,14020,138638,36947,138638,55849,-361.4686188080423,-188.34542044881132,-435.59752401255446
138648,13988,138648,36928,138648,55822,-371.1663416799812,-192.91125067337117,-446.4554990832871
138648,14009,138648,36921,138648,55823,-381.00165369178336,-197.5281647144763,-457.46935024363194
138648,14006,138648,37007,138648,55823,-390.9695324541817,-202.19582259662118,-468.6325424908474
138648,14012,138648,37006,138648,55821,-401.0652875994391,-206.91458168360623,-479.9387378708053
138648,13994,138648,37015,138648,55783,-411.2842332928012,-211.68442579350477,-491.3816655905132
138648,13976,138648,36949,138648,55771,-421.6215289771071,-216.50424294309278,-502.95520242710415
138658,13958,138658,36943,138658,55746,-432.0722836189841,-221.3719819441074,-514.6537202987497
138658,13979,138658,36941,138658,55777,-442.63175362072934,-226.28531957076095,-526.4724016819853
138658,13961,138658,36965,138658,55798,-453.295349210908,-231.2420997025672,-538.4071385489269
138658,13937,138658,36962,138658,55768,-464.05849196496104,-236.24023285989733,-550.4539846262171
138658,13941,138658,36913,138658,55731,-474.9166190674988,-241.27743666027905,-562.6087257308888
138658,13911,138658,36876,138658,55715,-485.8653364881051,-246.35143247265333,-574.8670479351995
138669,13895,138669,36880,138669,55721,-496.90060384110745,-251.46068535963713,-587.2250062097946
138669,13895,138669,36943,138669,55698,-508.01896928191593,-256.604973002314,-599.6792756088844
138669,13904,138669,36945,138669,55724,-519.2177027890917,-261.7850976122337,-612.2271122676657
138669,13901,138669,36954,138669,55710,-530.4946397372609,-267.0020039240879,-624.8661275288076
138669,13875,138669,36897,138669,55679,-541.8478987716602,-272.256153212427,-637.5940129021102
138669,13864,138669,36872,138669,55650,-553.275793803925,-277.5476551902438,-650.4085437786766
138679,13857,138679,36893,138679,55664,-564.7769725705541,-282.87691492793726,-663.3079085191281
138679,13872,138679,36948,138679,55676,-576.3505045588154,-288.2449691072288,-676.2908853881775
