c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35564,3936,35564,19398,35564.0,53271.0,-319.33006375084346,-124.92549936264092,-453.82257727436115
35564,3995,35564,19441,35564.0,53364.0,-296.4852537298967,-110.56421413797415,-403.74997168659047
35564,4014,35564,19417,35564.0,53358.0,-272.9615693399242,-95.7028563173771,-352.30831765444077
35564,4000,35564,19373,35564.0,53374.0,-248.79487569909156,-80.3581415475156,-299.58064244737807
35574,4014,35574,19365,35574.0,53454.0,-224.02271615337156,-64.54941265265583,-245.65526635113304
35574,4074,35574,19426,35574.0,53573.0,-198.68482942341916,-48.29975072807758,-190.62640114840883
35574,4129,35574,19534,35574.0,53703.0,-172.82333209087693,-31.636307827449286,-134.59369424381407
35574,4181,35574,19596,35574.0,53827.0,-146.48224740941816,-14.589277662993368,-77.6606951459845
35574,4214,35574,19544,35574.0,53855.0,-119.70674537116525,2.809719443982317,-19.93301820086367
35574,4228,35574,19540,35574.0,53903.0,-92.54257425310334,20.528375178075407,38.48282430513507
35585,4252,35585,19569,35585.0,53964.0,-65.03590479386486,38.533214418338616,97.47955983651843
35585,4314,35585,19665,35585.0,54122.0,-37.233419574809204,56.789075827798,156.94902643685282
35585,4377,35585,19717,35585.0,54220.0,-9.182174582447374,75.25959514537914,216.7828142880585
35585,4402,35585,19760,35585.0,54261.0,19.070964859945775,93.9084838714951,276.8736147172099
35585,4390,35585,19664,35585.0,54236.0,47.4798377157141,112.70052182467123,337.1160456869344
35585,4424,35585,19667,35585.0,54295.0,75.99891159722029,131.6012893050888,397.4061234714678
35595,4460,35595,19676,35595.0,54379.0,104.58282376084128,150.57585857172643,457.640076052365
35595,4529,35595,19776,35595.0,54510.0,133.18618375757,169.5877733200321,517.7138231048743
35595,4559,35595,19820,35595.0,54655.0,161.76388408301852,188.59924214200583,577.5237168714034
35595,4598,35595,19856,35595.0,54716.0,190.2716228107281,207.57221526042656,636.968174925425
35595,4618,35595,19859,35595.0,54722.0,218.6662592083045,226.46939865240205,695.9491315517403
35595,4625,35595,19810,35595.0,54743.0,246.90585199096404,245.25453086275047,754.3722748793407
35605,4668,35605,19891,35605.0,54851.0,274.94943220493803,263.89192573590253,812.1462773387598
35605,4743,35605,19999,35605.0,54993.0,302.75684399339593,282.34621112958604,869.1823844690275
35605,4796,35605,20030,35605.0,55066.0,330.2890997923266,300.5832260309579,925.3952271420108
35605,4791,35605,19975,35605.0,55085.0,357.5091015003866,318.57140129092477,980.7041376090908
35605,4794,35605,19936,35605.0,55064.0,384.3819821304826,336.28203038411266,1035.0335879064212
35605,4805,35605,19930,35605.0,55111.0,410.8747210653271,353.6881317059026,1088.3123262284512
35616,4870,35616,20013,35616.0,55210.0,436.95552783931555,370.763109483629,1140.4721385679838
35616,4897,35616,20039,35616.0,55316.0,462.5936431144502,387.4803859230874,1191.4474724150798
35616,4954,35616,20118,35616.0,55392.0,487.7596428818965,403.8140702178639,1241.1761938881784
35616,4963,35616,20091,35616.0,55452.0,512.4258947593212,419.73994888196466,1289.6007518808638
35616,4971,35616,20065,35616.0,55419.0,536.5668050898817,435.2359948195676,1336.6688628172415
35616,4998,35616,20048,35616.0,55511.0,560.1586958407445,450.2819425998798,1382.3333151575068
35626,5048,35626,20186,35626.0,55587.0,583.1795590270119,464.8585256276011,1426.5514781821294
35626,5086,35626,20245,35626.0,55701.0,605.6091164364719,478.9477256893738,1469.2855365434948
35626,5117,35626,20201,35626.0,55669.0,627.429217749378,492.53414680130015,1510.503413517049
35626,5094,35626,20176,35626.0,55692.0,648.6241709423575,505.6059232895359,1550.179256964214
35626,5100,35626,20109,35626.0,55666.0,669.1805785606298,518.1541365717895,1588.2928232451031
35626,5105,35626,20108,35626.0,55695.0,689.0866904910631,530.171279340018,1624.828188958602
35636,5163,35636,20191,35636.0,55789.0,708.3317775856399,541.6498764489174,1659.7726451944045
35636,5210,35636,20263,35636.0,55870.0,726.9060466208457,552.5822806998643,1693.1165256296613
35636,5233,35636,20276,35636.0,55879.0,744.801133371564,562.9617469760127,1724.8539709136185
35636,5215,35636,20227,35636.0,55875.0,762.0106337828709,572.783601093836,1754.983615770413
35636,5226,35636,20183,35636.0,55856.0,778.5301109155046,582.0452994684933,1783.5083450010775
35636,5265,35636,20248,35636.0,55934.0,794.3567013211523,590.7455153329321,1810.4344098511187
35647,5326,35647,20344,35647.0,56046.0,809.4889867989805,598.8836277275057,1835.7710177061517
35647,5325,35647,20340,35647.0,56016.0,823.9274331628776,606.460515884345,1859.5309919172128
35647,5296,35647,20276,35647.0,55983.0,837.674845613863,613.4797098981863,1881.7314956709429
35647,5285,35647,20233,35647.0,55959.0,850.7361384729584,619.9473737892237,1902.393548596821
35647,5298,35647,20181,35647.0,55942.0,863.1175244228261,625.8709832333844,1921.540564246156
35647,5314,35647,20259,35647.0,56024.0,874.8257929607146,631.2577784406183,1939.1969924956884
35657,5353,35657,20319,35657.0,56069.0,885.8680623795651,636.1141899976849,1955.3878897909053
35657,5378,35657,20347,35657.0,56105.0,896.2519787559954,640.4466199314317,1970.1394973968172
35657,5380,35657,20343,35657.0,56112.0,905.9861289881751,644.2627318647717,1983.4801023537184
35657,5357,35657,20276,35657.0,56018.0,915.0802608675754,647.5721005747795,1995.4402979438555
35657,5374,35657,20246,35657.0,56069.0,923.5450569425766,650.3857592909796,2006.0522663437628
35657,5404,35657,20356,35657.0,56138.0,931.3917613725725,652.7152576142121,2015.3488373284786
35667,5445,35667,20338,35667.0,56164.0,938.6321916691095,654.5724844110558,2023.3635342028601
35667,5432,35667,20354,35667.0,56145.0,945.279181507369,655.9704111389302,2030.1314116242665
35667,5392,35667,20266,35667.0,56035.0,951.3468713939615,656.9235693154799,2035.6893040554378
35667,5381,35667,20239,35667.0,56032.0,956.8503185865311,657.4474846035057,2040.0747369652713
35667,5387,35667,20233,35667.0,56063.0,961.804652470631,657.5574151277051,2043.3242564709385
35667,5423,35667,20322,35667.0,56135.0,966.2244710761322,657.2674337253561,2045.4726272315984
35678,5462,35678,20358,35678.0,56160.0,970.123891090695,656.5907238449211,2046.553399304932
35678,5465,35678,20333,35678.0,56191.0,973.5171274530021,655.5407830536303,2046.6001325147868
35678,5428,35678,20272,35678.0,56077.0,976.4190313770227,654.1322405619854,2045.6472410905253
35678,5412,35678,20227,35678.0,56077.0,978.8450116085653,652.3804505024434,2043.7297046629014
35678,5429,35678,20256,35678.0,56116.0,980.8104375979742,650.3003380897333,2040.8820067523488
35678,5466,35678,20382,35678.0,56177.0,982.3302243029223,647.9058318054958,2037.1376878973895
35688,5470,35688,20341,35688.0,56182.0,983.4190170388372,645.2107088283168,2032.5300971663744
35688,5454,35688,20289,35688.0,56117.0,984.091635910673,642.2298859148882,2027.093391840059
35688,5432,35688,20214,35688.0,56011.0,984.3631884250049,638.9794917816406,2020.8624930484393
35688,5414,35688,20194,35688.0,56010.0,984.2486858825393,635.4755849150989,2013.8716906795137
35688,5437,35688,20209,35688.0,56051.0,983.7624868622231,631.7326900577642,2006.1530317515549
35688,5443,35688,20260,35688.0,56091.0,982.9180105125658,627.7631586542484,1997.7358733558083
35698,5485,35698,20314,35698.0,56122.0,981.7279154906732,623.5776583772879,1988.647710444898
35698,5466,35698,20261,35698.0,56091.0,980.2045923353419,619.1863096847443,1978.915368861808
35698,5436,35698,20192,35698.0,55978.0,978.3605337616416,614.5993296991049,1968.5655204944228
35698,5411,35698,20198,35698.0,56001.0,976.208153446083,609.8265031073413,1957.6240036357306
35698,5450,35698,20291,35698.0,56065.0,973.7592309880724,604.8763884019859,1946.114832057063
35698,5488,35698,20319,35698.0,56062.0,971.0247314262225,599.7566676570516,1934.0602822590404
35709,5463,35709,20304,35709.0,56043.0,968.0152943929711,594.4755201578653,1921.481857776251
35709,5428,35709,20195,35709.0,55985.0,964.7417186525888,589.0425301682269,1908.400856890061
35709,5416,35709,20152,35709.0,55892.0,961.2147778966789,583.4681005143075,1894.8379177213853
35709,5389,35709,20129,35709.0,55916.0,957.4445677982706,577.7618249940423,1880.8117950082094
35709,5409,35709,20199,35709.0,55969.0,953.4399061027442,571.9311691117477,1866.3383858433442
35709,5455,35709,20271,35709.0,55992.0,949.2081578008517,565.9814990321819,1851.4310034911546
35719,5452,35719,20228,35719.0,55987.0,944.7556753302295,559.9173229237907,1836.1015952090604
35719,5420,35719,20175,35719.0,55899.0,940.0884569148982,553.7434027819459,1820.3616873780936
35719,5396,35719,20123,35719.0,55893.0,935.2123044126047,547.4645992469434,1804.2223148417233
35719,5416,35719,20179,35719.0,55879.0,930.1324460711159,541.0848985271455,1787.6933165611067
35719,5448,35719,20244,35719.0,55946.0,924.8533100479323,534.6070338304048,1770.7830111167061
35719,5447,35719,20269,35719.0,55977.0,919.3788755299277,528.0334013821349,1753.4988669488387
35729,5409,35729,20200,35729.0,55929.0,913.7132066824219,521.3674513266392,1735.8488189801335
35729,5388,35729,20099,35729.0,55790.0,907.8605136109547,514.6140619421044,1717.8419766608176
35729,5380,35729,20106,35729.0,55780.0,901.8246916349262,507.77842957584846,1699.487782146298
35729,5398,35729,20087,35729.0,55812.0,895.6088649076562,500.86455279342596,1680.7944925654733
35729,5397,35729,20158,35729.0,55851.0,889.2153288867631,493.87455315146633,1661.76869815126
35729,5407,35729,20177,35729.0,55880.0,882.6458227492271,486.80911579400134,1642.4162584535486
