c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
34718.0,72422.0,34718.0,110533.0,34718.0,63550.0,-457.40139696125226,-186.95911910574466,-799.3785469112798
34718.0,72423.0,34718.0,110549.0,34718.0,63534.0,-466.79242526733555,-191.34824870635572,-812.8460008943142
34718.0,72387.0,34718.0,110515.0,34718.0,63531.0,-476.3797875488962,-195.75558580818102,-826.6221850204093
34718.0,72413.0,34718.0,110508.0,34718.0,63498.0,-486.15523756387404,-200.17555601455396,-840.698454534527
34729.0,72356.0,34729.0,110504.0,34729.0,63500.0,-496.1103899023351,-204.60292342427647,-855.0657598870214
34729.0,72357.0,34729.0,110532.0,34729.0,63507.0,-506.2369245147769,-209.0329833455834,-869.714763885858
34729.0,72375.0,34729.0,110541.0,34729.0,63494.0,-516.5268625924693,-213.46138045993254,-884.6357413620547
34729.0,72379.0,34729.0,110534.0,34729.0,63497.0,-526.9725700345244,-217.88364568050204,-899.8183162899908
34729.0,72358.0,34729.0,110500.0,34729.0,63456.0,-537.5664118578235,-222.29488290212436,-915.2512815472901
34729.0,72337.0,34729.0,110457.0,34729.0,63453.0,-548.3005192060301,-226.68997612979248,-930.922647357118
34739.0,72339.0,34739.0,110502.0,34739.0,63442.0,-559.1668877671909,-231.0641876230088,-946.8198358007223
34739.0,72329.0,34739.0,110508.0,34739.0,63423.0,-570.1575407234584,-235.41348343703174,-962.9298113173472
34739.0,72320.0,34739.0,110447.0,34739.0,63419.0,-581.264554117581,-239.7343699719047,-979.239117238436
34739.0,72325.0,34739.0,110474.0,34739.0,63409.0,-592.4800015567349,-244.0238750815138,-995.7338815097662
34739.0,72295.0,34739.0,110490.0,34739.0,63410.0,-603.7958913630283,-248.27979122976376,-1012.3997414416286
34739.0,72301.0,34739.0,110492.0,34739.0,63376.0,-615.2041571381984,-252.5005898646921,-1029.2217122191487
34750.0,72280.0,34750.0,110467.0,34750.0,63367.0,-626.6967181898345,-256.6850617222331,-1046.1841676043402
34750.0,72288.0,34750.0,110536.0,34750.0,63377.0,-638.2655149636482,-260.8320676182374,-1063.270923194003
34750.0,72230.0,34750.0,110460.0,34750.0,63334.0,-649.9025480736407,-264.9402864437985,-1080.4652264357874
34750.0,72274.0,34750.0,110456.0,34750.0,63318.0,-661.6000365399085,-269.00809801584643,-1097.7497551088695
34750.0,72244.0,34750.0,110460.0,34750.0,63333.0,-673.3505194269575,-273.0339225960176,-1115.106770515125
34750.0,72222.0,34750.0,110469.0,34750.0,63303.0,-685.1467756619045,-277.01659619371617,-1132.5181709495278
34760.0,72231.0,34760.0,110459.0,34760.0,63323.0,-696.9818213076436,-280.9553587435001,-1149.9653185266907
34760.0,72239.0,34760.0,110480.0,34760.0,63332.0,-708.848952144259,-284.8496636356737,-1167.4287229211088
34760.0,72231.0,34760.0,110486.0,34760.0,63295.0,-720.7415342980828,-288.69894219132175,-1184.8876008397299
34760.0,72218.0,34760.0,110472.0,34760.0,63266.0,-732.6526787253183,-292.5022988178948,-1202.3196113697495
34760.0,72215.0,34760.0,110450.0,34760.0,63268.0,-744.5750749924458,-296.2583554282937,-1219.7010107198082
34760.0,72206.0,34760.0,110471.0,34760.0,63244.0,-756.5009481505194,-299.9653766943708,-1237.0069073270217
34770.0,72210.0,34770.0,110464.0,34770.0,63237.0,-768.4219891853066,-303.62139488241235,-1254.211346914552
34770.0,72181.0,34770.0,110501.0,34770.0,63231.0,-780.3292491756655,-307.22405707607254,-1271.2873092489065
34770.0,72183.0,34770.0,110466.0,34770.0,63225.0,-792.2131087327559,-310.77027175316607,-1288.2066417183346
34770.0,72156.0,34770.0,110436.0,34770.0,63204.0,-804.0633634827805,-314.2560352535749,-1304.9399306043242
34770.0,72163.0,34770.0,110440.0,34770.0,63176.0,-815.8693409057591,-317.67672560580854,-1321.456470828823
34770.0,72148.0,34770.0,110503.0,34770.0,63189.0,-827.6199557665473,-321.02743683551097,-1337.724395837215
34781.0,72163.0,34781.0,110475.0,34781.0,63196.0,-839.3036437697956,-324.3027144082412,-1353.7107014765431
34781.0,72158.0,34781.0,110482.0,34781.0,63176.0,-850.9081454651309,-327.4959570744682,-1369.380970620702
34781.0,72150.0,34781.0,110467.0,34781.0,63173.0,-862.4202055366555,-330.5991409816766,-1384.6990465037497
34781.0,72117.0,34781.0,110448.0,34781.0,63141.0,-873.8253942945664,-333.60292495839764,-1399.6269311004025
34781.0,72119.0,34781.0,110406.0,34781.0,63116.0,-885.108201552673,-336.49700568659443,-1414.1249400775228
34781.0,72114.0,34781.0,110434.0,34781.0,63108.0,-896.2522333644365,-339.27067651277366,-1428.1520487580324
34791.0,72110.0,34791.0,110450.0,34791.0,63112.0,-907.2402510565905,-341.91320369446294,-1441.6662057411556
34791.0,72107.0,34791.0,110458.0,34791.0,63098.0,-918.0540571356009,-344.4136642493836,-1454.6243969380662
34791.0,72084.0,34791.0,110404.0,34791.0,63115.0,-928.6743925447299,-346.76060395229837,-1466.9825119714849
34791.0,72062.0,34791.0,110408.0,34791.0,63076.0,-939.0809935908139,-348.94213711450743,-1478.6951782497877
34791.0,72057.0,34791.0,110422.0,34791.0,63067.0,-949.2528455872434,-350.9464035185626,-1489.7157523462938
34791.0,72068.0,34791.0,110407.0,34791.0,63061.0,-959.1684213743118,-352.76182231901936,-1499.9965490727934
34801.0,72058.0,34801.0,110474.0,34801.0,63055.0,-968.8056665938018,-354.37695508335946,-1509.4890952366259
34801.0,72056.0,34801.0,110432.0,34801.0,63054.0,-978.1418133610186,-355.7800856055916,-1518.1442315305985
34801.0,72061.0,34801.0,110425.0,34801.0,63033.0,-987.1532153001399,-356.9588366137379,-1525.912155185329
34801.0,72036.0,34801.0,110405.0,34801.0,63015.0,-995.8152370599265,-357.90025480441125,-1532.742579008519
34801.0,72005.0,34801.0,110445.0,34801.0,63022.0,-1004.1023022831146,-358.59117842189244,-1538.585046866821
34801.0,72013.0,34801.0,110425.0,34801.0,63000.0,-1011.9882141511855,-359.01834341794074,-1543.3892514028123
34812.0,72009.0,34812.0,110415.0,34812.0,62996.0,-1019.4464983855453,-359.16826908959274,-1547.105294899636
34812.0,72007.0,34812.0,110414.0,34812.0,63008.0,-1026.4504882501597,-359.0273222946916,-1549.6839495527572
34812.0,71997.0,34812.0,110379.0,34812.0,62969.0,-1032.9732657360098,-358.58202948522904,-1551.0768924466383
34812.0,71958.0,34812.0,110408.0,34812.0,62959.0,-1038.9877350126294,-357.81947509731566,-1551.2370503856735
34812.0,71974.0,34812.0,110385.0,34812.0,62972.0,-1044.466940317801,-356.72761673530135,-1550.1191552943558
34812.0,71978.0,34812.0,110404.0,34812.0,62966.0,-1049.3843923811166,-355.2954264953179,-1547.680220283076
34822.0,71989.0,34822.0,110406.0,34822.0,62978.0,-1053.714078430109,-353.5129195255505,-1543.8797637933503
34822.0,71963.0,34822.0,110411.0,34822.0,62995.0,-1057.4302679364937,-351.37110660510035,-1538.6799066511594
34822.0,71960.0,34822.0,110384.0,34822.0,62972.0,-1060.5074913540975,-348.8619702257481,-1532.0454424929283
34822.0,71942.0,34822.0,110403.0,34822.0,62976.0,-1062.9207999345813,-345.97863445789346,-1523.9440547987044
34822.0,71985.0,34822.0,110405.0,34822.0,63003.0,-1064.6460504283145,-342.71560743367286,-1514.3467241605115
34822.0,71989.0,34822.0,110415.0,34822.0,63022.0,-1065.6598673928584,-339.0688517967304,-1503.2279989798794
34832.0,71974.0,34832.0,110454.0,34832.0,63032.0,-1065.939316267623,-335.03564281955977,-1490.5659807694763
