c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138351,8834,138351.0,42741.0,138351.0,54356.0,-348.1674032741553,-91.35629021663053,-245.6250160225914
138351,8814,138351.0,42662.0,138351.0,54301.0,-355.40932484654047,-96.94349954005601,-249.3445736612268
138351,8785,138351.0,42612.0,138351.0,54309.0,-362.59140226037897,-102.38207300517301,-252.8428832033544
138351,8778,138351.0,42602.0,138351.0,54292.0,-369.6879275288609,-107.64226592737184,-256.09256364128925
138361,8770,138361.0,42657.0,138361.0,54322.0,-376.6736111778698,-112.6977616396162,-259.0674690316444
138361,8804,138361.0,42708.0,138361.0,54333.0,-383.5237694466712,-117.52565028466393,-261.74261381426317
138361,8801,138361.0,42720.0,138361.0,54341.0,-390.2141023738974,-122.10535379106724,-264.0937711467584
138361,8770,138361.0,42684.0,138361.0,54317.0,-396.7202861779476,-126.4174125060926,-266.09707088532434
138361,8754,138361.0,42604.0,138361.0,54265.0,-403.01787855506257,-130.44313185670836,-267.72901893208046
138361,8737,138361.0,42604.0,138361.0,54276.0,-409.0826651763694,-134.16533859028402,-268.96707835609686
138371,8748,138371.0,42662.0,138371.0,54298.0,-414.8910839019309,-137.56938306611744,-269.79033544417945
138371,8769,138371.0,42702.0,138371.0,54312.0,-420.42035715004585,-140.64320022398027,-270.1796321463548
138371,8752,138371.0,42696.0,138371.0,54317.0,-425.64826639919613,-143.37635684924908,-270.117208087568
138371,8730,138371.0,42625.0,138371.0,54306.0,-430.55290752098944,-145.759200601249,-269.58634250687885
138371,8716,138371.0,42587.0,138371.0,54260.0,-435.1128040750592,-147.7830663440069,-268.5713629942987
138371,8722,138371.0,42619.0,138371.0,54270.0,-439.3072740394321,-149.44128307820114,-267.0581227504091
138382,8734,138382.0,42666.0,138382.0,54316.0,-443.1166540187065,-150.72981406142358,-265.03454010314897
138382,8734,138382.0,42728.0,138382.0,54339.0,-446.5222136273403,-151.6467714334285,-262.490545049976
138382,8741,138382.0,42679.0,138382.0,54321.0,-449.5059144862418,-152.19123046259844,-259.41749190366636
138382,8720,138382.0,42633.0,138382.0,54282.0,-452.05023907272556,-152.36250307528798,-255.80783773910272
138382,8720,138382.0,42594.0,138382.0,54262.0,-454.1382175025768,-152.16058102978855,-251.6555807083099
138382,8708,138382.0,42644.0,138382.0,54303.0,-455.7536305488344,-151.58718615983963,-246.95707193266614
138392,8716,138392.0,42696.0,138392.0,54332.0,-456.88124171170864,-150.6462235675065,-241.7113977417531
138392,8731,138392.0,42752.0,138392.0,54349.0,-457.50690101068756,-149.34307915970325,-235.92004905120154
138392,8710,138392.0,42695.0,138392.0,54342.0,-457.61749265717134,-147.68336650038464,-229.58636764947062
138392,8701,138392.0,42621.0,138392.0,54303.0,-457.20094360139495,-145.67238966232634,-222.71538860600617
138392,8692,138392.0,42607.0,138392.0,54299.0,-456.24649169952744,-143.315969489971,-215.314301301397
138392,8717,138392.0,42665.0,138392.0,54337.0,-454.7450337763864,-140.62176289560492,-207.39316666457827
138402,8734,138402.0,42701.0,138402.0,54410.0,-452.68920787171993,-137.59969278936293,-198.9651233880819
138402,8749,138402.0,42769.0,138402.0,54436.0,-450.07312496635495,-134.2611767374051,-190.04569423959762
138402,8738,138402.0,42661.0,138402.0,54393.0,-446.89200946326616,-130.61802625532712,-180.65179309432034
138402,8720,138402.0,42655.0,138402.0,54374.0,-443.1421027665068,-126.6822184642653,-170.80146024143295
138402,8713,138402.0,42670.0,138402.0,54391.0,-438.820967724325,-122.46673198241102,-160.51449338730907
138402,8746,138402.0,42721.0,138402.0,54438.0,-433.92794108854264,-117.98627087859926,-149.8131035672503
138413,8768,138413.0,42757.0,138413.0,54501.0,-428.4642787269106,-113.25701213426238,-138.72181821068196
138413,8768,138413.0,42760.0,138413.0,54478.0,-422.4328924205236,-108.29573636060745,-127.26673789701874
138413,8757,138413.0,42693.0,138413.0,54466.0,-415.8380930673146,-103.11922359541347,-115.47496966583924
138413,8757,138413.0,42713.0,138413.0,54489.0,-408.6856943477963,-97.74449647214568,-103.3747662543177
138413,8780,138413.0,42711.0,138413.0,54496.0,-400.98333302694067,-92.18955808917192,-90.99595552126593
138413,8819,138413.0,42802.0,138413.0,54556.0,-392.7405888141058,-86.4737032307568,-78.37006214210214
138423,8828,138423.0,42845.0,138423.0,54621.0,-383.96870723060727,-80.61688428312668,-65.52988787965847
138423,8839,138423.0,42797.0,138423.0,54602.0,-374.6801761165779,-74.6385278767416,-52.508644529369434
138423,8835,138423.0,42751.0,138423.0,54583.0,-364.8885217082117,-68.55696323298818,-39.33931643003541
138423,8827,138423.0,42732.0,138423.0,54587.0,-354.60843720974987,-62.39008894324288,-26.054854537126403
138423,8856,138423.0,42785.0,138423.0,54656.0,-343.8561118774867,-56.156488331175126,-12.688727439374873
138423,8897,138423.0,42862.0,138423.0,54687.0,-332.64941812685214,-49.87575631751823,0.7250824251151471
138433,8915,138433.0,42900.0,138433.0,54712.0,-321.0076768622563,-43.56761624968956,14.152735576075145
138433,8922,138433.0,42829.0,138433.0,54709.0,-308.9512088941969,-37.25064567522726,27.561196804158556
138433,8919,138433.0,42822.0,138433.0,54685.0,-296.50111703798893,-30.941889421356557,40.918377937151774
138433,8932,138433.0,42786.0,138433.0,54729.0,-283.6794257308656,-24.657604252821955,54.1927833651535
138433,8976,138433.0,42850.0,138433.0,54762.0,-270.509298208788,-18.41421982972824,67.35319160502394
138433,9012,138433.0,42909.0,138433.0,54818.0,-257.0149399494069,-12.228554164024757,80.36889604589942
138444,9027,138444.0,42945.0,138444.0,54831.0,-243.22113501435402,-6.117005791171891,93.210422912556
138444,9031,138444.0,42901.0,138444.0,54824.0,-229.1527990160995,-0.09440208951691886,105.8501931730097
138444,9028,138444.0,42843.0,138444.0,54811.0,-214.83490206001687,5.826361468013744,118.26265781256194
138444,9047,138444.0,42857.0,138444.0,54819.0,-200.29273252214668,11.633549598682364,130.4238891532945
138444,9086,138444.0,42937.0,138444.0,54861.0,-185.55216693664926,17.31567102884854,142.31109652983042
138444,9110,138444.0,42972.0,138444.0,54917.0,-170.63962744613514,22.86160818006084,153.90261957637244
138454,9140,138454.0,42956.0,138454.0,54910.0,-155.5817482362121,28.261639290967935,165.17848688375705
138454,9149,138454.0,42922.0,138454.0,54910.0,-140.4050172307663,33.50814921583954,176.12097610709458
138454,9150,138454.0,42863.0,138454.0,54892.0,-125.13561682020509,38.59529864629933,186.7146216683118
138454,9169,138454.0,42888.0,138454.0,54891.0,-109.79953359493584,43.51794342197935,196.94572526864778
138454,9204,138454.0,42947.0,138454.0,54957.0,-94.4227480279194,48.27075527780768,206.80186148125426
138454,9242,138454.0,42994.0,138454.0,54979.0,-79.03117946701366,52.84837999837637,216.27192325284034
138464,9264,138464.0,42956.0,138464.0,54983.0,-63.6503167885607,57.246374116097414,225.34670164637708
138464,9263,138464.0,42920.0,138464.0,54942.0,-48.30482326630863,61.461762753186065,234.0192837854874
138464,9263,138464.0,42905.0,138464.0,54934.0,-33.01846291142107,65.49260151354974,242.28472694106716
138464,9292,138464.0,42930.0,138464.0,54978.0,-17.81436164985098,69.33710714139809,250.13933683061185
138464,9340,138464.0,43006.0,138464.0,55010.0,-2.71519984414806,72.99332030696314,257.5803557371869
138464,9371,138464.0,43025.0,138464.0,55033.0,12.257030884768085,76.45973163174699,264.6063560347206
