c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138453.0,385.0,138453.0,70252.0,138453.0,87099.0,-267.9473213187176,-123.91129790128738,-179.81246423572472
138453.0,387.0,138453.0,70302.0,138453.0,87118.0,-264.40095022041106,-121.33147235897167,-175.0039332703251
138453.0,397.0,138453.0,70327.0,138453.0,87171.0,-260.6780513758983,-118.65428654386298,-170.08231858211695
138453.0,400.0,138453.0,70245.0,138453.0,87124.0,-256.7830552995174,-115.88630585586904,-165.0623919066653
138464.0,387.0,138464.0,70212.0,138464.0,87115.0,-252.7209462088321,-113.03350725631945,-159.95848312105676
138464.0,391.0,138464.0,70211.0,138464.0,87118.0,-248.49741818617326,-110.1023599820139,-154.78485537297064
138464.0,421.0,138464.0,70296.0,138464.0,87187.0,-244.11908132855632,-107.10079775449285,-149.5561315710773
138464.0,443.0,138464.0,70360.0,138464.0,87243.0,-239.59341616492603,-104.03797124518583,-144.2869643091659
138464.0,444.0,138464.0,70376.0,138464.0,87198.0,-234.92841946218454,-100.9228675624152,-138.99104184509733
138464.0,437.0,138464.0,70285.0,138464.0,87178.0,-230.13229330632285,-97.7630309443638,-133.68046176389402
138474.0,446.0,138474.0,70205.0,138474.0,87135.0,-225.21343826090038,-94.5647078893988,-128.36614780764324
138474.0,452.0,138474.0,70289.0,138474.0,87177.0,-220.1806107002759,-91.33430314873813,-123.05882176033454
138474.0,473.0,138474.0,70371.0,138474.0,87241.0,-215.0429910785152,-88.07934323558635,-117.76952423651399
138474.0,504.0,138474.0,70402.0,138474.0,87265.0,-209.81003737811233,-84.80769657815061,-112.50914166440052
138474.0,502.0,138474.0,70357.0,138474.0,87234.0,-204.49113760793068,-81.52603562840287,-107.28745920447142
138474.0,494.0,138474.0,70286.0,138474.0,87206.0,-199.09530793990092,-78.23927096253415,-102.1127875435146
138484.0,486.0,138484.0,70237.0,138484.0,87183.0,-193.631231644412,-74.95149142296574,-96.99250121062875
138484.0,511.0,138484.0,70303.0,138484.0,87230.0,-188.10755353461838,-71.6675277923711,-91.93388304904752
138484.0,525.0,138484.0,70414.0,138484.0,87273.0,-182.53304715213636,-68.39359170842478,-86.9444347533661
138484.0,538.0,138484.0,70406.0,138484.0,87308.0,-176.91648644244623,-65.13626921324442,-82.03133753225106
138484.0,545.0,138484.0,70377.0,138484.0,87269.0,-171.26640579329924,-61.90099797856594,-77.20059691928046
138484.0,535.0,138484.0,70308.0,138484.0,87228.0,-165.59097885638982,-58.69164293259955,-72.45677610742905
138495.0,551.0,138495.0,70267.0,138495.0,87228.0,-159.8980867058175,-55.51146557920566,-67.80363128976319
138495.0,567.0,138495.0,70342.0,138495.0,87283.0,-154.19543340662037,-52.36452763256595,-63.24494055116077
138495.0,584.0,138495.0,70459.0,138495.0,87318.0,-148.49049422204152,-49.25609605632948,-58.78459324768909
138495.0,588.0,138495.0,70461.0,138495.0,87320.0,-142.79030632769116,-46.1913855937685,-54.425909393035084
138495.0,589.0,138495.0,70331.0,138495.0,87307.0,-137.10130618623344,-43.17399249561609,-50.17096806165475
138495.0,584.0,138495.0,70327.0,138495.0,87270.0,-131.42935299114487,-40.20596205628918,-46.02055384599532
138505.0,586.0,138505.0,70320.0,138505.0,87270.0,-125.77992582677194,-37.28928949404914,-41.97470915714746
138505.0,613.0,138505.0,70425.0,138505.0,87309.0,-120.15833650115633,-34.42698822887432,-38.033384384751116
138505.0,629.0,138505.0,70472.0,138505.0,87355.0,-114.56973121422374,-31.622650889355498,-34.19653022266141
138505.0,642.0,138505.0,70462.0,138505.0,87358.0,-109.01883838976701,-28.879002811993388,-30.463492524061394
138505.0,633.0,138505.0,70368.0,138505.0,87303.0,-103.50970130387708,-26.19688881596224,-26.832393707957607
138505.0,631.0,138505.0,70326.0,138505.0,87260.0,-98.04564832217093,-23.5757677672035,-23.300342607457424
138515.0,639.0,138515.0,70359.0,138515.0,87302.0,-92.62949858987409,-21.01523123083018,-19.86441008156845
138515.0,648.0,138515.0,70455.0,138515.0,87348.0,-87.26378247819832,-18.515949502053246,-16.522316117596915
138515.0,676.0,138515.0,70494.0,138515.0,87375.0,-81.95078039113409,-16.07905946912649,-13.272108068243767
