c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
34625,14017,34625,22119,34625.0,54162.0,44.23679030654888,-33.03989153522556,-79.6524967099899
34625,14008,34625,22137,34625.0,54163.0,41.5129553603426,-33.0749633911257,-85.48636979730081
34625,14025,34625,22106,34625.0,54148.0,38.65532210548327,-33.19670501159185,-91.6004984486838
34625,13988,34625,22132,34625.0,54157.0,35.664702873945394,-33.41210756103376,-97.9962245575236
34635,14015,34635,22138,34635.0,54146.0,32.542276329497575,-33.72775359364365,-104.67393430342919
34635,13996,34635,22118,34635.0,54171.0,29.28953753846112,-34.14971381247974,-111.63293167594094
34635,14006,34635,22155,34635.0,54136.0,25.908331158971798,-34.68341637996854,-118.87121409057212
34635,14005,34635,22139,34635.0,54134.0,22.400951509463226,-35.333520964647256,-126.38533428144042
34635,14003,34635,22192,34635.0,54135.0,18.770264932809795,-36.103637478014704,-134.17045781840088
34635,14000,34635,22150,34635.0,54148.0,15.019834142131891,-36.99590959239619,-142.22037553944887
34646,13987,34646,22138,34646.0,54094.0,11.153975646762312,-38.01077862739167,-150.5273637995741
34646,13966,34646,22117,34646.0,54075.0,7.177681335495997,-39.14722117648989,-159.08227117267745
34646,13949,34646,22085,34646.0,54044.0,3.0963555089526835,-40.403343081081076,-167.8750483923663
34646,13953,34646,22089,34646.0,54034.0,-1.0845498251585752,-41.777044433257366,-176.89541826478447
34646,13946,34646,22092,34646.0,54009.0,-5.359785027484634,-43.266537098208175,-186.13339647944255
34646,13930,34646,22105,34646.0,54030.0,-9.724385830071384,-44.87051649294934,-195.57960495563654
34656,13923,34656,22115,34656.0,54016.0,-14.173763474893875,-46.58799779521643,-205.22531328522007
34656,13948,34656,22128,34656.0,54031.0,-18.703810242686288,-48.41798054743563,-215.06221869404953
34656,13934,34656,22117,34656.0,54000.0,-23.310808030821747,-50.35909144727318,-225.08216110834084
34656,13932,34656,22127,34656.0,54024.0,-27.991182613247304,-52.4093429748921,-235.27693144919877
34656,13955,34656,22156,34656.0,54020.0,-32.74130405418521,-54.56595326537888,-245.63808033302828
34656,13930,34656,22157,34656.0,54019.0,-37.55728482639766,-56.824998615255204,-256.1565878120422
34666,13910,34666,22082,34666.0,53953.0,-42.43483241929104,-59.18109097071509,-266.82262311310603
34666,13908,34666,22069,34666.0,53926.0,-47.36937917314455,-61.627685617224756,-277.6258257204324
34666,13873,34666,22044,34666.0,53926.0,-52.356408528992475,-64.15801924006948,-288.55603323965715
34666,13895,34666,22047,34666.0,53900.0,-57.39176939604481,-66.76600465950335,-299.6038856834613
34666,13891,34666,22030,34666.0,53884.0,-62.47182497705475,-69.44673436810598,-310.76110412832656
34666,13879,34666,22081,34666.0,53893.0,-67.5933653547612,-72.19663758087749,-322.02065248327744
34677,13897,34677,22078,34677.0,53903.0,-72.75344383183862,-75.01323429084654,-333.37672597306585
34677,13863,34677,22082,34677.0,53896.0,-77.94926664866577,-77.89458965868252,-344.82443097635974
34677,13875,34677,22061,34677.0,53898.0,-83.17816248497607,-80.83890594555149,-356.35934664082026
34677,13884,34677,22112,34677.0,53871.0,-88.43758933924741,-83.84438359912713,-367.9772173570166
34677,13873,34677,22120,34677.0,53872.0,-93.72500685816172,-86.90894074165607,-379.67384706929096
34677,13850,34677,22099,34677.0,53866.0,-99.03770324416158,-90.0296514873205,-391.44509235505006
34687,13855,34687,22031,34687.0,53818.0,-104.37283586084234,-93.20250218169382,-403.2868714372197
34687,13822,34687,22032,34687.0,53791.0,-109.72763503145228,-96.42294123230374,-415.1953855635793
34687,13831,34687,22024,34687.0,53792.0,-115.09962743700285,-99.68677946039716,-427.1676216881662
34687,13814,34687,22008,34687.0,53756.0,-120.48683063183128,-102.9907793557845,-439.2018006354492
34687,13822,34687,22015,34687.0,53751.0,-125.88784792463628,-106.33290705276445,-451.29763524984423
34687,13823,34687,22053,34687.0,53799.0,-131.3018272616056,-109.71236450272045,-463.4564087032112
34697,13817,34697,22030,34697.0,53793.0,-136.7283124900821,-113.12929667616908,-475.680597745087
