c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104089,3059,104089,60570,104089.0,92959.0,56.69231627382135,166.37403392896624,-7.4416971543927275
104089,3079,104089,60618,104089.0,93054.0,71.75193655897681,193.81007076367473,35.1736667740858
104089,3120,104089,60686,104089.0,93140.0,86.95864034244673,221.44123674118686,78.22006084386277
104089,3159,104089,60766,104089.0,93233.0,102.26797723801195,249.18431972115906,121.56861175981265
104089,3179,104089,60816,104089.0,93294.0,117.63533290637932,276.9564856829121,165.09026376666708
104089,3195,104089,60830,104089.0,93386.0,133.01646840173638,304.6764376793574,208.65701523470983
104099,3214,104099,60828,104099.0,93428.0,148.36782698510777,332.2650235132332,252.14294928231254
104099,3235,104099,60852,104099.0,93479.0,163.6466624489735,359.64511262608113,295.42500792483975
104099,3263,104099,60952,104099.0,93558.0,178.81116440060853,386.74129521307515,338.3834773910255
104099,3288,104099,61005,104099.0,93629.0,193.82067700095948,413.4802216195743,380.90245773792697
104099,3319,104099,61026,104099.0,93685.0,208.63601655740848,439.79160671729386,422.87055943246355
104099,3321,104099,61052,104099.0,93721.0,223.2198083342401,465.60909416229794,464.18159994168286
104110,3337,104110,61073,104110.0,93756.0,237.53668599591225,490.8705497250186,504.73496394673975
104110,3355,104110,61069,104110.0,93808.0,251.55330632184757,515.5179861837182,544.4356306156487
104110,3361,104110,61137,104110.0,93869.0,265.23831187900845,539.4973646397779,583.1941767735741
104110,3396,104110,61173,104110.0,93933.0,278.562343918282,562.7585999527447,620.9270443915254
104110,3403,104110,61191,104110.0,93965.0,291.49814293707533,585.2559541789259,657.557042907812
104110,3418,104110,61161,104110.0,93985.0,304.02070952586524,606.9483541780075,693.0137450522025
104120,3411,104120,61151,104120.0,94003.0,316.10736853046285,627.7990540613819,727.2334710649568
104120,3439,104120,61204,104120.0,94039.0,327.73766853307126,647.7748198805355,760.158932399409
104120,3452,104120,61256,104120.0,94085.0,338.8932894033073,666.8454674776305,791.7388951732598
104120,3471,104120,61302,104120.0,94129.0,349.55811845596656,684.9842382475597,821.9281404547667
104120,3473,104120,61311,104120.0,94149.0,359.71841283616976,702.1686191612598,850.6876663815069
104120,3467,104120,61265,104120.0,94155.0,369.3628462811398,718.3808287783278,877.9848057348361
