c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138267.0,13140.0,138267.0,24980.0,138267.0,24648.0,229.4562153536858,148.0065745869624,215.5897147827277
138267.0,13132.0,138267.0,24997.0,138267.0,24646.0,230.8241684702601,146.1362148169848,216.56438845763518
138267.0,13182.0,138267.0,25006.0,138267.0,24686.0,232.14520264741535,144.22546870417685,217.4487173687502
138267.0,13189.0,138267.0,25049.0,138267.0,24695.0,233.41248240119626,142.27587396009335,218.23417940935266
138278.0,13170.0,138278.0,25022.0,138278.0,24668.0,234.61980248977127,140.28997816831605,218.91306426462057
138278.0,13140.0,138278.0,24963.0,138278.0,24657.0,235.76184795087326,138.2717231586999,219.47867661563023
138278.0,13118.0,138278.0,24921.0,138278.0,24652.0,236.8338368859037,136.22601502130982,219.92508144373807
138278.0,13118.0,138278.0,24908.0,138278.0,24645.0,237.83084365185917,134.15760510812362,220.2467377084013
138278.0,13127.0,138278.0,24887.0,138278.0,24641.0,238.74727617250758,132.0699962482483,220.43825534533678
138278.0,13141.0,138278.0,24923.0,138278.0,24656.0,239.5767483563806,129.9648253254218,220.49427576719333
138288.0,13151.0,138288.0,24949.0,138288.0,24640.0,240.31229113998924,127.84185972539181,220.40948008974595
138288.0,13149.0,138288.0,24968.0,138288.0,24676.0,240.94668784602214,125.69958533866429,220.17870704260474
138288.0,13146.0,138288.0,24945.0,138288.0,24684.0,241.47272361053388,123.53597732766521,219.7972232314447
138288.0,13163.0,138288.0,24963.0,138288.0,24663.0,241.88330256251598,121.3489639578035,219.26113174763526
138288.0,13185.0,138288.0,25017.0,138288.0,24701.0,242.1716232145849,119.13670901925308,218.5676885686347
138288.0,13204.0,138288.0,25032.0,138288.0,24689.0,242.33160251869205,116.8982512061321,217.7155268691693
138298.0,13175.0,138298.0,24984.0,138298.0,24675.0,242.35840309247948,114.63438515022543,216.70490265473043
138298.0,13142.0,138298.0,24905.0,138298.0,24653.0,242.24861251778913,112.3478714350538,215.53772498330736
138298.0,13136.0,138298.0,24884.0,138298.0,24628.0,241.99985225645554,110.04250606105533,214.21721089291233
138298.0,13137.0,138298.0,24887.0,138298.0,24620.0,241.6101805657339,107.72174341693946,212.7473410397542
138298.0,13117.0,138298.0,24877.0,138298.0,24572.0,241.07771245282203,105.38781367761851,211.13227177571676
138298.0,13142.0,138298.0,24906.0,138298.0,24630.0,240.40046078370875,103.04151261628576,209.37580877727177
138309.0,13152.0,138309.0,24925.0,138309.0,24642.0,239.57637230069065,100.68244115337991,207.48129624661686
138309.0,13141.0,138309.0,24937.0,138309.0,24626.0,238.60359503767586,98.30956711866895,205.4520794113971
138309.0,13151.0,138309.0,24928.0,138309.0,24627.0,237.48076268173895,95.92185626640676,203.29199785349945
138309.0,13164.0,138309.0,24992.0,138309.0,24681.0,236.20717451279336,93.51879447991301,201.00563027847278
138309.0,13178.0,138309.0,25007.0,138309.0,24651.0,234.78306118963104,91.10107034221915,198.59868926556496
138309.0,13161.0,138309.0,24971.0,138309.0,24630.0,233.20996473127,88.67146057525922,196.0784828708014
138319.0,13140.0,138319.0,24895.0,138319.0,24599.0,231.4909432891352,86.2351756108353,193.4538762523961
138319.0,13113.0,138319.0,24864.0,138319.0,24594.0,229.63037400081578,83.79910463110927,190.73476522361904
138319.0,13085.0,138319.0,24840.0,138319.0,24566.0,227.6334125156436,81.37044156254626,187.9314985731566
138319.0,13101.0,138319.0,24832.0,138319.0,24524.0,225.50537011549454,78.95551951618701,185.05434193109198
138319.0,13087.0,138319.0,24823.0,138319.0,24575.0,223.25132194671374,76.55914082504442,182.1129302365007
138319.0,13115.0,138319.0,24881.0,138319.0,24565.0,220.87607571317832,74.18437617529837,179.11604846405294
138329.0,13104.0,138329.0,24868.0,138329.0,24571.0,218.38439543271787,71.83289338917784,176.07192243320412
138329.0,13102.0,138329.0,24890.0,138329.0,24552.0,215.7812878444828,69.5056194545511,172.9885741948238
138329.0,13097.0,138329.0,24883.0,138329.0,24577.0,213.0721651262706,67.20330468670326,169.87395435596588
138329.0,13134.0,138329.0,24972.0,138329.0,24599.0,210.26295053786797,64.92703147995576,166.7361283269762
138329.0,13102.0,138329.0,24929.0,138329.0,24576.0,207.3603453720575,62.67901973997654,163.58371252839703
138329.0,13106.0,138329.0,24885.0,138329.0,24550.0,204.37211738021398,60.4633626573834,160.42621018744617
138340.0,13047.0,138340.0,24860.0,138340.0,24514.0,201.30705225395127,58.28590754095576,157.2738214606046
138340.0,13036.0,138340.0,24803.0,138340.0,24495.0,198.17445863065365,56.153338242562924,154.13680042973078
138340.0,13055.0,138340.0,24816.0,138340.0,24485.0,194.98351168721967,54.07209444114497,151.02473101180374
138340.0,13016.0,138340.0,24767.0,138340.0,24464.0,191.74287012590167,52.04749387607649,147.94597239993294
138340.0,13022.0,138340.0,24808.0,138340.0,24503.0,188.46054197555668,50.083162567195615,144.90736277582897
138340.0,13045.0,138340.0,24823.0,138340.0,24513.0,185.14378643972628,48.18088820862232,141.91432268576378
138350.0,13028.0,138350.0,24828.0,138350.0,24510.0,181.79921140494082,46.34097352097922,138.9713538081241
138350.0,13046.0,138350.0,24854.0,138350.0,24485.0,178.43307244228185,44.562836534513224,136.0824978314057
138350.0,13044.0,138350.0,24883.0,138350.0,24529.0,175.0515585692744,42.84563517520127,133.25148411180209
138350.0,13076.0,138350.0,24958.0,138350.0,24553.0,171.66112122719278,41.18912865039172,130.48196262160434
138350.0,13038.0,138350.0,24878.0,138350.0,24516.0,168.26889685909748,39.594781717402924,127.77808312025184
138350.0,13021.0,138350.0,24831.0,138350.0,24480.0,164.88292741063327,38.066304366304365,125.144851758346
138360.0,12986.0,138360.0,24793.0,138360.0,24453.0,161.51189924641307,36.60897117988043,122.5877489288325
138360.0,12978.0,138360.0,24748.0,138360.0,24438.0,158.16454795455817,35.22823630491172,120.11191985828015
138360.0,12965.0,138360.0,24749.0,138360.0,24432.0,154.84908089063984,33.92844527185599,117.72147203016655
138360.0,12974.0,138360.0,24748.0,138360.0,24441.0,151.57282765106703,32.71196729879651,115.41909379606622
138360.0,12971.0,138360.0,24780.0,138360.0,24472.0,148.34216475946872,31.57889568213224,113.2060608286964
138360.0,12987.0,138360.0,24827.0,138360.0,24474.0,145.1626617120683,30.52737691231536,111.0826384230219
138371.0,12972.0,138371.0,24805.0,138371.0,24452.0,142.0393388916774,29.554396490430037,109.04860437254828
138371.0,12965.0,138371.0,24810.0,138371.0,24461.0,138.9768671731332,28.65650342377009,107.10349373270338
138371.0,13009.0,138371.0,24896.0,138371.0,24480.0,135.97968679202867,27.830265043924214,105.24663023159368
138371.0,12979.0,138371.0,24904.0,138371.0,24488.0,133.05227197678832,27.073016863783522,103.47733693971705
138371.0,12952.0,138371.0,24850.0,138371.0,24447.0,130.1994217958669,26.383915666360878,101.79527967039971
138371.0,12927.0,138371.0,24775.0,138371.0,24429.0,127.42610756977206,25.76420916487166,100.20046755563945
138381.0,12926.0,138381.0,24747.0,138381.0,24410.0,124.73692323847683,25.216208235330157,98.69277117111858
138381.0,12933.0,138381.0,24753.0,138381.0,24414.0,122.13564243270557,24.7417914151915,97.27133664893759
138381.0,12902.0,138381.0,24724.0,138381.0,24385.0,119.62507435765744,24.34138668585439,95.93419125098734
138381.0,12919.0,138381.0,24762.0,138381.0,24423.0,117.20700183140798,24.013553939491743,94.67803234057277
138381.0,12921.0,138381.0,24754.0,138381.0,24443.0,114.88212650940775,23.754959680601473,93.49830302713147
138381.0,12915.0,138381.0,24785.0,138381.0,24438.0,112.6501649194714,23.56065496536499,92.38966184437984
138392.0,12926.0,138392.0,24801.0,138392.0,24446.0,110.5100406413587,23.424549424851705,91.34653090269322
138392.0,12948.0,138392.0,24836.0,138392.0,24456.0,108.46011192427633,23.34003700218463,90.36343733612321
138392.0,12967.0,138392.0,24883.0,138392.0,24477.0,106.49859059691187,23.300838348125666,89.43531011385758
138392.0,12960.0,138392.0,24844.0,138392.0,24461.0,104.62413612511824,23.30195281807417,88.55786797522316
138392.0,12909.0,138392.0,24796.0,138392.0,24420.0,102.83623428910704,23.340163738850435,87.72783151562274
138392.0,12894.0,138392.0,24766.0,138392.0,24414.0,101.1349719647038,23.413597243324887,86.94264588326749
138402.0,12886.0,138402.0,24744.0,138402.0,24404.0,99.52036385241487,23.52066059921961,86.1998963289889
138402.0,12887.0,138402.0,24743.0,138402.0,24380.0,97.99177958433222,23.659058286679397,85.49680929830828
