c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104094.0,15422.0,104094.0,15690.0,104094.0,45143.0,-118.39533394241157,-123.57751014776571,-306.49849759323524
104094.0,15397.0,104094.0,15633.0,104094.0,45133.0,-125.35961419814168,-127.92470885534841,-316.4881160692167
104094.0,15395.0,104094.0,15648.0,104094.0,45102.0,-132.4933648275167,-132.3768511824248,-326.7064235579222
104094.0,15404.0,104094.0,15645.0,104094.0,45087.0,-139.78695172279728,-136.92414507094992,-337.1431460847035
104094.0,15391.0,104094.0,15647.0,104094.0,45103.0,-147.23069383724823,-141.5575589177267,-347.78828968622815
104094.0,15372.0,104094.0,15649.0,104094.0,45100.0,-154.81476192980247,-146.2687118217578,-358.6322038357044
104105.0,15351.0,104105.0,15647.0,104105.0,45085.0,-162.52925682568872,-151.04970854152492,-369.66535310533686
104105.0,15342.0,104105.0,15634.0,104105.0,45038.0,-170.36450393727182,-155.89302264515203,-380.8781920047232
104105.0,15332.0,104105.0,15597.0,104105.0,45037.0,-178.31136603854617,-160.7915535805851,-392.2614367427785
104105.0,15353.0,104105.0,15662.0,104105.0,45044.0,-186.36138032654748,-165.73883564789617,-403.80646708936627
104105.0,15337.0,104105.0,15619.0,104105.0,45041.0,-194.50663506832782,-170.72902673878593,-415.505403297316
104105.0,15329.0,104105.0,15626.0,104105.0,45037.0,-202.739533840479,-175.7566466972997,-427.35085633921085
104115.0,15320.0,104115.0,15605.0,104115.0,45009.0,-211.05269451347505,-180.81650059137124,-439.3356937239886
104115.0,15304.0,104115.0,15610.0,104115.0,44982.0,-219.43900751351606,-185.90383564268078,-451.45307005176915
104115.0,15286.0,104115.0,15592.0,104115.0,44983.0,-227.891774675991,-191.01448711245362,-463.6967083716212
104115.0,15303.0,104115.0,15604.0,104115.0,44975.0,-236.4048682079902,-196.14495865463107,-476.0611532881262
104115.0,15283.0,104115.0,15622.0,104115.0,45018.0,-244.9727622443167,-201.29237251143851,-488.54169043663427
104115.0,15292.0,104115.0,15620.0,104115.0,44956.0,-253.59040886359472,-206.45418038534245,-501.1339426235886
104125.0,15271.0,104125.0,15581.0,104125.0,44943.0,-262.2531084998893,-211.62784150289218,-513.8336102665871
104125.0,15273.0,104125.0,15571.0,104125.0,44941.0,-270.9564518166437,-216.81087472249837,-526.636669953756
104125.0,15238.0,104125.0,15542.0,104125.0,44913.0,-279.69635343351,-222.00131309929515,-539.5396852051888
104125.0,15243.0,104125.0,15565.0,104125.0,44883.0,-288.4692080043097,-227.1981946896836,-552.5400110015156
104125.0,15250.0,104125.0,15588.0,104125.0,44931.0,-297.2720412829991,-232.40170312385922,-565.635981230178
104125.0,15249.0,104125.0,15590.0,104125.0,44895.0,-306.10242761389554,-237.61281429211311,-578.8268443823811
104136.0,15226.0,104136.0,15554.0,104136.0,44896.0,-314.9582427501239,-242.83280734006607,-592.1124232709005
104136.0,15216.0,104136.0,15569.0,104136.0,44879.0,-323.83756778093027,-248.06312968517665,-605.4929015151549
104136.0,15212.0,104136.0,15559.0,104136.0,44851.0,-332.73880292599324,-253.3055310196055,-618.9688481062506
104136.0,15213.0,104136.0,15558.0,104136.0,44854.0,-341.66075853146845,-258.5621121021387,-632.541354575652
104136.0,15199.0,104136.0,15583.0,104136.0,44858.0,-350.60260189627735,-263.83521542822865,-646.2121208263474
104136.0,15202.0,104136.0,15559.0,104136.0,44832.0,-359.56375508238364,-269.1271941383727,-659.9833398355179
104146.0,15187.0,104146.0,15533.0,104146.0,44812.0,-368.5438206387283,-274.44024324946895,-673.8575693792868
