c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
345159,22689,345159.0,62068.0,345159.0,90000.0,562.3317324282209,859.1953267768531,914.8747536266566
345159,22667,345159.0,62016.0,345159.0,89974.0,561.0257970302813,853.9679319229471,909.349430038051
345159,22656,345159.0,61981.0,345159.0,89936.0,559.4308853224325,848.1344076622311,903.2127935223396
345159,22651,345159.0,62016.0,345159.0,89926.0,557.5432161227259,841.6856378149876,896.4607633783974
345169,22673,345169.0,62052.0,345169.0,89942.0,555.3588162017325,834.6123776790245,889.0895498079676
345169,22649,345169.0,62029.0,345169.0,89945.0,552.8736331611983,826.90592312688,881.0957183969591
345169,22656,345169.0,62059.0,345169.0,89936.0,550.0837471983309,818.559043078708,872.4766635454208
345169,22650,345169.0,62034.0,345169.0,89949.0,546.9854896291232,809.5666838535785,863.2311590582273
345169,22661,345169.0,62059.0,345169.0,89951.0,543.5755593598786,799.9265184709983,853.3598868055988
345169,22665,345169.0,62008.0,345169.0,89937.0,539.8512730093194,789.6394098589265,842.8660082390169
345180,22667,345180.0,62044.0,345180.0,89899.0,535.8109285445445,778.7097252970926,831.7555986168443
345180,22628,345180.0,61936.0,345180.0,89824.0,531.454106446981,767.1454555131038,820.037593725034
345180,22606,345180.0,61877.0,345180.0,89796.0,526.7816372797027,754.9578306804627,807.7231092569087
345180,22590,345180.0,61820.0,345180.0,89788.0,521.7952012644939,742.1601598616825,794.8245251675294
345180,22577,345180.0,61833.0,345180.0,89724.0,516.49686340113,728.7664541131155,781.3548608156547
345180,22591,345180.0,61847.0,345180.0,89783.0,510.88882537391214,714.7907677889251,767.3275133508923
345190,22581,345190.0,61819.0,345190.0,89756.0,504.9734771518081,700.2474478250149,752.7564135641587
345190,22579,345190.0,61818.0,345190.0,89729.0,498.75364499823036,685.1516996175499,737.6565845944667
345190,22584,345190.0,61846.0,345190.0,89728.0,492.23286176788406,669.5200885617019,722.0446092428706
345190,22580,345190.0,61858.0,345190.0,89735.0,485.4156432022754,653.3712519689345,705.938894091644
345190,22588,345190.0,61908.0,345190.0,89722.0,478.30782676578775,636.7270616309982,689.3601164091987
345190,22539,345190.0,61725.0,345190.0,89648.0,470.9168656115046,619.6137345250984,672.3317095500886
345200,22551,345200.0,61714.0,345200.0,89642.0,463.25188118078563,602.0618122953285,654.8798822651693
345200,22513,345200.0,61665.0,345200.0,89607.0,455.3235045471127,584.1049175904587,637.0332581771681
345200,22493,345200.0,61636.0,345200.0,89558.0,447.14366203347663,565.7785369328229,618.8225575277479
345200,22460,345200.0,61537.0,345200.0,89539.0,438.72526023813657,547.1192965201279,600.2803141980733
