c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104171,14150,104171,36783,104171,51897,347.83655075658123,100.4812401249594,203.86038071168906
104171,14143,104171,36810,104171,51868,349.03689639805305,100.31866151315975,204.68019713962525
104171,14142,104171,36755,104171,51857,350.2665552173235,100.18595081232455,205.54630385838414
104171,14134,104171,36754,104171,51838,351.5285295722034,100.08515563262526,206.46274903470714
104171,14147,104171,36775,104171,51904,352.8253712229908,100.01765471973003,207.43217636178437
104171,14154,104171,36814,104171,51908,354.15921352836637,99.98402757667749,208.45599740740008
104182,14156,104182,36792,104182,51900,355.5319544832297,99.98448362766581,209.53503993281817
104182,14142,104182,36770,104182,51887,356.94544886594434,100.01930247371257,210.6700063268741
104182,14112,104182,36742,104182,51878,358.40147063219933,100.08871049440525,211.8614223751924
104182,14116,104182,36749,104182,51874,359.901366570317,100.1923212813753,213.10934347039992
104182,14141,104182,36766,104182,51888,361.4456925781446,100.32868225729845,214.41311978201148
104182,14131,104182,36805,104182,51898,363.03419881284236,100.49532212198177,215.7713802597479
104192,14140,104192,36814,104192,51900,364.6660665566586,100.68930726615307,217.18223346678965
104192,14136,104192,36791,104192,51905,366.3400851513476,100.90790855398687,218.64351529223026
104192,14127,104192,36755,104192,51884,368.0547022412708,101.14881596846169,220.1529136078868
104192,14129,104192,36762,104192,51899,369.8079797414381,101.40974740271065,221.70791732030227
104192,14143,104192,36814,104192,51917,371.5975345045262,101.68801831475638,223.30575381265834
104192,14148,104192,36821,104192,51923,373.4206236216931,101.98073610076322,224.94355770225494
104202,14142,104202,36795,104202,51892,375.2743582419401,102.28543106583106,226.61864148276283
104202,14126,104202,36750,104202,51858,377.1558173154335,102.60028626183525,228.32841078148883
104202,14117,104202,36742,104202,51866,379.06191159697073,102.92361414398897,230.06979884962846
104202,14134,104202,36776,104202,51908,380.9891275218907,103.25312853631057,231.83874856416733
104202,14136,104202,36788,104202,51918,382.9334323518659,103.58574050514437,233.63031475601247
104202,14145,104202,36819,104202,51921,384.8904236761675,103.91798547398524,235.4392392628264
104213,14130,104213,36808,104213,51906,386.85552911951686,104.24666681280237,237.26040388748385
104213,14123,104213,36745,104213,51894,388.8240439054147,104.56919186408632,239.08886798705032
104213,14126,104213,36747,104213,51903,390.7909882074717,104.88321802319938,240.91963251553904
104213,14151,104213,36788,104213,51904,392.7510070491649,105.18597120503281,242.7474342386673
104213,14155,104213,36836,104213,51929,394.69854361542264,105.47417780545486,244.56676658392092
104213,14144,104213,36823,104213,51938,396.6281768650057,105.74482476032263,246.37214146091046
104223,14133,104223,36785,104223,51913,398.5347816106432,105.99590795851762,248.15842223370092
104223,14120,104223,36769,104223,51869,400.4133776737276,106.2264182998131,249.92082732328458
104223,14121,104223,36755,104223,51887,402.25882815287207,106.43572735849905,251.65441235319196
104223,14135,104223,36783,104223,51931,404.0656237439688,106.62301623245773,253.35356930572019
104223,14148,104223,36809,104223,51933,405.82792529468196,106.78719282129643,255.01218234576018
104223,14160,104223,36807,104223,51916,407.53986476925127,106.92730767963961,256.62418550367045
104233,14151,104233,36760,104233,51906,409.19591862536026,107.04297266601058,258.1838080376513
104233,14129,104233,36753,104233,51903,410.7910927274778,107.13422589241152,259.6853741024673
104233,14129,104233,36749,104233,51905,412.32078338258464,107.20095024506931,261.12301713256335
104233,14134,104233,36793,104233,51938,413.7804988174191,107.24247890294863,262.49060256371916
104233,14142,104233,36807,104233,51954,415.1657488518245,107.25779867550116,263.782000742503
104233,14144,104233,36804,104233,51926,416.47216160095627,107.2461649965506,264.9915665334372
104244,14108,104244,36757,104244,51926,417.6955986694578,107.20752148560777,266.11437655130754
104244,14119,104244,36754,104244,51933,418.83202208359484,107.14230113929523,267.14610075018453
104244,14129,104244,36741,104244,51932,419.8772385651106,107.05083176468,268.0828667251157
104244,14137,104244,36801,104244,51920,420.8268855463477,106.9329527604442,268.9212625739419
104244,14146,104244,36826,104244,51946,421.6766975110154,106.78829857411984,269.6583469026384
104244,14135,104244,36790,104244,51913,422.422805903704,106.61707074949737,270.2916660832656
104254,14115,104254,36761,104254,51887,423.0618562031475,106.42047693933844,270.8191675542401
104254,14131,104254,36736,104254,51913,423.590889664252,106.20035927502059,271.2388473463613
104254,14108,104254,36733,104254,51925,424.00717197061846,105.95842084758068,271.54847795839214
104254,14137,104254,36830,104254,51937,424.30813888516855,105.69581521220455,271.74579508289384
104254,14130,104254,36800,104254,51946,424.4914933890528,105.41360276900342,271.8289469505053
104254,14104,104254,36747,104254,51903,424.5553653452821,105.11353364591741,271.7968097116759
104264,14100,104264,36720,104264,51877,424.49827067523216,104.79800959643546,271.6488552350812
104264,14077,104264,36715,104264,51890,424.3187972537565,104.46919652331314,271.3845835020542
104264,14104,104264,36744,104264,51915,424.01528267894304,104.12825691819685,271.0030781640931
104264,14113,104264,36796,104264,51937,423.5857733548338,103.77533557792628,270.5031628791173
104264,14117,104264,36795,104264,51926,423.02832969783987,103.4102682037665,269.8839662004884
104264,14098,104264,36764,104264,51913,422.341396228124,103.03339968465518,269.1453587647239
104275,14089,104275,36729,104275,51878,421.5239047131383,102.64576328555452,268.2879329339647
104275,14085,104275,36740,104275,51900,420.5751164808063,102.24857418101959,267.3126260813363
104275,14083,104275,36738,104275,51913,419.49443868674973,101.84267072706282,266.22044081398667
104275,14097,104275,36794,104275,51917,418.2813885985414,101.42843365062433,265.0125879228392
104275,14093,104275,36720,104275,51866,416.935740317382,101.00611837144675,263.6907565619274
104275,14065,104275,36682,104275,51862,415.45770217027757,100.5759002367349,262.2569712832886
104285,14048,104285,36706,104285,51858,413.8478414562809,100.13720160994615,260.71307432386004
104285,14052,104285,36734,104285,51881,412.10674034919117,99.68803137506549,259.06037341444176
104285,14076,104285,36753,104285,51883,410.23476946881556,99.22512005824181,257.2997383734335
104285,14062,104285,36760,104285,51905,408.2322462318919,98.7445814756988,255.43199466216538
104285,14058,104285,36749,104285,51881,406.0997452397943,98.24248984404313,253.4583528079048
104285,14043,104285,36738,104285,51841,403.8382146318676,97.71510129233789,251.3805640324953
104295,14019,104295,36722,104295,51852,401.4488437414012,97.15873204092027,249.20061383888333
104295,14037,104295,36780,104295,51881,398.9328176112019,96.56957668796846,246.92034205314192
104295,14051,104295,36794,104295,51901,396.2912295079075,95.9439402716867,244.5415903019431
104295,14048,104295,36787,104295,51861,393.52534567100344,95.27893077206353,242.06675746334875
104295,14025,104295,36752,104295,51844,390.63696929126604,94.57298076437974,239.4990587718299
104295,13996,104295,36705,104295,51838,387.6284807151446,93.82565798007518,236.84223148353695
104306,14000,104306,36699,104306,51816,384.50251131556945,93.03686398946222,234.1000755517474
104306,14003,104306,36735,104306,51843,381.26161724501503,92.20603623826085,231.27616513186064
104306,14008,104306,36785,104306,51859,377.90826463848936,91.33206377313724,228.37387852628427
104306,14005,104306,36769,104306,51840,374.44506142267863,90.41400167044623,225.39675859317254
104306,13979,104306,36733,104306,51793,370.87496446864816,89.45180506613278,222.34876638218344
104306,13962,104306,36689,104306,51799,367.20123939019004,88.44628344181429,219.2340028990234
104316,13963,104316,36710,104316,51811,363.4271931269144,87.39837432973428,216.05622873660914
104316,13976,104316,36758,104316,51823,359.55598681083245,86.3086066140279,212.8187804623455
104316,13958,104316,36760,104316,51840,355.59073117983223,85.17737468235538,209.5249443502284
104316,13946,104316,36738,104316,51809,351.5346559898969,84.00563080733394,206.17843117015659
104316,13934,104316,36680,104316,51773,347.39108821457205,82.79510327959127,202.78352694062522
104316,13913,104316,36696,104316,51760,343.16326118532567,81.54776503371218,199.34470905531734
104326,13902,104326,36693,104326,51788,338.8540597978289,80.26513959267581,195.86609393933873
104326,13933,104326,36741,104326,51781,334.465837268796,78.9481161469462,192.35128880523052
104326,13931,104326,36749,104326,51777,330.0005563129026,77.5973931193096,188.80364130480515
104326,13921,104326,36749,104326,51759,325.46022227911953,76.21419805441566,185.226439715595
104326,13894,104326,36684,104326,51747,320.8471791477923,74.80070097122939,181.62284903583688
104326,13887,104326,36690,104326,51752,316.1640315424995,73.35972853259099,177.99571442123525
104337,13868,104337,36697,104337,51760,311.41336874123226,71.89412097138698,174.34747470674017
104337,13893,104337,36726,104337,51786,306.59757189873983,70.40646224808896,170.68036400648225
104337,13896,104337,36721,104337,51763,301.71891688517985,68.89937560292508,166.9968466676106
104337,13848,104337,36688,104337,51705,296.7798755214462,67.37590681959186,163.2998625427375
104337,13837,104337,36649,104337,51704,291.78314563040294,65.83943656608685,159.59246156505947
104337,13833,104337,36655,104337,51682,286.73128839822647,64.29306505102298,155.87707240261236
104347,13839,104347,36673,104347,51730,281.6264363892943,62.73901731857586,152.15505268820496
104347,13836,104347,36686,104347,51745,276.47034735699026,61.17857703985791,148.42687489948963
104347,13828,104347,36695,104347,51738,271.26462973886265,59.6124698046053,144.6927960624796
104347,13822,104347,36668,104347,51705,266.0109191887883,58.04126886277274,140.95342032897045
104347,13787,104347,36656,104347,51672,260.7109008554617,56.4654752084067,137.2096586011182
104347,13799,104347,36664,104347,51695,255.36615913740758,54.885280079583055,133.46224100725664
104358,13800,104358,36714,104358,51699,249.9780410398601,53.300457099781866,129.711389316431
104358,13795,104358,36708,104358,51719,244.5477597360491,51.710772606081534,125.95699532442643
104358,13778,104358,36671,104358,51704,239.07661483844464,50.116582276846884,122.1990805681265
104358,13761,104358,36638,104358,51661,233.56605006286003,48.518885522528095,118.43806988663141
104358,13741,104358,36633,104358,51632,228.01748955175992,46.91872429892665,114.6745327687724
104358,13739,104358,36629,104358,51665,222.432078279013,45.31649497996338,110.90857258489848
104368,13762,104368,36667,104368,51676,216.81055921684327,43.71166300261801,107.13954568029718
104368,13756,104368,36697,104368,51677,211.15348959691107,42.10304824230887,103.36639162414988
104368,13742,104368,36671,104368,51655,205.4616505280523,40.489507091843066,99.58809905705007
104368,13711,104368,36627,104368,51644,199.73624520208983,38.870369756387234,95.80383361527299
104368,13706,104368,36613,104368,51632,193.9787318543884,37.24513293860372,92.01274819734542
104368,13698,104368,36677,104368,51662,188.190532260333,35.61286529665699,88.21379736974166
104378,13698,104378,36691,104378,51673,182.37289499295127,33.97224850881341,84.40588377989951
104378,13700,104378,36680,104378,51658,176.52696803448475,32.32231670789115,80.5883224399673
104378,13682,104378,36645,104378,51608,170.65397344070863,30.66303019408167,76.76113114735489
104378,13666,104378,36627,104378,51600,164.75530795245533,28.995139070922278,72.92473826919834
104378,13648,104378,36589,104378,51597,158.83244606386575,27.31954929593327,69.07936692695
104378,13637,104378,36618,104378,51624,152.88670823515196,25.636624203150504,65.22469459105929
104389,13656,104389,36659,104389,51636,146.91909859652304,23.945899072910734,61.36005521083072
104389,13644,104389,36678,104389,51617,140.93039625675812,22.2465345567377,57.484947111071705
104389,13634,104389,36621,104389,51581,134.921417207202,20.538086010194633,53.599326575068005
104389,13612,104389,36597,104389,51569,128.8931493039379,18.820690223169137,49.703375472824916
104389,13602,104389,36608,104389,51588,122.84664899240141,17.094513732896573,45.79703839833343
104389,13590,104389,36635,104389,51594,116.78283937625497,15.359258038507278,41.879875715040214
104399,13607,104399,36662,104399,51605,110.70240387168093,13.61433287725822,37.95135798143835
104399,13594,104399,36630,104399,51582,104.60590290877292,11.859454724007719,34.01127392368616
104399,13572,104399,36585,104399,51537,98.49399020668784,10.09494198898392,30.059837104786794
104399,13558,104399,36579,104399,51533,92.36743920788558,8.321300153149394,26.097299041421877
104399,13560,104399,36609,104399,51577,86.22697357529654,6.5385602644037135,22.123459340062084
104399,13558,104399,36642,104399,51583,80.0731830214242,4.746164079961943,18.137738648681676
104409,13553,104409,36623,104409,51579,73.90664181864457,2.943495015953218,14.13979418997556
104409,13543,104409,36634,104409,51537,67.72809033069854,1.130455896865442,10.129987799890642
104409,13522,104409,36592,104409,51521,61.53851764408739,-0.6923517005324555,6.109267329168915
104409,13505,104409,36586,104409,51505,55.33907039360389,-2.523854604084974,2.0786394818909457
104409,13506,104409,36572,104409,51522,49.130850482723076,-4.362965658821679,-1.9613025053834576
104409,13507,104409,36625,104409,51551,42.91480807930628,-6.208901485511944,-6.010426033240833
104420,13502,104420,36616,104420,51533,36.69185127134148,-8.060996149917855,-10.068650822926827
104420,13458,104420,36575,104420,51500,30.462982118609318,-9.918259687448625,-14.135538436408893
104420,13453,104420,36554,104420,51487,24.229159557069636,-11.779381714299248,-18.21036938051904
104420,13444,104420,36552,104420,51479,17.99094780965686,-13.643289438045272,-22.292586388263942
104420,13465,104420,36574,104420,51474,11.748338825661222,-15.509644896202673,-26.382164751855754
104420,13465,104420,36574,104420,51532,5.500963242371938,-17.37886456760134,-30.479638545599357
104430,13455,104430,36610,104430,51479,-0.7514781050880401,-19.251758505831745,-34.58572405374997
104430,13422,104430,36555,104430,51470,-7.00893043818445,-21.12909659115634,-38.700953229702975
104430,13400,104430,36525,104430,51466,-13.271095943947728,-23.011553168332256,-42.82577250487438
104430,13407,104430,36543,104430,51454,-19.537799706375893,-24.90021015694164,-46.960853967575076
104430,13418,104430,36609,104430,51479,-25.8091856898248,-26.79693459353112,-51.10720403543087
104430,13405,104430,36608,104430,51483,-32.085534338927516,-28.703902032166866,-55.26598258083047
104440,13403,104440,36588,104440,51465,-38.36694666493315,-30.622678587062722,-59.43814176184955
104440,13366,104440,36584,104440,51458,-44.65321051569697,-32.55375199218379,-63.62419213193792
104440,13353,104440,36520,104440,51415,-50.94395426428599,-34.49673019561888,-67.8243145636475
104440,13357,104440,36516,104440,51437,-57.2389563833878,-36.450999029211005,-72.038718808554
104440,13351,104440,36587,104440,51429,-63.53830736048582,-38.41637957582711,-76.2679289389373
104440,13359,104440,36584,104440,51460,-69.84229444489671,-40.39305266390643,-80.51271234341411
104451,13334,104451,36554,104451,51421,-76.1511751726797,-42.38086180081255,-84.77374535321385
104451,13315,104451,36530,104451,51390,-82.46508251175322,-44.37899223731834,-89.05146676773981
104451,13313,104451,36505,104451,51396,-88.78415471417588,-46.38637829857281,-93.3463863907399
104451,13320,104451,36547,104451,51426,-95.10867536015058,-48.40227843678477,-97.65943572471195
104451,13325,104451,36568,104451,51442,-101.43895646162991,-50.42636842258953,-101.99178000058689
104451,13307,104451,36576,104451,51420,-107.77502533278977,-52.45821306350692,-106.34421293986014
104461,13285,104461,36525,104461,51395,-114.11642282872936,-54.49667703489364,-110.71676561889575
104461,13260,104461,36484,104461,51381,-120.46231735225138,-56.53998516808785,-115.10884309213048
104461,13252,104461,36477,104461,51356,-126.81184762597456,-58.586496990855736,-119.5196661657508
