c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
168,14880,168,20542,168.0,52461.0,-74.28915413412813,-83.5477577080596,-281.5111398564997
168,14858,168,20566,168.0,52437.0,-77.84309072167909,-82.7682946176563,-286.24733953184574
168,14851,168,20546,168.0,52453.0,-81.51566728097505,-82.07097639469632,-291.20262717054163
168,14845,168,20534,168.0,52427.0,-85.30300538572722,-81.46360464286157,-296.377926943952
168,14874,168,20555,168.0,52427.0,-89.20154092868154,-80.95346225605783,-301.7740110757363
168,14840,168,20551,168.0,52434.0,-93.20792607940687,-80.54744857322343,-307.39160820395193
178,14859,178,20550,178.0,52409.0,-97.31886701643394,-80.25203132563902,-313.231456197082
178,14845,178,20582,178.0,52461.0,-101.53107563077296,-80.07312443387399,-319.29424071122065
178,14847,178,20629,178.0,52435.0,-105.84124828916106,-80.01576395314592,-325.5803405406778
178,14855,178,20597,178.0,52466.0,-110.24599891062721,-80.08344436878129,-332.0893918851589
178,14834,178,20589,178.0,52425.0,-114.74176467792276,-80.27758661187704,-338.8199184194545
178,14836,178,20575,178.0,52377.0,-119.32476139575166,-80.59759099990418,-345.76933478573477
189,14814,189,20533,189.0,52388.0,-123.99106956022968,-81.04130911129494,-352.93445104843477
189,14809,189,20526,189.0,52364.0,-128.73682090515769,-81.60570592698234,-360.3121159438864
189,14783,189,20504,189.0,52373.0,-133.55845114623747,-82.28760504110019,-367.8995558254713
189,14793,189,20530,189.0,52375.0,-138.45298868885914,-83.08426811116914,-375.6944154714621
189,14800,189,20532,189.0,52373.0,-143.4182215614795,-83.99358603352213,-383.69462024198936
189,14800,189,20519,189.0,52369.0,-148.45259898522488,-85.0139588298707,-391.89815680092266
199,14806,199,20561,199.0,52345.0,-153.55496276707316,-86.14411525414702,-400.3029424632158
199,14815,199,20568,199.0,52377.0,-158.72425832526315,-87.38283372348616,-408.9068075188939
199,14819,199,20584,199.0,52386.0,-163.9592193180947,-88.72842700692095,-417.7073315662125
199,14798,199,20558,199.0,52363.0,-169.2580704368691,-90.1782457058721,-426.70141048030524
199,14784,199,20509,199.0,52357.0,-174.61844066064822,-91.7286275901155,-435.88490824961167
199,14768,199,20510,199.0,52277.0,-180.03755988505588,-93.37543655835242,-445.2527762653116
210,14754,210,20506,210.0,52271.0,-185.51259329215492,-95.1148048055225,-454.79971507172934
210,14730,210,20523,210.0,52262.0,-191.04099617082494,-96.94353394218584,-464.5210630318345
210,14753,210,20499,210.0,52279.0,-196.62083058635267,-98.85910863909477,-474.4133170951118
210,14745,210,20526,210.0,52268.0,-202.2508719617352,-100.8596203842904,-484.47408141529684
210,14737,210,20505,210.0,52271.0,-207.9304712286954,-102.94371071496448,-494.7017677237053
210,14755,210,20536,210.0,52269.0,-213.65937900808865,-105.11046518046244,-505.095322763034
220,14751,220,20542,220.0,52283.0,-219.43755815158593,-107.35918725205295,-515.6539625994384
220,14745,220,20564,220.0,52293.0,-225.26492394468096,-109.6889935249414,-526.3767843330262
220,14748,220,20539,220.0,52316.0,-231.14113744594277,-112.09835166336208,-537.2621965498822
220,14743,220,20553,220.0,52244.0,-237.06549041890432,-114.58482015841257,-548.3073608047323
220,14728,220,20511,220.0,52212.0,-243.03682520566628,-117.14507494756083,-559.5081582141685
220,14701,220,20503,220.0,52180.0,-249.0535867041131,-119.77519261843403,-570.8598836220244
230,14693,230,20481,230.0,52195.0,-255.11409957564905,-122.47114375425056,-582.3580967733614
230,14678,230,20455,230.0,52206.0,-261.2169472833033,-125.22936702255078,-593.998964835954
230,14672,230,20462,230.0,52181.0,-267.36127492229446,-128.0473148479083,-605.7790539083962
230,14677,230,20481,230.0,52169.0,-273.54695112541015,-130.92379875981206,-617.6950492586545
230,14698,230,20531,230.0,52172.0,-279.7745162147516,-133.85883296037613,-629.7437099865408
230,14696,230,20531,230.0,52188.0,-286.0448538700182,-136.8529215124052,-641.9218133486971
241,14695,241,20556,241.0,52181.0,-292.35874414979963,-139.90615747237894,-654.2258217215629
241,14701,241,20526,241.0,52220.0,-298.7165204516957,-143.0175609675353,-666.6513330217838
241,14698,241,20516,241.0,52201.0,-305.1178283676645,-146.18485859447227,-679.1924158910258
241,14682,241,20513,241.0,52148.0,-311.5614358348529,-149.40465155794172,-691.8410807362918
241,14660,241,20501,241.0,52125.0,-318.0452099473948,-152.67269537264767,-704.5873401342023
241,14642,241,20475,241.0,52099.0,-324.56634951207957,-155.9841435028451,-717.4198183813808
251,14629,251,20460,251.0,52112.0,-331.1217702041055,-159.3338926844233,-730.3263317235151
251,14618,251,20470,251.0,52081.0,-337.7084703922985,-162.7170159143713,-743.2941016621758
251,14635,251,20478,251.0,52098.0,-344.32374213936043,-166.12899387576164,-756.3097150558273
251,14642,251,20474,251.0,52065.0,-350.9651020009718,-169.56562150750239,-769.359019632242
251,14638,251,20481,251.0,52084.0,-357.6299579019011,-173.02278818913481,-782.4270120103446
251,14635,251,20495,251.0,52094.0,-364.31525299523116,-176.49626524415476,-795.4976296464476
261,14625,261,20511,261.0,52117.0,-371.01727277480313,-179.9813997127511,-808.5532650592525
261,14612,261,20530,261.0,52073.0,-377.7316114951336,-183.47263561068766,-821.5740999972722
261,14636,261,20515,261.0,52055.0,-384.45318671560767,-186.96297615961174,-834.537739745221
261,14611,261,20482,261.0,52029.0,-391.1761442620592,-190.44369073227654,-847.4193809411969
261,14598,261,20456,261.0,52016.0,-397.8937246010521,-193.9045379195242,-860.1922201877853
261,14556,261,20402,261.0,51997.0,-404.59839234993433,-197.33447666573505,-872.8277946251319
272,14563,272,20418,272.0,51970.0,-411.28227770782394,-200.72259259218413,-885.2962452077218
272,14571,272,20417,272.0,51971.0,-417.9375738721493,-204.05881284882378,-897.5665764532642
272,14571,272,20447,272.0,51972.0,-424.5565588012619,-207.33405973496022,-909.6068144629114
272,14586,272,20458,272.0,51987.0,-431.13130228610993,-210.5398899570285,-921.3838800544493
272,14553,272,20464,272.0,51972.0,-437.6533398800201,-213.66791933062404,-932.8632063755055
272,14564,272,20448,272.0,51949.0,-444.11352846056747,-216.7093489065814,-944.0083975324505
282,14562,282,20494,282.0,51973.0,-450.50205132015634,-219.65469803202643,-954.7811175617851
282,14553,282,20455,282.0,51954.0,-456.80836868660947,-222.49355643063944,-965.1410085516528
282,14532,282,20436,282.0,51921.0,-463.02115041848344,-225.2144223944855,-975.0455521343424
282,14523,282,20436,282.0,51880.0,-469.12838549232316,-227.80491883977797,-984.4502318281801
282,14511,282,20402,282.0,51858.0,-475.1176322196319,-230.25224795914798,-993.3091594965924
282,14510,282,20401,282.0,51853.0,-480.9762395866183,-232.54363797131896,-1001.5758273709732
292,14512,292,20410,292.0,51843.0,-486.6914409538714,-234.66672571085192,-1009.2036127231363
292,14518,292,20433,292.0,51837.0,-492.25028612032327,-236.6096710705711,-1016.1459901374997
292,14512,292,20427,292.0,51860.0,-497.63945061562384,-238.36090250913378,-1022.3565581188145
292,14513,292,20445,292.0,51862.0,-502.84503799359703,-239.90873685483598,-1027.7888532068669
292,14495,292,20437,292.0,51863.0,-507.85247674583013,-241.24108222718638,-1032.3959854803265
292,14508,292,20448,292.0,51884.0,-512.6465183572302,-242.3452345769635,-1036.1302790901905
303,14519,303,20456,303.0,51859.0,-517.2111932916816,-243.2077135988934,-1038.9429942213037
303,14509,303,20442,303.0,51822.0,-521.5295958843019,-243.81410605069593,-1040.7842817810892
303,14484,303,20424,303.0,51811.0,-525.5836888880797,-244.14903833901116,-1041.6036111883996
303,14472,303,20363,303.0,51792.0,-529.3544196378296,-244.19652977763093,-1041.3505129940672
303,14454,303,20372,303.0,51741.0,-532.8221079385564,-243.94079379143506,-1039.9753586830952
303,14460,303,20362,303.0,51749.0,-535.9668492776008,-243.36711925564538,-1037.4302258220205
313,14455,313,20370,313.0,51805.0,-538.7687538806476,-242.46238522793095,-1033.6696255101228
313,14454,313,20357,313.0,51803.0,-541.20800808526,-241.21523382497116,-1028.6505553660222
313,14447,313,20415,313.0,51809.0,-543.264878072434,-239.61607367927067,-1022.332049509465
313,14460,313,20409,313.0,51790.0,-544.9197254024527,-237.65679696829986,-1014.6749514203888
313,14443,313,20423,313.0,51820.0,-546.1529965423325,-235.33025687528425,-1005.6421073011325
313,14457,313,20470,313.0,51828.0,-546.9452032093387,-232.62977288049672,-995.1986068179913
323,14453,323,20446,323.0,51833.0,-547.2769164236252,-229.54865602669344,-983.3118437391802
323,14437,323,20422,323.0,51793.0,-547.1287708525251,-226.07988794609628,-969.9516586526405
323,14409,323,20397,323.0,51773.0,-546.4816338757005,-222.21636872894544,-955.0909675305777
323,14408,323,20435,323.0,51771.0,-545.3170614164403,-217.95156588832344,-938.7068548425348
323,14421,323,20384,323.0,51798.0,-543.6178023529476,-213.28000205023415,-920.7816382890252
323,14413,323,20376,323.0,51838.0,-541.3680424707368,-208.19763216404755,-901.3034323299663
334,14415,334,20416,334.0,51840.0,-538.5534512442397,-202.70236134267776,-880.2661948778709
334,14428,334,20419,334.0,51875.0,-535.1612302804917,-196.7943331163532,-857.6696359684604
334,14420,334,20443,334.0,51869.0,-531.1801537681993,-190.47573722288325,-833.519290133667
334,14433,334,20415,334.0,51929.0,-526.6005831311826,-183.7505396486948,-807.826718078223
334,14425,334,20483,334.0,51966.0,-521.4145189827947,-176.6243999581283,-780.6095784391965
334,14463,334,20508,334.0,51995.0,-515.6156421222056,-169.1044479429505,-751.8914154474994
344,14444,344,20498,344.0,51989.0,-509.19924466791747,-161.19870489864255,-721.7014594031058
344,14439,344,20444,344.0,52021.0,-502.16218307344366,-152.91574022631147,-690.0748317991174
344,14451,344,20450,344.0,52078.0,-494.5030656655741,-144.26515402620564,-657.0529760547614
344,14435,344,20444,344.0,52058.0,-486.22257766465157,-135.2585150586782,-622.6839261813627
344,14451,344,20457,344.0,52130.0,-477.32378385248524,-125.91006771004658,-587.0225172632779
344,14450,344,20504,344.0,52154.0,-467.8124007643189,-116.23697687384188,-550.1306474943062
354,14492,354,20531,354.0,52241.0,-457.69694318546635,-106.25909409158152,-512.0772985720914
354,14493,354,20552,354.0,52324.0,-446.9886294123915,-95.99836582190795,-472.9380878103383
354,14520,354,20569,354.0,52387.0,-435.70113606889936,-85.47823735187391,-432.7943679513618
354,14527,354,20594,354.0,52453.0,-423.8503862734819,-74.72324794735407,-391.73215353511506
354,14586,354,20600,354.0,52540.0,-411.4543423847002,-63.75874565915976,-349.84116059311805
354,14582,354,20645,354.0,52581.0,-398.5326388906131,-52.610631950740725,-307.2139326084042
365,14582,365,20636,365.0,52646.0,-385.10621271363004,-41.305080689579455,-263.9450781780089
365,14592,365,20625,365.0,52694.0,-371.1972824234816,-29.868368278797988,-220.1307550008978
365,14607,365,20639,365.0,52704.0,-356.82960889664673,-18.32705287993852,-175.86842748715196
365,14635,365,20661,365.0,52798.0,-342.0286785011834,-6.708321762311414,-131.2568847555741
365,14654,365,20669,365.0,52813.0,-326.8216643497832,4.959872520298859,-86.3963033699639
365,14676,365,20714,365.0,52918.0,-311.23724978999593,16.648930507281335,-41.38810067034581
375,14693,375,20753,375.0,52996.0,-295.30544479340773,28.32995538301205,3.665521684705027
375,14741,375,20751,375.0,53030.0,-279.057402410794,39.97432248239383,48.66234522213961
375,14755,375,20765,375.0,53131.0,-262.52511897141994,51.55414790888241,93.50092104583166
375,14788,375,20802,375.0,53184.0,-245.7410392813078,63.04246291010301,138.08123271041984
375,14812,375,20835,375.0,53262.0,-228.73770744809514,74.41341870481645,182.30542908475388
375,14811,375,20821,375.0,53314.0,-211.54753109134654,85.64269262351763,226.0785859148067
385,14822,385,20799,385.0,53347.0,-194.20275502413054,96.70767141657262,269.30928068692253
385,14838,385,20808,385.0,53371.0,-176.7356716867076,107.58708062842626,311.90979970336014
385,14882,385,20805,385.0,53424.0,-159.178814319806,118.26036028539943,353.79595807116937
385,14884,385,20821,385.0,53486.0,-141.5649051718888,128.70720448011957,394.8868774578614
385,14913,385,20836,385.0,53537.0,-123.9266872027548,138.90734849887946,435.1050784963137
385,14945,385,20881,385.0,53602.0,-106.29680619188375,148.8406122488331,474.3768641525619
396,14971,396,20904,396.0,53657.0,-88.7076369585468,158.48726742396747,512.6328225253876
396,14983,396,20921,396.0,53727.0,-71.19101621064556,167.82861775478602,549.8084089625183
396,15020,396,20949,396.0,53777.0,-53.77803073022943,176.84753596203387,585.8446117600677
396,15049,396,20980,396.0,53820.0,-36.49882951053377,185.52891551454712,620.6886063910472
396,15068,396,20991,396.0,53848.0,-19.382339440383305,193.8601571381691,654.2942180344139
396,15072,396,20967,396.0,53885.0,-2.4560110555103734,201.8315468751889,686.6221030454674
406,15086,406,20949,406.0,53865.0,14.254204207579221,209.43617802038017,717.6396488406062
406,15089,406,20919,406.0,53889.0,30.723662335426184,216.66932820763355,747.3205165756419
406,15108,406,20944,406.0,53920.0,46.92876516763312,223.52761162708993,775.6439470839607
406,15153,406,20972,406.0,53904.0,62.84680579959104,230.0084266323433,802.5941628303376
406,15155,406,20963,406.0,53974.0,78.45607148071804,236.1099477728775,828.1599333487325
406,15184,406,20998,406.0,53987.0,93.7360853454581,241.83137699500548,852.3343411129867
416,15212,416,20987,416.0,54023.0,108.66779542647089,247.17315658310395,875.1148554681984
416,15229,416,20997,416.0,54057.0,123.23377637067671,252.13710541414957,896.503542835125
416,15250,416,21015,416.0,54053.0,137.41848090051803,256.726476486488,916.5072210183735
416,15261,416,21068,416.0,54072.0,151.2084282554024,260.946133986871,935.1374442256481
416,15276,416,20993,416.0,54106.0,164.59228964167903,264.80294085530494,952.4103185816621
416,15267,416,20979,416.0,54085.0,177.56085898621495,268.30577790576666,968.3463400212743
427,15269,427,20968,427.0,54038.0,190.10684055701466,271.46481989619025,982.9700698899542
427,15280,427,20990,427.0,54092.0,202.2244780389551,274.2906895496982,996.3093480889956
427,15283,427,20966,427.0,54096.0,213.90920137115518,276.79406799150036,1008.3945347465542
427,15311,427,20957,427.0,54072.0,225.15742308082645,278.9855224677307,1019.2582368860928
427,15320,427,21004,427.0,54111.0,235.96651057514663,280.87529399382004,1028.9351346138455
427,15332,427,20991,427.0,54135.0,246.33488189346974,282.4733036285591,1037.4617863772237
437,15358,437,21006,437.0,54124.0,256.2621238204607,283.7894478727792,1044.8767177574462
437,15366,437,21035,437.0,54143.0,265.7491344351805,284.83391371482054,1051.2205963153283
437,15375,437,21064,437.0,54155.0,274.79829213292953,285.61758382792357,1056.5362524467214
437,15387,437,21036,437.0,54130.0,283.4135539522181,286.15261050830117,1060.8686542136033
437,15369,437,20996,437.0,54112.0,291.60042646662794,286.4526824228433,1064.2647173932953
437,15371,437,20976,437.0,54078.0,299.365756499491,286.53257902883286,1066.7727266885145
448,15385,448,20975,448.0,54093.0,306.7173839863027,286.40732590447294,1068.441528488288
448,15389,448,20960,448.0,54052.0,313.6638915201985,286.0915131156564,1069.3198234961646
448,15384,448,20967,448.0,54049.0,320.2145150911904,285.59891982721916,1069.4555900378498
448,15392,448,20964,448.0,54068.0,326.37903765871295,284.94232731836246,1068.8955697018655
448,15419,448,20991,448.0,54087.0,332.16767335680686,284.1335098412973,1067.6850626863306
448,15416,448,21000,448.0,54091.0,337.59112212854745,283.18346564496863,1065.8681770515307
458,15416,458,20995,458.0,54090.0,342.6607175591979,282.102806831511,1063.4882228074716
458,15424,458,20997,458.0,54124.0,347.38844293004706,280.9020587681767,1060.5880187024995
458,15441,458,21032,458.0,54111.0,351.7868738148468,279.59183228037574,1057.2102236359822
458,15434,458,21020,458.0,54102.0,355.8692168246971,278.18310707980726,1053.3976670215566
458,15418,458,21003,458.0,54050.0,359.6493267205303,276.68755727444477,1049.1933428060354
458,15419,458,20961,458.0,54039.0,363.14149302561157,275.1174996935419,1044.639891721409
468,15420,468,20942,468.0,54018.0,366.3600887849834,273.48531489712576,1039.7788233519016
468,15417,468,20948,468.0,54013.0,369.31930564769425,271.802668321156,1034.649859130348
468,15419,468,20940,468.0,54002.0,372.0329950493683,270.0799743616658,1029.2905264738713
468,15437,468,20929,468.0,54020.0,374.51457658959873,268.3261819539182,1023.7359683785392
468,15463,468,20973,468.0,54034.0,376.7771285097966,266.54872751197365,1018.019023927508
468,15442,468,20977,468.0,54033.0,378.83368209799323,264.7537541016685,1012.1705886938853
479,15433,479,20987,479.0,54045.0,380.69740389620847,262.9466350536908,1006.2200596962984
479,15449,479,20991,479.0,54053.0,382.3814588694246,261.13248813581623,1000.1957262899446
479,15458,479,21006,479.0,54045.0,383.8988495742874,259.31652427746957,994.1251282978205
479,15452,479,20999,479.0,53999.0,385.26247982097607,257.50433590830175,988.0352367797464
479,15449,479,20910,479.0,53953.0,386.48525015593543,255.70193855724375,981.9521287066589
479,15426,479,20944,479.0,53963.0,387.5799540454551,253.91520733526156,975.9001769348495
489,15430,489,20946,489.0,53924.0,388.55897232191285,252.14909262031054,969.9012545059436
489,15429,489,20954,489.0,53939.0,389.433931428488,250.40737365621223,963.9742540297831
489,15432,489,20942,489.0,53940.0,390.2155051781523,248.69286086656314,958.1348728830293
489,15441,489,20969,489.0,53966.0,390.91338191582815,247.00757725942685,952.3957061147871
489,15451,489,20966,489.0,53957.0,391.53634817123395,245.35293501890533,946.7666364329526
489,15449,489,20963,489.0,54013.0,392.09245408578283,243.72999221118363,941.2553690810637
499,15455,499,20971,499.0,53989.0,392.589169261188,242.1396418252919,935.8680768758267
499,15463,499,20981,499.0,54018.0,393.03348424643127,240.5827290642237,930.610058009518
499,15455,499,21010,499.0,53972.0,393.4319999187619,239.06029517893415,925.4861514214837
499,15458,499,20949,499.0,53970.0,393.79097620045354,237.57390531652518,920.5007577847023
499,15448,499,20922,499.0,53900.0,394.1162832343948,236.12558477372374,915.6574315486504
499,15443,499,20925,499.0,53913.0,394.4132669601754,234.7171551648242,910.9581208052192
510,15443,510,20937,510.0,53903.0,394.6865653307024,233.34955327629575,906.4024070003616
510,15442,510,20924,510.0,53969.0,394.93994178273476,232.0226283676553,901.9872544157897
510,15445,510,20956,510.0,53928.0,395.176194502466,230.73524790083883,897.7074090749153
510,15461,510,20944,510.0,53955.0,395.3971636277836,229.48550730751484,893.5559695724336
510,15469,510,20950,510.0,53959.0,395.60387879543646,228.270981093121,889.5247272728171
510,15480,510,20978,510.0,53963.0,395.7968368538432,227.08894248218857,885.6044298982438
520,15479,520,20995,520.0,53975.0,395.97629637749344,225.9366913157927,881.7851124518171
520,15488,520,20976,520.0,53955.0,396.1424938491829,224.812042900573,878.0563763728284
520,15470,520,20926,520.0,53959.0,396.2957491201134,223.71354279300698,874.4075059398176
520,15462,520,20922,520.0,53954.0,396.43640347591037,222.64004129607767,870.8274343995131
520,15467,520,20935,520.0,53933.0,396.5645943477051,221.58998389431017,867.3046512368206
520,15465,520,20944,520.0,53935.0,396.6800447478857,220.5610652612668,863.8270448756347
530,15451,530,20920,530.0,53971.0,396.7819564734247,219.55029951187194,860.3817803482254
530,15467,530,20967,530.0,53952.0,396.86890792712023,218.55414857778766,856.9554713621071
530,15484,530,20914,530.0,53963.0,396.9388213437343,217.56862380512797,853.5345338509647
530,15494,530,20967,530.0,53956.0,396.98917755451265,216.5893791009291,850.105399669081
530,15490,530,20973,530.0,53975.0,397.0173771696771,215.6118605146883,846.6546252695659
530,15495,530,20981,530.0,54000.0,397.02099124530605,214.63170059783857,843.1691366254194
