c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414213.0,13895.0,414213.0,9348.0,414213.0,24962.0,264.8444705460687,182.62485548916948,296.02612135276473
414213.0,13880.0,414213.0,9337.0,414213.0,24968.0,265.0158750297134,183.61237562293874,297.21421560155613
414213.0,13886.0,414213.0,9348.0,414213.0,24962.0,265.2455677203313,184.6006803091494,298.40505864621605
414213.0,13873.0,414213.0,9353.0,414213.0,24962.0,265.54429337949585,185.59040236584727,299.60156829843584
414213.0,13867.0,414213.0,9356.0,414213.0,24966.0,265.9225284976778,186.5822357962108,300.80691695297037
414213.0,13871.0,414213.0,9352.0,414213.0,24940.0,266.3903430640862,187.5770794982171,302.0244883137166
414223.0,13861.0,414223.0,9340.0,414223.0,24952.0,266.957286179365,188.5760797655926,303.2577408147667
414223.0,13855.0,414223.0,9338.0,414223.0,24937.0,267.63230328057404,189.58051488570698,304.5100039359154
414223.0,13864.0,414223.0,9347.0,414223.0,24962.0,268.4236381242836,190.5916250071862,305.7843631275595
414223.0,13863.0,414223.0,9352.0,414223.0,24961.0,269.3387880444402,191.6105653236247,307.0837344229017
414223.0,13865.0,414223.0,9330.0,414223.0,24938.0,270.3845668576063,192.63847039092076,308.41102744960057
414223.0,13857.0,414223.0,9331.0,414223.0,24945.0,271.5671760091608,193.67640693151634,309.7691437795207
414234.0,13861.0,414234.0,9334.0,414234.0,24947.0,272.89220076560014,194.7251786620426,311.160810520901
414234.0,13848.0,414234.0,9339.0,414234.0,24946.0,274.36454744060563,195.78520369572425,312.58849999932403
414234.0,13855.0,414234.0,9348.0,414234.0,24948.0,275.988349805708,196.8565717508984,314.0544678183458
414234.0,13866.0,414234.0,9347.0,414234.0,24952.0,277.7669113090736,197.9392002020744,315.56080196122565
414234.0,13852.0,414234.0,9349.0,414234.0,24944.0,279.70275379793094,199.03298373466697,317.1094646450373
414234.0,13854.0,414234.0,9340.0,414234.0,24937.0,281.79766740300045,200.13786070194337,318.70228031224536
414244.0,13851.0,414244.0,9333.0,414244.0,24935.0,284.0526441263816,201.25375773521102,320.3408170784344
414244.0,13851.0,414244.0,9342.0,414244.0,24939.0,286.46777197544935,202.3804530832605,322.0262384782248
414244.0,13857.0,414244.0,9359.0,414244.0,24953.0,289.04217865397527,203.51752665203745,323.75926711864196
414244.0,13871.0,414244.0,9352.0,414244.0,24943.0,291.7740632575732,204.66451412636454,325.5402946041165
414244.0,13873.0,414244.0,9329.0,414244.0,24946.0,294.660850402824,205.82106483717948,327.3695021182876
414244.0,13855.0,414244.0,9327.0,414244.0,24943.0,297.6993535171405,206.98681804360956,329.2468742714221
414254.0,13866.0,414254.0,9332.0,414254.0,24928.0,300.88576118806935,208.16109073259395,331.17212239536235
414254.0,13860.0,414254.0,9342.0,414254.0,24942.0,304.21549524292266,209.34270883908462,333.1445516890798
414254.0,13865.0,414254.0,9355.0,414254.0,24955.0,307.68311472151544,210.53010738026043,335.16299162297076
414254.0,13879.0,414254.0,9365.0,414254.0,24949.0,311.2823104119084,211.72160847247207,337.2259211646941
414254.0,13872.0,414254.0,9344.0,414254.0,24949.0,315.0059800054455,212.91570323753362,339.3316492249994
414254.0,13880.0,414254.0,9332.0,414254.0,24936.0,318.84632336163634,214.11109885006493,341.47833585572937
414265.0,13874.0,414265.0,9333.0,414265.0,24939.0,322.79486704321016,215.30647006185117,343.6638562762155
414265.0,13896.0,414265.0,9350.0,414265.0,24951.0,326.842458846098,216.50020059014466,345.885663613275
414265.0,13901.0,414265.0,9357.0,414265.0,24955.0,330.9793600906619,217.69040178178668,348.140808272902
414265.0,13898.0,414265.0,9347.0,414265.0,24956.0,335.19543799114655,218.87513372708418,350.42609783433545
414265.0,13884.0,414265.0,9333.0,414265.0,24943.0,339.48026009125067,220.05251520584957,352.7382113768834
414265.0,13898.0,414265.0,9327.0,414265.0,24944.0,343.8229757396493,221.22056265296976,355.0736448932793
414275.0,13907.0,414275.0,9339.0,414275.0,24949.0,348.2121792192543,222.3769241495617,357.42856682055486
414275.0,13917.0,414275.0,9361.0,414275.0,24953.0,352.6359673709842,223.51881003887806,359.79875379340547
414275.0,13919.0,414275.0,9357.0,414275.0,24954.0,357.082131367785,224.64322749937648,362.17964519358776
414275.0,13930.0,414275.0,9359.0,414275.0,24975.0,361.5383292181667,225.74730060032263,364.5664619893707
414275.0,13921.0,414275.0,9345.0,414275.0,24959.0,365.99219082125836,226.82840880168325,366.9543758428568
414275.0,13927.0,414275.0,9328.0,414275.0,24951.0,370.4313377563888,227.88407315832464,369.3386112604513
414285.0,13930.0,414285.0,9344.0,414285.0,24955.0,374.84333237166686,228.9116874518213,371.71434332744695
414285.0,13944.0,414285.0,9356.0,414285.0,24959.0,379.2156638277949,229.90835539095949,374.0765308163622
414285.0,13941.0,414285.0,9350.0,414285.0,24955.0,383.535834233204,230.87100395784753,376.4198689831757
414285.0,13943.0,414285.0,9352.0,414285.0,24964.0,387.79145825326776,231.79658073848526,378.73881769174926
414285.0,13961.0,414285.0,9343.0,414285.0,24960.0,391.97031386010644,232.6821107018436,381.0276362299146
414285.0,13943.0,414285.0,9343.0,414285.0,24956.0,396.0603972377748,233.5246266899781,383.2804067806285
414296.0,13954.0,414296.0,9349.0,414296.0,24967.0,400.04994783293864,234.32108097165212,385.49102042343424
414296.0,13952.0,414296.0,9356.0,414296.0,24973.0,403.92738727384784,235.06834521199048,387.65319668561506
414296.0,13965.0,414296.0,9363.0,414296.0,24973.0,407.6812797939146,235.76334347699384,389.7606076680044
414296.0,13976.0,414296.0,9347.0,414296.0,24970.0,411.3004177424015,236.40321920931177,391.80700980692563
414296.0,13949.0,414296.0,9348.0,414296.0,24975.0,414.77395362493206,236.98537235084098,393.78628633503394
414296.0,13958.0,414296.0,9331.0,414296.0,24957.0,418.09137261494703,237.50732218130042,395.69241480640477
414306.0,13975.0,414306.0,9369.0,414306.0,24974.0,421.24233017035834,237.96655785405943,397.5193821428334
414306.0,13976.0,414306.0,9344.0,414306.0,24973.0,424.2166525809536,238.36058110465532,399.26112834375226
414306.0,13979.0,414306.0,9353.0,414306.0,24979.0,427.00452911144043,238.6870663342468,400.91161619088217
414306.0,13974.0,414306.0,9359.0,414306.0,24975.0,429.59665322011494,238.9439357745391,402.4649583344429
414306.0,13986.0,414306.0,9335.0,414306.0,24978.0,431.9842504317014,239.1293659965687,403.91549064849966
414306.0,13968.0,414306.0,9334.0,414306.0,24964.0,434.1590761351652,239.24171166313386,405.25776978181347
414316.0,13983.0,414316.0,9345.0,414316.0,24964.0,436.1133896597091,239.27932229931585,406.4864829430457
414316.0,13990.0,414316.0,9347.0,414316.0,24975.0,437.8399433446644,239.24047069587118,407.5963267594526
414316.0,13986.0,414316.0,9340.0,414316.0,24979.0,439.3320839898016,239.12346382823685,408.5820112058068
414316.0,13991.0,414316.0,9336.0,414316.0,24982.0,440.58390013481886,238.92672385502343,409.43842115204524
414316.0,13970.0,414316.0,9333.0,414316.0,24969.0,441.5902656248551,238.64874008654147,410.1607737997645
414316.0,13975.0,414316.0,9341.0,414316.0,24972.0,442.3467371529061,238.28799923005684,410.7446365799312
