c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
173486,11478,173486.0,37161.0,173486.0,35362.0,-224.83933183285248,-109.26679110893217,-264.5147338961168
173486,11491,173486.0,37144.0,173486.0,35365.0,-230.67674530003274,-111.99531358315264,-268.84477344198785
173497,11471,173497.0,37159.0,173497.0,35379.0,-236.61130353278844,-114.74301520852687,-273.22473521193103
173497,11453,173497.0,37154.0,173497.0,35375.0,-242.63330378763172,-117.50303495786969,-277.646482268063
173497,11453,173497.0,37126.0,173497.0,35340.0,-248.73251803855257,-120.26839163608219,-282.10075037613404
173497,11435,173497.0,37123.0,173497.0,35346.0,-254.89842173752695,-123.03211443105538,-286.57724579939884
173497,11443,173497.0,37158.0,173497.0,35349.0,-261.12034526360844,-125.78747043382981,-291.0649161483813
173497,11444,173497.0,37160.0,173497.0,35344.0,-267.3874957818215,-128.5278744904249,-295.55205058444176
173507,11432,173507.0,37160.0,173507.0,35345.0,-273.68885390361424,-131.24645327238306,-300.0261996139048
173507,11416,173507.0,37127.0,173507.0,35331.0,-280.01309322956376,-133.93573530876847,-304.47411519867234
173507,11405,173507.0,37124.0,173507.0,35318.0,-286.34868300417133,-136.58776266725897,-308.8818087240383
173507,11416,173507.0,37120.0,173507.0,35327.0,-292.6840730618543,-139.19444643814586,-313.234707013408
173507,11405,173507.0,37141.0,173507.0,35338.0,-299.0077428736975,-141.74778784003524,-317.51772470593363
173507,11420,173507.0,37148.0,173507.0,35324.0,-305.30807661694405,-144.239762834791,-321.7151279969465
173517,11411,173517.0,37156.0,173517.0,35334.0,-311.5731557080561,-146.66196360235065,-325.8103501031163
173517,11387,173517.0,37131.0,173517.0,35319.0,-317.7905946475677,-149.0052703404956,-329.7859087176865
173517,11380,173517.0,37102.0,173517.0,35296.0,-323.9475905554415,-151.2598511508693,-333.6234523003451
173517,11376,173517.0,37121.0,173517.0,35314.0,-330.031154417055,-153.41552066165661,-337.30395195541223
173517,11397,173517.0,37139.0,173517.0,35308.0,-336.02823303637757,-155.46202867373194,-340.8078654497883
173517,11379,173517.0,37135.0,173517.0,35291.0,-341.9255662888595,-157.38892095940827,-344.11514041825114
173528,11371,173528.0,37124.0,173528.0,35295.0,-347.70948044468025,-159.18522753377403,-347.20524559209815
