c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
241409.0,3700.0,241409.0,17314.0,241409.0,46398.0,-197.87596754952344,-121.32215527376295,-432.27529134295054
241409.0,3745.0,241409.0,17325.0,241409.0,46467.0,-179.75949563895801,-112.89150901482601,-401.8076121922361
241409.0,3756.0,241409.0,17317.0,241409.0,46471.0,-161.17130394756188,-104.16221367004377,-370.5791002232695
241409.0,3792.0,241409.0,17326.0,241409.0,46527.0,-142.14574630512524,-95.14493841544247,-338.64785300238003
241419.0,3807.0,241419.0,17300.0,241419.0,46564.0,-122.71810234903796,-85.85193975558786,-306.0738230471774
241419.0,3824.0,241419.0,17348.0,241419.0,46632.0,-102.9244687793784,-76.29742019056644,-272.91865058676217
241419.0,3858.0,241419.0,17383.0,241419.0,46676.0,-82.80173438174006,-66.49764879420539,-239.2452558665812
241419.0,3897.0,241419.0,17397.0,241419.0,46730.0,-62.387514200988164,-56.47058825355538,-205.11729625961618
241419.0,3920.0,241419.0,17436.0,241419.0,46767.0,-41.719906081944316,-46.23527878645416,-170.59867233129262
241419.0,3938.0,241419.0,17395.0,241419.0,46820.0,-20.837193830058766,-35.811399294157496,-135.75316377123215
241429.0,3960.0,241429.0,17423.0,241429.0,46824.0,0.22228972669483937,-25.219235840185405,-100.64422145566073
241429.0,4006.0,241429.0,17469.0,241429.0,46944.0,21.420193630891106,-14.479872660073966,-65.33485488595818
241429.0,4024.0,241429.0,17504.0,241429.0,46958.0,42.71828737580722,-3.615024237602597,-29.88730331902491
241429.0,4052.0,241429.0,17524.0,241429.0,47000.0,64.07870234358467,7.35362377485913,5.637529664140061
241429.0,4068.0,241429.0,17485.0,241429.0,47031.0,85.46408913353304,18.404980635745176,41.18039447375804
241429.0,4105.0,241429.0,17497.0,241429.0,47068.0,106.83766165115941,29.51850419620962,76.68365130828852
241440.0,4116.0,241440.0,17524.0,241440.0,47093.0,128.16323642537657,40.67373512184935,112.09112843842547
241440.0,4145.0,241440.0,17536.0,241440.0,47136.0,149.40527644171533,51.850031581641474,147.3479617529598
241440.0,4188.0,241440.0,17564.0,241440.0,47166.0,170.5289406649411,63.02668922953674,182.40043762994173
241440.0,4202.0,241440.0,17575.0,241440.0,47262.0,191.5002415886281,74.18319823132273,217.19600281369833
241440.0,4229.0,241440.0,17591.0,241440.0,47294.0,212.28626134721338,85.29947610828938,251.68364945955125
241440.0,4251.0,241440.0,17582.0,241440.0,47311.0,232.8552655937438,96.35598396941757,285.8144928899163
241450.0,4277.0,241450.0,17606.0,241450.0,47335.0,253.17674251798633,107.33366404716608,319.5419831432837
241450.0,4305.0,241450.0,17649.0,241450.0,47418.0,273.22147124314256,118.21388737668133,352.8217377347022
241450.0,4325.0,241450.0,17634.0,241450.0,47403.0,292.96163273271713,128.9786490111863,385.6115010450619
241450.0,4337.0,241450.0,17644.0,241450.0,47467.0,312.37089534843244,139.6107948390411,417.8712277344313
241450.0,4349.0,241450.0,17632.0,241450.0,47491.0,331.4243727521342,150.09392643523466,449.5630426361564
241450.0,4384.0,241450.0,17678.0,241450.0,47526.0,350.09848131555793,160.41212211777957,480.6512018796383
241460.0,4411.0,241460.0,17681.0,241460.0,47547.0,368.3708981950833,170.549863297103,511.10208885334623
241460.0,4422.0,241460.0,17687.0,241460.0,47604.0,386.2206977389071,180.49220103974392,540.8841591511664
241460.0,4450.0,241460.0,17740.0,241460.0,47640.0,403.62849493481406,190.22495085884026,569.967993445226
241460.0,4456.0,241460.0,17739.0,241460.0,47662.0,420.57648324874776,199.73497085388777,598.3265200219128
241460.0,4482.0,241460.0,17717.0,241460.0,47703.0,437.0484099813434,209.01047508719125,625.935193422401
241460.0,4488.0,241460.0,17716.0,241460.0,47692.0,453.02952614836613,218.0409576414092,652.7719782884253
241471.0,4509.0,241471.0,17771.0,241471.0,47786.0,468.5065195091929,226.8168107143137,678.8172242088522
241471.0,4538.0,241471.0,17789.0,241471.0,47824.0,483.4674757457542,235.32930492084597,704.0537965539413
241471.0,4566.0,241471.0,17764.0,241471.0,47821.0,497.90197952950655,243.57099889754977,728.4675894058555
241471.0,4573.0,241471.0,17788.0,241471.0,47795.0,511.8013599101989,251.53595518628964,752.0477512908296
241471.0,4579.0,241471.0,17772.0,241471.0,47819.0,525.1588638256566,259.2195724081516,774.7861141976466
241471.0,4570.0,241471.0,17760.0,241471.0,47849.0,537.9695617134404,266.61828283940815,796.6763422920881
241481.0,4591.0,241481.0,17785.0,241481.0,47878.0,550.2300259208096,273.72919042199305,817.7134927166665
241481.0,4595.0,241481.0,17797.0,241481.0,47919.0,561.9380026635408,280.54981527488644,837.894051427327
