c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
345670,6902,345670.0,18785.0,345670.0,26354.0,156.61112071925078,71.05693251170952,102.55534165286863
345670,6901,345670.0,18752.0,345670.0,26337.0,153.16508035080324,67.99596690861217,100.70300344728702
345670,6877,345670.0,18727.0,345670.0,26337.0,149.6498881584961,64.91259251996807,98.78580208687144
345670,6871,345670.0,18711.0,345670.0,26326.0,146.07286142505387,61.817904942883416,96.80570811775983
345680,6857,345680.0,18731.0,345680.0,26356.0,142.44088815844546,58.72139812478439,94.76429758273899
345680,6865,345680.0,18736.0,345680.0,26330.0,138.76019114351675,55.63078231498315,92.66284691372205
345680,6884,345680.0,18746.0,345680.0,26359.0,135.03629603426555,52.55221691525243,90.50253091607152
345680,6862,345680.0,18744.0,345680.0,26336.0,131.27424578191176,49.49068679898577,88.28459225844806
345680,6845,345680.0,18727.0,345680.0,26330.0,127.47879003848034,46.45026285848071,86.01042373887674
345680,6837,345680.0,18722.0,345680.0,26325.0,123.65427009686017,43.43412923928384,83.68149245481129
345691,6856,345691.0,18754.0,345691.0,26334.0,119.80438337072682,40.44451271654,81.29919892258141
345691,6840,345691.0,18772.0,345691.0,26351.0,115.9321632106854,37.482882424706425,78.86491192056668
345691,6837,345691.0,18780.0,345691.0,26288.0,112.04011322446532,34.550531168047684,76.38012032174933
345691,6834,345691.0,18719.0,345691.0,26307.0,108.13025922580907,31.649088992113178,73.84631736403401
345691,6830,345691.0,18706.0,345691.0,26303.0,104.20412884699985,28.78041447045736,71.26462540587502
345691,6815,345691.0,18692.0,345691.0,26320.0,100.26273564879723,25.945924365896246,68.63564276502834
345701,6843,345701.0,18724.0,345701.0,26305.0,96.30657577171146,23.146011224918027,65.95961986187513
345701,6835,345701.0,18761.0,345701.0,26318.0,92.33575851633321,20.380079078269404,63.236669183173625
345701,6827,345701.0,18743.0,345701.0,26317.0,88.35027690399173,17.647154735828238,60.466909892272454
345701,6810,345701.0,18724.0,345701.0,26326.0,84.35014905553977,14.94648173935316,57.65064421632613
345701,6811,345701.0,18710.0,345701.0,26292.0,80.33531908084807,12.277580949752078,54.788521081262076
345701,6799,345701.0,18698.0,345701.0,26289.0,76.3054955641824,9.639907308714129,51.88148056317843
345711,6798,345711.0,18737.0,345711.0,26296.0,72.26005311779684,7.0325662228712815,48.930501395674625
345711,6810,345711.0,18704.0,345711.0,26307.0,68.19801927377844,4.454358744592724,45.93648744036676
345711,6823,345711.0,18757.0,345711.0,26297.0,64.1182337521262,1.904062486426227,42.90043070142177
345711,6780,345711.0,18706.0,345711.0,26276.0,60.01962346856811,-0.6192601388092669,39.82357562739955
345711,6777,345711.0,18680.0,345711.0,26252.0,55.901245236508274,-3.116181305088503,36.70728718013207
345711,6775,345711.0,18693.0,345711.0,26279.0,51.76200917621259,-5.587259153183808,33.552703579417596
345722,6777,345722.0,18691.0,345722.0,26263.0,47.60045320220661,-8.033469015906405,30.36054806896189
345722,6785,345722.0,18714.0,345722.0,26267.0,43.414785162328656,-10.456240917630893,27.131206924838352
345722,6790,345722.0,18724.0,345722.0,26268.0,39.20310565414309,-12.857137719846534,23.864849049603805
345722,6768,345722.0,18679.0,345722.0,26266.0,34.963659793614966,-15.23748957003535,20.561514283152803
345722,6759,345722.0,18692.0,345722.0,26266.0,30.694917645115964,-17.598342805575044,17.221221014791965
345722,6778,345722.0,18699.0,345722.0,26250.0,26.39547729541684,-19.940674702280702,13.844038452446469
345732,6768,345732.0,18691.0,345732.0,26264.0,22.064069892082074,-22.265455124534284,10.430085095586008
345732,6760,345732.0,18672.0,345732.0,26265.0,17.69972537721216,-24.57356718733378,6.979560664916278
345732,6745,345732.0,18683.0,345732.0,26232.0,13.301841942880145,-26.865870219435095,3.492843862447131
345732,6731,345732.0,18649.0,345732.0,26228.0,8.87004793309319,-29.14337869062372,-0.02957272563341462
345732,6731,345732.0,18669.0,345732.0,26226.0,4.403973587043367,-31.40745184064035,-3.5873652357655885
345732,6741,345732.0,18668.0,345732.0,26239.0,-0.09688320538785433,-33.6599150502268,-7.18056295816983
345742,6731,345742.0,18697.0,345742.0,26239.0,-4.633085819790892,-35.90293887061527,-10.809446396752023
345742,6731,345742.0,18690.0,345742.0,26252.0,-9.205091751696955,-38.13865744178611,-14.474266215793989
345742,6716,345742.0,18663.0,345742.0,26230.0,-13.813167481463864,-40.368815625782915,-18.174959132276186
345742,6702,345742.0,18639.0,345742.0,26224.0,-18.45744200160516,-42.594809059090394,-21.91103074257272
345742,6718,345742.0,18635.0,345742.0,26222.0,-23.138032216596542,-44.818133257309,-25.681645762667685
345742,6710,345742.0,18709.0,345742.0,26231.0,-27.855062124851344,-47.04071151023501,-29.48572535096345
345753,6718,345753.0,18691.0,345753.0,26219.0,-32.60850090348316,-49.26455106710819,-33.32188964410771
345753,6688,345753.0,18650.0,345753.0,26205.0,-37.39799393471506,-51.49107563303022,-37.18837505978264
345753,6679,345753.0,18652.0,345753.0,26175.0,-42.22289724456451,-53.72100229194737,-41.08315711586026
345753,6669,345753.0,18619.0,345753.0,26182.0,-47.08252346130095,-55.95480733427439,-45.004299059242655
345753,6674,345753.0,18640.0,345753.0,26187.0,-51.97638479975865,-58.193216346005144,-48.95025721286555
345753,6673,345753.0,18649.0,345753.0,26182.0,-56.9042448871474,-60.437404862739555,-52.919906326532896
