c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414242.0,12388.0,414242.0,14296.0,414242.0,30760.0,-1039.7519282907454,-660.7505273138947,-1193.6449464982775
414242.0,12393.0,414242.0,14279.0,414242.0,30761.0,-1049.975893124677,-661.249181125804,-1194.0708021880803
414242.0,12369.0,414242.0,14266.0,414242.0,30740.0,-1060.0038480596502,-661.066632088228,-1193.461121172001
414242.0,12353.0,414242.0,14251.0,414242.0,30736.0,-1069.7955097337654,-660.1556618023097,-1191.746540090804
414242.0,12349.0,414242.0,14235.0,414242.0,30718.0,-1079.3092579397526,-658.470333006538,-1188.8579690193237
414242.0,12335.0,414242.0,14240.0,414242.0,30720.0,-1088.5024302461613,-655.9665686788145,-1184.727200115047
414252.0,12352.0,414252.0,14250.0,414252.0,30718.0,-1097.3314922915856,-652.6025963412987,-1179.2874774213515
414252.0,12328.0,414252.0,14258.0,414252.0,30722.0,-1105.7520588176676,-648.3391395856697,-1172.4739632354003
414252.0,12314.0,414252.0,14222.0,414252.0,30723.0,-1113.7189186229916,-643.1395139894275,-1164.224119377129
414252.0,12309.0,414252.0,14226.0,414252.0,30701.0,-1121.186240931949,-636.9699686716643,-1154.4781228202892
414252.0,12310.0,414252.0,14262.0,414252.0,30699.0,-1128.1078594015908,-629.800209907996,-1143.1794694741263
414252.0,12318.0,414252.0,14280.0,414252.0,30723.0,-1134.4374025149637,-621.6036080303146,-1130.275703277239
414263.0,12303.0,414263.0,14271.0,414263.0,30736.0,-1140.1282657774661,-612.357013707749,-1115.7189567162397
414263.0,12303.0,414263.0,14290.0,414263.0,30729.0,-1145.1336073226237,-602.0406478979943,-1099.4662417167424
414263.0,12295.0,414263.0,14283.0,414263.0,30741.0,-1149.4064696163418,-590.6382604917093,-1081.4798000472856
414263.0,12284.0,414263.0,14287.0,414263.0,30746.0,-1152.8999842477203,-578.1374267429438,-1061.727648179287
414263.0,12282.0,414263.0,14300.0,414263.0,30785.0,-1155.5676289389323,-564.5299152205051,-1040.1841194862905
414263.0,12282.0,414263.0,14322.0,414263.0,30816.0,-1157.3635038793627,-549.8120204160541,-1016.8301761231081
414273.0,12276.0,414273.0,14348.0,414273.0,30821.0,-1158.2425620981724,-533.984704440645,-991.6535015216807
414273.0,12279.0,414273.0,14337.0,414273.0,30825.0,-1158.160807494601,-517.0536126815282,-964.6486999269807
414273.0,12274.0,414273.0,14367.0,414273.0,30852.0,-1157.075504473554,-499.0292021804308,-935.8178279917586
414273.0,12261.0,414273.0,14370.0,414273.0,30876.0,-1154.9454350050753,-479.9270270655124,-905.171044075691
