c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
173269.0,13660.0,173269.0,47705.0,173269.0,70871.0,-242.49952228007876,-290.2874300013481,-494.7794556312917
173269.0,13650.0,173269.0,47644.0,173269.0,70843.0,-247.9023939512959,-294.425450353514,-501.5923187518767
173280.0,13635.0,173280.0,47669.0,173280.0,70817.0,-253.47007402529889,-298.73866332390804,-508.67262205318013
173280.0,13622.0,173280.0,47639.0,173280.0,70827.0,-259.19972004792885,-303.2254014605261,-516.0208083876445
173280.0,13648.0,173280.0,47680.0,173280.0,70836.0,-265.0886696107494,-307.88481931745997,-523.6378028882631
173280.0,13630.0,173280.0,47710.0,173280.0,70848.0,-271.13442738323016,-312.71669246253526,-531.5249110656874
173280.0,13630.0,173280.0,47656.0,173280.0,70835.0,-277.33448726702346,-317.72087911457453,-539.6834513794452
173280.0,13606.0,173280.0,47669.0,173280.0,70815.0,-283.6862670029649,-322.8969908249998,-548.1144946065826
173290.0,13617.0,173290.0,47682.0,173290.0,70825.0,-290.18722007092236,-328.24448065413947,-556.8188718639647
173290.0,13624.0,173290.0,47711.0,173290.0,70864.0,-296.8349023564356,-333.7625822154899,-565.7971537629904
173290.0,13612.0,173290.0,47687.0,173290.0,70854.0,-303.6268378398399,-339.4498486662708,-575.0492283071345
173290.0,13609.0,173290.0,47667.0,173290.0,70805.0,-310.56032909525527,-345.30377736441693,-584.5737648842863
173290.0,13574.0,173290.0,47608.0,173290.0,70793.0,-317.6324474317109,-351.32098974285026,-594.3682099262159
173290.0,13583.0,173290.0,47626.0,173290.0,70761.0,-324.84024121368407,-357.49791386194687,-604.4293264181263
173300.0,13577.0,173300.0,47642.0,173300.0,70774.0,-332.1809681763958,-363.8313909581258,-614.7537612862562
173300.0,13574.0,173300.0,47572.0,173300.0,70755.0,-339.6521454093238,-370.3188398030562,-625.3383270829589
173300.0,13587.0,173300.0,47649.0,173300.0,70774.0,-347.25142923751815,-376.9582946696959,-636.1799980713262
