c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138338,2696,138338,15700,138338,28023,-4.514244976977642,173.9275278941509,265.3652993389817
138338,2680,138338,15721,138338,28038,-4.992290796719908,179.0366610630836,270.32731676814245
138338,2685,138338,15726,138338,28069,-5.46374295979657,184.10226853774478,275.26841174288523
138338,2681,138338,15773,138338,28062,-5.926234280042921,189.10539066545067,280.1706350261341
138349,2687,138349,15746,138349,28057,-6.377803183206662,194.0277922994095,285.0163323106448
138349,2687,138349,15732,138349,28049,-6.816869654303327,198.85221737454177,289.78814417249464
138349,2690,138349,15729,138349,28049,-7.2421629542533354,203.5621825654257,294.468748688374
138349,2689,138349,15740,138349,28054,-7.652643655858097,208.1415352183387,299.04058405459136
138349,2695,138349,15773,138349,28092,-8.047436231097,212.57426178593025,303.48575818881363
138349,2684,138349,15798,138349,28095,-8.425776271868518,216.8447476360867,307.78627742357304
138359,2697,138359,15786,138359,28089,-8.78698856295458,220.93830459111786,311.92443499265516
138359,2689,138359,15754,138359,28084,-9.130471747834374,224.84147290949176,315.88298549969903
138359,2695,138359,15739,138359,28076,-9.455657230143737,228.5417318893469,319.6450007049223
138359,2698,138359,15773,138359,28093,-9.761956496826503,232.02689475670562,323.1936257488123
138359,2692,138359,15810,138359,28120,-10.048702953266458,235.284882382599,326.512017657533
138359,2682,138359,15831,138359,28124,-10.315140906671854,238.30418787644044,329.5836063104483
138369,2686,138369,15787,138369,28121,-10.560524454204586,241.07455484400919,332.39248008582047
138369,2686,138369,15773,138369,28124,-10.784239279443325,243.58712697125216,334.92358708647697
138369,2693,138369,15754,138369,28095,-10.985823933410348,245.83392557939337,337.162677578255
138369,2684,138369,15812,138369,28127,-11.164910856690073,247.80725648512953,339.09608931264444
138369,2687,138369,15834,138369,28133,-11.321192391059192,249.499726396879,340.71062915938273
138369,2690,138369,15821,138369,28156,-11.454436077470639,250.90486099982502,341.99378219328366
138380,2675,138380,15789,138380,28132,-11.564506752281641,252.01758630606486,342.9340867608254
138380,2683,138380,15771,138380,28094,-11.651423780697005,252.83403314163266,343.52123070872614
138380,2685,138380,15769,138380,28129,-11.71543926489018,253.35090980452622,343.74570724568036
138380,2688,138380,15795,138380,28142,-11.757029968595175,253.5650157359077,343.59851241592315
138380,2692,138380,15825,138380,28137,-11.77680295006834,253.47326867887898,343.0713175677238
138380,2693,138380,15825,138380,28129,-11.77538976649195,253.07321102372754,342.15679735814393
138390,2696,138390,15771,138390,28116,-11.753353516247698,252.36348140917215,340.84868655488594
138390,2689,138390,15758,138390,28097,-11.711126913398623,251.34366679984353,339.1415699166093
138390,2699,138390,15783,138390,28116,-11.648995543008414,250.01368281540914,337.03059153647393
138390,2691,138390,15805,138390,28140,-11.567091880555882,248.37346550644645,334.5113752399129
138390,2688,138390,15807,138390,28134,-11.46539601881269,246.42329230474346,331.58034034988475
138390,2679,138390,15777,138390,28116,-11.343809880050182,244.16424038351875,328.23511951685464
138400,2684,138400,15770,138400,28095,-11.20230288925291,241.59825219938676,324.47463957681305
138400,2688,138400,15755,138400,28094,-11.04101578170243,238.72782436826114,320.29885336801976
138400,2682,138400,15765,138400,28089,-10.860261833094757,235.55567194015592,315.7084443120382
138400,2688,138400,15816,138400,28102,-10.660496337167716,232.08471202556174,310.70474256000654
138400,2684,138400,15795,138400,28114,-10.442310984806793,228.3185285804015,305.28990529724007
138400,2695,138400,15768,138400,28077,-10.206416703279187,224.26193576616424,299.46722961701033
138411,2687,138411,15728,138411,28050,-9.953588628490056,219.92098407855906,293.2412275484567
138411,2696,138411,15718,138411,28030,-9.684605567332213,215.3023584945513,286.6172425445733
138411,2703,138411,15742,138411,28060,-9.400185949652286,210.41274520547324,279.600959412242
138411,2688,138411,15743,138411,28058,-9.10090203224915,205.25868277270584,272.19833367960706
138411,2694,138411,15745,138411,28035,-8.787155304808909,199.84686713471038,264.415915930919
