c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207446,19197,207446.0,39096.0,207446.0,36827.0,53.30773621103372,-4.659223378653024,-4.893032463021228
207446,19186,207446.0,39087.0,207446.0,36812.0,47.0675081143199,-16.004947418740926,-18.5365512659548
207446,19196,207446.0,39149.0,207446.0,36827.0,40.64977789412305,-27.59672162333605,-32.54137001351704
207446,19193,207446.0,39135.0,207446.0,36820.0,34.06089506455449,-39.42343362400592,-46.89336763890104
207446,19174,207446.0,39070.0,207446.0,36765.0,27.307600666630904,-51.472489118402635,-61.57745714768299
207446,19146,207446.0,39008.0,207446.0,36723.0,20.397047599277272,-63.72978184479126,-76.57766728917517
207456,19139,207456.0,38982.0,207456.0,36708.0,13.33653871398964,-76.18065027946085,-91.87775416946934
207456,19122,207456.0,38963.0,207456.0,36706.0,6.133154459058048,-88.8110524924262,-107.46183334254746
207456,19110,207456.0,38946.0,207456.0,36652.0,-1.2065358829737107,-101.60831608142402,-123.31466660696242
207456,19116,207456.0,38921.0,207456.0,36652.0,-8.676651258834923,-114.56150005494163,-139.42184888815478
207456,19109,207456.0,38996.0,207456.0,36665.0,-16.272030017439434,-127.66146013709519,-155.7699948604338
207456,19116,207456.0,38960.0,207456.0,36655.0,-23.988095146467188,-140.90039119452214,-172.34659793431638
207467,19107,207467.0,38961.0,207467.0,36635.0,-31.820636715283143,-154.2710352947993,-189.1395984737972
207467,19093,207467.0,38956.0,207467.0,36625.0,-39.7656290521155,-167.7661526560634,-206.1370704456504
207467,19126,207467.0,38985.0,207467.0,36620.0,-47.819096962216506,-181.3782152590968,-223.3270916570997
207467,19101,207467.0,38941.0,207467.0,36577.0,-55.97687731948842,-195.09896719101437,-240.69765024194845
207467,19070,207467.0,38868.0,207467.0,36545.0,-64.23436116116267,-208.91919195522257,-258.2367092070077
207467,19050,207467.0,38826.0,207467.0,36508.0,-72.58659283476524,-222.82927187069788,-275.93258727772917
207477,19035,207477.0,38815.0,207477.0,36502.0,-81.02871420425942,-236.82030510198587,-293.77447631927225
207477,19036,207477.0,38799.0,207477.0,36486.0,-89.55636551900974,-250.88498529933963,-311.7527719123177
207477,19013,207477.0,38783.0,207477.0,36450.0,-98.16586501200942,-265.0179506878174,-329.8591627904413
207477,19038,207477.0,38793.0,207477.0,36458.0,-106.8542260543883,-279.2158254450518,-348.08666967878355
207477,19014,207477.0,38816.0,207477.0,36469.0,-115.61903424737878,-293.4770000874402,-366.4295791645858
207477,19025,207477.0,38811.0,207477.0,36436.0,-124.45822704958616,-307.801055865163,-384.8830866479815
207487,19015,207487.0,38800.0,207487.0,36418.0,-133.36988530279356,-322.18805786001025,-403.44290962365545
207487,19008,207487.0,38815.0,207487.0,36429.0,-142.35206101219927,-336.6380244154487,-422.1051385859406
207487,19015,207487.0,38828.0,207487.0,36412.0,-151.4026212105423,-351.15046160332037,-440.8660747613957
207487,18985,207487.0,38749.0,207487.0,36370.0,-160.51911404413156,-365.7238878585372,-459.72195766212997
207487,18958,207487.0,38690.0,207487.0,36326.0,-169.69877452825338,-380.3558871120033,-478.66897113717323
207487,18944,207487.0,38690.0,207487.0,36304.0,-178.93880766447214,-395.043959622919,-497.7036899417221
207498,18953,207498.0,38659.0,207498.0,36306.0,-188.23675270694295,-409.78646228019306,-516.8235804151984
207498,18933,207498.0,38618.0,207498.0,36273.0,-197.59061094226442,-424.5831264431755,-536.027174916541
207498,18927,207498.0,38628.0,207498.0,36249.0,-206.99878765450887,-439.4354103783488,-555.314043543786
207498,18920,207498.0,38676.0,207498.0,36248.0,-216.4600608312228,-454.34661344280113,-574.6848303166344
207498,18919,207498.0,38668.0,207498.0,36232.0,-225.97356249800492,-469.3213188946063,-594.1412566991959
207498,18908,207498.0,38642.0,207498.0,36226.0,-235.53868772735495,-484.36447081251595,-613.6859426900392
207508,18904,207508.0,38647.0,207508.0,36220.0,-245.15497587412426,-499.48080138407624,-633.3221223289083
207508,18920,207508.0,38692.0,207508.0,36229.0,-254.8219681078495,-514.6745193694715,-653.0532798500257
207508,18901,207508.0,38624.0,207508.0,36206.0,-264.53895626495313,-529.948784024054,-672.8826760290158
207508,18875,207508.0,38593.0,207508.0,36181.0,-274.30474851062246,-545.3053164773519,-692.8129325875527
207508,18844,207508.0,38529.0,207508.0,36112.0,-284.11774932277535,-560.7447616559767,-712.8459862087265
207508,18835,207508.0,38492.0,207508.0,36102.0,-293.9763619314745,-576.2676448646789,-732.9835294554989
207518,18817,207518.0,38498.0,207518.0,36082.0,-303.87941779953945,-591.8753502826451,-753.2276066363879
207518,18812,207518.0,38471.0,207518.0,36050.0,-313.82643891483093,-607.5706801755946,-773.5809557676907
207518,18823,207518.0,38485.0,207518.0,36067.0,-323.8177025734813,-623.357921918054,-794.0470783484209
207518,18824,207518.0,38506.0,207518.0,36066.0,-333.8540661718799,-639.2425643938734,-814.6300530494964
207518,18809,207518.0,38491.0,207518.0,36019.0,-343.93662283222363,-655.2307101874059,-835.3341073739562
207518,18807,207518.0,38487.0,207518.0,36016.0,-354.0664246137625,-671.3284039813891,-856.1633154786218
207529,18825,207529.0,38516.0,207529.0,36028.0,-364.24430161197614,-687.5410995835438,-877.1215110693802
207529,18812,207529.0,38509.0,207529.0,35976.0,-374.4705725215428,-703.8730731437064,-898.2120793062119
207529,18765,207529.0,38456.0,207529.0,35956.0,-384.7447579457985,-720.326800608706,-919.4377530680745
207529,18750,207529.0,38374.0,207529.0,35897.0,-395.0656910702608,-736.9029104459756,-940.8007919048979
207529,18724,207529.0,38374.0,207529.0,35881.0,-405.4320135727825,-753.6009847572034,-962.3034848993852
207529,18707,207529.0,38331.0,207529.0,35862.0,-415.8426905109185,-770.4205773541183,-983.9486515419195
207539,18704,207539.0,38279.0,207539.0,35864.0,-426.29736613726374,-787.3619266788724,-1005.7398491243467
207539,18706,207539.0,38299.0,207539.0,35829.0,-436.7965100790859,-804.4265092792846,-1027.6812481084926
207539,18701,207539.0,38317.0,207539.0,35841.0,-447.3413154418729,-821.6173022821708,-1049.7773898699547
207539,18700,207539.0,38339.0,207539.0,35813.0,-457.9334520332894,-838.9383359068796,-1072.032925848364
207539,18693,207539.0,38316.0,207539.0,35813.0,-468.5748143092811,-856.3937605616545,-1094.4523055828658
207539,18691,207539.0,38308.0,207539.0,35786.0,-479.26730446747,-873.987065874422,-1117.0394681281807
207549,18687,207549.0,38328.0,207549.0,35792.0,-490.01263241745625,-891.7206356938556,-1139.7975690921985
207549,18681,207549.0,38307.0,207549.0,35769.0,-500.812114357411,-909.5953293289056,-1162.7286763904003
207549,18657,207549.0,38240.0,207549.0,35701.0,-511.6665184745274,-927.6101132412334,-1185.8335479479638
207549,18615,207549.0,38184.0,207549.0,35671.0,-522.5761216500086,-945.7622794504606,-1209.1118312690282
207549,18609,207549.0,38152.0,207549.0,35656.0,-533.5410763052241,-964.0483559151684,-1232.5626342532046
207549,18603,207549.0,38104.0,207549.0,35615.0,-544.561852625206,-982.4651726815898,-1256.184983597033
207560,18591,207560.0,38110.0,207560.0,35603.0,-555.639436403131,-1001.0106568939352,-1279.978031166679
207560,18582,207560.0,38150.0,207560.0,35616.0,-566.7753128436905,-1019.6840956987718,-1303.9410872948822
207560,18586,207560.0,38154.0,207560.0,35594.0,-577.9713981906165,-1038.4856181908717,-1328.073345441283
207560,18587,207560.0,38130.0,207560.0,35594.0,-589.2298827054618,-1057.4152040352387,-1352.3733549069102
207560,18582,207560.0,38135.0,207560.0,35558.0,-600.5529383936448,-1076.4719088597997,-1376.8385472167906
207560,18575,207560.0,38157.0,207560.0,35564.0,-611.9424027158441,-1095.6533792857026,-1401.4649295528238
207570,18584,207570.0,38122.0,207570.0,35542.0,-623.3995151209318,-1114.9552893193136,-1426.2468198556842
207570,18544,207570.0,38091.0,207570.0,35489.0,-634.9247002746447,-1134.3708418742708,-1451.1766034920436
207570,18519,207570.0,38025.0,207570.0,35461.0,-646.517549725714,-1153.8908010234245,-1476.2447585669715
207570,18506,207570.0,37998.0,207570.0,35418.0,-658.1771254423904,-1173.5041037687292,-1501.440222980661
207570,18497,207570.0,37976.0,207570.0,35398.0,-669.9023383363915,-1193.1986509250726,-1526.7508364029463
207570,18470,207570.0,37920.0,207570.0,35386.0,-681.6921609782919,-1212.9619253385044,-1552.1636187193862
207580,18478,207580.0,37946.0,207580.0,35386.0,-693.5457372714015,-1232.7814115124274,-1577.664747725742
207580,18472,207580.0,37995.0,207580.0,35354.0,-705.4623972108137,-1252.6445964558854,-1603.2392486336491
207580,18460,207580.0,37969.0,207580.0,35343.0,-717.4415079495828,-1272.5382040821062,-1628.8706407073562
207580,18451,207580.0,37915.0,207580.0,35316.0,-729.4822886898032,-1292.4472180687621,-1654.5407196075398
