c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
206996.0,73197.0,206996.0,111035.0,206996.0,47288.0,-221.8874816229436,-57.623850657413655,-247.30690107491964
206996.0,73177.0,206996.0,111088.0,206996.0,47266.0,-228.28246496321216,-58.649306147893434,-252.88055458816777
206996.0,73170.0,206996.0,111055.0,206996.0,47264.0,-234.8289156127541,-59.701056198105896,-258.5920976782595
206996.0,73166.0,206996.0,111005.0,206996.0,47254.0,-241.51643679896878,-60.778261095011146,-264.4323070878962
206996.0,73118.0,206996.0,111047.0,206996.0,47230.0,-248.33471819528057,-61.879440485518664,-270.3919405714506
206996.0,73120.0,206996.0,111016.0,206996.0,47233.0,-255.2738867882348,-63.00293655898191,-276.4619557695441
207005.0,73153.0,207005.0,111042.0,207005.0,47235.0,-262.32486980097775,-64.14704660139226,-282.63370302173473
207005.0,73138.0,207005.0,111027.0,207005.0,47252.0,-269.47934298450946,-65.3099524665913,-288.8988940829881
207005.0,73141.0,207005.0,111031.0,207005.0,47247.0,-276.72933540083176,-66.48965546110895,-295.2493126206699
207005.0,73142.0,207005.0,111029.0,207005.0,47251.0,-284.06691999823164,-67.68395312961393,-301.676452945079
207005.0,73103.0,207005.0,110978.0,207005.0,47222.0,-291.48410559248043,-68.89054907211818,-308.1712977093742
207005.0,73092.0,207005.0,111028.0,207005.0,47206.0,-298.97296896208525,-70.10735657341525,-314.7243724689912
207016.0,73116.0,207016.0,111031.0,207016.0,47225.0,-306.5259524365872,-71.33268446372307,-321.32599441875334
207016.0,73088.0,207016.0,111021.0,207016.0,47208.0,-314.1359690335738,-72.56501183754858,-327.9663999117788
207016.0,73108.0,207016.0,111038.0,207016.0,47227.0,-321.7962587230911,-73.80266536318074,-334.63562560110694
207016.0,73093.0,207016.0,111021.0,207016.0,47191.0,-329.50021663433057,-75.04368053171585,-341.32333577277416
207016.0,73083.0,207016.0,111020.0,207016.0,47188.0,-337.24126020768654,-76.28577809579437,-348.0188107074681
207016.0,73055.0,207016.0,111009.0,207016.0,47195.0,-345.0128326454552,-77.52645171439426,-354.71109640447344
207026.0,73069.0,207026.0,111023.0,207026.0,47200.0,-352.8085914423633,-78.76311223574996,-361.3890488826456
207026.0,73067.0,207026.0,111006.0,207026.0,47180.0,-360.6225373363412,-79.99315310874084,-368.0411681789502
207026.0,73054.0,207026.0,111035.0,207026.0,47178.0,-368.44891996221605,-81.21391879218626,-374.6554753696811
207026.0,73039.0,207026.0,111008.0,207026.0,47167.0,-376.28212682116373,-82.4226086254653,-381.21956250481367
207026.0,73036.0,207026.0,110998.0,207026.0,47156.0,-384.1167419336022,-83.616241717746,-387.7207045376158
207026.0,73039.0,207026.0,111009.0,207026.0,47143.0,-391.94764079150286,-84.79181246347495,-394.1459911507237
207036.0,73053.0,207036.0,111032.0,207036.0,47158.0,-399.7699072702492,-85.94640607584101,-400.4824566265278
207036.0,73048.0,207036.0,111036.0,207036.0,47166.0,-407.5785342162608,-87.07697674874096,-406.7170422330382
207036.0,73057.0,207036.0,111012.0,207036.0,47151.0,-415.368043461861,-88.17998686815079,-412.83634095190763
207036.0,73019.0,207036.0,111009.0,207036.0,47133.0,-423.1322176864835,-89.25132223587258,-418.8264001979327
207036.0,73010.0,207036.0,110994.0,207036.0,47130.0,-430.86411631979274,-90.28653199027875,-424.67280152618537
207036.0,73031.0,207036.0,110992.0,207036.0,47155.0,-438.55629271521195,-91.28115050876322,-430.3608032633384
207047.0,73007.0,207047.0,111033.0,207047.0,47135.0,-446.20086068979106,-92.23086060969224,-435.87524094738046
207047.0,73014.0,207047.0,110995.0,207047.0,47137.0,-453.7893600765949,-93.13136665465211,-441.2002973569553
207047.0,72989.0,207047.0,111020.0,207047.0,47115.0,-461.31268260451145,-93.97817803929766,-446.31943808448307
207047.0,73006.0,207047.0,110995.0,207047.0,47116.0,-468.761100876939,-94.76657034367231,-451.21554149679434
207047.0,72985.0,207047.0,110948.0,207047.0,47105.0,-476.1242651548251,-95.49178499905946,-455.871077908531
207047.0,72990.0,207047.0,111012.0,207047.0,47117.0,-483.39114397367626,-96.1494413124503,-460.26821709620026
207057.0,72969.0,207057.0,111007.0,207057.0,47095.0,-490.5499959488244,-96.7357360178039,-464.3888343618934
207057.0,72957.0,207057.0,110977.0,207057.0,47078.0,-497.58844395496396,-97.24718562468158,-468.2145614289583
207057.0,72958.0,207057.0,111007.0,207057.0,47080.0,-504.4936358686434,-97.68043582998412,-471.7270183425733
207057.0,72936.0,207057.0,110992.0,207057.0,47079.0,-511.2523991799434,-98.03231619423678,-474.9080751867316
207057.0,72938.0,207057.0,110992.0,207057.0,47064.0,-517.8513595305826,-98.29984472940069,-477.73997421630315
207057.0,72930.0,207057.0,111043.0,207057.0,47079.0,-524.277045862564,-98.4801217887469,-480.20538786441296
207067.0,72944.0,207067.0,111036.0,207067.0,47089.0,-530.5159057068292,-98.569991935099,-482.28741117415575
207067.0,72934.0,207067.0,110990.0,207067.0,47079.0,-536.5541703355357,-98.56560745029327,-483.96940219498066
207067.0,72903.0,207067.0,110985.0,207067.0,47063.0,-542.3777280664826,-98.46248856383677,-485.2348550490444
207067.0,72906.0,207067.0,110972.0,207067.0,47046.0,-547.9722388924515,-98.25611087929411,-486.0675591698383
207067.0,72915.0,207067.0,110973.0,207067.0,47073.0,-553.3233735141254,-97.94246766274543,-486.45193596333024
207067.0,72923.0,207067.0,111032.0,207067.0,47059.0,-558.4168190405229,-97.51824893451054,-486.37321747458657
207078.0,72901.0,207078.0,110980.0,207078.0,47091.0,-563.2380558667182,-96.98059094566962,-485.81736435096786
207078.0,72902.0,207078.0,110983.0,207078.0,47041.0,-567.7722340345699,-96.32681505657575,-484.7709360684524
207078.0,72884.0,207078.0,110977.0,207078.0,47030.0,-572.0042709694167,-95.55459323395402,-483.2212457633924
207078.0,72878.0,207078.0,110972.0,207078.0,47041.0,-575.9190536955638,-94.66230145307485,-481.1568770013713
207078.0,72886.0,207078.0,111027.0,207078.0,47067.0,-579.5016306634191,-93.64913609655724,-478.5681055269341
207078.0,72885.0,207078.0,111009.0,207078.0,47075.0,-582.737280345516,-92.51484566980635,-475.4468357802996
207088.0,72913.0,207088.0,111006.0,207088.0,47064.0,-585.6113761347109,-91.25930856499065,-471.78629938704694
207088.0,72877.0,207088.0,111007.0,207088.0,47054.0,-588.1091289701773,-89.8823838897439,-467.58097526657286
207088.0,72868.0,207088.0,110995.0,207088.0,47053.0,-590.2154975568927,-88.38404750840108,-462.8268469288435
207088.0,72869.0,207088.0,110997.0,207088.0,47063.0,-591.9154326009093,-86.76458664308235,-457.52176035901334
207088.0,72880.0,207088.0,111002.0,207088.0,47086.0,-593.194164128819,-85.02477410729604,-451.6656053647178
207088.0,72864.0,207088.0,111048.0,207088.0,47104.0,-594.0372652434376,-83.1658663343152,-445.26021117103716
207099.0,72861.0,207099.0,111032.0,207099.0,47105.0,-594.4306648057625,-81.18927542080421,-438.3090695936021
207099.0,72834.0,207099.0,111010.0,207099.0,47128.0,-594.3608442585827,-79.09620858685176,-430.81710226957284
207099.0,72828.0,207099.0,111012.0,207099.0,47118.0,-593.8152413025825,-76.887726297726,-422.7905548067502
207099.0,72845.0,207099.0,110993.0,207099.0,47136.0,-592.7826928872698,-74.56514412997505,-414.2369994778803
207099.0,72860.0,207099.0,111030.0,207099.0,47142.0,-591.2536244774845,-72.13037764717777,-405.16540982920964
207099.0,72869.0,207099.0,111043.0,207099.0,47171.0,-589.2198827432392,-69.58595906048902,-395.5861855323351
207109.0,72849.0,207109.0,111019.0,207109.0,47165.0,-586.6744872071457,-66.93476810886062,-385.51106445173514
207109.0,72849.0,207109.0,111023.0,207109.0,47170.0,-583.6116350269947,-64.17988991620386,-374.95307336805195
207109.0,72848.0,207109.0,111025.0,207109.0,47195.0,-580.0269672318607,-61.32478389133296,-363.9266282794379
207109.0,72859.0,207109.0,111033.0,207109.0,47186.0,-575.917839583386,-58.37346810639919,-352.4476604094416
207109.0,72915.0,207109.0,111104.0,207109.0,47205.0,-571.2833310680464,-55.33040334111777,-340.5337148339431
207109.0,72880.0,207109.0,111006.0,207109.0,47252.0,-566.1239111792358,-52.20009892416039,-328.20400906555017
207119.0,72901.0,207119.0,111031.0,207119.0,47272.0,-560.4411060049176,-48.9870311550183,-315.4792284164003
207119.0,72885.0,207119.0,111030.0,207119.0,47270.0,-554.2375192801935,-45.69615140816209,-302.38110001619737
207119.0,72905.0,207119.0,111060.0,207119.0,47281.0,-547.517062646828,-42.333291659346884,-288.93217586890944
207119.0,72924.0,207119.0,111052.0,207119.0,47317.0,-540.2850934971731,-38.905060502227336,-275.1559011466365
207119.0,72937.0,207119.0,111097.0,207119.0,47335.0,-532.5483388497689,-35.41852695214391,-261.07660272034553
207119.0,72938.0,207119.0,111098.0,207119.0,47358.0,-524.3147042432348,-31.880829439136996,-246.7192595542899
207130.0,72942.0,207130.0,111066.0,207130.0,47368.0,-515.5931981338879,-28.298810952614105,-232.1092585718631
207130.0,72937.0,207130.0,111062.0,207130.0,47382.0,-506.39406260657705,-24.679048425780948,-217.27229101079064
207130.0,72970.0,207130.0,111046.0,207130.0,47396.0,-496.72898868065374,-21.028330776915496,-202.23437832631726
207130.0,72980.0,207130.0,111097.0,207130.0,47414.0,-486.61119528961285,-17.35411588759365,-187.02194383595827
207130.0,73008.0,207130.0,111119.0,207130.0,47455.0,-476.05527846215864,-13.664490719329791,-171.6618058136846
207130.0,73028.0,207130.0,111152.0,207130.0,47463.0,-465.07693550925006,-9.967571592749948,-156.18100010910416
207140.0,73014.0,207140.0,111068.0,207140.0,47492.0,-453.6927276665788,-6.2708867288959595,-140.60652046641778
207140.0,73032.0,207140.0,111110.0,207140.0,47494.0,-441.9200648422654,-2.581416716302968,-124.96515375563138
207140.0,73065.0,207140.0,111105.0,207140.0,47508.0,-429.7773552682652,1.0938995930139157,-109.28347804792884
207140.0,73077.0,207140.0,111140.0,207140.0,47548.0,-417.2839916463126,4.747965024325609,-93.58793766995211
207140.0,73104.0,207140.0,111128.0,207140.0,47580.0,-404.4601165267169,8.373765674480893,-77.9047555756323
