c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207249,20758,207249,46722,207249,89998,373.6826897979132,2032.5860031837542,2298.003516047975
207249,20766,207249,46733,207249,89983,373.19295383825136,2023.8163794527215,2290.5876249075814
207249,20780,207249,46756,207249,90012,372.5452765403949,2013.7842964287577,2281.898502828114
207249,20774,207249,46763,207249,90019,371.7348437737301,2002.4651042011105,2271.910214030403
207249,20764,207249,46746,207249,89979,370.7577216004651,1989.8390345353228,2260.600527486272
207249,20746,207249,46659,207249,89912,369.6108753307358,1975.8919850175344,2247.951550742526
207260,20740,207260,46639,207260,89917,368.29195512234884,1960.615518655759,2233.949674840683
207260,20752,207260,46641,207260,89903,366.79905059472196,1944.0064173441224,2218.5853550412166
207260,20744,207260,46630,207260,89874,365.1306290471828,1926.06662929828,2201.8533126366233
207260,20754,207260,46606,207260,89872,363.2856532945017,1906.8037967385303,2183.7530124414
207260,20723,207260,46527,207260,89814,361.263695007917,1886.231766747302,2164.289100413983
207260,20726,207260,46454,207260,89760,359.06488371825617,1864.3704941143442,2143.471609158195
207270,20708,207270,46385,207270,89711,356.6897016117702,1841.2452446468023,2121.315759124501
207270,20706,207270,46397,207270,89686,354.13876375079417,1816.8856386299726,2097.841543382888
207270,20715,207270,46389,207270,89642,351.41269298456365,1791.3253370367568,2073.0734921158987
207270,20720,207270,46285,207270,89600,348.5121745251089,1764.6024403513702,2047.0406708169025
207270,20699,207270,46255,207270,89520,345.43815171433107,1736.7597206140267,2019.7766341405277
207270,20688,207270,46145,207270,89453,342.19190999117603,1707.8441653471432,1991.3190592297185
207280,20663,207280,46076,207280,89379,338.77489319925377,1677.906074819862,1961.709027071669
207280,20673,207280,46074,207280,89362,335.1883857579769,1646.9980956375875,1930.9902562417421
207280,20672,207280,46038,207280,89312,331.43331968688767,1615.1747617410374,1899.2087126833558
207280,20681,207280,45954,207280,89268,327.5103501249117,1582.4926787191052,1866.412662908595
207280,20658,207280,45866,207280,89161,323.4200738408306,1549.0105543407699,1832.6527299744425
207280,20630,207280,45802,207280,89081,319.16308715190394,1514.7885513468686,1797.9814487806066
207291,20647,207291,45718,207291,89010,314.739769900256,1479.887314748466,1762.45230690206
207291,20662,207291,45725,207291,89023,310.1501354505641,1444.3672079702808,1726.118888512162
207291,20658,207291,45697,207291,88951,305.39407251258297,1408.2881808548232,1689.0347551080283
207291,20619,207291,45602,207291,88890,300.47169748655733,1371.7102311370777,1651.2538346382844
207291,20613,207291,45515,207291,88812,295.3833397326673,1334.693629735706,1612.8305563671656
207291,20602,207291,45466,207291,88750,290.12920630317643,1297.2983918589266,1573.8195192490175
207301,20604,207301,45433,207301,88695,284.7091167040254,1259.5835869397742,1534.2750360724237
207301,20617,207301,45389,207301,88669,279.1225060034058,1221.6071593506567,1494.250891583498
207301,20602,207301,45337,207301,88579,273.36864974505306,1183.4261729806942,1453.800403886425
207301,20595,207301,45253,207301,88505,267.44691235511357,1145.0970082851838,1412.9764575026363
207301,20562,207301,45156,207301,88435,261.356788356818,1106.6751274649805,1371.831160295035
207301,20550,207301,45091,207301,88368,255.09767367519308,1068.2143290419287,1330.4152864571593
207311,20571,207311,45046,207311,88312,248.66857144294744,1029.7658725148995,1288.777825644698
207311,20577,207311,45024,207311,88259,242.0681006428328,991.3780319229909,1246.9657377845106
207311,20563,207311,44949,207311,88199,235.2948663030758,953.0962041450116,1205.0238917280733
207311,20533,207311,44888,207311,88118,228.34776832759346,914.9631210966618,1162.9950425337388
207311,20525,207311,44783,207311,88038,221.22593330041238,877.0186665092763,1120.9196071146098
207311,20509,207311,44725,207311,87959,213.92842714690855,839.2992149496263,1078.835147814728
