c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
791,17139,791,41033,791,70428,-9.731520410687267,-114.29730632624515,-203.5595601575339
791,17154,791,41050,791,70470,7.392594221372548,-102.61689264183943,-181.03451118597087
791,17182,791,41077,791,70494,24.88325733260612,-90.68680376165233,-157.95094180738826
791,17208,791,41126,791,70525,42.70818210576223,-78.53097306644813,-134.34711415841332
791,17250,791,41141,791,70574,60.8341503661276,-66.17315419510285,-110.26207423019486
791,17271,791,41136,791,70602,79.22740222088231,-53.63636900931405,-85.73531993457686
801,17284,801,41129,801,70626,97.85403448953795,-40.942742394565386,-60.80642360435655
801,17315,801,41141,801,70650,116.68023295238856,-28.11379398194086,-35.514795854704914
801,17333,801,41171,801,70687,135.67238201103743,-15.170799540491345,-9.899617856160603
801,17356,801,41200,801,70722,154.79718439720546,-2.1348388553259383,16.000241393981412
801,17399,801,41233,801,70753,174.02182844532518,10.973521192747342,42.14642323429092
801,17404,801,41240,801,70786,193.3142282911249,24.134692489440425,68.50132134282211
812,17423,812,41227,812,70820,212.64323889563366,37.33035533514058,95.02829597044155
812,17439,812,41251,812,70827,231.97868705979823,50.54337418780506,121.69182317209714
812,17481,812,41254,812,70864,251.29133276730596,63.75752425421098,148.4575013001192
812,17505,812,41318,812,70906,270.5530046800039,76.95740589971285,175.2919907906683
812,17521,812,41303,812,70934,289.73689454313006,90.12869715925308,202.1631109701271
812,17554,812,41267,812,70951,308.8178090396775,103.25837046129828,229.0400484183197
822,17539,822,41277,822,70965,327.7722747275845,116.33432560326622,255.89340068429703
822,17555,822,41301,822,70984,346.5784260463449,129.34465392076925,282.69496933663015
822,17585,822,41335,822,71029,365.2157156076094,142.27726663721785,309.41749353594366
822,17608,822,41374,822,71088,383.66475104004843,155.12011646570687,336.0346387254483
822,17606,822,41352,822,71098,401.90735417277733,167.86166679988565,362.5213526300239
822,17626,822,41374,822,71092,419.92655986795717,180.4911292606277,388.8541866984283
832,17643,832,41384,832,71141,437.7064620029396,192.99835664291777,415.0111750102624
832,17656,832,41425,832,71162,455.2320852419174,205.3737558824592,440.97154461344417
832,17693,832,41441,832,71168,472.4893721591043,217.60849255034407,466.7156141838291
832,17706,832,41443,832,71194,489.4652963192601,229.69483743100085,492.22469145743867
832,17720,832,41464,832,71220,506.1480451071841,241.62636607621715,517.4808425848523
832,17715,832,41427,832,71247,522.5270764278799,253.39789016219987,542.4667363912748
843,17728,843,41414,843,71258,538.5929343098334,265.00503991238656,567.1656046036788
843,17742,843,41453,843,71299,554.336951251092,276.44357264003105,591.5611951649203
843,17763,843,41510,843,71334,569.7510501098986,287.7090045573073,615.6377798935762
843,17789,843,41519,843,71364,584.8277429634526,298.7970051401336,639.3803505840349
843,17806,843,41461,843,71340,599.5602927952436,309.7039612440833,662.7748138291123
843,17787,843,41510,843,71384,613.9428601668785,320.4268894810775,685.8078491165666
853,17809,853,41498,853,71402,627.9703983186374,330.96293172643186,708.4665682745648
853,17820,853,41534,853,71428,641.6383697446851,341.3091198985593,730.7383713282483
853,17842,853,41531,853,71464,654.9425960630783,351.4624465360704,752.611025499581
853,17861,853,41540,853,71486,667.8793283508334,361.41995592680473,774.0728341962134
853,17845,853,41535,853,71493,680.4453620178246,371.178702085314,795.1128093674598
853,17867,853,41541,853,71506,692.6379878992025,380.7355493922482,815.7206755920656
863,17864,863,41544,863,71528,704.4547857437374,390.08691111028355,835.8866799491049
863,17881,863,41604,863,71555,715.8934403002745,399.22863027806915,855.6014225241444
863,17905,863,41629,863,71582,726.95167924677,408.1562823730618,874.8558697687716
863,17910,863,41617,863,71590,737.6273593475049,416.86581690283873,893.641490310419
863,17912,863,41644,863,71596,747.9186017507697,425.3540159439927,911.9503070883679
863,17909,863,41599,863,71616,757.8237721015939,433.618512743795,929.7747568147154
874,17925,874,41613,874,71643,767.3412954136697,441.6574575091729,947.1075148736359
874,17950,874,41629,874,71656,776.4695324125137,449.46903890850103,963.9414801849575
874,17941,874,41657,874,71674,785.2068570398031,457.05126609577246,980.2698676569953
874,17961,874,41679,874,71727,793.551783394204,464.4021995254898,996.0863437015441
874,17958,874,41640,874,71695,801.5029924066436,471.5202987332842,1011.3852515772655
874,17964,874,41633,874,71725,809.0592987729236,478.40437716760255,1026.1617284426895
884,17982,884,41661,884,71720,816.2196148518503,485.0531297217009,1040.4115321705988
884,17975,884,41683,884,71770,822.9829560905264,491.46482191131656,1054.1308492626836
884,17993,884,41682,884,71766,829.3484799181704,497.63745239677166,1067.3163612559292
884,17998,884,41692,884,71792,835.3155257616203,503.5690347567819,1079.9654624894404
884,17986,884,41695,884,71765,840.8836541864719,509.2577051383454,1092.0763500677917
