c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
242007,13661,242007,35507,242007,52790,-393.5520793621848,-240.7398999663289,-537.0650512032399
242007,13657,242007,35550,242007,52809,-402.97919754486907,-242.41845313329873,-545.7665747017903
242007,13666,242007,35560,242007,52816,-412.6566551741403,-244.23943025330698,-554.6850004707774
242007,13645,242007,35569,242007,52789,-422.5789686401535,-246.2107783371931,-563.8199618608403
242018,13627,242018,35521,242018,52778,-432.7398816009439,-248.33835498177854,-573.1700153774667
242018,13608,242018,35484,242018,52750,-443.1325060452499,-250.62610604304203,-582.732845037407
242018,13581,242018,35480,242018,52733,-453.74966039021564,-253.07684962549303,-592.5056808067898
242018,13601,242018,35521,242018,52751,-464.58421865042544,-255.69302675635103,-602.4856964386427
242018,13602,242018,35547,242018,52770,-475.6292098471096,-258.47673867648143,-612.6700872842057
242018,13592,242018,35553,242018,52740,-486.8775828907128,-261.4291050705108,-623.0557532902358
242028,13565,242028,35506,242028,52734,-498.3219548873659,-264.54963730847714,-633.6390061840007
242028,13551,242028,35492,242028,52686,-509.9546567752466,-267.8362418777976,-644.4156773587849
242028,13542,242028,35496,242028,52716,-521.767991533129,-271.28575081195015,-655.3815051545696
242028,13541,242028,35529,242028,52711,-533.7544320048711,-274.89431135249333,-666.5323706125112
242028,13538,242028,35522,242028,52720,-545.9066209735057,-278.6572382939372,-677.8641268499354
242028,13522,242028,35470,242028,52705,-558.2172445577866,-282.5687116181001,-689.372236703322
242038,13487,242038,35447,242038,52656,-570.6789936834273,-286.621989419596,-701.0516235188525
242038,13482,242038,35426,242038,52642,-583.2847717147818,-290.8101889230595,-712.8969699885236
242038,13490,242038,35464,242038,52687,-596.0279683700372,-295.1270205913033,-724.9031879425629
242038,13487,242038,35486,242038,52682,-608.9024621862197,-299.56690485031385,-737.0654056053968
242038,13482,242038,35496,242038,52675,-621.9023497236308,-304.12444734770673,-749.3784279574849
242038,13462,242038,35467,242038,52650,-635.0216850300337,-308.79379909597,-761.836303787124
242049,13438,242049,35440,242049,52614,-648.2544319296372,-313.5684804638117,-774.4323658965689
242049,13430,242049,35414,242049,52580,-661.5946333767849,-318.4417865820287,-787.1596879894212
242049,13431,242049,35450,242049,52632,-675.0366037907496,-323.40737164925554,-800.0116306063178
242049,13423,242049,35477,242049,52623,-688.5749320717393,-328.45939713871616,-812.9819117097848
242049,13423,242049,35474,242049,52607,-702.2043076235647,-333.59204578532103,-826.06414344317
242049,13402,242049,35425,242049,52575,-715.9193253852042,-338.79897425725414,-839.2514950002544
242059,13368,242059,35390,242059,52528,-729.7144420602963,-344.07341907559305,-852.5369169125821
242059,13355,242059,35386,242059,52533,-743.5842010940692,-349.40894384271326,-865.9137529317932
242059,13351,242059,35443,242059,52568,-757.5235788422682,-354.8000731440195,-879.3761933239732
242059,13362,242059,35425,242059,52574,-771.5281181910373,-360.2421859724069,-892.9190638565094
242059,13358,242059,35446,242059,52571,-785.5937162228167,-365.73091574514103,-906.5371105398492
242059,13328,242059,35406,242059,52532,-799.7162866585427,-371.2617107279761,-920.2244319340124
242069,13307,242069,35398,242069,52497,-813.8916554088203,-376.82983226122127,-933.9744760801191
242069,13304,242069,35405,242069,52504,-828.1157521017044,-382.4306391565632,-947.780486895251
242069,13316,242069,35428,242069,52542,-842.3847557120396,-388.05974355327055,-961.6358072883747
242069,13314,242069,35440,242069,52545,-856.6949070546893,-393.7127408962315,-975.5335312599152
242069,13278,242069,35433,242069,52521,-871.0421562344823,-399.3846861958636,-989.4657682853134
242069,13265,242069,35372,242069,52475,-885.4220499196329,-405.0698064563378,-1003.4232588680625
242080,13253,242080,35349,242080,52453,-899.8299253523746,-410.76186024748176,-1017.3956673376982
242080,13250,242080,35376,242080,52459,-914.2611016098966,-416.45491996938654,-1031.3721798245635
242080,13252,242080,35415,242080,52476,-928.7108577967997,-422.14373918480953,-1045.3417945518513
242080,13247,242080,35420,242080,52460,-943.1742205802146,-427.8232862977365,-1059.2931003940998
242080,13230,242080,35403,242080,52438,-957.6456968104658,-433.48797091718603,-1073.2139265396631
242080,13191,242080,35353,242080,52414,-972.1191739983842,-439.1313300641275,-1087.0913007498084
242090,13180,242090,35336,242090,52405,-986.5881345337348,-444.74643344048735,-1100.9117125592966
242090,13192,242090,35377,242090,52409,-1001.0459753960547,-450.3265526283453,-1114.661370181655
242090,13202,242090,35381,242090,52416,-1015.4860085843558,-455.86534768539605,-1128.326194539421
242090,13202,242090,35398,242090,52398,-1029.9010372450816,-461.3564236196019,-1141.8915670532062
242090,13163,242090,35349,242090,52380,-1044.2828740102063,-466.79282966269363,-1155.3421109178514
242090,13133,242090,35324,242090,52340,-1058.6222490228192,-472.16707021653826,-1168.661773468881
242100,13112,242100,35328,242100,52361,-1072.909186839314,-477.4716357912161,-1181.834163587662
